stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cividale del Friuli;2008;1;1;0;-1.5;1.7;7.7;41;65;78;14;29;56;6578;1008.8
Cividale del Friuli;2008;1;2;0;-2.9;0.5;6.2;40;66;79;14;32;58;6522;1008.4
Cividale del Friuli;2008;1;3;0.2;-2;0.6;2.6;58;72;92;18;35;47;2155;1007.4
Cividale del Friuli;2008;1;4;0.8;0;2.2;3.7;84;91;99;24;37;58;1556;1010.1
Cividale del Friuli;2008;1;5;10.4;2.4;4.2;5.6;84;97;99;17;34;65;609;1008
Cividale del Friuli;2008;1;6;12.2;3.9;6.1;7.6;99;99;99;8;22;75;884;1001.8
Cividale del Friuli;2008;1;7;0;3.5;6;8;88;97;99;10;32;67;1329;1006.8
Cividale del Friuli;2008;1;8;0;4;7.2;13.6;51;81;99;16;34;66;6813;1010.7
Cividale del Friuli;2008;1;9;0;3.3;5.8;8;79;92;99;8;25;49;1748;1010.4
Cividale del Friuli;2008;1;10;0;1.5;5.1;9.3;81;96;99;9;27;53;4229;1011.7
Cividale del Friuli;2008;1;11;7.2;4.5;6;7.3;99;99;99;6;20;51;721;1007.3
Cividale del Friuli;2008;1;12;37.6;6.9;10;11.8;90;98;99;11;32;94;787;998.7
Cividale del Friuli;2008;1;13;13;6.6;9;11.2;76;91;99;15;36;61;1219;1003
Cividale del Friuli;2008;1;14;0.2;6;7.2;9.1;86;96;99;9;31;42;1976;1005.7
Cividale del Friuli;2008;1;15;0.8;5.9;7.4;9.8;81;95;99;7;19;58;3071;1005.2
Cividale del Friuli;2008;1;16;23.6;5.3;7;8.4;97;99;99;14;35;49;654;997.2
Cividale del Friuli;2008;1;17;45.8;6.3;7;7.7;97;99;99;23;42;72;568;1000.1
Cividale del Friuli;2008;1;18;2.2;7.1;7.9;8.8;97;99;99;7;30;69;815;1007.9
Cividale del Friuli;2008;1;19;0;4.2;7.5;8.7;99;99;99;3;10;188;1363;1013.5
Cividale del Friuli;2008;1;20;0;4.7;6.2;7.3;90;97;99;5;17;62;2576;1013.9
Cividale del Friuli;2008;1;21;1.6;4;5.6;6.9;92;99;99;4;21;241;1242;1009.3
Cividale del Friuli;2008;1;22;0;1.1;5;8.6;46;94;99;5;22;48;1887;999.6
Cividale del Friuli;2008;1;23;0;-0.1;4.6;11.7;21;55;78;12;32;63;8547;1014.8
Cividale del Friuli;2008;1;24;0;0.6;5.3;11.7;36;56;74;16;35;52;8150;1017.5
Cividale del Friuli;2008;1;25;0;2.4;6.7;12.7;36;55;68;21;38;48;4270;1019.2
Cividale del Friuli;2008;1;26;0;1.3;5.4;12.7;35;64;84;13;39;46;8675;1018.6
Cividale del Friuli;2008;1;27;0;0.2;4.3;9.8;53;75;97;10;26;67;5872;1008.7
Cividale del Friuli;2008;1;28;0;2.5;8.8;16.6;37;65;81;17;38;48;7713;1013.1
Cividale del Friuli;2008;1;29;0;2.8;6.9;13.1;54;76;90;15;31;67;8235;1014.2
Cividale del Friuli;2008;1;30;0.8;4;5.2;7.1;73;89;99;14;33;50;1179;1009.8
Cividale del Friuli;2008;1;31;0;3.5;7.2;11.5;66;86;99;8;23;51;5308;1007.1
Cividale del Friuli;2008;2;1;0;3.4;5.1;6.5;91;98;99;7;19;64;753;1003.1
Cividale del Friuli;2008;2;2;17.6;4.9;5.9;6.8;83;98;99;15;34;50;779;1001.4
Cividale del Friuli;2008;2;3;2.4;4.2;5.5;6.7;61;78;99;25;58;44;2187;1010.2
Cividale del Friuli;2008;2;4;9.8;4.4;7.1;9.2;95;99;99;17;40;57;1758;1002.1
Cividale del Friuli;2008;2;5;7.8;6.3;9.2;15.2;52;84;99;17;39;53;6661;1005.4
Cividale del Friuli;2008;2;6;0;4;7.3;13.1;62;89;99;13;28;56;9095;1010.1
Cividale del Friuli;2008;2;7;0;2;7.9;15.5;20;57;99;13;32;350;10627;1014.9
