stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Codroipo;2003;1;1;0;0.7;5.6;11;62;80;97;6;19;69;6740;1009
Codroipo;2003;1;2;7;1;4.8;6.5;79;92;97;4;12;352;2243;1004.3
Codroipo;2003;1;3;0;5.3;6.8;8.6;90;96;98;4;11;38;1816;1000
Codroipo;2003;1;4;0;3.8;6.5;10.2;70;87;97;6;14;0;4295;998.5
Codroipo;2003;1;5;23.4;3.1;6.1;8.7;69;79;92;11;37;1;2317;997.3
Codroipo;2003;1;6;1.2;1.8;3;4.5;69;77;89;10;27;62;1226;1005.4
Codroipo;2003;1;7;3.6;-1;0.9;2.8;58;80;94;11;40;66;1824;1000.9
Codroipo;2003;1;8;0;-1.1;0.6;2.4;52;67;88;14;50;62;2446;1009.3
Codroipo;2003;1;9;0.2;-2;-0.2;1.3;48;61;88;30;58;53;1856;1004.7
Codroipo;2003;1;10;0;-2.7;-0.4;2.6;55;66;81;16;33;64;4331;1010.7
Codroipo;2003;1;11;0;-4;-0.2;3.4;33;49;65;21;42;62;7493;1019.2
Codroipo;2003;1;12;0;-7.1;-2.9;2;21;42;71;9;32;73;8812;1025.1
Codroipo;2003;1;13;0;-8.4;-2.7;3.8;31;61;81;5;14;1;6474;1025.9
Codroipo;2003;1;14;0;-5.8;-0.3;8;42;70;85;4;11;360;6662;1028.5
Codroipo;2003;1;15;0;-4.9;0;7.7;59;81;91;4;9;0;6935;1029
Codroipo;2003;1;16;0;-3.2;1.7;6.8;71;82;92;8;19;0;5393;1025.5
Codroipo;2003;1;17;0;-1.8;3.8;11.1;51;70;83;10;21;67;8061;1024.1
Codroipo;2003;1;18;0;-1.1;3.7;10.8;46;69;80;9;19;19;4712;1016.8
Codroipo;2003;1;19;0;-2.4;4.3;12.7;33;61;83;9;19;36;8967;1013
Codroipo;2003;1;20;0;-2.4;2.8;11.1;41;71;89;5;11;6;7861;1011.8
Codroipo;2003;1;21;21;0.3;4.6;9.5;79;88;97;9;25;108;689;1003.5
Codroipo;2003;1;22;22;1.7;6.1;8.8;86;93;96;9;35;19;1634;998.9
Codroipo;2003;1;23;0;0.3;4.1;10.5;63;89;97;5;23;25;4482;1009.7
Codroipo;2003;1;24;0;0;5.5;13.1;36;66;86;7;21;37;9153;1019.8
Codroipo;2003;1;25;0.2;-1.2;5.5;11.7;36;57;83;14;42;89;9202;1024.1
Codroipo;2003;1;26;0;-1;5.5;12.4;28;51;79;11;24;36;9503;1020.9
Codroipo;2003;1;27;0;-3.1;2.4;9.6;41;70;87;5;12;16;6551;1020.4
