stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Enemonzo;2004;1;1;0;-0.7;2;8.9;61;96;99;2;8;304;5515;964.9
Enemonzo;2004;1;2;0;-2.1;1.7;6.2;52;95;99;3;15;35;2441;962.2
Enemonzo;2004;1;3;0;-5.6;-1.7;5.7;44;87;99;3;8;315;5835;968.5
Enemonzo;2004;1;4;0;-7.3;-3.8;2.7;41;81;96;3;10;77;6568;968.8
Enemonzo;2004;1;5;0;-7.8;-4.1;2.9;50;82;96;4;13;309;7597;971.3
Enemonzo;2004;1;6;0;-6.9;-2.5;4.7;40;79;95;3;10;55;6045;978.3
Enemonzo;2004;1;7;0;-4.8;-1.8;5.1;42;81;95;3;7;245;5500;975.5
Enemonzo;2004;1;8;0;-6;-1.1;5.5;52;87;97;3;9;304;5085;973
Enemonzo;2004;1;9;1.8;-1.9;0.8;5.8;74;93;99;3;9;292;4063;965.5
Enemonzo;2004;1;10;0;-2.6;0.9;9.6;33;81;99;5;15;303;7049;967.3
Enemonzo;2004;1;11;0;-4.6;0.4;8.3;28;72;87;4;10;237;6057;974
Enemonzo;2004;1;12;0;-3.3;0.6;8.3;36;78;96;4;12;306;4655;966.1
Enemonzo;2004;1;13;0;-2.5;1;6.9;62;89;98;3;10;310;3370;958.4
Enemonzo;2004;1;14;2;-1.1;2.6;10.1;49;86;99;4;13;305;6750;955.2
Enemonzo;2004;1;15;0;-2.5;2;7.8;61;86;99;5;15;302;3127;957.3
Enemonzo;2004;1;16;0;-4.9;-0.6;6.3;26;68;88;4;10;320;4741;966.7
Enemonzo;2004;1;17;1.4;-2.4;0.3;2.8;59;85;99;3;8;300;1041;959.9
Enemonzo;2004;1;18;0;-0.3;1.4;3.9;97;99;99;3;10;306;1424;965.3
Enemonzo;2004;1;19;0;-2.2;1.4;9.8;32;79;99;3;11;309;7266;969.4
Enemonzo;2004;1;20;0;-3.4;-0.2;5.4;52;81;94;3;10;321;3582;960.1
Enemonzo;2004;1;21;0;-6;-1.6;5;38;73;94;4;16;56;8367;965.7
Enemonzo;2004;1;22;0;-8.5;-4.1;3;23;67;88;3;9;83;9252;972
Enemonzo;2004;1;23;0;-10.2;-5.6;1.1;32;74;91;4;12;46;9651;974.4
Enemonzo;2004;1;24;0;-11;-5.4;3;20;68;92;3;12;76;9860;971.7
Enemonzo;2004;1;25;0;-6.1;-2.7;1.5;40;64;82;3;8;308;2444;966.9
Enemonzo;2004;1;26;0;-7.9;-2.8;2.6;36;77;92;3;10;25;4887;965.4
Enemonzo;2004;1;27;4.4;-3;0.6;4.8;47;81;98;3;16;65;7205;954.8
Enemonzo;2004;1;28;0;-4.5;-0.3;6.5;48;91;99;1;7;313;5916;953.6
Enemonzo;2004;1;29;0;-8.5;-3.9;4.8;40;80;97;3;11;305;6314;959.6
Enemonzo;2004;1;30;0;-9.4;-3.6;6.2;12;60;82;5;17;74;10358;974.5
Enemonzo;2004;1;31;0;-6.1;-1.7;6.5;14;62;82;3;10;308;9038;980.4
Enemonzo;2004;2;1;0;-4.9;-0.8;6.1;33;72;95;3;9;324;6603;981.4
Enemonzo;2004;2;2;0;-5.9;-0.8;6;51;85;98;4;10;316;7505;982.1
Enemonzo;2004;2;3;0;-3.3;2.9;14.2;36;80;99;3;9;303;8018;984.3
Enemonzo;2004;2;4;0;0.7;4.8;15;27;69;87;4;8;303;7014;985.9
Enemonzo;2004;2;5;0;-0.9;4.3;14.9;22;66;87;5;13;66;10495;983.4
Enemonzo;2004;2;6;0;-1.5;3.5;11;33;74;99;4;17;87;8155;981.2
Enemonzo;2004;2;7;0;-0.7;2.2;5.5;71;92;99;2;10;326;2251;975.1
Enemonzo;2004;2;8;0;-2.4;2;8.3;84;95;99;5;15;80;10258;969.9
Enemonzo;2004;2;9;0;-2.8;3.4;10.6;9;44;95;7;33;248;11566;975.5
Enemonzo;2004;2;10;0;-4.9;0.8;8.9;9;51;80;4;15;81;11067;982.7
Enemonzo;2004;2;11;0;-2.2;2.6;8.9;34;66;88;5;16;328;10879;970.8
Enemonzo;2004;2;12;0;-2.9;0.3;3.2;53;67;80;7;27;72;10588;977.3
Enemonzo;2004;2;13;0;-5.4;-1.7;1.6;56;69;92;5;20;64;7094;982.8
Enemonzo;2004;2;14;0;-5.8;-0.3;9;35;76;96;4;14;58;9177;975.9
Enemonzo;2004;2;15;0;-4.1;2.1;11;31;67;92;5;18;74;12934;971.8
Enemonzo;2004;2;16;0;-3.4;2.4;11;31;69;92;4;15;70;12477;976.3
Enemonzo;2004;2;17;0;-1.9;2.4;8.4;48;78;97;5;20;64;11698;979.1
Enemonzo;2004;2;18;2;-2.8;1.9;7.2;49;83;99;3;14;101;7185;971.4
Enemonzo;2004;2;19;12.2;-0.1;1;2.3;92;98;99;2;9;262;1889;971
Enemonzo;2004;2;20;0;-1.1;1.2;7;69;95;99;1;9;310;3024;979.6
Enemonzo;2004;2;21;23.6;-0.5;1;2.4;98;99;99;1;5;242;1150;978.7
Enemonzo;2004;2;22;16.8;1.1;3.2;5.3;99;99;99;3;7;304;2250;964.1
Enemonzo;2004;2;23;27.4;0.5;3.5;7.2;97;99;99;3;13;48;2072;956.9
Enemonzo;2004;2;24;14.6;-7;-1.2;2;81;95;99;1;10;299;1249;965.8
Enemonzo;2004;2;25;0;-9.5;-2.5;4.9;41;83;99;3;10;77;11653;967.5
Enemonzo;2004;2;26;10.2;-1.9;0.3;2.3;81;94;99;1;6;281;2692;955.7
Enemonzo;2004;2;27;12.4;0.1;1.1;4.3;82;97;99;0;6;82;1860;949.4
Enemonzo;2004;2;28;0;-0.4;1.2;7;57;88;99;2;12;68;2806;954.1
Enemonzo;2004;2;29;0;-5.4;0.8;9.1;16;72;96;4;17;81;10741;962.4
Enemonzo;2004;3;1;0;-9;-2;6;15;63;94;7;27;87;15481;973.6
Enemonzo;2004;3;2;0;-8.9;-1.6;8;11;65;92;4;14;81;15725;978.7
Enemonzo;2004;3;3;0;-5.7;-0.5;8;25;75;95;4;16;76;11131;979
Enemonzo;2004;3;4;0;-5.2;0.7;8.2;32;72;97;5;23;75;15088;975.8
Enemonzo;2004;3;5;0;-1.1;1.9;7;39;72;92;4;18;85;10650;974.6
Enemonzo;2004;3;6;0;-1.6;0.7;2.9;52;69;95;4;15;79;4572;977.1
Enemonzo;2004;3;7;9;-1.1;0.6;3.1;83;95;99;1;7;296;2802;975.1
Enemonzo;2004;3;8;0;0.2;2.7;7.5;44;84;99;5;22;87;6180;970.5
Enemonzo;2004;3;9;0;-0.4;3.5;9.8;12;63;94;5;18;157;13976;971.3
Enemonzo;2004;3;10;4;-0.3;2.3;8;34;76;98;2;13;259;10313;975.2
Enemonzo;2004;3;11;18.4;0.3;1.6;5.4;80;95;99;1;9;323;4212;974.1
Enemonzo;2004;3;12;0;-1.8;3.4;11.7;24;74;99;4;14;307;16329;976
Enemonzo;2004;3;13;0;-1.5;3.6;8.9;52;79;99;5;21;77;12609;981.1
Enemonzo;2004;3;14;0;-0.2;4.9;10.9;42;79;99;4;15;77;10547;985.1
Enemonzo;2004;3;15;0;-0.3;6.6;16.2;38;76;99;5;15;70;16981;986.6
Enemonzo;2004;3;16;0;0.1;8.5;20.1;19;67;99;5;14;293;17891;986.6
Enemonzo;2004;3;17;0;0.9;9.6;22.7;11;61;97;4;14;320;17720;984.4
Enemonzo;2004;3;18;0;1.2;10.3;22;12;58;91;5;26;76;17861;981.1
Enemonzo;2004;3;19;0;1.5;9.5;18.1;30;70;97;5;25;79;14769;977.5
Enemonzo;2004;3;20;0;5;8.7;14.2;59;85;97;5;25;77;9673;975.2
Enemonzo;2004;3;21;0;6;7.3;8.9;87;96;99;1;9;166;1480;969.4
Enemonzo;2004;3;22;23;3.5;5.8;9;67;91;99;4;32;30;6319;966
Enemonzo;2004;3;23;11.2;1.7;3.8;6.6;83;96;99;4;11;294;3668;959.8
Enemonzo;2004;3;24;2.2;2.7;4.9;7.5;68;93;99;3;9;56;5472;956.2
Enemonzo;2004;3;25;0;2.4;5.7;9.6;47;82;99;4;14;97;9508;961.6
Enemonzo;2004;3;26;0;0.5;4.5;8.4;39;71;97;5;21;60;10076;963.2
Enemonzo;2004;3;27;0;-0.2;4.9;9.8;25;62;92;5;19;101;14598;966
Enemonzo;2004;3;28;0;-0.9;5.2;12.7;32;67;96;6;22;68;19596;971.2
Enemonzo;2004;3;29;0;-1.4;6.8;15.5;27;66;99;8;32;72;20288;973.8
Enemonzo;2004;3;30;0;-0.3;7.6;15.9;30;63;99;7;30;69;19632;973.4
Enemonzo;2004;3;31;0;1.2;9.3;16.7;27;58;91;6;25;84;16931;970.3
Enemonzo;2004;4;1;14.2;6.5;8.8;11.7;88;96;99;2;5;229;4636;968.5
Enemonzo;2004;4;2;0.4;6.5;11.6;17.4;48;81;99;4;18;68;11882;971.3
Enemonzo;2004;4;3;0;5.4;11.4;17.8;53;81;99;7;28;89;16748;975.5
Enemonzo;2004;4;4;0;8.2;12.1;15.8;61;80;98;8;31;57;14328;975.7
Enemonzo;2004;4;5;7.8;7.6;10.2;13;80;94;99;6;23;80;6357;968.4
Enemonzo;2004;4;6;19.2;2.1;6.2;8.2;86;96;99;3;12;76;2442;961.1
Enemonzo;2004;4;7;11;-0.5;4;11.3;44;91;99;4;27;286;9124;960.7
Enemonzo;2004;4;8;0;-1.6;4.9;13.4;26;71;99;6;29;147;19566;967.2
