stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Faedis;2004;1;1;0;2.2;5.6;10.1;60;75;85;6;28;103;5231;989.9
Faedis;2004;1;2;0;0.4;3.5;5.7;58;70;82;5;22;123;3624;987
Faedis;2004;1;3;0;-3;0.7;5.5;44;62;73;4;17;135;6533;994.1
Faedis;2004;1;4;0;-4.3;-1.4;3.6;46;62;71;4;13;293;7116;993.9
Faedis;2004;1;5;0;-5.5;-0.7;4.7;43;60;71;4;13;44;7200;996.7
Faedis;2004;1;6;0;-2.3;1;5.7;46;59;69;4;15;137;6253;1003.9
Faedis;2004;1;7;0;-0.1;1.8;4.9;49;64;78;4;13;51;3161;1001.1
Faedis;2004;1;8;0;-0.7;3.6;6.6;64;75;93;4;14;144;3482;998
Faedis;2004;1;9;3.2;1.9;3.2;4.4;85;96;99;3;17;117;1467;990.6
Faedis;2004;1;10;0;-0.1;3.4;8.7;73;90;99;5;16;129;7173;992.7
Faedis;2004;1;11;0;-1;4.1;9.3;55;68;89;4;15;56;7032;1000.7
Faedis;2004;1;12;0.4;1.9;5.4;7.9;55;77;99;4;14;51;3967;992
Faedis;2004;1;13;0.2;3.1;6.1;7.8;80;91;99;4;14;143;2073;983.8
Faedis;2004;1;14;0;5.2;8;11.8;68;87;97;5;22;106;5580;980.4
Faedis;2004;1;15;0.2;0;6.1;9;39;74;87;7;22;54;2942;981.5
Faedis;2004;1;16;0;-1.7;3.6;8.1;37;58;73;7;21;136;5122;993.3
Faedis;2004;1;17;32;2.2;4.8;7.2;62;93;99;5;28;134;299;985.8
Faedis;2004;1;18;4.2;3.4;5.6;8.6;56;73;92;10;38;81;878;990.7
Faedis;2004;1;19;0;0.4;4.7;9.2;51;67;81;8;24;120;8327;995.8
Faedis;2004;1;20;0;-0.9;3.1;6.7;65;74;88;5;22;131;3542;986.2
Faedis;2004;1;21;0;-2.9;1.8;7.1;47;63;75;6;19;120;6495;992.4
Faedis;2004;1;22;0;-3.9;-0.5;4;42;64;75;6;15;254;8700;999.6
Faedis;2004;1;23;0;-5.8;-1.8;2.6;41;62;79;5;21;159;7655;1000.7
Faedis;2004;1;24;0;-8.1;-2.6;2.9;43;63;82;5;12;166;9884;998
Faedis;2004;1;25;0;-3.3;-0.1;3.4;46;66;80;4;12;283;4403;991.5
Faedis;2004;1;26;0;-2.9;-0.1;2.3;65;74;82;3;9;30;2718;989.6
Faedis;2004;1;27;5.6;-0.3;1.7;6.6;68;87;99;3;12;236;5474;979.8
Faedis;2004;1;28;2.2;-0.1;2.6;7.6;56;81;99;5;15;283;8523;979.7
Faedis;2004;1;29;0;-1.5;1.2;5.4;48;75;91;4;15;155;5483;985.3
Faedis;2004;1;30;0;-4.4;0.9;6.7;21;47;67;5;15;54;9751;1001.3
Faedis;2004;1;31;0;-1.6;2.9;7.4;45;59;76;5;16;136;8741;1007.5
Faedis;2004;2;1;0;1.8;4.4;7;49;68;84;5;22;126;4470;1008.3
Faedis;2004;2;2;0;-0.4;4;7.4;67;81;92;4;14;153;4570;1008.8
Faedis;2004;2;3;0;1.2;5.8;11;65;82;95;4;10;34;7020;1011.5
Faedis;2004;2;4;0;2.6;7.2;13.4;59;79;91;3;12;348;7121;1013.4
Faedis;2004;2;5;0;-1.1;4.6;11.9;60;84;99;4;11;148;10410;1011.7
Faedis;2004;2;6;0.2;-3.3;2.6;10;72;96;99;4;15;161;9047;1009.4
Faedis;2004;2;7;1.4;4.1;5.5;7;94;99;99;5;30;130;551;1001.4
Faedis;2004;2;8;0.4;0.4;4.1;5.9;89;96;99;5;16;135;1113;996.8
Faedis;2004;2;9;0;0.5;6.4;13.7;11;43;99;8;28;14;11941;1003
Faedis;2004;2;10;0;-2.3;4.8;11.3;17;39;54;6;22;278;11622;1011.4
Faedis;2004;2;11;0;0.9;5.3;10;42;67;82;6;19;136;10348;999.1
Faedis;2004;2;12;0;-0.5;1.9;8.3;33;60;81;6;32;296;4195;1006.4
Faedis;2004;2;13;0;-1.5;-0.5;0.7;59;69;82;3;13;299;2218;1012.2
Faedis;2004;2;14;0;-3;2.1;9.1;50;69;86;4;12;294;9804;1003.9
Faedis;2004;2;15;0;-1;4.9;11.5;43;64;84;6;17;265;11599;1000.1
Faedis;2004;2;16;0;0;5.7;12;44;64;78;5;13;318;11729;1004.8
Faedis;2004;2;17;0;1;5.2;10.1;53;72;92;5;15;272;11256;1007.6
Faedis;2004;2;18;0;0.2;4.1;7.8;70;85;96;5;19;203;6402;999.5
Faedis;2004;2;19;0.2;2.8;5.2;6.8;42;58;85;20;57;90;936;997
Faedis;2004;2;20;0;3.7;5.9;9.7;39;47;53;13;55;43;5309;1006
Faedis;2004;2;21;30.2;3.1;4.2;5.5;49;83;99;4;15;90;1083;1005
Faedis;2004;2;22;43;5;7.3;10.6;99;99;99;3;19;127;822;990.2
Faedis;2004;2;23;92;3.2;6.4;7.9;83;97;99;13;67;44;905;983.3
Faedis;2004;2;24;6.2;-0.8;1.6;4.4;66;85;99;9;68;52;3028;992.4
Faedis;2004;2;25;0;-2.7;1.4;5.9;54;75;93;4;13;275;11670;995.4
Faedis;2004;2;26;8.4;0.6;2.8;5.5;79;91;99;4;38;67;2242;982.5
Faedis;2004;2;27;13.2;0.1;1.7;3.6;74;93;99;9;47;65;1554;976.8
Faedis;2004;2;28;0.6;0.9;3.5;7.9;46;72;94;9;44;33;6289;980.2
Faedis;2004;2;29;0.4;0;3;6.4;42;65;95;6;18;169;7378;989.6
Faedis;2004;3;1;0;-1.6;2.8;9;22;45;66;8;32;49;15133;1000.4
Faedis;2004;3;2;0;-3.6;1.4;6.5;36;57;71;6;15;305;9595;1006.4
Faedis;2004;3;3;0;-2.8;3.1;9.4;38;61;79;5;14;47;10697;1006.7
Faedis;2004;3;4;0;-1.1;5.3;11.6;36;56;72;6;18;247;15286;1004.5
Faedis;2004;3;5;0;1.8;4.6;7.9;45;58;71;5;18;153;9331;1003.7
Faedis;2004;3;6;0;-0.3;2.4;4.4;41;57;74;5;18;145;4514;1006.2
Faedis;2004;3;7;11.8;0.1;2.1;4.5;74;92;99;4;24;107;2884;1003.4
Faedis;2004;3;8;4.4;1;4;7.4;58;80;99;6;22;153;6480;998.2
Faedis;2004;3;9;0.4;2.2;4.7;10.2;48;77;96;6;23;263;11801;1000.7
Faedis;2004;3;10;0;1.2;5.3;10.2;43;64;95;6;41;119;13368;1004
Faedis;2004;3;11;0;3.8;7;9.5;34;48;71;13;43;64;5412;1000.8
Faedis;2004;3;12;0;1.6;7.1;12.4;38;55;76;7;23;83;15963;1005.1
Faedis;2004;3;13;0;3.6;7.4;11.4;57;72;84;5;13;178;10453;1010.1
Faedis;2004;3;14;0;3.7;8.6;10.8;65;77;84;3;8;317;3085;1013.7
Faedis;2004;3;15;0;7.2;11.4;17.4;56;75;90;5;15;271;16363;1015
Faedis;2004;3;16;0;6.3;13.4;21.6;29;64;93;5;16;267;17787;1014.2
Faedis;2004;3;17;0;8.4;14.7;22.9;34;60;79;5;14;217;17247;1012.1
Faedis;2004;3;18;0;8.2;15;22.4;34;58;80;5;15;135;17688;1009.1
Faedis;2004;3;19;0;9;13.5;20.1;42;67;85;6;24;167;14280;1005.1
Faedis;2004;3;20;0.2;8.4;10.4;13.5;70;83;95;7;24;169;6863;1003.9
Faedis;2004;3;21;2.4;9.7;10.6;11.8;78;91;99;8;22;128;1011;997.5
Faedis;2004;3;22;9.6;6.6;9.3;11.7;53;77;98;12;51;62;1665;992.5
Faedis;2004;3;23;5.4;5.7;7.3;10.2;55;81;93;6;45;79;3925;984.3
Faedis;2004;3;24;16.2;4.3;5.4;6.9;89;97;99;4;14;157;2611;982.7
Faedis;2004;3;25;0.2;4.3;7.1;11.2;56;83;99;5;22;57;9206;988.4
Faedis;2004;3;26;0;4.4;7;11.3;49;62;73;12;34;106;7486;988.8
Faedis;2004;3;27;0;1.9;7;12.4;38;55;73;9;25;131;19890;993
Faedis;2004;3;28;0;2.9;7.8;13.1;45;60;82;6;21;256;18114;997.8
Faedis;2004;3;29;0;3.4;10.6;17;35;52;72;7;28;138;20833;1000.2
Faedis;2004;3;30;0;4.3;11;16.2;34;46;66;14;46;72;21344;999.6
Faedis;2004;3;31;0;6.2;12.2;18;32;49;68;6;22;156;18440;997.8
Faedis;2004;4;1;9;8.5;11.4;14.9;62;91;99;4;15;279;4062;994.9
Faedis;2004;4;2;0;11.4;15.7;20.1;49;64;83;9;30;84;15288;999.3
Faedis;2004;4;3;0;9;13.5;17.5;65;79;98;5;16;261;13565;1004.3
Faedis;2004;4;4;0;10.5;12.9;16.7;69;88;99;5;18;255;12373;1004.7
Faedis;2004;4;5;9.8;10;11.3;12.9;72;94;99;7;32;64;1956;996.6
Faedis;2004;4;6;24.4;6.5;9.2;11.3;65;80;99;12;50;59;2544;987.8
Faedis;2004;4;7;12.6;3;7.2;12.4;57;77;93;9;45;57;11073;987.3
Faedis;2004;4;8;0;2.1;8.6;14.5;42;62;87;7;24;212;19745;993.7
Faedis;2004;4;9;3.4;5.4;9.3;13.1;43;64;94;9;36;108;8432;990.7
Faedis;2004;4;10;0;6.8;9.9;14.2;53;63;78;13;41;53;10130;988.8
