stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Forni di Sopra;2005;1;1;0;-3.4;-0.1;6.1;40;63;77;5;14;324;5475;917.6
Forni di Sopra;2005;1;2;0;-3.3;-0.3;4.5;44;68;80;4;18;320;4910;914.7
Forni di Sopra;2005;1;3;0;-4.2;1.3;5.1;18;36;59;10;45;291;5254;919.8
Forni di Sopra;2005;1;4;0;-4;0.5;5.4;26;52;69;5;18;316;5590;920.9
Forni di Sopra;2005;1;5;0;-3.4;1.8;6.5;23;48;78;4;19;321;5170;920.8
Forni di Sopra;2005;1;6;0;-4.7;1;10.6;21;58;83;6;38;296;5617;921.1
Forni di Sopra;2005;1;7;0;-2.2;1.4;8.1;20;50;72;4;13;333;5836;926.9
Forni di Sopra;2005;1;8;0;-4.5;-0.8;4.3;46;73;99;3;13;308;5892;922.8
Forni di Sopra;2005;1;9;0;-6.4;-2.8;0.7;66;88;99;3;12;305;2940;923.6
Forni di Sopra;2005;1;10;0;-2.3;1.9;9.1;33;61;82;4;14;312;5750;923.9
Forni di Sopra;2005;1;11;0;-3.9;-0.5;4.8;53;73;88;4;15;330;5999;922.3
Forni di Sopra;2005;1;12;0;-2.8;1;7;33;58;75;4;13;308;6185;920
Forni di Sopra;2005;1;13;0;-3.3;0.3;6.4;39;59;72;4;13;324;4159;917.5
Forni di Sopra;2005;1;14;0;-4.7;-1.4;4.7;38;58;79;5;14;315;6202;919.1
Forni di Sopra;2005;1;15;0;-6.6;-3.3;2.4;44;65;81;4;13;321;6265;920.5
Forni di Sopra;2005;1;16;0;-8.1;-4.4;1.5;53;73;88;3;11;166;6366;921.8
Forni di Sopra;2005;1;17;0;-6.4;-2;5.7;20;53;74;3;12;308;6565;918.1
Forni di Sopra;2005;1;18;1.4;-5.4;-3;1.6;27;63;96;4;17;170;5976;904.8
Forni di Sopra;2005;1;19;0;-5.1;-0.4;5.1;18;51;97;5;23;233;5332;902.3
Forni di Sopra;2005;1;20;0;-5.6;-1.6;3.1;21;43;74;4;21;0;6743;906.7
Forni di Sopra;2005;1;21;2.6;-6.3;-2;3.1;36;75;98;4;24;315;2652;898.7
Forni di Sopra;2005;1;22;0;-4.8;-0.3;3.6;12;32;56;9;39;300;8627;904.8
Forni di Sopra;2005;1;23;0;-8.4;-3.8;1.2;15;36;53;5;16;312;4913;907.9
Forni di Sopra;2005;1;24;0;-8.5;-4.2;-0.7;12;29;52;6;27;300;5313;901.7
Forni di Sopra;2005;1;25;0;-7.9;-5.4;-2.9;13;20;26;9;27;321;4194;901.4
Forni di Sopra;2005;1;26;0;-8;-4.5;-1.7;16;25;46;11;37;302;1983;898.3
Forni di Sopra;2005;1;27;0;-10.6;-5.7;-1;23;40;57;5;15;145;6583;900.9
Forni di Sopra;2005;1;28;0;-12;-8.7;-4.9;18;43;60;4;14;320;5949;902.4
Forni di Sopra;2005;1;29;0.2;-10.7;-7.2;-2.8;50;73;88;4;13;325;3979;906.6
Forni di Sopra;2005;1;30;0;-11.4;-6.4;0.7;13;52;85;6;15;310;9325;913.9
Forni di Sopra;2005;1;31;0;-9.9;-3.2;4.1;16;41;57;3;11;339;7203;911.8
Forni di Sopra;2005;2;1;0;-5.9;-0.9;3.4;13;36;69;12;49;280;8087;907.5
