stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Fossalon;1998;1;1;0;4.4;7.3;9.1;87;93;96;7;20;231;1326;1019.5
Fossalon;1998;1;2;0.4;6.2;7.1;8.8;83;92;95;6;18;228;409;1009.8
Fossalon;1998;1;3;2.6;7.8;9;12.1;83;92;96;7;18;233;2606;1009.7
Fossalon;1998;1;4;0;4;7.6;10.6;65;87;96;6;18;205;5955;1013.2
Fossalon;1998;1;5;0.2;5.7;6.7;7.6;84;90;96;6;20;234;1364;1012.1
Fossalon;1998;1;6;0;4.6;6.1;7;77;87;93;5;18;268;1033;1012.7
Fossalon;1998;1;7;0;4.4;6.5;8;81;87;92;7;19;89;1708;1021.3
Fossalon;1998;1;8;0;5.8;6.7;7.5;78;85;89;4;12;231;1489;1028.1
Fossalon;1998;1;9;0;5.9;6.5;7.3;69;81;89;3;10;209;1491;1030.3
Fossalon;1998;1;10;0;-0.8;4.2;7;69;80;93;5;13;251;6677;1029.6
Fossalon;1998;1;11;0;-1.7;1;3;90;94;95;6;17;318;1163;1028.3
Fossalon;1998;1;12;0;1.6;3.2;4.7;85;89;94;9;22;295;1757;1027.0
Fossalon;1998;1;13;0;2.6;3.9;5.1;90;93;95;6;14;317;802;1020.7
Fossalon;1998;1;14;1;4.8;6.9;8.8;92;94;96;6;12;15;1071;1016.3
Fossalon;1998;1;15;4;8;8.9;9.9;93;96;97;7;14;250;1034;1020.0
Fossalon;1998;1;16;2;7.4;7.9;8.4;85;94;98;10;24;180;1531;1016.0
Fossalon;1998;1;17;8.6;3.8;8;10.7;53;83;96;9;34;192;3706;1014.9
Fossalon;1998;1;18;0;-0.1;4.9;10.3;44;65;85;7;21;45;8803;1017.5
Fossalon;1998;1;19;7;1.5;5.6;10.1;73;87;97;10;51;190;853;999.7
Fossalon;1998;1;20;0;1.2;5.4;11.2;48;74;96;8;18;349;5876;999.3
Fossalon;1998;1;21;0;2.7;6.4;9.6;34;52;74;12;39;37;2681;1010.3
Fossalon;1998;1;22;0;1.8;6.4;9.1;37;54;68;13;40;71;4159;1014.5
Fossalon;1998;1;23;0;4.7;6.5;7.6;49;59;66;24;56;88;2883;1016.1
Fossalon;1998;1;24;0;2;5.2;9.2;46;57;66;17;45;95;8805;1013.5
Fossalon;1998;1;25;0;1;3.6;5.9;50;54;59;26;46;76;4637;1017.7
Fossalon;1998;1;26;0;-0.4;1.6;4.4;43;50;57;29;55;82;9127;1021.0
Fossalon;1998;1;27;0;-1.6;1;4.1;44;51;63;22;49;57;9498;1018.5
Fossalon;1998;1;28;0;-4.7;-0.5;4.9;42;63;81;6;21;263;9866;1014.7
Fossalon;1998;1;29;0;-4.2;0.7;6.5;56;73;86;5;20;71;7970;1015.1
Fossalon;1998;1;30;0;-2.2;1.6;6;49;68;87;7;-;-;8527;1015.8
