stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gemona del Friuli;2008;1;1;0;-6.5;-0.1;8;29;58;83;5;20;347;6134;1001.5
Gemona del Friuli;2008;1;2;0;-4.8;-0.5;5.7;29;53;78;10;30;3;5955;1001.1
Gemona del Friuli;2008;1;3;0;-3.6;0.1;2.6;42;55;70;9;30;353;2370;1000.2
Gemona del Friuli;2008;1;4;3.2;0.6;2.4;5.1;60;86;95;11;29;359;528;1002.8
Gemona del Friuli;2008;1;5;12.6;2.6;4.7;6.5;81;93;99;11;31;9;436;1000.4
Gemona del Friuli;2008;1;6;15;2.9;5.8;9.3;83;96;99;10;36;25;1851;994.2
Gemona del Friuli;2008;1;7;0;3.6;5.7;8.6;78;87;94;12;39;50;2038;999.3
Gemona del Friuli;2008;1;8;0;3.4;6.2;11.4;52;72;88;17;44;11;6217;1003.4
Gemona del Friuli;2008;1;9;0;0.7;5.6;8.5;67;85;99;6;33;359;2355;1002.7
Gemona del Friuli;2008;1;10;0;-0.7;4.9;10.3;66;84;99;9;28;19;5802;1004
Gemona del Friuli;2008;1;11;8.8;1;4.1;5.5;76;91;99;6;21;5;850;1000.3
Gemona del Friuli;2008;1;12;57.8;5;9.4;12.5;78;93;99;14;55;134;161;991.3
Gemona del Friuli;2008;1;13;18.2;5.9;7.3;8.7;83;92;99;13;39;325;1025;995.9
Gemona del Friuli;2008;1;14;3.6;5.4;6.9;9.3;86;96;99;5;18;144;1957;998
Gemona del Friuli;2008;1;15;4.4;5.6;6.5;8.4;94;99;99;3;15;146;1147;997.7
Gemona del Friuli;2008;1;16;29.6;4.6;6.2;8.5;91;98;99;7;32;359;607;989.8
Gemona del Friuli;2008;1;17;52;4.1;4.9;6;92;94;96;23;48;341;397;993.6
Gemona del Friuli;2008;1;18;0.6;5.3;7.3;10.9;82;95;99;9;39;358;2276;1000.4
Gemona del Friuli;2008;1;19;0;3.2;6.7;9.4;74;89;99;6;32;13;3587;1005.9
Gemona del Friuli;2008;1;20;0;-0.6;4.5;9;78;95;99;4;14;215;4610;1006.5
Gemona del Friuli;2008;1;21;0;4.1;5.2;6.8;86;96;99;3;14;146;1055;1001.7
Gemona del Friuli;2008;1;22;0;3.4;6.6;11.3;15;72;99;12;64;359;3781;992
Gemona del Friuli;2008;1;23;0;-0.8;6.5;11.2;13;29;72;13;58;13;7837;1006.8
Gemona del Friuli;2008;1;24;0;-1.7;5.3;11.5;26;45;79;13;39;337;7568;1009.8
