stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gradisca d'Is.;2004;1;1;0;0.9;6.2;11.2;56;72;95;9;19;63;6382;1007.5
Gradisca d'Is.;2004;1;2;0;2;4.5;6.7;56;63;76;14;29;77;4177;1005.5
Gradisca d'Is.;2004;1;3;0;-4.4;1.4;4.3;49;58;79;13;34;56;6281;1012.3
Gradisca d'Is.;2004;1;4;0;-6.7;-1.9;3.4;42;66;93;8;28;60;7411;1013.7
Gradisca d'Is.;2004;1;5;0;-4.9;-0.9;5.5;50;68;89;8;21;78;6151;1015.9
Gradisca d'Is.;2004;1;6;0;-2.7;1.5;5.2;47;59;78;14;29;57;5906;1022.8
Gradisca d'Is.;2004;1;7;0;-0.9;2.7;6.1;51;65;84;8;18;35;2560;1019.6
Gradisca d'Is.;2004;1;8;0;1.3;4.2;6.4;69;79;94;6;19;56;1396;1016.5
Gradisca d'Is.;2004;1;9;1.4;1.8;3.9;5.4;94;98;98;4;19;313;628;1009.3
Gradisca d'Is.;2004;1;10;0;-1.6;2.6;9.2;79;96;98;4;16;341;5378;1010.7
Gradisca d'Is.;2004;1;11;0.2;-2.9;2.7;11.2;52;91;98;5;21;53;6794;1017.8
Gradisca d'Is.;2004;1;12;0;1.5;5.9;8.7;82;89;98;5;18;344;2639;1008.8
Gradisca d'Is.;2004;1;13;0;3.6;6.7;8.4;86;93;98;5;15;213;1672;1000.6
Gradisca d'Is.;2004;1;14;0;3.5;7.3;11.5;85;96;98;4;14;57;2859;997.1
Gradisca d'Is.;2004;1;15;0.6;-0.8;6.1;9.2;68;87;98;7;43;47;2465;999.4
Gradisca d'Is.;2004;1;16;0;-1.4;4;9.8;61;81;98;10;30;42;4778;1009.8
Gradisca d'Is.;2004;1;17;21.2;2.4;5.6;7.8;91;98;98;7;24;116;111;1002.0
Gradisca d'Is.;2004;1;18;15.2;3;5.6;7.4;65;83;98;14;45;78;190;1007.2
Gradisca d'Is.;2004;1;19;0;-0.8;5.3;10.3;48;66;94;8;23;80;7378;1012.6
Gradisca d'Is.;2004;1;20;0;-0.2;3.7;9.2;70;82;95;6;16;72;5509;1003.3
Gradisca d'Is.;2004;1;21;0;-2.8;2.5;6.9;46;66;97;10;33;82;6861;1009.8
Gradisca d'Is.;2004;1;22;0;-5.1;-0.2;5.7;42;66;85;8;23;65;8290;1016.8
Gradisca d'Is.;2004;1;23;0;-5.9;-0.7;3;36;56;74;12;30;87;7654;1019.3
Gradisca d'Is.;2004;1;24;0;-6.4;-2;4.2;43;66;83;7;16;67;8584;1016.5
Gradisca d'Is.;2004;1;25;0;-3.5;0;4.4;53;72;93;5;19;62;4038;1011.2
Gradisca d'Is.;2004;1;26;0;-4;0.5;3.8;71;83;93;6;15;58;3235;1009.7
Gradisca d'Is.;2004;1;27;6;0.8;2.5;4.9;80;95;98;5;14;51;2150;998.5
Gradisca d'Is.;2004;1;28;2;0.4;3.4;9.2;55;82;98;5;15;73;6706;996.7
Gradisca d'Is.;2004;1;29;0;-1.8;1.7;6.1;64;78;92;8;22;54;5634;1002.7
Gradisca d'Is.;2004;1;30;0;-4.5;1.4;8.4;24;56;85;8;19;73;9988;1018.3
Gradisca d'Is.;2004;1;31;0;-0.7;3.2;7.8;54;67;83;7;18;217;6745;1024.7
Gradisca d'Is.;2004;2;1;0;0.9;4.5;8.5;67;84;98;4;18;195;5294;1025.3
Gradisca d'Is.;2004;2;2;0;-0.7;3.2;8.3;75;92;98;4;16;50;5836;1026.1
Gradisca d'Is.;2004;2;3;0.2;-1.2;3.8;10.4;71;93;98;4;10;249;5580;1028.2
Gradisca d'Is.;2004;2;4;0;-0.1;4.7;11.4;74;92;98;3;11;192;6650;1029.7
Gradisca d'Is.;2004;2;5;0.2;-1.4;1.6;5.2;98;98;98;5;15;35;4419;1028.6
Gradisca d'Is.;2004;2;6;0.2;-1.3;2.1;5.1;98;98;98;4;14;172;3130;1026.8
Gradisca d'Is.;2004;2;7;0.2;5.1;6.2;7.7;98;98;98;4;29;324;17;1018.5
Gradisca d'Is.;2004;2;8;0.8;1.6;5.1;7.5;98;98;98;5;17;148;1383;1013.8
Gradisca d'Is.;2004;2;9;0.2;-2.9;4.7;13.3;15;67;98;9;32;339;11147;1019.0
Gradisca d'Is.;2004;2;10;0;-3.4;3.7;12.2;22;54;78;8;26;46;10930;1027.2
Gradisca d'Is.;2004;2;11;0;-1.4;4.6;10.7;54;73;96;7;18;178;8596;1014.8
Gradisca d'Is.;2004;2;12;0;-2.4;2.2;5.1;46;60;97;10;24;95;4090;1023.2
Gradisca d'Is.;2004;2;13;0;-1.3;0.9;2.3;56;68;87;4;11;54;2056;1028.6
Gradisca d'Is.;2004;2;14;0;-2.7;1.9;9.2;55;80;96;5;16;71;8605;1020.1
Gradisca d'Is.;2004;2;15;0;-3.5;3.5;11.2;56;82;98;5;21;65;10283;1016.0
Gradisca d'Is.;2004;2;16;0;-1.9;5.7;12.3;59;76;95;7;21;71;10464;1020.3
Gradisca d'Is.;2004;2;17;0;-2.3;4;11.3;56;81;98;5;18;214;9515;1023.7
Gradisca d'Is.;2004;2;18;0.2;-0.8;4;7.5;78;90;98;5;14;60;2120;1015.6
Gradisca d'Is.;2004;2;19;0.4;3.3;5.4;6.7;57;66;92;21;52;77;272;1012.9
Gradisca d'Is.;2004;2;20;0.2;3.1;5.7;8.3;49;56;62;20;47;81;4154;1021.7
Gradisca d'Is.;2004;2;21;19.2;3.7;5;6.3;51;77;98;18;33;65;513;1020.9
Gradisca d'Is.;2004;2;22;51.6;5.3;7.3;9.9;98;98;98;9;28;38;524;1005.8
Gradisca d'Is.;2004;2;23;54.2;4.4;7.9;10.4;84;97;98;12;57;84;1365;999.0
Gradisca d'Is.;2004;2;24;22;-0.6;3.3;5.2;59;78;98;16;77;105;1759;1007.7
Gradisca d'Is.;2004;2;25;0;-1.8;2.8;6.9;52;77;98;6;20;64;11455;1011.4
Gradisca d'Is.;2004;2;26;11.6;2;4.2;6.4;81;93;98;9;24;41;1982;998.2
Gradisca d'Is.;2004;2;27;15.2;1.4;3.3;5;77;94;98;11;35;74;882;992.8
Gradisca d'Is.;2004;2;28;1.8;0.9;3.6;7.2;60;82;98;13;42;32;4215;996.2
Gradisca d'Is.;2004;2;29;0;0.8;4.5;7.2;45;60;78;11;31;60;3842;1005.7
Gradisca d'Is.;2004;3;1;0;0.1;3.9;7.9;37;53;72;16;47;41;14326;1016.6
Gradisca d'Is.;2004;3;2;0;-3.9;1.6;8;41;64;84;6;17;241;9355;1023.4
Gradisca d'Is.;2004;3;3;0;-0.9;4;11.1;47;65;85;8;21;61;12398;1023.1
Gradisca d'Is.;2004;3;4;0;-1.7;5.8;12.3;39;62;87;8;21;71;14248;1020.1
Gradisca d'Is.;2004;3;5;0;1.8;5.6;10.5;40;53;65;10;21;67;13718;1019.6
Gradisca d'Is.;2004;3;6;0;0.5;3.7;6.8;43;53;69;10;27;51;4793;1022.5
Gradisca d'Is.;2004;3;7;20.2;1.5;3.4;5.4;69;89;97;11;27;44;1963;1019.2
Gradisca d'Is.;2004;3;8;5.4;2.3;5.4;8.3;55;71;92;10;44;55;4708;1013.8
Gradisca d'Is.;2004;3;9;0;2;5.9;10.7;60;77;90;7;23;73;13062;1016.6
Gradisca d'Is.;2004;3;10;0;3;6.6;10.9;45;66;94;7;17;58;11797;1019.5
Gradisca d'Is.;2004;3;11;0;4.6;7.2;9.7;47;55;66;18;44;58;5271;1016.7
Gradisca d'Is.;2004;3;12;0;0.6;7.6;13.9;42;65;89;6;18;235;15402;1020.0
Gradisca d'Is.;2004;3;13;0;2.5;8;13.3;54;77;93;6;21;224;12375;1025.4
Gradisca d'Is.;2004;3;14;0;6.7;9.7;13.1;76;86;94;5;16;64;2917;1029.1
Gradisca d'Is.;2004;3;15;0;4.8;11.4;17.9;60;82;98;6;18;208;12147;1030.2
Gradisca d'Is.;2004;3;16;0;4;11.7;22;42;78;98;6;18;191;17084;1029.8
Gradisca d'Is.;2004;3;17;0;6.8;13.7;22.8;41;68;98;8;19;190;16823;1027.0
Gradisca d'Is.;2004;3;18;0;6.6;13.7;23;39;66;88;7;18;169;15917;1023.9
Gradisca d'Is.;2004;3;19;0;5.4;12.4;20.4;45;72;98;8;24;171;14681;1020.7
Gradisca d'Is.;2004;3;20;0;5.9;10.3;13;78;90;98;6;24;173;3974;1019.3
Gradisca d'Is.;2004;3;21;1.4;10.8;12;13.7;79;90;98;8;23;186;1657;1012.6
Gradisca d'Is.;2004;3;22;5.2;8;10.5;14.2;64;81;96;20;58;77;2520;1007.9
Gradisca d'Is.;2004;3;23;4.8;7;8.6;9.9;65;77;91;10;41;80;3334;1001.0
Gradisca d'Is.;2004;3;24;22.6;5.5;6.5;7.8;89;98;98;5;12;60;1998;999.7
Gradisca d'Is.;2004;3;25;0;5.6;8.8;13.1;61;83;98;5;20;157;9806;1005.0
Gradisca d'Is.;2004;3;26;0.6;5.8;8.2;11.8;50;63;82;17;42;109;8786;1006.3
Gradisca d'Is.;2004;3;27;0;2.7;7;12.4;38;59;79;8;23;226;17093;1010.3
Gradisca d'Is.;2004;3;28;0;0.9;7.7;14;45;66;90;7;20;222;18802;1015.5
Gradisca d'Is.;2004;3;29;0;4.7;10.9;18;35;55;77;10;23;44;20044;1017.1
Gradisca d'Is.;2004;3;30;0;6.9;12.2;17.4;33;47;63;17;40;62;20618;1016.5
Gradisca d'Is.;2004;3;31;0;6;12.7;18.6;35;53;76;10;23;53;16305;1013.7
Gradisca d'Is.;2004;4;1;5.6;9.4;12;16.4;74;93;98;4;11;215;5438;1010.4
Gradisca d'Is.;2004;4;2;0;9.8;15.5;21.6;54;77;98;8;25;45;14931;1013.6
Gradisca d'Is.;2004;4;3;0;7;13.2;18.5;71;88;98;6;20;209;15850;1019.0
Gradisca d'Is.;2004;4;4;0;10.7;13.5;17.4;74;92;98;6;15;185;8332;1019.9
Gradisca d'Is.;2004;4;5;11.8;10.6;13;15.9;68;89;98;9;32;187;5704;1011.8
Gradisca d'Is.;2004;4;6;21.8;7.9;9.7;11.9;72;86;98;17;38;81;4122;1003.4
Gradisca d'Is.;2004;4;7;16.2;2.9;8.2;14.4;48;80;98;13;50;86;9933;1003.3
Gradisca d'Is.;2004;4;8;0;3.4;9.7;15.7;37;66;98;10;25;249;22147;1010.1
Gradisca d'Is.;2004;4;9;5;7.5;9.8;13.1;53;68;88;14;40;75;6900;1006.9
Gradisca d'Is.;2004;4;10;0;6.4;10.6;14.8;58;69;90;13;33;73;12124;1005.1
Gradisca d'Is.;2004;4;11;0;3.5;12;17.6;45;69;96;8;25;45;22935;1009.0
Gradisca d'Is.;2004;4;12;0;7.4;11.8;15.3;41;56;90;14;48;28;7595;1011.1
Gradisca d'Is.;2004;4;13;1.4;6.6;11.5;16.7;46;69;98;5;30;33;7769;1009.2
Gradisca d'Is.;2004;4;14;0.2;6.7;11.3;15.9;58;80;98;6;22;196;14651;1015.6
Gradisca d'Is.;2004;4;15;0;7.3;12.2;17.2;47;72;95;7;26;97;10241;1021.1
Gradisca d'Is.;2004;4;16;3.6;8.9;11.4;14.4;73;89;98;6;19;59;6505;1016.8
Gradisca d'Is.;2004;4;17;2;9.8;12.5;18;64;90;98;5;16;72;10073;1003.9
Gradisca d'Is.;2004;4;18;3.4;9.2;12.3;15.6;84;96;98;5;15;175;7321;997.9
