stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Grado-mare;2008;4;17;0;12.6;-;13.8;-;-;-;-;-;-;-;-
Grado-mare;2008;4;18;1;12;-;14;-;-;-;-;-;-;-;-
Grado-mare;2008;4;19;5.6;13.5;-;14.9;-;-;-;-;-;-;-;-
Grado-mare;2008;4;20;0;13.9;-;15.4;-;-;-;-;-;-;-;-
Grado-mare;2008;4;21;10.6;12.8;-;14.7;-;-;-;-;-;-;-;-
Grado-mare;2008;4;22;4.4;12.2;-;13.4;-;-;-;-;-;-;-;-
Grado-mare;2008;4;23;0.4;11.1;-;14.2;-;-;-;-;-;-;-;-
Grado-mare;2008;4;24;0;12.7;-;15.7;-;-;-;-;-;-;-;-
Grado-mare;2008;4;25;5;12;-;14.2;-;-;-;-;-;-;-;-
Grado-mare;2008;4;26;0;10.8;-;15;-;-;-;-;-;-;-;-
Grado-mare;2008;4;27;0;11.4;-;16;-;-;-;-;-;-;-;-
Grado-mare;2008;4;28;0;13;-;15.5;-;-;-;-;-;-;-;-
Grado-mare;2008;4;29;17.2;12.4;-;13.9;-;-;-;-;-;-;-;-
Grado-mare;2008;4;30;16.4;12.3;-;15;-;-;-;-;-;-;-;-
Grado-mare;2008;5;1;0;14;-;15.8;-;-;-;-;-;-;-;-
Grado-mare;2008;5;2;0;13.1;-;16.8;-;-;-;-;-;-;-;-
Grado-mare;2008;5;3;0;13.8;-;17.5;-;-;-;-;-;-;-;-
Grado-mare;2008;5;4;0.4;16.1;-;18.1;-;-;-;-;-;-;-;-
Grado-mare;2008;5;5;3.6;13.8;-;15.8;-;-;-;-;-;-;-;-
Grado-mare;2008;5;6;0.2;12.7;-;17.1;-;-;-;-;-;-;-;-
Grado-mare;2008;5;7;0;14.9;-;18.2;-;-;-;-;-;-;-;-
Grado-mare;2008;5;8;0;14.5;-;17.6;-;-;-;-;-;-;-;-
Grado-mare;2008;5;9;0;15.1;-;18.3;-;-;-;-;-;-;-;-
Grado-mare;2008;5;10;0;16.6;-;20;-;-;-;-;-;-;-;-
Grado-mare;2008;5;11;0;17;-;19.3;-;-;-;-;-;-;-;-
Grado-mare;2008;5;12;0;16.2;-;18.9;-;-;-;-;-;-;-;-
Grado-mare;2008;5;13;0;15.9;-;19;-;-;-;-;-;-;-;-
Grado-mare;2008;5;14;0;15.8;-;19;-;-;-;-;-;-;-;-
Grado-mare;2008;5;15;2;17.6;-;19.2;-;-;-;-;-;-;-;-
Grado-mare;2008;5;16;0.2;18.1;-;19.5;-;-;-;-;-;-;-;-
Grado-mare;2008;5;17;1;18.3;-;19.6;-;-;-;-;-;-;-;-
Grado-mare;2008;5;18;20.6;16.5;-;18;-;-;-;-;-;-;-;-
Grado-mare;2008;5;19;11.6;15.6;-;18.1;-;-;-;-;-;-;-;-
Grado-mare;2008;5;20;2;15.9;-;17.7;-;-;-;-;-;-;-;-
Grado-mare;2008;5;21;0;16.2;-;18.4;-;-;-;-;-;-;-;-
Grado-mare;2008;5;22;0;16.9;-;18.6;-;-;-;-;-;-;-;-
Grado-mare;2008;5;23;0.8;17.5;-;18.8;-;-;-;-;-;-;-;-
Grado-mare;2008;5;24;0.4;17.5;-;19.5;-;-;-;-;-;-;-;-
Grado-mare;2008;5;25;0;18.3;-;20;-;-;-;-;-;-;-;-
Grado-mare;2008;5;26;0;17.9;-;20.6;-;-;-;-;-;-;-;-
