stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Grado;2010;1;1;1.4;7.1;8.7;10.5;99;99;100;4;12;133;1120;989.9
Grado;2010;1;2;17.6;2.1;6.0;10.5;99;99;100;5;27;353;852;1003.0
Grado;2010;1;3;0.0;0.5;3.0;6.5;42;72;99;5;12;258;6722;1018.2
Grado;2010;1;4;2.2;-0.3;1.4;3.3;74;85;96;6;15;335;1411;1015.1
Grado;2010;1;5;4.0;2.1;3.1;4.3;95;96;97;9;25;65;1521;1003.2
Grado;2010;1;6;1.4;2.7;3.9;5.6;93;94;96;6;22;20;1998;998.2
Grado;2010;1;7;0.6;4.3;6.3;9.1;85;92;96;6;24;112;6409;1006.6
Grado;2010;1;8;12.6;4.7;5.8;7.9;78;87;93;15;52;77;1226;1000.6
Grado;2010;1;9;14.4;5.2;7.0;9.4;82;88;94;14;50;94;2242;996.8
Grado;2010;1;10;0.2;5.0;7.2;9.5;86;89;95;10;28;107;6273;1005.4
Grado;2010;1;11;0.0;4.1;6.0;7.9;82;88;92;7;23;239;3539;1011.8
Grado;2010;1;12;0.0;4.1;5.7;8.7;71;85;93;6;19;80;4452;1013.0
Grado;2010;1;13;0.0;3.2;4.9;7.4;74;79;84;6;17;29;3176;1008.9
Grado;2010;1;14;0.0;2.8;4.5;7.0;66;74;77;7;17;26;3413;1010.1
Grado;2010;1;15;0.0;3.6;5.1;8.4;56;67;76;12;44;71;6453;1017.8
Grado;2010;1;16;0.0;2.7;4.2;7.2;48;60;68;11;37;43;6949;1023.6
Grado;2010;1;17;0.2;1.7;3.3;5.7;66;77;84;5;17;60;4244;1020.8
Grado;2010;1;18;0.0;0.1;3.1;7.2;70;83;90;5;13;0;6396;1022.5
Grado;2010;1;19;0.0;0.5;3.0;5.1;86;90;93;6;18;232;6461;1020.7
Grado;2010;1;20;0.0;-0.3;2.9;6.8;75;89;96;5;15;324;7389;1015.8
Grado;2010;1;21;0.0;0.2;3.3;6.8;70;82;91;6;18;0;7390;1017.3
Grado;2010;1;22;0.0;1.0;3.1;5.9;51;62;73;17;42;83;5340;1022.3
Grado;2010;1;23;0.0;-0.4;1.7;4.9;51;63;73;9;41;74;7703;1023.7
Grado;2010;1;24;0.0;-1.0;1.0;3.9;55;67;75;10;32;56;6288;1024.7
Grado;2010;1;25;0.0;0.0;0.9;2.1;58;64;68;14;32;73;2431;1027.2
Grado;2010;1;26;0.0;-0.2;1.1;2.8;53;62;70;12;42;48;2645;1025.6
Grado;2010;1;27;0.0;-1.6;0.7;4.1;29;45;55;13;39;51;8254;1020.1
Grado;2010;1;28;0.0;-2.2;0.0;4.0;45;58;69;5;15;326;4626;1004.0
Grado;2010;1;29;1.2;-2.4;1.1;4.5;64;73;82;6;15;321;3759;996.8
Grado;2010;1;30;2.2;1.0;2.7;5.2;71;89;94;12;59;66;2337;989.4
Grado;2010;1;31;0.4;0.4;3.0;5.5;47;63;80;13;56;78;5348;999.4
Grado;2010;2;1;0.0;-1.5;2.2;5.6;42;64;76;6;13;3;9174;1010.7
Grado;2010;2;2;0.0;-1.9;2.3;6.1;53;71;81;8;26;251;9239;1017.1
Grado;2010;2;3;0.0;2.1;3.6;6.1;66;74;83;4;13;89;5275;1016.7
Grado;2010;2;4;0.0;1.2;3.7;5.9;83;86;88;6;13;5;1994;1021.0
Grado;2010;2;5;29.6;4.2;6.1;8.3;84;92;96;8;26;81;1393;1013.2
Grado;2010;2;6;6.2;4.8;6.2;8.3;64;80;96;19;44;85;1860;1004.1
Grado;2010;2;7;0.0;1.1;4.8;8.7;51;65;81;16;44;84;9855;1008.7
Grado;2010;2;8;0.0;-0.2;2.2;7.0;47;61;70;12;35;83;10078;1007.2
Grado;2010;2;9;0.0;0.1;2.2;4.1;69;77;80;6;17;35;1387;1003.8
Grado;2010;2;10;7.2;1.7;3.3;4.8;61;77;88;15;43;37;2445;993.9
Grado;2010;2;11;0.0;3.4;4.2;4.9;61;64;67;15;60;80;2344;994.4
Grado;2010;2;12;0.0;2.6;4.9;8.0;53;62;71;15;41;97;10123;1000.9
Grado;2010;2;13;0.0;2.7;4.6;7.9;53;68;81;5;14;250;8413;1007.5
