stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Lauzacco;2012;1;1;0;-0.1;3.4;10.4;48;76;91;7;16;3;-;-
Lauzacco;2012;1;2;15.8;0.2;3.9;7.7;76;90;99;8;19;15;-;-
Lauzacco;2012;1;3;20.8;5.2;7.8;9.8;74;88;99;9;34;0;-;-
Lauzacco;2012;1;4;0;1.5;5.2;8.3;87;94;99;5;15;15;-;-
Lauzacco;2012;1;5;0.2;1.1;3.4;5.5;82;91;99;5;23;121;-;-
Lauzacco;2012;1;6;0;0.3;7.5;12;9;40;95;14;46;314;-;-
Lauzacco;2012;1;7;0;-0.2;3.6;8.9;20;63;86;6;18;92;-;-
Lauzacco;2012;1;8;0;-1;3.1;9.4;50;74;89;6;19;196;-;-
Lauzacco;2012;1;9;0;-1.8;4;11.1;38;65;82;5;15;223;-;-
Lauzacco;2012;1;10;0;0.2;4.2;11.8;45;69;90;7;15;27;-;-
Lauzacco;2012;1;11;0;-0.8;3.6;10.8;47;73;88;5;15;36;-;-
Lauzacco;2012;1;12;0;-0.6;3.4;10.7;39;75;93;6;13;35;-;-
Lauzacco;2012;1;13;0;0.5;4.1;9.9;30;78;94;8;19;357;-;-
Lauzacco;2012;1;14;0;-2.1;2.9;10.2;-;47;70;9;19;36;-;-
Lauzacco;2012;1;15;0;-4.7;0.6;9.1;-;44;70;6;18;34;-;-
Lauzacco;2012;1;16;0;-2.6;0.8;7;13;44;62;7;15;30;-;-
Lauzacco;2012;1;17;0;-3.6;-0.2;6;21;65;86;6;14;15;-;-
Lauzacco;2012;1;18;0;-5.1;-0.3;6.6;53;79;99;4;12;234;-;-
Lauzacco;2012;1;19;0;-2.4;0.1;2.3;95;98;99;2;9;270;-;-
Lauzacco;2012;1;20;0;-1.4;1.5;5.8;80;95;99;5;19;32;-;-
Lauzacco;2012;1;21;0.2;-0.4;3.8;10.8;38;70;99;7;22;28;-;-
Lauzacco;2012;1;22;0;-0.9;3.7;10.7;63;84;99;5;14;58;-;-
Lauzacco;2012;1;23;0.2;-0.8;4.8;11.8;73;91;99;5;15;9;-;-
Lauzacco;2012;1;24;0.2;-2;6.2;12.5;27;64;99;9;34;327;-;-
Lauzacco;2012;1;25;0;-3.9;2.6;11.2;18;49;73;5;22;248;-;-
Lauzacco;2012;1;26;0;-4.2;0.8;7.8;33;56;74;6;17;260;-;-
Lauzacco;2012;1;27;0;-2.1;1.7;7.7;32;54;69;7;21;37;-;-
Lauzacco;2012;1;28;0;-1.3;2.4;7.2;33;53;68;9;28;59;-;-
Lauzacco;2012;1;29;0;0.9;2.6;5.4;38;48;57;24;47;57;-;-
Lauzacco;2012;1;30;0;-0.5;2.2;5.6;25;36;52;26;49;41;-;-
Lauzacco;2012;1;31;0;-1.6;-0.3;1.6;26;37;46;24;49;44;-;-
Lauzacco;2012;2;1;0;-1.3;0.5;2.3;26;34;44;35;68;53;-;-
Lauzacco;2012;2;2;0;-3.7;-1.2;0.2;25;31;38;29;60;36;-;-
Lauzacco;2012;2;3;0;-4.2;-3.2;-1.4;28;34;39;31;64;47;-;-
Lauzacco;2012;2;4;0;-4.5;-2.7;-0.9;24;42;52;19;50;55;-;-
Lauzacco;2012;2;5;0;-6.3;-4.5;-0.8;34;44;49;19;40;36;-;-
Lauzacco;2012;2;6;0;-6.6;-2.8;0.9;34;43;51;21;49;53;-;-
Lauzacco;2012;2;7;0;-2.3;0.6;4.4;41;46;55;13;42;103;-;-
Lauzacco;2012;2;8;0;-3.2;2.7;8.3;13;28;44;18;63;90;-;-
Lauzacco;2012;2;9;0;-3.5;0.2;6;21;31;40;17;42;64;-;-
Lauzacco;2012;2;10;0;-3.6;-1.8;0.1;32;37;42;26;57;60;-;-
Lauzacco;2012;2;11;0;-5.4;-2.2;-0.4;33;41;52;26;58;80;-;-
Lauzacco;2012;2;12;0;-3.8;-1;3.1;34;46;83;18;56;90;-;-
Lauzacco;2012;2;13;0;-5.6;-0.8;4.4;38;54;66;6;16;29;-;-
Lauzacco;2012;2;14;0;-6.9;-1.5;6.4;32;58;76;7;21;217;-;-
Lauzacco;2012;2;15;0;-6.1;-0.9;4.4;48;69;79;8;30;112;-;-
Lauzacco;2012;2;16;0;-6.2;2.3;11;30;59;90;8;22;255;-;-
Lauzacco;2012;2;17;0;-3.7;2.6;10.7;34;56;76;6;16;214;-;-
Lauzacco;2012;2;18;0;-2.3;3.1;11.7;30;66;96;6;18;168;-;-
Lauzacco;2012;2;19;4.8;-0.5;4.6;9;43;72;98;6;14;17;-;-
Lauzacco;2012;2;20;14.8;3.6;5.2;6.7;54;70;98;19;42;36;-;-
Lauzacco;2012;2;21;0;1.9;5.6;10.4;39;57;74;14;39;59;-;-
Lauzacco;2012;2;22;0;0.6;7.4;14.4;29;53;75;11;27;117;-;-
Lauzacco;2012;2;23;0;1;8.1;15.2;36;62;88;8;24;34;-;-
Lauzacco;2012;2;24;0;2.1;8.6;17.5;32;66;91;5;15;230;-;-
Lauzacco;2012;2;25;0;1.8;8.3;17.5;31;68;90;5;14;166;-;-
Lauzacco;2012;2;26;0;1.6;9.5;17.3;19;53;92;12;40;80;-;-
Lauzacco;2012;2;27;0;-1;5.2;11.4;32;61;92;7;28;228;-;-
Lauzacco;2012;2;28;0;-1.6;4.3;11.8;45;76;98;6;22;253;-;-
Lauzacco;2012;2;29;0;-0.1;7.5;17;38;72;95;6;16;212;-;-
Lauzacco;2012;3;1;0;3;10.6;19.3;38;66;89;7;22;259;-;-
Lauzacco;2012;3;2;0;3.7;10.8;19.6;40;70;95;6;17;191;-;-
Lauzacco;2012;3;3;0;3.7;11.5;19.8;39;67;95;7;21;39;-;-
Lauzacco;2012;3;4;0;8.2;11.7;16.8;30;51;69;6;19;48;-;-
Lauzacco;2012;3;5;0;8.4;11.2;14.9;16;34;47;11;37;70;-;-
Lauzacco;2012;3;6;0;5.4;9.8;14.3;19;35;43;21;47;77;-;-
Lauzacco;2012;3;7;0;1.9;7;13.5;24;41;81;8;23;62;-;-
Lauzacco;2012;3;8;0;0.7;7.6;14.6;24;47;78;7;24;91;-;-
Lauzacco;2012;3;9;0;6.7;10.5;16.1;20;34;44;12;34;89;-;-
Lauzacco;2012;3;10;0;3;9.2;16.4;20;37;57;8;31;85;-;-
Lauzacco;2012;3;11;0;1.7;8.9;17;25;43;66;7;23;220;-;-
Lauzacco;2012;3;12;0;1.8;7.8;16.4;40;61;84;8;26;46;-;-
Lauzacco;2012;3;13;0;0.9;9;17.9;37;66;91;8;26;238;-;-
Lauzacco;2012;3;14;0;2.3;9.5;18;39;67;90;6;18;249;-;-
Lauzacco;2012;3;15;0;3;11;20.8;31;63;90;6;18;227;-;-
Lauzacco;2012;3;16;0;4.4;11.1;20;29;59;83;8;21;164;-;-
Lauzacco;2012;3;17;0;2.9;10;16.5;57;76;93;8;26;193;-;-
Lauzacco;2012;3;18;1.2;7.9;11;14.9;65;87;99;9;25;180;-;-
Lauzacco;2012;3;19;3;8.4;12.1;17.3;55;87;98;8;39;197;-;-
Lauzacco;2012;3;20;0;7.3;13.1;20.6;27;63;96;7;17;25;-;-
Lauzacco;2012;3;21;0;8.1;14.7;22.8;29;54;82;7;19;10;-;-
Lauzacco;2012;3;22;0;7.4;14.5;22.5;31;58;82;8;23;194;-;-
Lauzacco;2012;3;23;0;6.1;13.1;21.6;30;60;84;7;19;194;-;-
Lauzacco;2012;3;24;0;4.9;14;22.8;24;55;85;6;18;136;-;-
Lauzacco;2012;3;25;3.2;8.5;15.3;23;28;54;80;8;41;69;-;-
Lauzacco;2012;3;26;0;6.3;14.4;23.2;23;52;80;9;30;239;-;-
Lauzacco;2012;3;27;0;6.1;13.9;21.5;22;41;78;6;21;235;-;-
Lauzacco;2012;3;28;0;6.3;14.4;24.4;23;52;71;7;26;225;-;-
Lauzacco;2012;3;29;0;7.4;13.9;21.5;30;63;85;9;22;138;-;-
Lauzacco;2012;3;30;0;6.6;14;22.9;26;60;86;8;21;220;-;-
Lauzacco;2012;3;31;0;5.8;12.5;19.2;46;69;90;8;28;196;-;-
Lauzacco;2012;4;1;0;6.8;11.5;16.2;24;47;94;14;43;79;-;-
Lauzacco;2012;4;2;0;2.7;9.9;17.4;25;51;78;8;26;196;-;-
Lauzacco;2012;4;3;9.8;6.3;10.4;12.5;57;82;99;6;17;129;-;-
Lauzacco;2012;4;4;5.4;11;13.9;19;66;92;99;5;14;234;-;-
Lauzacco;2012;4;5;61.8;11.2;13.2;14.7;92;97;99;8;23;324;-;-
Lauzacco;2012;4;6;16.2;11.3;13.6;17.9;72;90;99;9;30;193;-;-
Lauzacco;2012;4;7;20;8.7;11.7;14.1;82;93;99;9;34;356;-;-
Lauzacco;2012;4;8;0.2;1.4;8.4;11.1;35;64;85;10;39;98;-;-
Lauzacco;2012;4;9;0;-0.9;5.2;10.4;34;62;92;6;25;240;-;-
Lauzacco;2012;4;10;0;1.7;8.2;14.7;40;70;94;6;24;203;-;-
Lauzacco;2012;4;11;18.4;7.1;8.4;10.2;79;93;99;8;26;159;-;-
Lauzacco;2012;4;12;0;6.2;10.4;15.3;56;83;99;8;25;195;-;-
Lauzacco;2012;4;13;3.4;7.8;11.1;14.1;66;83;95;9;23;350;-;-
Lauzacco;2012;4;14;0;9.5;13.3;17.7;42;66;90;9;28;79;-;-
Lauzacco;2012;4;15;6.6;10.4;11.6;13;79;87;99;5;13;327;-;-
Lauzacco;2012;4;16;1;8.4;13;18.9;49;74;99;5;25;109;-;-
Lauzacco;2012;4;17;0;6.6;12.3;17.9;28;48;68;7;26;204;-;-
Lauzacco;2012;4;18;6.4;6.4;11.9;17.3;33;59;98;7;25;202;-;-
Lauzacco;2012;4;19;9.4;8.2;10.9;15.9;54;85;98;9;29;123;-;-
Lauzacco;2012;4;20;13.4;8.9;11;15.7;66;90;98;9;29;182;-;-
Lauzacco;2012;4;21;3.6;8.3;12.2;16.1;61;81;95;10;28;154;-;-
Lauzacco;2012;4;22;11.2;8;11.4;16.4;72;87;94;10;48;304;-;-
Lauzacco;2012;4;23;2.2;7.5;10.8;15;62;81;98;8;27;183;-;-
Lauzacco;2012;4;24;22.4;8.5;11.3;15.1;70;87;99;12;46;186;-;-
Lauzacco;2012;4;25;0;6.8;12.7;17.1;57;78;96;10;30;170;-;-
Lauzacco;2012;4;26;0;8.5;14.1;19.8;39;73;97;8;27;183;-;-
Lauzacco;2012;4;27;0;9.1;15.2;22.3;48;75;97;5;17;211;-;-
Lauzacco;2012;4;28;0;12;21.1;31;22;57;95;8;26;159;-;-
Lauzacco;2012;4;29;0;13.1;18.6;25;39;70;96;6;21;223;-;-
Lauzacco;2012;4;30;0;14.1;20.1;26.4;32;65;95;6;21;286;-;-
Lauzacco;2012;5;1;0;13.3;20.6;27.9;30;62;91;6;41;230;-;-
Lauzacco;2012;5;2;0;13.4;19.2;24.8;43;69;96;7;27;178;-;-
Lauzacco;2012;5;3;0;10.8;16.8;22.9;36;69;94;9;26;174;-;-
Lauzacco;2012;5;4;3.8;10.8;16.2;22.5;51;78;97;9;28;163;-;-
Lauzacco;2012;5;5;9.4;12.1;15.5;20.3;49;82;98;10;39;161;-;-
Lauzacco;2012;5;6;7.4;12.7;15;18.9;70;88;99;9;33;293;-;-
Lauzacco;2012;5;7;1.8;12.4;15.8;21.2;47;81;99;7;24;8;-;-
Lauzacco;2012;5;8;0;12.3;17.5;23.5;41;69;97;6;24;195;-;-
Lauzacco;2012;5;9;0;12.5;18.4;24.7;35;66;91;6;22;180;-;-
Lauzacco;2012;5;10;0;12.7;21.3;29;28;61;94;6;19;204;-;-
Lauzacco;2012;5;11;0;15.1;22.3;29.2;34;62;94;7;21;180;-;-
Lauzacco;2012;5;12;7.4;15.2;22.3;29.5;40;65;95;9;42;33;-;-
Lauzacco;2012;5;13;3.2;7.6;13.3;16.4;46;60;91;15;42;56;-;-
Lauzacco;2012;5;14;0;5.9;13.7;20.4;22;54;94;8;30;264;-;-
Lauzacco;2012;5;15;0;7.8;14.5;21.4;32;58;84;8;26;237;-;-
Lauzacco;2012;5;16;29.6;5.4;9;11.9;77;87;99;8;34;328;-;-
Lauzacco;2012;5;17;0.2;3.3;12.8;20;22;64;99;6;24;198;-;-
Lauzacco;2012;5;18;0;6.8;13.6;19.8;35;62;90;6;24;216;-;-
Lauzacco;2012;5;19;0;8.1;16.3;24;32;65;96;7;24;208;-;-
Lauzacco;2012;5;20;0.4;10;16.8;22.1;39;69;97;6;22;169;-;-
Lauzacco;2012;5;21;14.4;11.8;14.7;18.8;72;93;99;7;22;7;-;-
Lauzacco;2012;5;22;1;10;14.7;18.7;65;87;99;5;17;187;-;-
Lauzacco;2012;5;23;1;13.4;17.7;23.5;66;86;98;5;26;82;-;-
Lauzacco;2012;5;24;0;15.2;22.8;29.9;27;57;85;7;28;357;-;-
Lauzacco;2012;5;25;0;13;21;28.2;20;52;88;7;22;230;-;-
Lauzacco;2012;5;26;0;13.5;19.2;25;32;55;83;6;25;153;-;-
Lauzacco;2012;5;27;0;12.4;19.2;25.7;25;55;84;6;26;308;-;-
Lauzacco;2012;5;28;0;13.9;18.6;25.9;35;66;92;8;38;105;-;-
Lauzacco;2012;5;29;0;14;20.3;27;37;64;91;6;23;179;-;-
Lauzacco;2012;5;30;1.8;13.4;21.2;28.1;36;65;94;8;26;194;-;-
Lauzacco;2012;5;31;3.4;16;21.1;27.1;39;70;97;7;21;229;-;-
Lauzacco;2012;6;1;0.6;16.5;20.2;24.8;64;80;93;8;26;166;-;-
Lauzacco;2012;6;2;0;18.4;20.3;22.9;62;79;92;5;14;122;-;-
Lauzacco;2012;6;3;0.2;17.6;20.2;23.3;73;85;96;7;27;151;-;-
Lauzacco;2012;6;4;32.4;15.2;18.1;21.8;62;86;99;8;37;154;-;-
Lauzacco;2012;6;5;1;13.2;19.3;25.1;40;71;99;7;22;286;-;-
Lauzacco;2012;6;6;0;15.4;19.6;25.6;41;65;93;6;16;164;-;-
Lauzacco;2012;6;7;0;14.3;20.2;25.1;49;77;96;6;21;186;-;-
Lauzacco;2012;6;8;0;16.2;21.6;25.9;50;73;96;5;21;198;-;-
Lauzacco;2012;6;9;0.8;16;20;24.5;60;81;94;7;20;66;-;-
Lauzacco;2012;6;10;6.8;16.7;20.4;24.4;50;74;98;10;35;166;-;-
Lauzacco;2012;6;11;9;15.3;18.5;22.7;66;86;99;6;32;301;-;-
Lauzacco;2012;6;12;23.2;13.4;16.9;22.1;62;89;99;7;22;145;-;-
Lauzacco;2012;6;13;10.4;12.1;17.3;24;49;79;98;9;39;320;-;-
Lauzacco;2012;6;14;0;11.9;19.1;25.5;34;68;96;7;20;170;-;-
Lauzacco;2012;6;15;0;13.2;20.7;27.1;42;72;96;5;17;179;-;-
Lauzacco;2012;6;16;0;16.1;22.8;29.8;43;71;95;5;15;213;-;-
Lauzacco;2012;6;17;0;16.8;24.5;31.4;40;67;93;5;17;224;-;-
Lauzacco;2012;6;18;0;19.6;26.5;33.5;26;59;89;6;17;182;-;-
Lauzacco;2012;6;19;0;18.3;26.5;34.3;26;60;89;5;14;31;-;-
Lauzacco;2012;6;20;0;20.2;26.9;33.6;41;64;85;6;20;202;-;-
Lauzacco;2012;6;21;0;21.3;26.8;33;34;64;83;8;25;145;-;-
Lauzacco;2012;6;22;0;21.2;26.7;31.7;32;50;84;9;30;343;-;-
