stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Lignano Sabbiadoro;2013;1;1;0;2.7;4.8;8.8;67;90;100;7;16;238;6992;1019.6
Lignano Sabbiadoro;2013;1;2;1.1;5.3;7.3;9.3;78;96;100;16;24;25;1349;1024.2
Lignano Sabbiadoro;2013;1;3;0;6.2;8.5;12.2;51;77;94;9;25;24;6661;1034.1
Lignano Sabbiadoro;2013;1;4;0;5;6.7;9;82;93;100;8;20;30;3355;1029.5
Lignano Sabbiadoro;2013;1;5;0;3.8;6.4;10.7;68;93;100;5;27;29;6197;1021.9
Lignano Sabbiadoro;2013;1;6;0;5.1;7.8;14.1;66;89;100;6;16;28;6641;1021.7
Lignano Sabbiadoro;2013;1;7;0;4.7;7.7;14.4;56;84;100;12;42;96;7267;1023.1
Lignano Sabbiadoro;2013;1;8;0;6.3;7.5;8.5;71;79;90;11;23;60;1211;1026.6
Lignano Sabbiadoro;2013;1;9;0.1;6.4;8;9.8;85;91;96;7;14;40;1347;1023
Lignano Sabbiadoro;2013;1;10;0.1;4.5;7.4;8.5;94;98;100;6;17;247;1613;1014.1
Lignano Sabbiadoro;2013;1;11;0;2.4;6.3;9.2;72;94;100;10;30;96;3156;1010.9
Lignano Sabbiadoro;2013;1;12;0;5.1;6.3;7.7;59;70;80;15;35;95;3279;1017.2
Lignano Sabbiadoro;2013;1;13;8.9;3;5.4;7.7;79;90;99;25;50;57;1862;1013.4
Lignano Sabbiadoro;2013;1;14;15.2;2;4.3;5.8;84;93;100;28;51;61;2499;1010.4
Lignano Sabbiadoro;2013;1;15;0.6;4.4;5.7;8.4;88;94;100;19;36;46;3216;1008.9
Lignano Sabbiadoro;2013;1;16;2.6;3.2;5.4;11.8;65;82;96;35;79;89;1228;999.4
Lignano Sabbiadoro;2013;1;17;1.6;2.2;5.3;7.3;54;74;100;27;59;105;4834;1001
Lignano Sabbiadoro;2013;1;18;0;3;5.9;8.4;47;65;87;8;23;356;3195;1002.2
Lignano Sabbiadoro;2013;1;19;2.2;0.8;4.2;7.3;65;86;99;13;26;13;4897;1003.3
Lignano Sabbiadoro;2013;1;20;21.7;4.3;6.7;9.6;99;100;100;13;26;43;248;999.6
Lignano Sabbiadoro;2013;1;21;4.6;7.2;7.9;9.8;99;100;100;8;20;243;2383;996.2
Lignano Sabbiadoro;2013;1;22;5.9;6.1;7.5;9.3;81;93;100;18;37;47;6106;1002.4
Lignano Sabbiadoro;2013;1;23;0;6.2;7.5;9.1;77;87;96;15;30;28;7897;1008.4
Lignano Sabbiadoro;2013;1;24;1.1;6.5;8;12.3;63;75;92;27;61;89;3163;1002.4
Lignano Sabbiadoro;2013;1;25;0;2.6;5.5;7.1;53;64;75;42;63;97;8879;1009.4
Lignano Sabbiadoro;2013;1;26;0;0.4;2.5;5.4;46;64;75;22;42;94;9302;1014
Lignano Sabbiadoro;2013;1;27;0;0.7;3.4;6.1;56;71;79;11;24;44;8734;1016.3
Lignano Sabbiadoro;2013;1;28;2.5;3.3;4.7;5.7;77;88;97;13;31;17;1392;1018.1
Lignano Sabbiadoro;2013;1;29;0;0.7;2.8;4.6;94;99;100;6;18;214;3205;1024.4
Lignano Sabbiadoro;2013;1;30;0;2.7;5;6.7;94;98;100;8;22;308;1628;1022.1
Lignano Sabbiadoro;2013;1;31;0;5.4;6.2;7;83;91;98;6;19;235;2560;1021.8
Lignano Sabbiadoro;2013;2;1;0.1;5.4;6.9;8.4;86;92;98;10;22;-;2921;1011.8
Lignano Sabbiadoro;2013;2;2;78.4;4.4;6.9;8.9;78;97;100;25;73;23;374;994.6
Lignano Sabbiadoro;2013;2;3;0;5.4;8.1;9.9;31;60;92;11;46;323;8902;1011
Lignano Sabbiadoro;2013;2;4;0;4.2;6.7;9.3;51;81;96;9;23;58;10375;1017.7
