stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monfalcone;2006;6;16;0.0;16.6;-;22.1;-;-;-;-;-;-;-;-
Monfalcone;2006;6;17;0.0;16.2;-;23.1;-;-;-;-;-;-;-;-
Monfalcone;2006;6;18;0.0;17.9;-;23.4;-;-;-;-;-;-;-;-
Monfalcone;2006;6;21;0.0;18.7;-;24.6;-;-;-;-;-;-;-;-
Monfalcone;2006;6;22;0.0;18.6;-;24.9;-;-;-;-;-;-;-;-
Monfalcone;2006;6;23;0.0;20.6;-;27.4;-;-;-;-;-;-;-;-
Monfalcone;2006;6;24;0.0;22.0;-;27.5;-;-;-;-;-;-;-;-
Monfalcone;2006;6;25;0.0;21.3;-;26.5;-;-;-;-;-;-;-;-
Monfalcone;2006;6;26;0.0;20.6;-;26.3;-;-;-;-;-;-;-;-
Monfalcone;2006;6;28;0.0;19.8;-;27.0;-;-;-;-;-;-;-;-
Monfalcone;2006;6;29;0.0;21.4;-;28.2;-;-;-;-;-;-;-;-
Monfalcone;2006;6;30;0.0;24.2;-;28.4;-;-;-;-;-;-;-;-
Monfalcone;2006;7;1;1.2;19.4;-;26.0;-;-;-;-;-;-;-;-
Monfalcone;2006;7;2;0.0;20.3;-;25.1;-;-;-;-;-;-;-;-
Monfalcone;2006;7;3;0.0;19.1;-;24.6;-;-;-;-;-;-;-;-
Monfalcone;2006;7;4;0.0;21.7;-;26.0;-;-;-;-;-;-;-;-
Monfalcone;2006;7;5;0.0;19.6;-;24.7;-;-;-;-;-;-;-;-
Monfalcone;2006;7;6;0.0;17.5;-;23.7;-;-;-;-;-;-;-;-
Monfalcone;2006;7;7;2.4;18.6;-;22.7;-;-;-;-;-;-;-;-
Monfalcone;2006;7;8;0.0;17.8;-;24.2;-;-;-;-;-;-;-;-
Monfalcone;2006;7;9;0.0;17.8;-;25.1;-;-;-;-;-;-;-;-
Monfalcone;2006;7;10;5.8;19.5;-;26.3;-;-;-;-;-;-;-;-
Monfalcone;2006;7;11;0.2;19.6;-;27.2;-;-;-;-;-;-;-;-
Monfalcone;2006;7;12;0.0;21.3;-;27.9;-;-;-;-;-;-;-;-
Monfalcone;2006;7;13;1.2;21.4;-;27.1;-;-;-;-;-;-;-;-
Monfalcone;2006;7;14;0.0;20.0;-;27.6;-;-;-;-;-;-;-;-
Monfalcone;2006;7;15;0.0;24.5;-;27.8;-;-;-;-;-;-;-;-
Monfalcone;2006;7;16;0.0;23.1;-;26.4;-;-;-;-;-;-;-;-
Monfalcone;2006;7;17;0.0;21.0;-;25.5;-;-;-;-;-;-;-;-
Monfalcone;2006;7;18;0.0;17.2;-;25.8;-;-;-;-;-;-;-;-
Monfalcone;2006;7;19;0.0;17.2;-;25.4;-;-;-;-;-;-;-;-
Monfalcone;2006;7;20;0.0;17.9;-;25.7;-;-;-;-;-;-;-;-
Monfalcone;2006;7;21;0.0;18.5;-;28.2;-;-;-;-;-;-;-;-
Monfalcone;2006;7;22;0.0;23.3;-;29.5;-;-;-;-;-;-;-;-
Monfalcone;2006;7;23;0.0;21.9;-;29.2;-;-;-;-;-;-;-;-
Monfalcone;2006;7;24;0.8;21.8;-;28.7;-;-;-;-;-;-;-;-
Monfalcone;2006;7;25;1.2;22.5;-;27.9;-;-;-;-;-;-;-;-
Monfalcone;2006;7;26;0.0;22.8;-;28.6;-;-;-;-;-;-;-;-
Monfalcone;2006;7;27;0.0;22.6;-;28.4;-;-;-;-;-;-;-;-
Monfalcone;2006;7;28;5.4;19.5;-;27.6;-;-;-;-;-;-;-;-
Monfalcone;2006;7;29;0.0;19.4;-;25.4;-;-;-;-;-;-;-;-
Monfalcone;2006;7;30;0.0;20.5;-;27.7;-;-;-;-;-;-;-;-
Monfalcone;2006;7;31;0.0;20.2;-;26.3;-;-;-;-;-;-;-;-
Monfalcone;2006;8;1;27.4;20.3;-;22.7;-;-;-;-;-;-;-;-
Monfalcone;2006;8;2;0.0;20.4;-;22.5;-;-;-;-;-;-;-;-
Monfalcone;2006;8;3;32.8;18.0;-;21.1;-;-;-;-;-;-;-;-
