stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Lussari;2017;1;1;0.0;-2.8;0.4;3.2;-;-;-;10;28;212;6299;823.1
Monte Lussari;2017;1;2;0.0;-6.4;-2.6;0.9;-;-;-;14;33;89;6253;821.2
Monte Lussari;2017;1;3;0.0;-9.8;-7.2;-4.8;-;-;-;17;44;82;6372;824.4
Monte Lussari;2017;1;4;0.0;-8.1;-3.4;1.3;-;-;-;23;54;259;5293;815.5
Monte Lussari;2017;1;5;0.0;-16.2;-11.9;-7.5;-;-;-;33;75;29;4412;818.6
Monte Lussari;2017;1;6;0.0;-18.7;-17.1;-15.5;-;-;-;31;73;113;6633;827.1
Monte Lussari;2017;1;7;0.0;-18;-12.9;-8.4;-;-;-;18;42;86;6692;827.4
Monte Lussari;2017;1;8;0.0;-8.9;-7.3;-5.4;-;-;-;16;45;37;3562;825.5
Monte Lussari;2017;1;9;0.0;-10.6;-7.2;-5.3;-;-;-;13;32;92;6621;824.4
Monte Lussari;2017;1;10;0.0;-16;-13.8;-9.8;-;-;-;15;34;87;3296;817.1
Monte Lussari;2017;1;11;0.0;-16.9;-12;-6.9;-;-;-;13;48;182;6273;819.2
Monte Lussari;2017;1;12;1.4;-10.2;-5;-0.4;-;-;-;17;51;264;6427;819
Monte Lussari;2017;1;13;13.5;-11.6;-7.2;-2.3;-;-;-;15;62;74;856;805.6
Monte Lussari;2017;1;14;0.2;-11.5;-8.7;-5.6;-;-;-;18;45;271;6869;814
Monte Lussari;2017;1;15;0.0;-12.7;-10.5;-9;-;-;-;15;38;93;6539;821
Monte Lussari;2017;1;16;0.0;-14.7;-13.6;-12.1;-;-;-;33;65;72;3476;820.4
Monte Lussari;2017;1;17;0.0;-14.6;-13.3;-12.2;-;-;-;36;73;97;1596;826.4
Monte Lussari;2017;1;18;0.0;-14.2;-12.8;-11.1;-;-;-;35;68;85;1481;831.9
Monte Lussari;2017;1;19;0.0;-13.5;-11.1;-9.3;-;-;-;26;53;75;3127;835.3
Monte Lussari;2017;1;20;0.0;-11.1;-8.7;-6.7;-;-;-;18;33;90;7644;836.5
Monte Lussari;2017;1;21;0.0;-7.5;-5.1;-2.4;-;-;-;11;27;88;7846;835.1
Monte Lussari;2017;1;22;0.0;-7;-5.2;-0.5;-;-;-;10;23;118;7950;833.8
Monte Lussari;2017;1;23;0.0;-5.1;-3;-0.7;-;-;-;6;20;237;8030;829.4
Monte Lussari;2017;1;24;0.0;-9.1;-5.2;-2.6;-;-;-;18;42;90;8313;827.5
Monte Lussari;2017;1;25;0.0;-8.4;-6;-3.3;-;-;-;21;36;107;8449;831.3
Monte Lussari;2017;1;26;0.0;-13.8;-7;-1.5;-;-;-;14;34;100;8662;831.4
Monte Lussari;2017;1;27;0.0;-2.3;-0.6;2;-;-;-;7;25;211;8746;830.6
Monte Lussari;2017;1;28;0.0;-3;-0.9;1.4;-;-;-;9;26;253;8794;828.1
Monte Lussari;2017;1;29;0.0;-2.5;-1;1.4;-;-;-;8;18;101;8872;829.6
Monte Lussari;2017;1;30;0.0;-6.1;-2.7;0.4;-;-;-;12;33;198;8742;826.7
Monte Lussari;2017;1;31;1.1;-5.6;-3.5;-1.9;-;-;-;8;27;285;2390;823.3
Monte Lussari;2017;2;1;0.1;-3.7;-1.5;0;-;-;-;-;21;288;3800;821.7
Monte Lussari;2017;2;2;0.2;-1.4;-0.4;0.6;-;-;-;-;58;270;1656;821.8
Monte Lussari;2017;2;3;6.9;-2.2;-0.8;1;-;-;-;-;49;263;1606;814.6
Monte Lussari;2017;2;4;4.1;-3.4;-2.1;0.2;-;-;-;-;21;260;3853;810.1
Monte Lussari;2017;2;5;7.1;-4.8;-2.7;0.8;-;-;-;8;34;83;3742;812.2
Monte Lussari;2017;2;6;8.9;-5.4;-3.8;-2.5;-;-;-;21;38;91;440;814.7
Monte Lussari;2017;2;7;0.2;-5.9;-4.9;-2.8;-;-;-;8;19;17;2373;820.5
Monte Lussari;2017;2;8;0.0;-8;-6.4;-4.7;-;-;-;11;27;91;3285;824.9
Monte Lussari;2017;2;9;0.0;-9.8;-8.6;-7.4;-;-;-;13;32;72;1000;828.7
Monte Lussari;2017;2;10;0.0;-9.1;-6.9;-4.3;-;-;-;-;-;-;2856;828.1
Monte Lussari;2017;2;11;1.7;-7;-3;-0.4;-;-;-;-;-;-;4460;825.6
Monte Lussari;2017;2;12;0.0;-4.3;-2.6;-0.5;-;-;-;-;-;-;8834;828.8
Monte Lussari;2017;2;13;0.0;-8;-6.5;-1.7;-;-;-;6;18;56;2245;832.8
Monte Lussari;2017;2;14;0.0;-8;-1.6;2.8;-;-;-;-;13;211;10344;835.7
Monte Lussari;2017;2;15;0.0;1.8;5.7;9.3;-;-;-;5;19;115;11571;837
Monte Lussari;2017;2;16;0.0;0.1;2.7;4.7;-;-;-;13;37;94;11616;833.2
Monte Lussari;2017;2;17;0.7;-5.1;-0.8;2.8;-;-;-;10;35;37;8884;825.6
Monte Lussari;2017;2;18;0.0;-5.3;-3.6;-1.5;-;-;-;13;28;97;9357;827.4
Monte Lussari;2017;2;19;0.0;-5.7;-3;-0.7;-;-;-;7;22;272;12387;827.8
Monte Lussari;2017;2;20;0.0;-3.1;-1.3;1.7;-;-;-;12;43;249;11083;826.4
