stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Matajur;2018;1;1;-;-3.3;-1.3;0.8;100;100;100;-;-;-;771;830.3
Monte Matajur;2018;1;2;-;-3.6;-2.3;-1.2;37;75;100;-;-;-;5914;831.1
Monte Matajur;2018;1;3;-;-6.7;-3.4;-1;37;68;100;28;89;320;3464;828.6
Monte Matajur;2018;1;4;-;-3.8;-1.7;0.1;47;68;100;18;64;306;4116;827.4
Monte Matajur;2018;1;5;-;-1;0.8;2.2;100;100;100;24;44;242;1621;829.9
Monte Matajur;2018;1;6;-;1;1.8;2.4;100;100;100;31;60;260;1884;833.6
Monte Matajur;2018;1;7;-;0.9;2.2;3.3;100;100;100;28;65;167;1355;840.5
Monte Matajur;2018;1;8;-;1.9;2.6;3.4;100;100;100;31;66;169;1937;843.8
Monte Matajur;2018;1;9;-;-1.2;1.2;3.5;100;100;100;48;111;157;384;839.0
Monte Matajur;2018;1;10;-;-3.3;-2;-0.7;100;100;100;-;-;-;5612;-
Monte Matajur;2018;1;11;-;-3.7;-2.2;-0.5;77;93;100;-;-;-;6690;-
Monte Matajur;2018;1;12;-;-3.4;-2.4;-0.4;69;79;95;13;38;35;7659;-
Monte Matajur;2018;1;13;-;-5.2;-3.2;0.5;79;95;100;15;45;79;6616;-
Monte Matajur;2018;1;14;-;-7;-5.8;-3.6;97;100;100;18;44;92;4789;-
Monte Matajur;2018;1;15;-;-7.3;-6.4;-5.3;92;100;100;13;35;269;7274;-
Monte Matajur;2018;1;16;-;-6.5;-4.7;-3.5;100;100;100;-;-;-;1610;-
Monte Matajur;2018;1;17;-;-6.5;-4.2;-1.6;26;75;100;-;96;326;6068;-
Monte Matajur;2018;1;18;-;-6.5;-5.3;-3.8;44;74;100;25;49;263;8238;-
Monte Matajur;2018;1;19;-;-5.4;-3.5;-1.3;38;83;100;19;51;352;2144;-
Monte Matajur;2018;1;20;-;-5.7;-5;-2.9;44;91;100;15;42;253;6408;-
Monte Matajur;2018;1;21;-;-7.2;-4.5;0.4;42;67;100;18;75;312;7770;-
Monte Matajur;2018;1;22;-;-7.5;-5.8;0.7;34;61;82;18;52;271;8240;-
Monte Matajur;2018;1;23;-;-3.1;-0.5;2.8;55;79;100;15;53;322;8615;-
Monte Matajur;2018;1;24;-;-3.3;-1.9;1.7;66;83;98;18;56;297;8619;-
Monte Matajur;2018;1;25;-;-4;-1.6;1;63;85;100;24;46;274;8334;-
Monte Matajur;2018;1;26;-;-1.8;-1;-0.5;100;100;100;-;-;-;2044;836.5
Monte Matajur;2018;1;27;-;-2.2;-1.1;0.6;80;98;100;-;-;-;5969;842.3
Monte Matajur;2018;1;28;-;-1.6;3.8;7.2;34;54;94;10;25;333;9248;845.9
Monte Matajur;2018;1;29;-;3.1;6.3;10.4;32;46;66;11;33;0;9586;843.0
Monte Matajur;2018;1;30;-;-0.9;3;6.9;36;68;100;32;64;113;9915;839.2
Monte Matajur;2018;1;31;-;-3.7;-2.8;-0.6;100;100;100;-;-;-;4134;833.9
Monte Matajur;2018;2;1;-;-2.4;-1.6;-0.5;100;100;100;-;-;-;1210;822.2
Monte Matajur;2018;2;2;-;-6.4;-4.6;-1.7;-;-;-;-;-;-;2059;820.3
