stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Zoncolan;2003;1;1;0.0;-2.9;0.0;3.8;63;79;90;9;21;300;6916;817.6
Monte Zoncolan;2003;1;2;0.0;-3.9;-2.4;-0.4;56;84;98;9;30;235;3502;813.3
Monte Zoncolan;2003;1;3;0.0;-1.5;1.3;3.7;16;39;98;18;52;239;6414;810.4
Monte Zoncolan;2003;1;4;0.0;-3.5;-1.0;3.1;24;56;94;6;18;294;6531;809.2
Monte Zoncolan;2003;1;5;4.0;-8.4;-6.3;-3.0;60;83;94;24;62;39;1757;808.6
Monte Zoncolan;2003;1;6;0.6;-8.2;-7.6;-6.7;70;84;87;9;22;31;1832;812.7
Monte Zoncolan;2003;1;7;0.8;-12.2;-10.6;-7.6;80;82;86;19;57;45;1775;809.4
Monte Zoncolan;2003;1;8;0.0;-12.5;-9.8;-6.4;68;81;85;8;25;73;3905;814.9
Monte Zoncolan;2003;1;9;1.8;-9.7;-7.7;-5.2;55;79;87;31;55;62;1624;811.7
Monte Zoncolan;2003;1;10;0.6;-11.5;-8.4;-6.1;77;83;87;14;39;68;4635;815.6
Monte Zoncolan;2003;1;11;0.0;-14.1;-11.8;-9.7;25;64;82;47;74;44;8398;823.5
Monte Zoncolan;2003;1;12;0.0;-13.7;-8.9;-6.1;7;12;36;32;69;51;8239;827.3
Monte Zoncolan;2003;1;13;-;-7.7;-4.0;0.4;8;16;50;9;28;52;4761;828.4
Monte Zoncolan;2003;1;14;0.0;-1.1;1.0;2.5;45;50;54;9;23;229;2781;833.0
Monte Zoncolan;2003;1;15;0.0;-1.6;1.8;8.2;16;39;55;9;20;187;7853;831.8
Monte Zoncolan;2003;1;16;0.0;-3.5;-1.6;0.5;37;50;70;14;34;43;8047;829.6
Monte Zoncolan;2003;1;17;-;-4.6;-2.6;0.9;42;55;71;6;16;198;8109;830.0
Monte Zoncolan;2003;1;18;-;-5.1;-3.7;-1.9;33;53;69;15;31;57;8503;824.6
Monte Zoncolan;2003;1;19;0.0;-5.1;-3.1;-0.5;26;47;62;8;19;48;8343;821.1
Monte Zoncolan;2003;1;20;0.0;-4.9;-2.0;2.4;8;31;55;15;37;62;7880;819.1
Monte Zoncolan;2003;1;21;-;-5.9;-3.3;-1.5;52;81;95;19;48;174;1986;812.7
Monte Zoncolan;2003;1;22;7.8;-3.2;-2.5;-0.9;93;94;96;10;28;258;2952;809.9
Monte Zoncolan;2003;1;23;0.0;-6.5;-3.6;-0.1;76;90;97;8;30;229;6724;818.8
Monte Zoncolan;2003;1;24;0.0;-6.6;-3.2;-1.1;37;49;75;28;72;218;9279;827.7
Monte Zoncolan;2003;1;25;0.0;-7.5;-5.3;-3.4;50;65;74;38;71;194;7856;831.1
Monte Zoncolan;2003;1;26;0.0;-8.7;-5.6;-2.2;39;56;75;26;51;159;9383;827.9
Monte Zoncolan;2003;1;27;0.0;-6.9;-0.2;6.0;11;36;56;12;45;92;7066;826.1
Monte Zoncolan;2003;1;28;0.0;-5.2;1.7;6.1;9;35;61;17;43;70;5493;818.2
Monte Zoncolan;2003;1;29;0.0;-7.6;-5.6;-2.7;11;37;57;11;27;31;8472;806.9
Monte Zoncolan;2003;1;30;-;-9.5;-7.0;-3.2;17;47;80;10;30;179;7565;804.3
Monte Zoncolan;2003;1;31;-;-11.3;-9.1;-7.0;21;47;80;23;48;162;8682;809.1
Monte Zoncolan;2003;2;1;0.0;-14.0;-11.4;-9.2;17;34;59;27;47;133;10386;819.0
Monte Zoncolan;2003;2;2;0.0;-14.1;-9.5;-4.7;7;29;53;8;27;193;9833;817.3
Monte Zoncolan;2003;2;3;0.0;-12.2;-9.0;-5.7;31;52;84;10;40;307;9750;812.0
Monte Zoncolan;2003;2;4;2.6;-8.8;-6.6;-4.9;31;78;87;25;89;7;1684;798.4
Monte Zoncolan;2003;2;5;-;-9.9;-8.2;-6.0;10;23;36;21;62;357;9967;803.6
Monte Zoncolan;2003;2;6;0.0;-10.4;-8.4;-5.0;11;24;46;19;43;327;11142;814.7
Monte Zoncolan;2003;2;7;0.0;-11.2;-7.7;-3.2;7;11;20;10;28;343;9946;823.4
