stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Musi;2019;1;1;0;-1.7;0.5;5.4;59;77;87;-;-;-;3254;-
Musi;2019;1;2;0;-2.8;1.8;7;-;-;-;-;-;-;2903;-
Musi;2019;1;3;0;-1.8;0.7;3.8;-;-;-;-;-;-;3970;-
Musi;2019;1;4;0;-4.8;-2;1.8;-;-;-;-;-;-;3412;-
Musi;2019;1;5;0;-5.1;-1.3;7.7;-;-;-;-;-;-;4243;-
Musi;2019;1;6;0;-2.4;4.2;10.9;-;-;-;-;-;-;4664;-
Musi;2019;1;7;0;-1.5;0.5;3;-;-;-;-;-;-;2245;-
Musi;2019;1;8;0.6;-2.4;-0.1;1.9;-;-;-;-;-;-;989;-
Musi;2019;1;9;0;-2.4;1.8;6.7;-;-;-;-;-;-;3964;-
Musi;2019;1;10;0;-1.6;1.9;7;27;37;50;-;-;-;3688;-
Musi;2019;1;11;0;-3.8;-1;3.2;34;64;79;-;-;-;4310;-
Musi;2019;1;12;0;-3.9;-0.5;3.9;39;63;76;-;-;-;3841;-
Musi;2019;1;13;0;-2.7;0.8;6.4;42;69;86;-;-;-;3778;-
Musi;2019;1;14;0.8;-0.6;4.7;10.8;28;57;100;-;-;-;4523;-
Musi;2019;1;15;0;-1.7;1.9;7.3;28;44;67;-;-;-;4492;-
Musi;2019;1;16;0;-1.7;1.6;6.5;61;77;98;-;-;-;3382;-
Musi;2019;1;17;18.8;1.7;2.8;3.8;72;92;100;-;-;-;343;-
Musi;2019;1;18;13;-0.3;2.3;5.2;50;75;100;-;-;-;2551;-
Musi;2019;1;19;0;-3.3;-0.6;1.4;63;71;83;-;-;-;3587;-
Musi;2019;1;20;0;-5;-2.1;3.8;58;80;89;-;-;-;4868;-
Musi;2019;1;21;0;-3.5;-0.7;4;53;71;82;-;-;-;3784;-
Musi;2019;1;22;0;-2.1;0.7;4.9;42;55;74;-;-;-;4917;-
Musi;2019;1;23;0.6;-3.6;-2;0.1;68;85;94;-;-;-;1600;-
Musi;2019;1;24;0;-3.7;1.5;6.5;41;54;78;-;-;-;5297;-
Musi;2019;1;25;0;-3;1;5.2;30;42;72;-;-;-;5461;-
Musi;2019;1;26;0;-4.7;-0.8;6.1;28;59;78;-;-;-;5521;-
Musi;2019;1;27;26;-2.7;0.3;3.9;40;73;100;-;-;-;1771;-
Musi;2019;1;28;11;-1.9;1.4;4.5;42;85;100;-;-;-;1897;-
Musi;2019;1;29;0.4;-3.2;-0.2;6.8;36;81;98;-;-;-;4769;-
Musi;2019;1;30;0;-4.7;-1.2;3.7;55;80;91;-;-;-;5076;-
Musi;2019;1;31;0;-2.5;0.1;4.4;54;74;86;-;-;-;3765;-
Musi;2019;2;1;159;-0.8;4.1;9.9;85;97;100;-;-;-;337;-
Musi;2019;2;2;95.4;2.7;6.4;9.3;87;97;100;-;-;-;456;-
Musi;2019;2;3;26.4;2.2;5.1;8.5;41;79;100;-;-;-;4196;-
Musi;2019;2;4;0;-0.2;3.7;8;35;47;66;-;-;-;7230;-
Musi;2019;2;5;0;-1.1;4.9;12.7;25;48;73;-;-;-;7545;-
Musi;2019;2;6;0;-0.1;3.8;11.3;32;52;74;-;-;-;7729;-
Musi;2019;2;7;0;-0.8;3.7;11.4;26;52;66;-;-;-;7948;-
Musi;2019;2;8;0.2;1.3;5.1;11;40;66;85;-;-;-;5459;-
Musi;2019;2;9;0;-0.1;2.9;8.6;49;77;91;-;-;-;6645;-
Musi;2019;2;10;44;0.6;2.9;6;79;95;100;-;-;-;-;-
Musi;2019;2;11;10.8;0.4;4.3;9.2;28;58;100;-;-;-;4908;-
Musi;2019;2;12;0;-1.1;4;9.6;18;38;61;-;-;-;8242;-
Musi;2019;2;13;0;-1.9;2.1;8.9;43;70;87;-;-;-;8668;-
Musi;2019;2;14;0;0.5;4.7;12.5;41;67;83;-;-;-;6005;-
Musi;2019;2;15;0;1.7;6.3;14.3;35;58;77;-;-;-;9426;-
Musi;2019;2;16;0;0.9;6.5;14.5;30;59;82;-;-;-;9615;-
Musi;2019;2;17;0;4.1;8.3;16.4;30;48;63;-;-;-;9870;-
Musi;2019;2;18;0;2.2;7;14.2;33;53;71;-;-;-;-;-
Musi;2019;2;19;0;-1.6;3.6;9.6;63;79;100;-;-;-;8959;-
Musi;2019;2;20;0;-1.8;3.1;10;61;85;100;-;-;-;7093;-
Musi;2019;2;21;0;2.9;7.4;13.9;37;58;73;-;-;-;9871;-
Musi;2019;2;22;0;3.5;9.3;16.7;28;47;72;-;-;-;11758;-
Musi;2019;2;23;0;-2.7;2;7.4;32;60;85;-;-;-;11132;-
Musi;2019;2;24;0;-5;1;8.1;33;53;71;-;-;-;9502;-
Musi;2019;2;25;0;0.4;7.9;19.3;28;50;72;-;-;-;11098;-
Musi;2019;2;26;0;5.6;10.3;17.2;30;42;56;-;-;-;6946;-
Musi;2019;2;27;0;4.3;11;21.4;13;45;84;-;-;-;11918;-
Musi;2019;2;28;0;3.2;7.8;16;25;57;78;-;-;-;11500;-
Musi;2019;3;1;0;2.2;6.2;11.6;43;62;76;-;-;-;7799;-
Musi;2019;3;2;0;3.5;7.4;14.4;37;59;75;-;-;-;11487;-
Musi;2019;3;3;0;2.8;7.4;14.4;38;62;82;-;-;-;11700;-
Musi;2019;3;4;30.4;1.6;5.7;9.3;66;84;100;-;-;-;4734;-
Musi;2019;3;5;0;0.7;6.1;13.7;30;79;100;-;-;-;12493;-
Musi;2019;3;6;0;2;6.6;12.8;47;79;100;-;-;-;7854;-
Musi;2019;3;7;46.2;5.7;7.8;9.5;69;92;100;-;-;-;-;-
Musi;2019;3;8;5.4;5.2;8.2;11.5;53;85;100;-;-;-;4486;-
Musi;2019;3;9;0;4.5;7.5;11.5;70;91;100;-;-;-;5943;-
Musi;2019;3;10;0;4;6.3;7.6;86;93;100;-;-;-;641;-
Musi;2019;3;11;0.2;3.1;6.6;14.4;18;49;100;-;-;-;6718;-
Musi;2019;3;12;0;-0.4;5;12.1;18;40;62;-;-;-;15775;-
Musi;2019;3;13;0;-0.3;3.5;9.8;36;65;91;-;-;-;8090;-
Musi;2019;3;14;0;-1;3.6;9.7;52;79;96;-;-;-;12068;-
Musi;2019;3;15;0;0.3;6.2;13.8;33;67;95;-;-;-;14127;-
Musi;2019;3;16;0;2.2;7.6;14.1;56;77;90;-;-;-;8802;-
Musi;2019;3;17;23.4;5.2;7.4;8.9;83;92;100;-;-;-;865;-
Musi;2019;3;18;75.8;0.5;4.3;8.2;42;79;100;-;-;-;1902;-
Musi;2019;3;19;0;0.3;4.7;9.6;34;51;73;-;-;-;10585;-
Musi;2019;3;20;0;-0.4;4.8;11;30;50;75;-;-;-;17514;-
Musi;2019;3;21;0;1.3;7.4;15.4;17;39;59;-;-;-;17371;-
Musi;2019;3;22;0;3.3;9.8;18.4;22;42;60;-;-;-;17363;-
Musi;2019;3;23;0;5.8;12.2;21;24;45;67;-;-;-;17745;-
Musi;2019;3;24;0;6.9;13.1;20.9;30;49;69;-;-;-;17550;-
Musi;2019;3;25;21.6;4;9.9;17.7;36;59;94;-;-;-;14990;-
Musi;2019;3;26;0;1.4;7;13.3;21;39;77;-;-;-;18309;-
Musi;2019;3;27;0;3.5;6.9;11.5;30;41;59;-;-;-;12405;-
Musi;2019;3;28;0;3.9;8.3;14.3;36;46;63;-;-;-;18856;-
Musi;2019;3;29;0;2.8;8.8;16.2;32;54;76;-;-;-;18332;-
Musi;2019;3;30;0;3.2;10.2;18.1;29;52;77;-;-;-;18774;-
Musi;2019;3;31;0;5.5;12.5;20.5;26;42;58;-;-;-;18879;-
Musi;2019;4;1;0;7.1;12.9;20.1;29;47;65;-;-;-;11278;-
Musi;2019;4;2;0;6.3;12.4;19.6;30;52;72;-;-;-;15079;-
Musi;2019;4;3;4;6.3;8.6;11;66;79;100;-;-;-;2395;-
Musi;2019;4;4;73.8;6.6;8.4;10.3;82;93;100;-;-;-;857;-
Musi;2019;4;5;19.6;4.9;7.2;11;76;97;100;-;-;-;3929;-
Musi;2019;4;6;0.2;4.2;6.7;9.8;75;93;100;-;-;-;4953;-
Musi;2019;4;7;0;3.1;8.4;13.9;47;77;100;-;-;-;11859;-
Musi;2019;4;8;0.4;6;9.5;14.2;56;79;95;-;-;-;6284;-
Musi;2019;4;9;2.2;7.2;10.4;15.9;52;84;100;-;-;-;7584;-
Musi;2019;4;10;5;7.9;10.4;14.5;57;87;100;-;-;-;6423;-
Musi;2019;4;11;4.4;6.8;9.1;11.5;59;82;100;-;-;-;6561;-
Musi;2019;4;12;0;5.4;7.8;11.9;61;86;97;-;-;-;12051;-
Musi;2019;4;13;0.4;4.2;6.4;9.2;73;89;100;-;-;-;6477;-
Musi;2019;4;14;1.2;4.3;7.4;11;55;75;100;-;-;-;7998;-
Musi;2019;4;15;0;7.1;10.7;16.3;34;56;79;-;-;-;13104;-
Musi;2019;4;16;0;4.1;9.6;16.5;36;62;85;-;-;-;16165;-
Musi;2019;4;17;0;4.9;11.7;18.3;36;58;80;-;-;-;18046;-
Musi;2019;4;18;0;5.6;11.3;18;38;62;81;-;-;-;11933;-
Musi;2019;4;19;0;5.1;12;19.6;29;56;82;-;-;-;20673;-
Musi;2019;4;20;0;7.1;14;21.6;29;49;73;-;-;-;21790;-
Musi;2019;4;21;0;7.3;13.5;21.1;29;51;74;-;-;-;21172;-
Musi;2019;4;22;0;5.5;11.6;18.1;31;60;85;-;-;-;18177;-
Musi;2019;4;23;123;8.5;9.2;11;76;98;100;-;-;-;2173;-
Musi;2019;4;24;142.6;9.5;11.4;12.6;91;99;100;-;-;-;781;-
Musi;2019;4;25;0.2;10.5;13.2;17.6;63;88;100;-;-;-;12774;-
Musi;2019;4;26;35.8;5.3;10.5;15.2;79;96;100;-;-;-;2246;-
Musi;2019;4;27;0.2;4;9.8;17;34;76;100;-;-;-;17509;-
Musi;2019;4;28;43.6;3;4.8;8.5;77;96;100;-;-;-;1109;-
Musi;2019;4;29;2;3.8;7.8;15.6;34;80;100;-;-;-;14728;-
Musi;2019;4;30;2.4;3.8;8.2;13.2;52;84;100;-;-;-;8345;-
Musi;2019;5;1;0;5.8;12.2;18.6;38;68;98;-;-;-;22566;-
Musi;2019;5;2;4.2;6.9;11.4;18.7;50;83;100;-;-;-;11324;-
Musi;2019;5;3;30;6.5;8.4;11.7;75;96;100;-;-;-;5674;-
Musi;2019;5;4;11.2;6.9;8.3;10.9;87;98;100;-;-;-;4156;-
Musi;2019;5;5;51.4;2.6;5.3;7.9;47;71;99;-;-;-;3885;-
Musi;2019;5;6;0.2;3.7;8.4;15.6;30;46;89;-;-;-;21512;-
Musi;2019;5;7;0;0.5;6.5;11.8;56;76;96;-;-;-;15761;-
Musi;2019;5;8;17;5.9;7.6;10.3;58;88;100;-;-;-;4034;-
Musi;2019;5;9;23.8;6.4;8.7;14.8;61;93;100;-;-;-;10351;-
Musi;2019;5;10;0.4;5.8;11.2;18.1;58;88;100;-;-;-;18977;-
Musi;2019;5;11;16;7.5;11.6;17.2;67;90;100;-;-;-;6495;-
Musi;2019;5;12;47.8;6.6;10.2;12.5;41;63;98;-;-;-;5409;-
Musi;2019;5;13;0;9.5;11.2;14.2;36;47;57;-;-;-;8983;-
Musi;2019;5;14;0;5.1;10.1;15.4;24;40;79;-;-;-;20536;-
Musi;2019;5;15;0.4;4.6;8.3;11.8;50;71;97;-;-;-;8276;-
Musi;2019;5;16;0.2;6.1;9.7;13.4;60;80;100;-;-;-;9942;-
Musi;2019;5;17;0;6.8;10.5;14.7;58;80;96;-;-;-;9416;-
Musi;2019;5;18;15.8;7;10.7;16.1;56;90;100;-;-;-;6471;-
Musi;2019;5;19;12;8.1;10.6;14.4;78;97;100;-;-;-;5548;-
Musi;2019;5;20;106;7.6;9.6;12;92;100;100;-;-;-;3566;-
Musi;2019;5;21;45.4;9.3;10.1;11.4;100;100;100;-;-;-;4803;-
Musi;2019;5;22;0;8.6;12.6;19.2;65;90;100;-;-;-;14781;-
Musi;2019;5;23;0;8;14;20.1;58;85;100;-;-;-;19171;-
Musi;2019;5;24;0;10.2;15.8;23;49;79;100;-;-;-;24897;-
Musi;2019;5;25;21.2;10.6;14.8;21.9;54;86;100;-;-;-;9588;-
Musi;2019;5;26;33.4;9.5;13.7;21.7;57;90;100;-;-;-;12526;-
Musi;2019;5;27;23.6;10.9;11.9;14.1;92;99;100;-;-;-;4306;-
Musi;2019;5;28;79;9.1;12.2;17.2;81;98;100;-;-;-;5890;-
Musi;2019;5;29;37.8;8.2;10.9;14.6;55;81;100;-;-;-;7527;-
Musi;2019;5;30;0.2;7.7;11.9;17;50;84;100;-;-;-;11293;-
Musi;2019;5;31;0;6.1;14.1;22.7;43;70;100;-;-;-;24646;-
Musi;2019;6;1;0;10.6;17.5;26.1;39;62;84;-;-;-;20276;-
Musi;2019;6;2;3.8;13.3;18.4;27.3;37;71;96;-;-;-;22239;-
Musi;2019;6;3;0;13.2;19.2;26.7;45;74;97;-;-;-;21142;-
Musi;2019;6;4;13.2;13.5;18;27.4;51;84;100;-;-;-;21561;-
Musi;2019;6;5;3.2;13.5;17.2;20.5;78;92;100;-;-;-;10270;-
Musi;2019;6;6;6.4;12.5;15.2;18.2;82;98;100;-;-;-;5044;-
Musi;2019;6;7;0.2;11.7;16.4;23.2;58;86;100;-;-;-;16921;-
Musi;2019;6;8;0;13.3;18.3;25.8;50;76;94;-;-;-;20663;-
Musi;2019;6;9;0;13.1;20.1;28.8;38;66;95;-;-;-;24764;-
Musi;2019;6;10;0.2;16.2;20.9;29.5;38;72;90;-;-;-;13725;-
Musi;2019;6;11;0.4;18.1;22.3;29.5;49;73;91;-;-;-;17918;-
Musi;2019;6;12;0;17.1;21.7;27.4;48;74;93;-;-;-;15655;-
Musi;2019;6;13;0;13.4;19.6;26.8;50;73;96;-;-;-;17436;-
Musi;2019;6;14;0;12.6;21.1;29.8;29;55;75;-;-;-;24021;-
Musi;2019;6;15;0;16.2;22.5;30.4;34;59;82;-;-;-;17373;-
Musi;2019;6;16;0;15.1;22.9;30.6;34;58;84;-;-;-;25344;-
Musi;2019;6;17;0;15.3;21.3;28.5;40;59;86;-;-;-;18695;-
Musi;2019;6;18;2.4;14.6;19.3;28.3;42;80;100;-;-;-;19971;-
Musi;2019;6;19;8.2;15.1;19;27.5;52;86;100;-;-;-;15111;-
