stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pala d'Altei;2009;1;1;-;-6.8;-1.9;0.8;56;82;100;12;35;208;3643;849.8
Pala d'Altei;2009;1;2;-;-7.1;-2.2;1.7;56;67;99;6;24;74;7072;846.6
Pala d'Altei;2009;1;3;-;-8.8;-6;-2.7;10;57;100;9;45;31;7384;846.7
Pala d'Altei;2009;1;4;-;-4.5;-2.5;1.7;9;15;30;5;14;295;7665;843.2
Pala d'Altei;2009;1;5;-;-6.7;-5.1;-3.4;18;28;35;6;19;50;5944;841
Pala d'Altei;2009;1;6;-;-7.6;-6.2;-4.6;20;49;88;9;23;74;3422;843.3
Pala d'Altei;2009;1;7;-;-5.8;-3.5;-2.1;75;88;100;6;19;20;2699;844.1
Pala d'Altei;2009;1;8;-;-4.9;-3.6;-2.2;24;63;97;10;27;52;3871;849.6
Pala d'Altei;2009;1;9;-;-6;-1.4;1.7;9;14;47;10;24;78;7921;852.9
Pala d'Altei;2009;1;10;-;-1.1;0.8;4.2;10;22;38;10;24;78;7862;853.4
Pala d'Altei;2009;1;11;-;-0.8;1.9;5.1;9;12;22;11;26;75;6826;856.9
Pala d'Altei;2009;1;12;-;-0.4;1.5;5.8;9;15;30;8;19;27;8190;855.4
Pala d'Altei;2009;1;13;-;-2.2;0.2;5;11;34;100;7;24;69;6444;848.6
Pala d'Altei;2009;1;14;-;-3.2;-1;0.5;53;94;100;17;37;308;1727;840.5
Pala d'Altei;2009;1;15;-;-3.3;-2.3;-1.2;99;99;99;-;-;-;1307;846.8
Pala d'Altei;2009;1;16;-;-3.1;-1.9;-0.4;99;99;99;5;19;292;9511;850.2
Pala d'Altei;2009;1;17;-;-5.2;-2.3;0.3;94;98;100;4;16;163;6838;849.8
Pala d'Altei;2009;1;18;-;-5.9;-2.6;-1.1;92;99;100;10;53;241;2133;844.5
Pala d'Altei;2009;1;19;-;-3.8;-1.1;0.9;71;96;100;17;48;234;4835;839.5
Pala d'Altei;2009;1;20;-;-0.1;1;2.1;99;99;99;37;85;170;874;833.2
Pala d'Altei;2009;1;21;-;0.1;0.9;1.9;99;99;99;11;64;145;1941;834.2
Pala d'Altei;2009;1;22;-;-3.3;-1.5;0.2;99;99;99;-;-;-;1669;835.8
Pala d'Altei;2009;1;23;-;-4.6;-2.2;2.4;14;86;100;-;44;210;4916;825.9
Pala d'Altei;2009;1;24;-;-5.2;-3;-0.8;74;94;100;-;44;327;6398;822.6
Pala d'Altei;2009;1;25;-;-4.5;-1.9;1.1;38;62;93;12;58;9;7821;829.2
