stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Palazzolo dello Stella;1991;1;1;10.2;-0.4;-;6.3;-;-;-;-;19;-;485;-
Palazzolo dello Stella;1991;1;2;0;-3.2;-;6.5;-;-;-;-;12;-;4084;-
Palazzolo dello Stella;1991;1;3;0;0.7;-;5.9;-;-;-;-;8;-;2809;-
Palazzolo dello Stella;1991;1;4;0;2.8;-;6.2;-;-;-;-;7;-;2336;-
Palazzolo dello Stella;1991;1;5;11.8;0.9;-;5.8;-;-;-;-;49;-;1007;-
Palazzolo dello Stella;1991;1;6;0;-2.3;-;6.8;-;-;-;-;10;-;5058;-
Palazzolo dello Stella;1991;1;7;1.2;-1.0;-;3.6;-;-;-;-;10;-;1167;-
Palazzolo dello Stella;1991;1;8;1.4;3.1;-;7.1;-;-;-;-;8;-;2591;-
Palazzolo dello Stella;1991;1;9;0;4.1;-;6.3;-;-;-;-;9;-;1778;-
Palazzolo dello Stella;1991;1;10;0;4.4;-;6.5;-;-;-;-;9;-;1834;-
Palazzolo dello Stella;1991;1;11;0;5.0;-;6.2;-;-;-;-;4;-;1101;-
Palazzolo dello Stella;1991;1;12;0;5.2;-;7.4;-;-;-;-;8;-;1929;-
Palazzolo dello Stella;1991;1;13;0;6.2;-;9.5;-;-;-;-;28;-;2173;-
Palazzolo dello Stella;1991;1;14;0.8;5.1;-;8.1;-;-;-;-;55;-;3183;-
Palazzolo dello Stella;1991;1;15;0;-1.7;-;8.1;-;-;-;-;42;-;7596;-
Palazzolo dello Stella;1991;1;16;0.2;-3.9;-;4.1;-;-;-;-;44;-;8170;-
Palazzolo dello Stella;1991;1;17;0;-6.8;-;5;-;-;-;-;28;-;8317;-
Palazzolo dello Stella;1991;1;18;0;-6.5;-;8.6;-;-;-;-;17;-;8366;-
Palazzolo dello Stella;1991;1;19;0;-6.5;-;10.4;-;-;-;-;10;-;8662;-
Palazzolo dello Stella;1991;1;20;0;-5.6;-;7.7;-;-;-;-;15;-;7424;-
Palazzolo dello Stella;1991;1;21;0;-5.7;-;7.8;-;-;-;-;19;-;8108;-
Palazzolo dello Stella;1991;1;22;0;-6.1;-;6;-;-;-;-;17;-;8400;-
Palazzolo dello Stella;1991;1;23;0;-7.1;-;8.4;-;-;-;-;15;-;9115;-
Palazzolo dello Stella;1991;1;24;0;-6.2;-;7.4;-;-;-;-;19;-;9221;-
Palazzolo dello Stella;1991;1;25;0;-4.1;-;8.6;-;-;-;-;21;-;8869;-
Palazzolo dello Stella;1991;1;26;0;-5.7;-;8;-;-;-;-;10;-;9368;-
Palazzolo dello Stella;1991;1;27;0;-6.7;-;8;-;-;-;-;24;-;9877;-
Palazzolo dello Stella;1991;1;28;0;-6.7;-;7.2;-;-;-;-;22;-;9422;-
Palazzolo dello Stella;1991;1;29;0;-7.2;-;6.4;-;-;-;-;14;-;10145;-
Palazzolo dello Stella;1991;1;30;0;-4.6;-;6.8;-;-;-;-;18;-;9715;-
Palazzolo dello Stella;1991;1;31;0;-6.1;-;4.1;-;-;-;-;15;-;9530;-
Palazzolo dello Stella;1991;2;1;0;-7.7;-;1.2;-;-;-;-;31;-;9713;-
Palazzolo dello Stella;1991;2;2;0;-10.8;-;3.9;-;-;-;-;17;-;10367;-
