stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pradamano;2009;1;1;11.4;-4.3;0.4;5.5;76;97;99;-;-;-;-;-
Pradamano;2009;1;2;0.2;-5.8;0.0;4.2;62;79;99;12;48;47;-;-
Pradamano;2009;1;3;0.0;-5.1;0.2;2.6;40;54;67;18;51;87;-;-
Pradamano;2009;1;4;0.0;-9.8;-3.1;5.3;25;66;92;4;15;66;-;-
Pradamano;2009;1;5;0.0;-8.4;-0.9;7.7;11;58;92;5;35;49;-;-
Pradamano;2009;1;6;0.0;-0.5;0.8;2.5;31;42;54;19;42;68;-;-
Pradamano;2009;1;7;0.0;-1.1;1.5;4.0;51;61;80;7;25;38;-;-
Pradamano;2009;1;8;0.0;-1.2;1.2;3.9;41;49;68;24;53;36;-;-
Pradamano;2009;1;9;0.0;-6.8;-0.1;5.2;13;37;80;14;50;57;-;-
Pradamano;2009;1;10;0.0;-7.4;2.3;8.0;12;32;84;17;43;67;-;-
Pradamano;2009;1;11;0.0;-2.3;5.5;10.9;6;16;42;14;38;56;-;-
Pradamano;2009;1;12;0.0;-3.9;3.5;10.1;11;29;58;12;32;74;-;-
Pradamano;2009;1;13;0.0;-6.3;2.4;12.1;24;57;83;6;32;52;-;-
Pradamano;2009;1;14;16.2;2.8;4.3;6.7;47;79;90;15;41;25;-;-
Pradamano;2009;1;15;0.0;-1.7;4.7;7.2;64;72;97;10;30;40;-;-
Pradamano;2009;1;16;0.2;-2.9;3.1;8.4;52;75;99;10;30;40;-;-
Pradamano;2009;1;17;0.0;-3.0;2.3;6.7;55;77;97;-;13;33;-;-
Pradamano;2009;1;18;2.6;1.4;3.2;4.7;85;94;99;-;-;-;-;-
Pradamano;2009;1;19;8.4;3.3;4.8;7.0;91;98;99;-;-;-;-;-
Pradamano;2009;1;20;69.4;6.3;9.5;10.8;96;98;99;8;27;126;-;-
Pradamano;2009;1;21;11.2;7.0;8.4;9.8;92;97;99;8;26;37;-;-
Pradamano;2009;1;22;0.0;-0.2;7.1;10.4;60;80;99;8;25;36;-;-
Pradamano;2009;1;23;5.8;-1.8;3.1;7.9;72;92;99;5;19;201;-;-
Pradamano;2009;1;24;0.2;-0.2;4.3;7.4;74;89;99;5;22;12;-;-
Pradamano;2009;1;25;0.0;1.7;6.9;9.7;44;61;85;7;24;70;-;-
Pradamano;2009;1;26;1.2;-0.2;5.6;10.6;44;68;88;6;23;51;-;-
Pradamano;2009;1;27;7.6;2.5;5.7;7.7;75;90;99;6;32;56;-;-
Pradamano;2009;1;28;0.0;2.7;5.4;12.0;43;86;99;2;15;168;-;-
Pradamano;2009;1;29;0.0;-0.4;5.3;10.7;57;86;99;0;12;221;-;-
Pradamano;2009;1;30;0.0;1.1;5.3;11.2;48;71;99;10;35;78;-;-
Pradamano;2009;1;31;0.0;2.1;3.5;5.7;46;55;67;14;31;56;-;-
Pradamano;2009;2;1;0.6;0.8;1.9;2.6;46;71;94;14;40;53;-;-
Pradamano;2009;2;2;27.8;1.8;3.5;4.7;75;85;91;21;44;51;-;-
Pradamano;2009;2;3;27.0;4.1;6.5;8.6;76;84;96;-;41;56;-;-
Pradamano;2009;2;4;0.0;2.8;7.3;9.9;77;91;99;-;-;-;-;-
Pradamano;2009;2;5;2.2;6.9;9.0;12.7;72;93;99;-;-;-;-;-
Pradamano;2009;2;6;43.4;8.3;9.8;12.9;86;97;99;-;-;-;-;-
Pradamano;2009;2;7;41.4;6.7;8.7;10.5;95;98;99;-;-;-;-;-
Pradamano;2009;2;8;30.0;3.9;6.3;7.9;91;98;99;-;-;-;-;-
Pradamano;2009;2;9;0.2;0.3;5.1;11.2;38;83;99;-;-;-;-;-
Pradamano;2009;2;10;6.2;0.6;4.7;7.3;93;98;99;-;-;-;-;-
Pradamano;2009;2;11;0.0;2.7;6.4;12.4;13;61;99;-;-;-;-;-
Pradamano;2009;2;12;0.0;-2.4;3.9;9.3;13;45;89;4;59;1;-;-
Pradamano;2009;2;13;0.0;-5.0;1.5;8.3;8;44;88;6;22;219;-;-
Pradamano;2009;2;14;0.0;-6.2;0.8;8.6;14;55;92;5;21;257;-;-
Pradamano;2009;2;15;0.0;-6.3;0.4;8.3;7;52;90;5;28;0;-;-
Pradamano;2009;2;16;0.0;-5.2;0.4;7.2;29;65;93;6;22;211;-;-
Pradamano;2009;2;17;0.0;-3.7;1.7;7.5;21;76;96;8;42;351;-;-
Pradamano;2009;2;18;0.0;-5.5;1.4;6.3;7;22;75;11;46;14;-;-
Pradamano;2009;2;19;0.0;-7.5;-1.1;6.7;18;57;84;5;21;224;-;-
Pradamano;2009;2;20;0.0;-6.8;-0.5;7.5;26;67;92;4;14;208;-;-
Pradamano;2009;2;21;0.0;-4.2;2.3;11.7;23;66;92;4;17;229;-;-
Pradamano;2009;2;22;0.0;-2.8;3.0;10.4;40;71;95;6;21;68;-;-
Pradamano;2009;2;23;0.0;-2.8;1.8;8.6;59;85;98;4;10;10;-;-
Pradamano;2009;2;24;0.4;-4.0;3.0;10.6;45;75;99;5;29;103;-;-
Pradamano;2009;2;25;0.0;-4.9;2.5;11.2;20;64;96;5;20;264;-;-
Pradamano;2009;2;26;0.0;-2.9;2.2;9.2;48;77;96;5;21;156;-;-
Pradamano;2009;2;27;0.2;-3.6;3.1;12.4;38;76;99;4;17;192;-;-
Pradamano;2009;2;28;0.0;-3.9;3.4;12.9;45;78;99;5;17;172;-;-
Pradamano;2009;3;1;0.6;-2.8;5.2;11.5;69;88;99;4;13;249;-;-
Pradamano;2009;3;2;0.2;4.5;8.0;12.5;74;94;99;3;12;225;-;-
Pradamano;2009;3;3;5.2;4.6;9.0;14.8;57;89;99;5;21;194;-;-
Pradamano;2009;3;4;48.2;6.8;7.9;8.9;93;97;99;10;36;56;-;-
Pradamano;2009;3;5;30.4;7.2;8.5;10.2;80;90;99;14;36;45;-;-
Pradamano;2009;3;6;5.6;2.0;7.6;12.1;51;83;99;8;25;316;-;-
Pradamano;2009;3;7;0.0;0.5;8.3;17.0;17;58;99;9;36;6;-;-
Pradamano;2009;3;8;0.0;-0.3;6.9;15.4;26;67;99;5;23;220;-;-
Pradamano;2009;3;9;2.2;-1.7;3.9;11.0;53;86;99;7;39;327;-;-
Pradamano;2009;3;10;0.0;-2.6;5.3;12.4;39;74;99;7;25;193;-;-
Pradamano;2009;3;11;0.0;-0.6;7.4;15.6;7;52;96;8;42;333;-;-
Pradamano;2009;3;12;0.0;-2.5;5.4;13.3;17;58;93;6;23;208;-;-
Pradamano;2009;3;13;0.0;-1.6;5.8;14.6;39;69;95;6;26;167;-;-
Pradamano;2009;3;14;0.0;-1.0;6.9;15.1;31;71;98;6;27;181;-;-
Pradamano;2009;3;15;0.0;-0.8;7.6;15.6;32;69;99;4;17;197;-;-
Pradamano;2009;3;16;0.0;-0.4;8.8;17.7;24;60;94;6;24;254;-;-
Pradamano;2009;3;17;0.0;1.0;8.1;15.2;38;69;96;7;25;88;-;-
Pradamano;2009;3;18;0.0;-1.3;6.9;17.6;29;74;99;8;37;206;-;-
Pradamano;2009;3;19;0.0;-1.3;7.0;13.3;25;60;97;9;33;122;-;-
Pradamano;2009;3;20;0.0;-2.9;4.9;10.5;8;34;90;11;45;82;-;-
Pradamano;2009;3;21;0.0;-3.3;6.3;12.1;6;18;64;12;40;9;-;-
Pradamano;2009;3;22;0.0;-6.2;3.9;13.7;13;47;84;7;26;227;-;-
Pradamano;2009;3;23;0.0;-3.0;5.6;14.4;20;54;86;6;26;180;-;-
Pradamano;2009;3;24;0.0;-1.4;6.8;14.9;6;55;90;12;46;354;-;-
Pradamano;2009;3;25;0.0;-0.5;6.3;13.0;28;63;88;10;32;174;-;-
Pradamano;2009;3;26;0.0;2.0;8.9;16.5;21;61;93;8;38;223;-;-
Pradamano;2009;3;27;1.2;2.0;9.3;14.4;53;75;96;9;39;156;-;-
Pradamano;2009;3;28;11.0;9.3;11.5;14.2;70;87;99;14;41;178;-;-
Pradamano;2009;3;29;122.0;9.2;10.4;11.4;96;98;99;9;28;311;-;-
Pradamano;2009;3;30;29.2;8.9;10.7;12.3;65;83;99;13;36;58;-;-
Pradamano;2009;3;31;6.6;9.3;11.7;14.2;51;63;87;21;41;80;-;-
Pradamano;2009;4;1;1.4;9.3;14.3;20.4;48;66;88;17;42;76;-;-
Pradamano;2009;4;2;23.6;10.5;13.2;15.1;59;81;99;12;39;33;-;-
Pradamano;2009;4;3;1.0;11.1;15.7;22.9;40;69;95;7;32;185;-;-
Pradamano;2009;4;4;0.0;10.8;14.7;20.6;50;83;99;6;24;162;-;-
Pradamano;2009;4;5;9.0;9.2;14.8;24.1;30;77;99;7;41;229;-;-
Pradamano;2009;4;6;0.0;7.7;16.1;24.3;23;63;96;6;20;249;-;-
Pradamano;2009;4;7;0.0;6.7;15.3;24.0;25;67;98;6;28;167;-;-
Pradamano;2009;4;8;0.0;7.3;14.2;21.2;49;78;99;7;30;163;-;-
Pradamano;2009;4;9;0.0;7.1;13.5;20.9;52;82;99;5;22;197;-;-
Pradamano;2009;4;10;0.2;5.9;13.5;21.6;39;78;99;5;24;222;-;-
Pradamano;2009;4;11;0.0;5.4;13.5;21.9;28;74;99;6;24;189;-;-
Pradamano;2009;4;12;0.0;5.9;14.2;22.9;22;65;99;6;23;230;-;-
Pradamano;2009;4;13;0.0;6.1;15.3;25.9;12;58;96;9;45;87;-;-
Pradamano;2009;4;14;0.0;5.1;15.4;24.2;17;60;99;7;29;236;-;-
Pradamano;2009;4;15;0.8;8.3;15.3;23.1;31;64;94;7;31;171;-;-
Pradamano;2009;4;16;4.0;7.8;14.1;19.4;43;74;95;7;35;187;-;-
Pradamano;2009;4;17;0.0;9.9;14.3;19.1;47;75;99;13;41;195;-;-
Pradamano;2009;4;18;0.0;7.2;12.9;19.5;38;74;99;9;37;290;-;-
Pradamano;2009;4;19;7.2;7.5;12.2;15.8;70;83;97;7;24;39;-;-
Pradamano;2009;4;20;6.8;11.3;14.2;18.3;60;85;99;7;22;67;-;-
Pradamano;2009;4;21;4.8;9.6;14.3;17.7;60;86;99;6;27;67;-;-
Pradamano;2009;4;22;0.0;5.5;16.1;25.4;10;58;99;6;27;226;-;-
Pradamano;2009;4;23;7.2;9.1;11.5;14.2;59;77;94;9;44;96;-;-
Pradamano;2009;4;24;0.0;7.7;12.4;16.5;46;65;95;11;37;79;-;-
Pradamano;2009;4;25;0.0;6.3;13.1;20.2;44;76;99;6;24;182;-;-
Pradamano;2009;4;26;7.2;6.5;12.6;19.6;42;84;99;6;27;226;-;-
Pradamano;2009;4;27;4.2;11.6;14.4;18.9;56;87;99;7;21;98;-;-
Pradamano;2009;4;28;19.6;11.7;13.3;16.0;81;93;99;7;23;350;-;-
Pradamano;2009;4;29;22.2;9.5;12.6;17.3;66;89;99;12;37;186;-;-
Pradamano;2009;4;30;0.0;9.3;13.2;17.7;48;80;99;5;26;319;-;-
Pradamano;2009;5;1;0.0;8.6;16.5;25.8;18;60;95;8;49;22;-;-
Pradamano;2009;5;2;0.0;9.4;16.7;24.6;25;63;92;6;36;152;-;-
Pradamano;2009;5;3;0.0;8.4;15.0;22.1;38;70;97;6;27;150;-;-
Pradamano;2009;5;4;6.0;8.0;15.1;22.6;40;69;99;9;45;261;-;-
Pradamano;2009;5;5;1.4;9.2;13.9;19.7;33;68;96;7;24;128;-;-
Pradamano;2009;5;6;0.0;9.2;15.0;20.7;45;73;97;5;21;205;-;-
Pradamano;2009;5;7;0.0;10.4;17.5;25.0;37;73;99;6;23;178;-;-
Pradamano;2009;5;8;0.0;9.9;17.2;24.0;43;75;99;5;19;183;-;-
Pradamano;2009;5;9;0.0;12.6;18.4;24.9;39;70;98;4;15;191;-;-
Pradamano;2009;5;10;0.0;10.7;18.4;25.8;40;72;99;5;20;202;-;-
Pradamano;2009;5;11;0.0;12.1;18.9;25.2;44;76;99;7;30;163;-;-
Pradamano;2009;5;12;0.0;12.6;19.0;24.5;52;75;99;7;27;146;-;-
Pradamano;2009;5;13;0.0;13.4;19.3;25.1;40;74;98;8;26;169;-;-
Pradamano;2009;5;14;0.0;12.9;19.1;25.7;23;67;98;7;26;171;-;-
Pradamano;2009;5;15;3.6;11.6;17.1;21.9;54;79;99;5;27;177;-;-
Pradamano;2009;5;16;0.0;13.8;19.3;26.0;41;76;99;5;26;163;-;-
Pradamano;2009;5;17;0.0;12.0;21.2;29.3;27;62;99;6;24;206;-;-
Pradamano;2009;5;18;0.0;13.6;21.5;29.3;39;68;97;5;24;205;-;-
Pradamano;2009;5;19;0.0;13.4;22.2;30.8;32;66;99;6;39;285;-;-
Pradamano;2009;5;20;0.0;20.1;24.4;30.2;30;54;79;11;29;58;-;-
Pradamano;2009;5;21;0.0;15.5;23.2;29.8;38;62;93;6;19;220;-;-
Pradamano;2009;5;22;0.6;15.1;22.0;28.7;43;75;99;7;26;183;-;-
Pradamano;2009;5;23;0.0;14.7;22.9;30.0;39;70;99;7;23;154;-;-
Pradamano;2009;5;24;0.8;16.0;23.6;31.3;43;69;96;6;22;227;-;-
Pradamano;2009;5;25;0.0;16.0;24.8;32.2;37;65;98;7;24;207;-;-
Pradamano;2009;5;26;0.0;17.3;25.4;32.0;36;62;95;8;30;330;-;-
Pradamano;2009;5;27;10.0;15.5;18.7;23.8;49;67;88;10;38;63;-;-
Pradamano;2009;5;28;0.0;12.3;18.6;24.3;29;53;94;6;25;68;-;-
Pradamano;2009;5;29;0.0;11.8;17.3;22.6;39;61;96;9;29;106;-;-
Pradamano;2009;5;30;2.0;9.9;15.6;21.8;45;65;96;9;31;199;-;-
Pradamano;2009;5;31;12.2;9.3;14.1;21.1;40;74;97;10;34;59;-;-
Pradamano;2009;6;1;0.2;8.9;17.6;25.8;32;66;99;6;27;153;-;-
Pradamano;2009;6;2;0.0;10.0;19.3;26.6;37;64;99;6;22;302;-;-
Pradamano;2009;6;3;4.6;12.8;19.8;26.8;43;69;97;6;28;185;-;-
Pradamano;2009;6;4;0.0;16.2;18.8;24.2;41;63;84;13;40;55;-;-
Pradamano;2009;6;5;27.0;15.4;18.3;24.0;64;85;99;10;40;181;-;-
Pradamano;2009;6;6;0.6;16.7;19.9;24.0;66;86;99;11;47;172;-;-
Pradamano;2009;6;7;3.4;15.1;18.4;23.5;54;86;99;7;35;157;-;-
Pradamano;2009;6;8;0.0;13.5;19.4;26.1;43;77;99;6;23;185;-;-
Pradamano;2009;6;9;1.0;14.4;20.0;25.5;52;75;98;9;35;156;-;-
Pradamano;2009;6;10;0.0;14.8;19.3;25.2;55;82;98;7;24;354;-;-
Pradamano;2009;6;11;1.4;13.5;19.0;25.3;65;85;99;8;36;10;-;-
Pradamano;2009;6;12;0.4;14.7;21.5;28.2;23;58;98;9;27;72;-;-
Pradamano;2009;6;13;0.0;14.5;21.8;29.0;28;59;96;7;29;358;-;-
Pradamano;2009;6;14;0.0;13.2;22.0;29.3;34;68;99;5;22;218;-;-
Pradamano;2009;6;15;0.0;17.4;23.5;30.1;35;67;98;6;22;142;-;-
Pradamano;2009;6;16;3.8;16.7;23.5;29.8;43;68;97;11;40;355;-;-
Pradamano;2009;6;17;0.2;14.3;21.0;24.9;45;63;96;12;38;73;-;-
Pradamano;2009;6;18;0.0;13.1;22.4;30.1;36;69;99;5;19;218;-;-
Pradamano;2009;6;19;9.2;14.4;23.7;31.6;16;60;99;6;26;174;-;-
Pradamano;2009;6;20;47.2;10.9;16.5;21.3;46;79;99;10;39;334;-;-
Pradamano;2009;6;21;0.2;10.2;17.7;25.2;28;63;99;6;33;292;-;-
Pradamano;2009;6;22;0.0;8.8;17.1;23.4;25;67;98;4;23;177;-;-
Pradamano;2009;6;23;4.8;13.3;15.5;18.3;67;89;99;4;15;307;-;-
Pradamano;2009;6;24;4.4;13.7;17.9;23.3;62;87;99;4;19;192;-;-
Pradamano;2009;6;25;0.4;14.8;19.3;26.0;55;86;99;4;22;133;-;-
Pradamano;2009;6;26;10.0;14.1;20.4;27.1;53;85;99;5;44;190;-;-
Pradamano;2009;6;27;3.4;17.6;20.5;26.0;60;89;99;4;15;218;-;-
Pradamano;2009;6;28;0.2;16.7;21.4;26.5;57;85;99;3;10;115;-;-
Pradamano;2009;6;29;15.0;17.7;21.4;28.1;58;89;99;5;31;312;-;-
Pradamano;2009;6;30;0.4;16.2;22.1;28.9;54;84;99;4;25;89;-;-
Pradamano;2009;7;1;8.8;17.8;22.8;31.1;47;82;99;5;38;187;-;-
