stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Rivis;2014;1;16;2.2;5.8;7.0;8.5;89;98;99;-;-;-;-;-
Rivis;2014;1;17;68.4;6.9;7.9;9.5;96;99;99;-;-;-;-;-
Rivis;2014;1;18;18.2;7.8;9.4;11.4;98;99;99;-;-;-;-;-
Rivis;2014;1;19;23.6;9.9;11.7;13.3;84;95;99;-;-;-;-;-
Rivis;2014;1;20;0.4;7.3;9.8;12.1;84;96;99;-;-;-;-;-
Rivis;2014;1;21;0;6.6;10.0;15.2;63;90;99;-;-;-;-;-
Rivis;2014;1;22;0;5.3;8.8;13.0;68;89;99;-;-;-;-;-
Rivis;2014;1;23;0.4;4.4;8.2;12.0;83;95;99;-;-;-;-;-
Rivis;2014;1;24;6.6;4.9;6.8;8.4;75;88;99;-;-;-;-;-
Rivis;2014;1;25;0;1.2;5.6;11.4;54;84;97;-;-;-;-;-
Rivis;2014;1;26;0;2.5;5.0;8.7;63;82;94;-;-;-;-;-
Rivis;2014;1;27;7.6;1.0;4.8;7.9;67;88;99;-;-;-;-;-
Rivis;2014;1;28;0.4;2.6;4.9;7.3;64;77;95;-;-;-;-;-
Rivis;2014;1;29;0.2;0.6;2.7;5.0;60;81;94;-;-;-;-;-
Rivis;2014;1;30;73.8;3.1;5.3;8.1;89;95;98;-;-;-;-;-
Rivis;2014;1;31;140.6;6.6;7.5;9.1;94;98;99;-;-;-;-;-
Rivis;2014;2;1;50;7.8;8.7;9.6;93;98;99;-;-;-;-;-
Rivis;2014;2;2;51.4;5.9;7.8;8.9;90;97;99;-;-;-;-;-
Rivis;2014;2;3;23.8;4.1;5.8;7.8;81;94;99;-;-;-;-;-
Rivis;2014;2;4;44.6;4.7;6.0;7.2;83;96;99;-;-;-;-;-
Rivis;2014;2;5;3.8;6.3;7.5;9.1;98;99;99;-;-;-;-;-
Rivis;2014;2;6;0.4;4.4;8.7;14.7;53;87;99;-;-;-;-;-
Rivis;2014;2;7;32.2;3.9;7.2;9.7;90;98;99;-;-;-;-;-
Rivis;2014;2;8;2;7.1;8.8;12.4;77;92;99;-;-;-;-;-
Rivis;2014;2;9;22.4;2.3;7.7;10.2;75;95;99;-;-;-;-;-
Rivis;2014;2;10;42.8;2.9;6.0;7.8;83;95;99;-;-;-;-;-
Rivis;2014;2;11;3.2;6.4;7.9;9.7;82;96;99;-;-;-;-;-
Rivis;2014;2;12;0;2.9;7.5;13.4;66;90;99;-;-;-;-;-
Rivis;2014;2;13;6.6;4.0;7.6;12.0;77;90;99;-;-;-;-;-
Rivis;2014;2;14;0;3.1;8.4;14.9;34;78;99;-;-;-;-;-
Rivis;2014;2;15;0;3.4;8.0;11.3;71;86;96;-;-;-;-;-
Rivis;2014;2;16;1.8;8.4;10.7;13.3;86;95;99;-;-;-;-;-
Rivis;2014;2;17;28.2;6.2;9.9;13.5;76;90;99;-;-;-;-;-
Rivis;2014;2;18;0;3.9;10.2;15.5;58;81;98;-;-;-;-;-
Rivis;2014;2;19;51.4;8.9;10.5;12.5;80;96;99;-;-;-;-;-
Rivis;2014;2;20;9.8;7.7;9.7;12.0;62;80;93;-;-;-;-;-
Rivis;2014;2;21;0;5.9;10.3;14.5;53;80;99;-;-;-;-;-
Rivis;2014;2;22;37.8;5.5;7.9;8.9;75;91;99;-;-;-;-;-
Rivis;2014;2;23;0;2.5;8.1;15.2;30;68;95;-;-;-;-;-
Rivis;2014;2;24;0;2.7;8.9;16.4;32;65;85;-;-;-;-;-
Rivis;2014;2;25;0;2.3;8.1;14.1;53;79;99;-;-;-;-;-
Rivis;2014;2;26;0;6.5;10.1;15.2;53;82;95;-;-;-;-;-
Rivis;2014;2;27;6.6;6.9;9.7;14.3;63;88;98;-;-;-;-;-
Rivis;2014;2;28;3.6;5.7;8.3;12.9;60;87;99;-;-;-;-;-
Rivis;2014;3;1;26.6;6.9;7.9;9.6;83;91;97;-;-;-;-;-
Rivis;2014;3;2;6;7.2;9.8;14.0;48;84;99;-;-;-;-;-
Rivis;2014;3;3;0;5.6;9.7;13.7;53;79;93;-;-;-;-;-
Rivis;2014;3;4;0;6.4;10.4;14.9;45;69;93;-;-;-;-;-
Rivis;2014;3;5;0;3.9;10.9;16.9;36;63;92;-;-;-;-;-
Rivis;2014;3;6;0;8.3;13.9;19.2;19;38;61;-;-;-;-;-
Rivis;2014;3;7;0;3.9;11.6;18.0;37;62;90;-;-;-;-;-
Rivis;2014;3;8;0;5.1;10.9;17.6;35;67;92;-;-;-;-;-
