stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
San Pietro al Natisone;2012;1;1;0.0;-3.4;1.7;10.3;39;78;94;-;16;-;5715;1003.9
San Pietro al Natisone;2012;1;2;21.8;-2.2;2.4;6.6;80;92;99;7;14;-;787;1002.5
San Pietro al Natisone;2012;1;3;22.2;5.6;7.1;8.7;69;85;100;10;38;-;1381;1004.1
San Pietro al Natisone;2012;1;4;0.0;0.3;4.9;8.5;76;92;100;-;16;-;2265;1000.1
San Pietro al Natisone;2012;1;5;0.0;0.0;2.5;5.6;81;91;98;-;19;-;2074;986.8
San Pietro al Natisone;2012;1;6;0.0;-1.5;3.3;12.2;11;59;94;7;28;-;7067;985.3
San Pietro al Natisone;2012;1;7;0.0;-2.2;1.7;8.8;15;60;88;-;17;-;4558;998.7
San Pietro al Natisone;2012;1;8;0.0;-2.6;1.8;9.6;37;72;91;9;25;-;6983;997.7
San Pietro al Natisone;2012;1;9;0.0;-3.0;2.3;11.0;20;62;81;9;27;-;6760;1004.7
San Pietro al Natisone;2012;1;10;0.0;-2.6;2.8;12.4;37;59;78;9;20;-;7221;1008.6
San Pietro al Natisone;2012;1;11;0.0;-2.7;2.3;10.7;39;68;87;9;17;-;6699;1013.3
San Pietro al Natisone;2012;1;12;0.0;-2.4;2.3;10.6;36;72;89;9;18;-;7014;1009.0
San Pietro al Natisone;2012;1;13;0.0;-1.8;2.7;8.8;21;73;93;-;19;-;3172;1000.2
San Pietro al Natisone;2012;1;14;0.0;-5.2;0.7;10.3;9;45;66;10;28;-;7613;1002.1
San Pietro al Natisone;2012;1;15;0.0;-6.6;-1.1;8.2;9;41;63;-;21;-;7654;1002.8
San Pietro al Natisone;2012;1;16;0.0;-7.2;-1.3;6.6;10;41;66;-;27;-;7588;1006.5
San Pietro al Natisone;2012;1;17;0.0;-7.0;-2.0;6.0;34;64;82;9;18;-;6012;1009.9
San Pietro al Natisone;2012;1;18;0.0;-6.1;-0.7;8.1;34;68;86;9;19;-;7178;1013.6
San Pietro al Natisone;2012;1;19;0.0;-4.4;0.5;3.9;59;75;86;-;14;-;2136;1009.3
San Pietro al Natisone;2012;1;20;0.0;-2.6;2.4;7.8;34;79;92;-;27;-;1953;996.2
San Pietro al Natisone;2012;1;21;0.0;-3.0;2.6;10.1;21;57;80;-;21;-;7147;996.5
San Pietro al Natisone;2012;1;22;0.0;-1.2;3.9;10.3;50;73;91;-;14;-;4119;992.0
San Pietro al Natisone;2012;1;23;0.0;-0.3;4.7;12.0;37;88;100;8;20;-;4690;994.4
San Pietro al Natisone;2012;1;24;0.0;-2.7;4.2;13.2;32;71;100;8;28;-;6826;995.0
San Pietro al Natisone;2012;1;25;0.0;-4.4;1.2;10.5;17;52;76;9;32;-;9221;1000.8
San Pietro al Natisone;2012;1;26;0.0;-6.2;0.1;7.7;32;60;82;9;22;-;9061;1003.0
San Pietro al Natisone;2012;1;27;0.0;-2.0;1.7;8.2;30;52;67;10;28;-;8970;1006.9
San Pietro al Natisone;2012;1;28;0.0;-1.9;2.3;6.3;33;50;68;17;48;-;6701;1007.2
San Pietro al Natisone;2012;1;29;0.0;0.0;1.6;4.0;42;50;59;27;64;-;7787;1005.6
San Pietro al Natisone;2012;1;30;0.0;-0.9;1.5;5.5;27;37;53;23;55;-;8911;1006.5
San Pietro al Natisone;2012;1;31;0.0;-2.5;-1.0;0.9;26;38;49;25;60;-;4484;1004.6
San Pietro al Natisone;2012;2;1;0.0;-1.7;0.1;1.9;24;33;43;29;86;-;3934;999.7
San Pietro al Natisone;2012;2;2;0.0;-4.8;-2.1;-0.6;28;31;39;26;62;-;5338;1002.3
San Pietro al Natisone;2012;2;3;0.0;-5.3;-3.9;-1.4;28;34;42;27;71;-;9292;1003.5
San Pietro al Natisone;2012;2;4;0.0;-5.8;-3.4;-2.0;24;44;55;22;55;-;2857;1004.2
San Pietro al Natisone;2012;2;5;0.0;-7.4;-5.7;-2.8;40;48;54;25;55;-;9890;1008.9
San Pietro al Natisone;2012;2;6;0.0;-7.9;-4.1;-0.3;38;46;54;24;64;-;9729;1002.3
San Pietro al Natisone;2012;2;7;0.0;-3.4;-0.5;2.7;42;48;56;14;55;-;2554;997.9
San Pietro al Natisone;2012;2;8;0.0;-2.3;1.6;7.8;16;31;48;18;53;-;10263;1006.6
San Pietro al Natisone;2012;2;9;0.0;-3.7;-0.9;4.0;25;32;40;23;66;-;9985;1005.4
San Pietro al Natisone;2012;2;10;0.0;-4.1;-2.6;0.2;32;38;43;28;67;-;7623;1006.1
San Pietro al Natisone;2012;2;11;0.0;-5.1;-3.0;-1.0;33;43;53;24;60;-;4000;1003.2
