stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Sappada (ARPAV);2019;1;1;0.0;-5.3;-3.3;1.5;60;81;92;2;-;-;2862;-
Sappada (ARPAV);2019;1;2;0.4;-5.9;-2.5;3.9;31;51;84;9;-;-;2513;-
Sappada (ARPAV);2019;1;3;0.0;-5.9;-4.8;-3.2;25;33;39;9;-;-;2761;-
Sappada (ARPAV);2019;1;4;0.0;-7.9;-4.6;-0.3;28;46;75;6;-;-;3366;-
Sappada (ARPAV);2019;1;5;0.0;-8.0;-1.0;4.9;41;57;75;5;-;-;2585;-
Sappada (ARPAV);2019;1;6;0.0;-1.8;2.4;5;32;43;67;8;-;-;4921;-
Sappada (ARPAV);2019;1;7;0.0;-4.1;-0.2;4;32;60;92;5;-;-;4518;-
Sappada (ARPAV);2019;1;8;0.0;-6.1;-3.2;0.7;42;79;96;5;-;-;3568;-
Sappada (ARPAV);2019;1;9;0.0;-4.4;-2.3;-0.3;35;52;82;9;-;-;3712;-
Sappada (ARPAV);2019;1;10;0.0;-5.4;-2.7;1.4;34;40;52;6;-;-;4568;-
Sappada (ARPAV);2019;1;11;0.0;-9.9;-5.6;0;14;40;58;3;-;-;4698;-
Sappada (ARPAV);2019;1;12;0.0;-6.7;-1.1;5.3;30;50;65;5;-;-;3960;-
Sappada (ARPAV);2019;1;13;1.0;-4.1;-0.7;5.5;39;72;100;4;-;-;4522;-
Sappada (ARPAV);2019;1;14;5.4;-3.6;-0.8;3.6;43;81;100;6;-;-;2160;-
Sappada (ARPAV);2019;1;15;0.0;-8.1;-2.9;3.7;29;56;81;8;-;-;5278;-
Sappada (ARPAV);2019;1;16;1.0;-8.1;-4.4;1.8;50;77;93;1;-;-;5072;-
Sappada (ARPAV);2019;1;17;1.0;-7.6;-2.7;-0.1;83;94;100;1;-;-;1235;-
Sappada (ARPAV);2019;1;18;6.0;-6.0;-2.7;1.5;56;87;100;1;-;-;3542;-
Sappada (ARPAV);2019;1;19;0.0;-9.4;-5.8;-0.4;55;82;93;1;-;-;5879;-
Sappada (ARPAV);2019;1;20;0.0;-11.5;-7.8;0;54;83;92;1;-;-;6476;-
Sappada (ARPAV);2019;1;21;0.0;-11.3;-7.7;0;53;81;90;1;-;-;5422;-
Sappada (ARPAV);2019;1;22;0.0;-12.4;-7.0;0.2;39;75;89;1;-;-;6779;-
Sappada (ARPAV);2019;1;23;0.8;-7.5;-5.9;-2.8;77;90;94;3;-;-;1962;-
