stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Sgonico-Zgonik;1997;1;1;32.6;-0.4;2.7;4.9;78;94;99;12;45;98;294;979.1
Sgonico-Zgonik;1997;1;2;8.8;-0.6;3.1;6.4;80;93;100;12;37;83;1444;981.7
Sgonico-Zgonik;1997;1;3;17.2;2.6;5.7;9.3;83;91;98;15;45;77;1532;975.2
Sgonico-Zgonik;1997;1;4;18.2;4.1;7.4;11.1;74;93;98;9;36;114;1926;967.3
Sgonico-Zgonik;1997;1;5;13.6;4;5.3;7.2;79;92;97;6;17;64;1968;972.8
Sgonico-Zgonik;1997;1;6;10.8;2.9;4.7;7.0;75;87;95;12;40;65;1157;980.4
Sgonico-Zgonik;1997;1;7;0;1.3;2.9;5.2;58;69;77;25;49;81;4709;979.5
Sgonico-Zgonik;1997;1;8;0;0;2.1;5.7;54;64;71;20;48;68;7330;977.5
Sgonico-Zgonik;1997;1;9;29;0.4;3.2;5.2;62;77;89;20;46;77;954;972.9
Sgonico-Zgonik;1997;1;10;0.2;3.4;4.3;5.5;63;70;83;23;46;66;2151;975.1
Sgonico-Zgonik;1997;1;11;0;3.8;5.2;7.1;53;59;66;25;58;74;3999;983.8
Sgonico-Zgonik;1997;1;12;0;2.3;4.4;7.4;50;60;68;24;55;47;7980;989.9
Sgonico-Zgonik;1997;1;13;0;2.8;6.1;9.5;49;58;67;28;59;71;8333;990.6
Sgonico-Zgonik;1997;1;14;0;4.1;6.3;10.5;45;55;63;22;54;87;8477;990.4
Sgonico-Zgonik;1997;1;15;0.2;3;9.2;18.0;18;39;51;8;42;75;8760;990.8
Sgonico-Zgonik;1997;1;16;0;-0.3;6.2;14.9;27;53;83;4;10;191;8757;988.7
Sgonico-Zgonik;1997;1;17;0;-1.3;3.9;10.2;49;81;98;4;10;273;8517;987.9
Sgonico-Zgonik;1997;1;18;0;0.6;4.1;8.1;69;89;99;4;12;109;5297;988.2
Sgonico-Zgonik;1997;1;19;6.2;4.6;5.5;6.4;81;88;98;4;14;106;906;986.1
Sgonico-Zgonik;1997;1;20;48;6;7.3;8.8;98;99;100;5;19;207;313;986.0
Sgonico-Zgonik;1997;1;21;28.2;4.7;5.8;8.5;73;90;100;15;40;53;614;993.6
Sgonico-Zgonik;1997;1;22;0;5.3;6.7;8.8;70;79;95;8;36;81;1723;998.0
Sgonico-Zgonik;1997;1;23;0;6.3;7.1;8.2;87;94;99;2;10;168;1131;997.2
Sgonico-Zgonik;1997;1;24;0;5.3;6.7;7.8;81;93;97;2;10;348;1209;994.9
Sgonico-Zgonik;1997;1;25;0;2.5;7.2;13.5;53;71;97;19;64;76;8515;993.2
Sgonico-Zgonik;1997;1;26;0;-0.7;2.7;5.9;28;43;64;26;60;99;7860;993.4
Sgonico-Zgonik;1997;1;27;0;-1.1;2.8;8.5;30;46;57;15;39;67;9444;992.8
Sgonico-Zgonik;1997;1;28;0;-2.4;2.4;9.5;30;52;74;9;40;120;9346;995.4
Sgonico-Zgonik;1997;1;29;0;-1.8;4.2;9.6;33;48;63;13;39;57;9844;998.2
Sgonico-Zgonik;1997;1;30;0;-1.3;3.9;11.8;25;53;72;5;23;100;10357;996.6
Sgonico-Zgonik;1997;1;31;0;-3.3;1.9;8.8;43;72;97;3;11;182;10056;991.7
