stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Talmassons;1995;1;1;0.8;1.4;6.5;10.2;63;83;95;6;44;105;3826;995.8
Talmassons;1995;1;2;0;-2.7;3.3;8.9;11;61;94;9;23;36;5521;1005.5
Talmassons;1995;1;3;0;-2.7;1.8;7.2;20;44;75;12;33;22;6381;1015.6
Talmassons;1995;1;4;0;-4.8;0.6;5.1;21;39;67;12;36;83;6797;1018.8
Talmassons;1995;1;5;0;-0.6;1.9;5.5;31;41;70;16;49;76;5988;1020.9
Talmassons;1995;1;6;0;-4.3;0.7;5.1;43;63;89;7;23;47;5375;1017.8
Talmassons;1995;1;7;0;-4.1;0.9;6.7;38;62;86;6;21;49;6815;1023.5
Talmassons;1995;1;8;0;-3.9;0.3;5.3;34;57;70;8;18;41;5419;1027.1
Talmassons;1995;1;9;0;-4.2;0.1;5.7;36;58;77;9;19;24;6805;1020.7
Talmassons;1995;1;10;0;-4.1;0.5;5.7;39;71;88;4;17;70;6340;1008.5
Talmassons;1995;1;11;0;-3.7;3.0;7.9;23;62;89;10;50;7;4853;997.8
Talmassons;1995;1;12;0;-6.8;0.0;8.3;24;58;80;6;32;13;7605;1006.8
Talmassons;1995;1;13;0;-5;3.0;8.6;10;26;62;15;46;345;7507;1022.3
Talmassons;1995;1;14;0;-7.2;-1.4;5.4;20;48;76;6;24;109;7738;1024.8
Talmassons;1995;1;15;0;-7.1;-1.1;5.6;30;54;74;8;16;23;7484;1026.2
Talmassons;1995;1;16;0;-4.7;2.5;9.8;34;57;81;8;23;11;7806;1029.0
Talmassons;1995;1;17;0;-5.2;0.6;8.4;35;65;87;5;13;20;7922;1025.5
Talmassons;1995;1;18;0;-6.5;-0.3;4.2;66;80;90;4;12;44;3913;1019.4
Talmassons;1995;1;19;23.8;0.8;3.5;5.3;78;90;95;12;31;32;634;1016.3
Talmassons;1995;1;20;0;0.1;3.3;7.4;63;83;96;5;16;27;5090;1024.4
Talmassons;1995;1;21;10.4;2.2;4.5;6.3;88;92;96;9;27;37;548;1021.3
Talmassons;1995;1;22;0;3.3;4.5;6.2;82;92;97;3;15;206;2092;1019.3
Talmassons;1995;1;23;5.2;3.9;4.8;6.4;94;98;99;1;9;27;478;1011.8
Talmassons;1995;1;24;2;1.1;5.9;9.3;81;96;99;6;21;273;4633;1009.3
Talmassons;1995;1;25;0;0.5;4.8;9.4;71;90;98;5;17;26;4973;1011.5
Talmassons;1995;1;26;1;-1.7;4.1;10.2;74;96;99;4;18;325;2963;1007.1
Talmassons;1995;1;27;2;-0.8;5.7;9.6;51;82;99;12;51;348;7311;1007.3
Talmassons;1995;1;28;0;0.2;3.7;6.7;74;84;94;7;17;12;2007;1013.4
Talmassons;1995;1;29;0;-0.3;3.8;8.8;55;79;93;5;17;244;8012;1011.2
Talmassons;1995;1;30;0;3.3;6.2;8.4;80;87;94;5;18;-;1396;1007.6
Talmassons;1995;1;31;0;-2.7;5.5;11.9;13;52;91;12;31;88;10141;1020.9
Talmassons;1995;2;1;0;-4;2.5;9.8;28;60;87;7;14;41;9105;1027.1
Talmassons;1995;2;2;0;-3.8;1.9;9.4;47;76;88;6;12;213;7697;1024.4
Talmassons;1995;2;3;0;-2.1;4.6;11.1;44;65;90;9;23;84;8961;1029.5
Talmassons;1995;2;4;0;-1.2;4.2;8.7;48;69;92;9;18;54;5416;1024.8
Talmassons;1995;2;5;0;-3.7;3.0;11.4;39;75;95;4;14;139;9944;1020.8
Talmassons;1995;2;6;0;-2.9;4.0;13;46;78;96;5;18;201;9332;1021.6
Talmassons;1995;2;7;0;-2;3.8;10.6;64;89;98;4;13;207;9080;1015.7
Talmassons;1995;2;8;0.2;3.8;5.1;6;98;99;99;2;13;56;870;1009.1
Talmassons;1995;2;9;3.4;-0.3;5.1;8.3;97;99;99;3;12;7;1412;1000.4
Talmassons;1995;2;10;0;-1.3;5.1;12.2;56;90;99;6;16;55;8553;1010.1
Talmassons;1995;2;11;11.2;3.7;5.9;7;98;99;99;6;16;32;973;1014.8
Talmassons;1995;2;12;0;4.8;7.1;9;82;94;99;3;12;142;2808;1020.2
Talmassons;1995;2;13;0.6;0.4;5.9;9.7;77;94;99;1;9;91;3362;1021.8
Talmassons;1995;2;14;10.8;5.6;7.5;10.3;86;97;99;5;16;37;3141;1013.6
Talmassons;1995;2;15;0;2.5;8.2;14.6;51;82;97;6;16;29;10186;1018.9
Talmassons;1995;2;16;5;-0.4;5.6;8.6;89;95;98;6;21;275;1422;1014.0
Talmassons;1995;2;17;0;-0;6.7;13.8;50;82;99;6;16;161;11975;1015.9
Talmassons;1995;2;18;33.4;3.5;7.2;9.7;78;92;99;10;44;52;886;1008.1
Talmassons;1995;2;19;0;0.4;5.6;12.4;45;76;96;5;15;56;12786;1021.9
Talmassons;1995;2;20;0;-0.4;5.1;12.3;52;84;97;5;15;150;11532;1025.8
Talmassons;1995;2;21;0;-0.3;6.1;11.3;58;88;98;4;12;56;7921;1023.6
Talmassons;1995;2;22;0;6.6;7.9;9.6;73;87;96;5;21;29;1563;1022.0
Talmassons;1995;2;23;17.8;5.5;7.1;9.4;74;90;97;8;28;212;1105;1011.6
Talmassons;1995;2;24;4.8;5.3;6.5;7.7;87;93;96;7;19;152;1707;1002.3
Talmassons;1995;2;25;0.4;1.4;5.6;8.5;76;92;98;4;17;178;3011;997.5
Talmassons;1995;2;26;15.2;0.6;5.6;7.5;81;93;99;9;39;0;1327;994.5
Talmassons;1995;2;27;8.2;0;5.7;8.9;59;81;94;8;24;37;4056;1014.9
Talmassons;1995;2;28;0;-0.2;5.4;12.3;37;69;94;5;14;17;14477;1028.1
Talmassons;1995;3;1;0;-1;5.6;13;38;74;93;5;18;209;14690;1021.5
Talmassons;1995;3;2;14.2;2.3;6.3;8;75;88;96;6;19;32;1548;1011.3
Talmassons;1995;3;3;0;4.1;7.9;13.2;50;75;91;10;32;36;12945;1005.9
Talmassons;1995;3;4;17;4.7;7.2;10.6;80;90;95;8;33;286;2356;1000.6
Talmassons;1995;3;5;0;1.3;6.7;12.4;41;71;92;6;20;264;16503;1005.0
Talmassons;1995;3;6;8.4;2.5;5.3;7.7;76;90;94;7;18;74;3641;1003.0
Talmassons;1995;3;7;0;1.9;6.0;11.5;45;78;93;8;26;291;11545;1010.8
Talmassons;1995;3;8;0.6;0.6;6.0;10.9;38;76;93;7;24;29;12837;1013.9
Talmassons;1995;3;9;36;4.3;6.4;8.4;58;78;92;14;28;8;1949;1013.6
Talmassons;1995;3;10;0;3.2;8.3;13.8;33;59;79;8;18;38;14898;1021.2
Talmassons;1995;3;11;0;1.8;7.3;13.9;30;63;92;8;18;240;16430;1020.8
Talmassons;1995;3;12;0;0.2;8.4;16.1;28;61;93;6;17;33;15866;1022.4
Talmassons;1995;3;13;0;2.9;8.9;13.5;29;48;69;18;49;59;15467;1017.7
Talmassons;1995;3;14;0;-1;5.8;11.3;30;52;85;16;44;87;17413;1008.1
Talmassons;1995;3;15;0.2;-2.2;3.5;8.7;45;69;88;5;17;241;11825;1005.8
Talmassons;1995;3;16;4.2;2.7;5.9;10.2;69;81;92;10;25;41;9650;1007.1
Talmassons;1995;3;17;0;2.5;7.3;12.5;38;69;92;9;23;194;17062;1013.6
Talmassons;1995;3;18;0;5.2;8.9;12.7;64;85;95;6;15;80;4933;1012.6
Talmassons;1995;3;19;0;8.1;10.0;11.5;78;86;94;6;17;106;4804;1009.4
Talmassons;1995;3;20;12.4;-0.1;6.9;10.4;60;82;93;13;57;348;8249;1009.2
Talmassons;1995;3;21;0;-1.2;5.8;12;25;61;94;8;19;214;15798;1021.4
Talmassons;1995;3;22;0;-2;5.8;13;10;50;88;10;40;6;19941;1030.1
Talmassons;1995;3;23;0;-0;5.6;12.2;34;64;87;8;27;204;17389;1029.5
Talmassons;1995;3;24;0;-1.2;6.8;14.6;36;71;93;5;23;212;18314;1024.0
Talmassons;1995;3;25;0;-0;8.5;14.5;37;76;96;6;18;159;16239;1019.0
Talmassons;1995;3;26;0;9.5;11.3;15.1;68;81;94;8;19;143;11407;1014.8
Talmassons;1995;3;27;0.8;5.2;11.2;14.5;61;80;89;14;63;3;6881;999.2
Talmassons;1995;3;28;1;1.9;5.9;13.8;10;53;89;14;59;9;19040;1002.8
Talmassons;1995;3;29;0.2;2.9;5.9;10.4;17;57;79;17;65;333;8211;997.4
Talmassons;1995;3;30;0;-0.8;7.3;12.2;-;-;-;26;64;17;21875;1013.9
Talmassons;1995;3;31;0;-0.7;6.8;12.6;10;36;71;12;37;209;21486;1025.0
Talmassons;1995;4;1;0;-0.7;6.7;12.3;34;58;89;8;26;168;18294;1023.1
Talmassons;1995;4;2;0;-0.5;8.4;17;27;62;90;5;18;207;19444;1023.2
Talmassons;1995;4;3;0;0.7;10.0;18.5;37;70;94;7;17;210;19680;1021.0
Talmassons;1995;4;4;0;3.6;11.0;15.7;67;77;89;8;25;132;15969;1020.1
Talmassons;1995;4;5;0;8.8;13.3;19.1;46;70;89;6;17;158;13253;1023.3
Talmassons;1995;4;6;0;6.6;12.4;19.2;42;77;96;4;23;195;13698;1021.4
Talmassons;1995;4;7;0.2;6.8;11.0;18.9;56;91;99;6;19;201;16331;1016.9
Talmassons;1995;4;8;0;7.5;11.8;18.4;10;68;99;15;62;2;13252;1007.7
Talmassons;1995;4;9;0;2.8;9.6;16.2;10;33;71;19;46;16;24013;1014.0
Talmassons;1995;4;10;0;1.4;7.5;12.3;39;60;92;8;23;205;12920;1017.4
Talmassons;1995;4;11;0;0.9;8.5;15.9;37;65;93;6;24;169;18676;1017.7
Talmassons;1995;4;12;0;2.4;8.7;14.7;44;68;91;6;27;242;16132;1018.5
Talmassons;1995;4;13;0.2;2.3;10.6;18.1;37;66;95;10;32;113;21625;1018.1
Talmassons;1995;4;14;0;2.2;8.4;14.6;27;56;84;10;40;208;19108;1021.8
Talmassons;1995;4;15;0;-0.9;7.7;14.1;26;49;87;13;35;118;23467;1016.5
Talmassons;1995;4;16;0;2.4;9.5;16.1;30;46;71;9;23;125;14451;1006.3
Talmassons;1995;4;17;0;1.5;9.1;16.1;37;61;76;7;19;164;16608;1008.0
Talmassons;1995;4;18;0;5;11.1;16;47;60;70;10;28;220;17227;1007.8
Talmassons;1995;4;19;2.4;10;12.4;16.3;60;70;79;10;26;205;7069;1009.0
