stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Tarvisio;2004;1;1;0;-1.1;-0.2;0.7;87;91;93;6;13;94;2337;924.6
Tarvisio;2004;1;2;0;-4.7;-1.6;-0.8;67;83;89;11;32;107;1865;922.8
Tarvisio;2004;1;3;0;-8.2;-5.6;-3.9;74;78;85;8;21;107;3671;930.1
Tarvisio;2004;1;4;0;-12.2;-7.3;-4.3;66;75;83;5;20;116;2757;929.3
Tarvisio;2004;1;5;0;-14.1;-7.8;0.6;67;81;87;2;13;83;5208;930.7
Tarvisio;2004;1;6;0;-12.1;-7.5;-4.3;73;81;85;4;17;108;3418;938.4
Tarvisio;2004;1;7;0;-9.6;-5.4;0.9;62;79;86;4;20;282;4529;934.3
Tarvisio;2004;1;8;0;-10.9;-5.3;-0.6;78;86;89;1;10;283;3149;932.2
Tarvisio;2004;1;9;2;-3.6;-0.6;1.7;80;87;91;4;16;86;2049;923.8
Tarvisio;2004;1;10;0.2;-8.8;-2.7;4.0;66;87;91;3;12;85;5052;926.7
Tarvisio;2004;1;11;0;-10.2;-3.3;2.3;58;78;88;5;17;268;5139;932.5
Tarvisio;2004;1;12;0;-3.5;0.1;3.4;52;72;88;8;26;285;3982;923.4
Tarvisio;2004;1;13;0;-2.8;1.5;5.8;58;79;90;11;29;274;2688;915.5
Tarvisio;2004;1;14;0;-3.8;0.5;6.9;64;83;91;3;22;276;5886;914.2
Tarvisio;2004;1;15;0.4;-8.1;-1.2;2.8;67;84;91;3;14;111;2293;916.6
Tarvisio;2004;1;16;0;-10.3;-2.7;4.8;9;56;80;6;30;300;4297;924.2
Tarvisio;2004;1;17;14.6;-1.4;0.4;2.7;66;85;91;3;15;288;509;917.4
Tarvisio;2004;1;18;4.8;-2.4;-0.5;0.2;82;89;92;7;24;113;518;925.0
Tarvisio;2004;1;19;0.6;-8.3;-2.8;0.1;79;86;89;4;24;113;3190;929.2
Tarvisio;2004;1;20;0;-9.8;-3.4;1.8;66;82;88;5;26;264;5538;918.7
Tarvisio;2004;1;21;0;-14.8;-8.3;-1.3;46;78;88;4;24;111;5688;926.9
Tarvisio;2004;1;22;0;-17.6;-11.3;-1.5;48;75;84;1;10;283;6888;932.3
Tarvisio;2004;1;23;0;-18.9;-13.6;-6.3;44;71;81;3;19;91;6835;935.4
Tarvisio;2004;1;24;0;-20.4;-13.1;-4.4;41;71;81;1;12;125;7110;932.5
