stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Terzo d'Aquileia;2019;1;1;0.0;0.6;4.2;8.4;50;73;91;-;-;-;-;-
Terzo d'Aquileia;2019;1;2;0.0;-1.2;3.3;11.4;19;59;100;-;-;-;-;-
Terzo d'Aquileia;2019;1;3;0.0;-5.3;1.8;8.6;19;32;56;-;-;-;-;-
Terzo d'Aquileia;2019;1;4;0.0;-5.5;-0.1;5.1;19;49;77;-;-;-;-;-
Terzo d'Aquileia;2019;1;5;0.0;-4;0.2;6.7;39;65;76;-;-;-;-;-
Terzo d'Aquileia;2019;1;6;0.0;-4.9;0.7;8.6;37;68;84;-;-;-;-;-
Terzo d'Aquileia;2019;1;7;0.0;-1.1;3.4;6.3;41;62;77;-;-;-;-;-
Terzo d'Aquileia;2019;1;8;0.0;0.4;3.4;5.2;65;79;92;-;-;-;-;-
Terzo d'Aquileia;2019;1;9;0.0;-1.9;2.5;8.3;59;85;97;-;-;-;-;-
Terzo d'Aquileia;2019;1;10;0.0;-3.5;2.3;10.1;20;62;88;-;-;-;-;-
Terzo d'Aquileia;2019;1;11;0.0;-2.7;1.5;7.5;19;54;80;-;-;-;-;-
Terzo d'Aquileia;2019;1;12;0.0;-1.4;1.9;7.9;38;61;75;-;-;-;-;-
Terzo d'Aquileia;2019;1;13;0.0;-1.3;3.5;10.3;33;63;81;-;-;-;-;-
Terzo d'Aquileia;2019;1;14;0.0;-1;4.3;10.7;34;72;91;-;-;-;-;-
Terzo d'Aquileia;2019;1;15;0.0;-1.6;4.2;11;20;45;69;-;-;-;-;-
Terzo d'Aquileia;2019;1;16;0.0;-0.1;4;9;51;69;80;-;-;-;-;-
Terzo d'Aquileia;2019;1;17;1.8;3.2;6.5;9.8;63;79;93;-;-;-;-;-
Terzo d'Aquileia;2019;1;18;8.8;3.3;6;7.9;40;74;97;-;-;-;-;-
Terzo d'Aquileia;2019;1;19;0.0;-0.3;3.2;6;38;53;69;-;-;-;-;-
Terzo d'Aquileia;2019;1;20;0.0;-2.3;1.6;7.5;35;63;80;-;-;-;-;-
Terzo d'Aquileia;2019;1;21;0.0;0.7;3.1;7.1;31;52;72;-;-;-;-;-
Terzo d'Aquileia;2019;1;22;0.0;-0.3;3.3;7.3;22;42;71;-;-;-;-;-
Terzo d'Aquileia;2019;1;23;2.2;-1.4;0.6;1.7;53;76;90;-;-;-;-;-
Terzo d'Aquileia;2019;1;24;0.0;-2.3;2.9;10.1;22;55;72;-;-;-;-;-
Terzo d'Aquileia;2019;1;25;0.0;-3.7;0.9;7;22;53;72;-;-;-;-;-
Terzo d'Aquileia;2019;1;26;0.0;-5.2;0;6.8;20;59;77;-;-;-;-;-
Terzo d'Aquileia;2019;1;27;4.8;-3.2;2.2;9.1;48;69;92;-;-;-;-;-
Terzo d'Aquileia;2019;1;28;2.6;2.6;5.1;7.9;63;82;96;-;-;-;-;-
Terzo d'Aquileia;2019;1;29;0.0;-1.1;3.9;9.7;27;61;83;-;-;-;-;-
Terzo d'Aquileia;2019;1;30;0.0;-2.5;2.4;6.3;44;62;77;-;-;-;-;-
Terzo d'Aquileia;2019;1;31;0.8;-0.3;3.8;8.5;33;62;83;-;-;-;-;-
Terzo d'Aquileia;2019;2;1;20.6;3;7.9;12.2;81;90;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;2;30.4;8;10;12.3;75;88;95;-;-;-;-;-
Terzo d'Aquileia;2019;2;3;1.4;6.1;8.7;11.9;66;87;95;-;-;-;-;-
Terzo d'Aquileia;2019;2;4;0.0;0.6;6.4;11.7;21;55;86;-;-;-;-;-
Terzo d'Aquileia;2019;2;5;0.0;-1.5;5;12.8;-;53;80;-;-;-;-;-
Terzo d'Aquileia;2019;2;6;0.0;0.1;6;13.5;20;43;70;-;-;-;-;-
Terzo d'Aquileia;2019;2;7;0.0;-1.3;4.5;12.7;19;51;84;-;-;-;-;-
Terzo d'Aquileia;2019;2;8;0.0;1.2;6.8;14.6;19;51;72;-;-;-;-;-
Terzo d'Aquileia;2019;2;9;0.0;-0.2;5.2;11.3;54;72;88;-;-;-;-;-
Terzo d'Aquileia;2019;2;10;1.6;3.9;6.9;10.6;72;84;97;-;-;-;-;-
Terzo d'Aquileia;2019;2;11;3.6;0.5;7.6;11.5;53;78;93;-;-;-;-;-
Terzo d'Aquileia;2019;2;12;0.4;-1;4.5;10.8;52;86;98;-;-;-;-;-
Terzo d'Aquileia;2019;2;13;0.0;-0.7;3.7;11.1;51;81;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;14;0.0;-2;4.1;12.4;46;82;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;15;0.0;-0.2;6.3;16.4;35;79;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;16;0.0;-0.8;5.8;15.7;40;83;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;17;0.0;-1.8;4.8;14.8;46;85;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;18;0.0;-2.3;4.7;13.7;53;88;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;19;0.0;-1;5.2;9.3;84;94;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;20;0.0;1.8;7.4;12.3;-;84;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;21;0.0;-0.9;5.7;13.2;58;91;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;22;0.0;2.9;7;15.7;56;92;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;23;0.0;0.6;5.7;10.6;17;33;64;-;-;-;-;-
Terzo d'Aquileia;2019;2;24;0.0;-3.7;3.2;10.2;25;47;82;-;-;-;-;-
Terzo d'Aquileia;2019;2;25;0.0;-1.9;6.4;15;28;57;91;-;-;-;-;-
Terzo d'Aquileia;2019;2;26;0.0;3.2;8.2;16.7;37;71;93;-;-;-;-;-
Terzo d'Aquileia;2019;2;27;0.0;0.5;7.8;20.6;27;76;100;-;-;-;-;-
Terzo d'Aquileia;2019;2;28;0.0;-0.7;7;16.6;30;79;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;1;0.0;-0.1;7.2;14.7;44;78;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;2;0.0;-0.7;6.8;15.4;54;87;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;3;0.0;0.4;8.3;16.1;48;82;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;4;-;4.6;8.6;13.5;65;92;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;5;0.0;4.4;8.4;14;76;94;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;6;0.0;1.5;8.1;14.9;61;88;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;7;0.0;8.5;12.4;16;73;89;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;8;0.0;6.7;11.7;15.7;62;82;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;9;0.0;7.4;10.7;13.5;75;85;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;10;0.0;7.5;10.9;13.3;79;87;93;-;-;-;-;-
Terzo d'Aquileia;2019;3;11;2.2;1.5;9.4;18.9;49;74;99;-;-;-;-;-
Terzo d'Aquileia;2019;3;12;0.0;-2;6.2;14;32;64;90;-;-;-;-;-
Terzo d'Aquileia;2019;3;13;0.0;0.7;6.9;13;45;72;91;-;-;-;-;-
Terzo d'Aquileia;2019;3;14;0.0;-0.5;5.9;12.2;51;81;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;15;0.0;-0.5;7.2;16;38;79;99;-;-;-;-;-
Terzo d'Aquileia;2019;3;16;0.0;2.6;9.3;17.1;57;84;100;-;-;-;-;-
Terzo d'Aquileia;2019;3;17;0.0;10.3;12.1;15.1;79;89;97;-;-;-;-;-
Terzo d'Aquileia;2019;3;18;8.6;5.4;8.8;12.9;67;88;98;-;-;-;-;-
Terzo d'Aquileia;2019;3;19;0.0;5.5;8.6;12.9;43;64;91;-;-;-;-;-
Terzo d'Aquileia;2019;3;20;0.0;2.4;9.4;14.8;29;47;76;-;-;-;-;-
Terzo d'Aquileia;2019;3;21;0.0;3.5;10.5;17.7;27;44;66;-;-;-;-;-
Terzo d'Aquileia;2019;3;22;0.0;1.4;11.3;20.9;19;54;87;-;-;-;-;-
Terzo d'Aquileia;2019;3;23;0.0;4.1;13.1;24.2;24;57;88;-;-;-;-;-
Terzo d'Aquileia;2019;3;24;0.0;4.8;12.4;21.9;27;67;99;-;-;-;-;-
Terzo d'Aquileia;2019;3;25;17.4;3.2;10.5;19;35;73;96;-;-;-;-;-
Terzo d'Aquileia;2019;3;26;0.0;5.2;10.4;16.2;29;52;81;-;-;-;-;-
Terzo d'Aquileia;2019;3;27;0.0;1.2;9.4;15.8;33;54;86;-;-;-;-;-
Terzo d'Aquileia;2019;3;28;0.0;3.6;11;17.2;33;50;74;-;-;-;-;-
Terzo d'Aquileia;2019;3;29;0.0;4.5;11.9;19.4;30;55;82;-;-;-;-;-
Terzo d'Aquileia;2019;3;30;0.0;2.8;11.4;20.3;24;65;98;-;-;-;-;-
Terzo d'Aquileia;2019;3;31;0.0;2.7;12.4;22.1;28;66;94;-;-;-;-;-
Terzo d'Aquileia;2019;4;1;0.0;6.9;16.8;24.5;21;46;83;-;-;-;-;-
Terzo d'Aquileia;2019;4;2;0.0;8.1;14.4;22.6;30;61;94;-;-;-;-;-
Terzo d'Aquileia;2019;4;3;0.4;10;13.5;17.6;50;75;95;-;-;-;-;-
Terzo d'Aquileia;2019;4;4;2.6;12.5;14.9;18.7;56;77;88;-;-;-;-;-
Terzo d'Aquileia;2019;4;5;28.0;9.5;11;15.5;74;89;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;6;0.0;7.6;11.4;16.2;56;83;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;7;0.0;5.3;11;15.8;59;89;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;8;1.8;8.6;11.9;15.5;59;91;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;9;0.2;10.3;13.5;17.9;63;88;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;10;8.8;10.5;14;20.3;50;86;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;11;10.4;10.7;12.9;15.5;63;83;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;12;0.4;9.2;10.9;13.9;62;74;83;-;-;-;-;-
Terzo d'Aquileia;2019;4;13;0.0;7.8;11.4;16.2;41;63;89;-;-;-;-;-
Terzo d'Aquileia;2019;4;14;0.0;8.4;11.7;16.2;47;60;75;-;-;-;-;-
Terzo d'Aquileia;2019;4;15;0.0;7.5;13.8;20.6;31;56;84;-;-;-;-;-
Terzo d'Aquileia;2019;4;16;0.0;4.8;12.6;19.3;28;61;94;-;-;-;-;-
Terzo d'Aquileia;2019;4;17;0.0;4.6;13.9;21.4;34;66;94;-;-;-;-;-
Terzo d'Aquileia;2019;4;18;0.0;9;15.4;22.8;31;56;80;-;-;-;-;-
Terzo d'Aquileia;2019;4;19;0.0;6.9;15.1;22.8;29;59;93;-;-;-;-;-
Terzo d'Aquileia;2019;4;20;0.0;7;16.2;25.6;21;59;86;-;-;-;-;-
Terzo d'Aquileia;2019;4;21;0.0;8.1;14.5;21.7;28;60;86;-;-;-;-;-
Terzo d'Aquileia;2019;4;22;0.0;5;14.2;19.8;60;73;91;-;-;-;-;-
Terzo d'Aquileia;2019;4;23;39.8;12.2;13.4;15.5;72;96;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;24;1.4;12.5;15.9;18.9;81;92;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;25;0.0;13.6;16.2;20;76;92;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;26;0.2;10.1;15.5;18.8;73;90;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;27;0.6;7.8;13.5;19.7;48;83;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;28;27.0;8.2;11;15.6;70;91;100;-;-;-;-;-
Terzo d'Aquileia;2019;4;29;9.4;8.1;10.4;12.9;75;91;100;-;-;-;-;-
