stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Tolmezzo;2015;1;1;0;-5.2;-1.4;5;56;83;98;5;15;302;3430;-
Tolmezzo;2015;1;2;0;-2.5;2.1;9.3;63;89;99;6;18;280;4175;-
Tolmezzo;2015;1;3;0;-0.4;3.2;10;61;88;99;6;20;283;4777;-
Tolmezzo;2015;1;4;0.2;1.7;6;13;15;54;98;13;42;5;6444;-
Tolmezzo;2015;1;5;0;-2.1;2.7;8.6;30;58;82;8;27;148;6357;-
Tolmezzo;2015;1;6;0;-3;1.2;9;44;71;85;6;17;295;5526;-
Tolmezzo;2015;1;7;0;-1.9;1;7.1;55;80;92;6;17;308;3149;-
Tolmezzo;2015;1;8;0;-1.7;1.5;7.3;63;87;95;5;15;316;3154;-
Tolmezzo;2015;1;9;0;-0.5;3;8.1;62;86;96;5;19;296;3780;-
Tolmezzo;2015;1;10;0;2.3;5.6;6.9;81;87;99;8;32;137;446;-
Tolmezzo;2015;1;11;1.6;0.7;5.5;10.2;23;75;99;9;27;321;198;-
Tolmezzo;2015;1;12;0;-0.5;3.4;10.5;30;65;86;6;18;163;6576;-
Tolmezzo;2015;1;13;0;-0.9;2.5;9.9;40;74;94;7;19;288;6326;-
Tolmezzo;2015;1;14;0;-0.5;2.7;8.3;63;86;99;7;23;303;3226;-
Tolmezzo;2015;1;15;0;-1.2;3.1;7.1;69;90;99;6;20;287;2248;-
Tolmezzo;2015;1;16;24.8;3.8;5;6.4;80;93;99;8;23;299;21;-
Tolmezzo;2015;1;17;143.4;5.4;6.9;9.4;94;99;99;10;49;270;11;-
Tolmezzo;2015;1;18;0;1.1;4.7;9.5;78;96;99;6;22;299;4714;-
Tolmezzo;2015;1;19;0;-0.8;1.6;6;73;95;99;5;15;302;2640;-
Tolmezzo;2015;1;20;0;-0.5;3;10.3;47;82;98;6;16;314;6991;-
Tolmezzo;2015;1;21;3;-1;3.1;7.4;53;85;99;5;15;323;1918;-
Tolmezzo;2015;1;22;10.2;1.9;4.2;7.9;87;97;99;6;16;299;2274;-
Tolmezzo;2015;1;23;0;2.3;7.3;14.3;34;67;99;11;32;296;5664;-
Tolmezzo;2015;1;24;0;2.8;6.8;13.5;26;56;80;9;24;338;6742;-
