stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Trieste Ist. Nautico;2009;1;1;-;-;-;-;-;-;-;10;31;130;-;-
Trieste Ist. Nautico;2009;1;2;-;-;-;-;-;-;-;22;91;65;-;-
Trieste Ist. Nautico;2009;1;3;-;-;-;-;-;-;-;30;100;120;-;-
Trieste Ist. Nautico;2009;1;4;-;-;-;-;-;-;-;10;62;114;-;-
Trieste Ist. Nautico;2009;1;5;-;-;-;-;-;-;-;8;51;79;-;-
Trieste Ist. Nautico;2009;1;6;-;-;-;-;-;-;-;28;75;106;-;-
Trieste Ist. Nautico;2009;1;7;-;-;-;-;-;-;-;10;45;88;-;-
Trieste Ist. Nautico;2009;1;8;-;-;-;-;-;-;-;42;110;133;-;-
Trieste Ist. Nautico;2009;1;9;-;-;-;-;-;-;-;19;67;85;-;-
Trieste Ist. Nautico;2009;1;10;-;-;-;-;-;-;-;18;65;133;-;-
Trieste Ist. Nautico;2009;1;11;-;-;-;-;-;-;-;18;64;87;-;-
Trieste Ist. Nautico;2009;1;12;-;-;-;-;-;-;-;11;46;123;-;-
Trieste Ist. Nautico;2009;1;13;-;-;-;-;-;-;-;8;46;126;-;-
Trieste Ist. Nautico;2009;1;14;-;-;-;-;-;-;-;27;89;124;-;-
Trieste Ist. Nautico;2009;1;15;-;-;-;-;-;-;-;16;97;135;-;-
Trieste Ist. Nautico;2009;1;16;-;-;-;-;-;-;-;12;48;104;-;-
Trieste Ist. Nautico;2009;1;17;-;-;-;-;-;-;-;6;24;115;-;-
Trieste Ist. Nautico;2009;1;18;-;-;-;-;-;-;-;4;14;96;-;-
Trieste Ist. Nautico;2009;1;19;-;-;-;-;-;-;-;5;25;322;-;-
Trieste Ist. Nautico;2009;1;20;-;-;-;-;-;-;-;14;57;157;-;-
Trieste Ist. Nautico;2009;1;21;-;-;-;-;-;-;-;7;42;115;-;-
Trieste Ist. Nautico;2009;1;22;-;-;-;-;-;-;-;15;60;96;-;-
Trieste Ist. Nautico;2009;1;23;-;-;-;-;-;-;-;6;27;268;-;-
Trieste Ist. Nautico;2009;1;24;-;-;-;-;-;-;-;9;65;74;-;-
Trieste Ist. Nautico;2009;1;25;-;-;-;-;-;-;-;35;109;73;-;-
Trieste Ist. Nautico;2009;1;26;-;-;-;-;-;-;-;9;41;74;-;-
Trieste Ist. Nautico;2009;1;27;-;-;-;-;-;-;-;24;69;70;-;-
Trieste Ist. Nautico;2009;1;28;-;-;-;-;-;-;-;18;76;109;-;-
Trieste Ist. Nautico;2009;1;29;-;-;-;-;-;-;-;15;67;110;-;-
Trieste Ist. Nautico;2009;1;30;-;-;-;-;-;-;-;15;69;52;-;-
