stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Trieste molo F.lli Bandiera;2013;1;1;0;5.2;7.8;10.4;58;72;93;6;28;282;5542;1020.0
Trieste molo F.lli Bandiera;2013;1;2;0.4;8.2;9.8;11.1;56;77;92;14;59;73;1685;1023.7
Trieste molo F.lli Bandiera;2013;1;3;0;7.5;9.4;11.5;55;67;78;9;45;68;6195;1034.1
Trieste molo F.lli Bandiera;2013;1;4;0;6.3;8.2;9.6;73;80;90;4;17;156;2622;1030.0
Trieste molo F.lli Bandiera;2013;1;5;0;5.9;8.2;11.3;66;87;92;4;14;82;6055;1022.2
Trieste molo F.lli Bandiera;2013;1;6;0;7.4;10;14.2;62;75;83;4;19;164;6135;1021.7
Trieste molo F.lli Bandiera;2013;1;7;0;6.7;9;14.5;36;64;85;17;56;68;6963;1023.3
Trieste molo F.lli Bandiera;2013;1;8;0;7;8.9;9.9;44;61;82;5;35;99;1124;1026.6
Trieste molo F.lli Bandiera;2013;1;9;0;8.3;9.4;10.6;73;81;88;4;19;110;3136;1023.0
Trieste molo F.lli Bandiera;2013;1;10;0.5;7.5;8.3;9.3;87;92;98;8;28;140;526;1014.4
Trieste molo F.lli Bandiera;2013;1;11;0;6.8;8.2;9.6;58;84;97;6;40;119;2427;1011.1
Trieste molo F.lli Bandiera;2013;1;12;0;4.4;6.9;8.1;36;51;66;12;58;85;3108;1017.7
Trieste molo F.lli Bandiera;2013;1;13;11.5;2.8;5.8;8;49;75;89;24;79;42;1512;1014.2
Trieste molo F.lli Bandiera;2013;1;14;15;2;5;7;70;80;91;26;77;76;993;1011.1
Trieste molo F.lli Bandiera;2013;1;15;1.9;5.7;7.4;9.3;70;78;87;11;36;267;2949;1009.1
Trieste molo F.lli Bandiera;2013;1;16;2.2;2.9;5.4;7.3;60;69;89;38;108;66;1358;999.9
Trieste molo F.lli Bandiera;2013;1;17;0;4;5.3;7;52;63;77;50;108;58;4669;1000.5
Trieste molo F.lli Bandiera;2013;1;18;0;4.2;5.2;6.5;46;53;65;16;91;49;2310;1002.7
Trieste molo F.lli Bandiera;2013;1;19;3.7;3.2;5.9;8.4;55;68;92;8;29;148;2057;1003.6
Trieste molo F.lli Bandiera;2013;1;20;22.6;5.2;8.5;13.8;92;98;100;7;51;256;715;999.5
Trieste molo F.lli Bandiera;2013;1;21;19.9;8;9.2;10.9;99;99;99;7;22;278;1686;996.3
Trieste molo F.lli Bandiera;2013;1;22;16.7;6.5;7.8;9.7;71;86;100;14;42;80;2997;1003.1
Trieste molo F.lli Bandiera;2013;1;23;0.9;6;8.1;9.9;64;79;86;8;35;42;5742;1008.7
Trieste molo F.lli Bandiera;2013;1;24;0.3;5.6;7.2;8.7;56;65;72;42;108;66;1354;1002.4
Trieste molo F.lli Bandiera;2013;1;25;0;1;4.3;5.9;42;54;66;46;95;80;7489;1010.6
Trieste molo F.lli Bandiera;2013;1;26;0;-0.2;1.8;4.9;39;52;67;33;104;67;8813;1014.5
Trieste molo F.lli Bandiera;2013;1;27;0;1.6;4.4;7.7;36;53;69;8;52;51;8177;1016.5
Trieste molo F.lli Bandiera;2013;1;28;2.7;4.3;6.5;7.9;52;75;94;6;31;30;1758;1018.1
Trieste molo F.lli Bandiera;2013;1;29;0;3.8;6;7.7;78;91;97;8;24;139;4763;1024.6
Trieste molo F.lli Bandiera;2013;1;30;0;6.3;6.9;7.7;83;88;93;8;29;199;1694;1022.1
Trieste molo F.lli Bandiera;2013;1;31;0.2;5.5;7.1;8.4;88;93;100;6;24;347;3159;1021.9
Trieste molo F.lli Bandiera;2013;2;1;0.8;7.3;7.9;8.5;87;96;100;5;15;148;2747;1011.9
Trieste molo F.lli Bandiera;2013;2;2;45.9;5.4;8.9;13.4;58;93;100;22;93;49;206;994.4
Trieste molo F.lli Bandiera;2013;2;3;0;5.2;7.7;9.5;21;40;61;21;76;45;5844;1011.2
Trieste molo F.lli Bandiera;2013;2;4;0;5;7.5;10.5;32;50;71;11;35;238;9473;1018.6
Trieste molo F.lli Bandiera;2013;2;5;0.9;6.4;8.9;10.6;62;79;93;7;27;151;2197;1011.8
Trieste molo F.lli Bandiera;2013;2;6;16.1;4.5;7.1;10.6;57;81;97;22;70;72;696;999.9
Trieste molo F.lli Bandiera;2013;2;7;0;3.2;5.6;8.1;41;55;72;20;59;39;8401;1006.1
Trieste molo F.lli Bandiera;2013;2;8;0;4.1;5.2;6.4;31;43;54;25;52;70;7114;1011.5
Trieste molo F.lli Bandiera;2013;2;9;0;2.1;3.7;4.9;38;53;72;20;49;70;3346;1015.7
Trieste molo F.lli Bandiera;2013;2;10;0;0.4;2.6;4.9;34;53;87;11;36;89;10794;1016.5
Trieste molo F.lli Bandiera;2013;2;11;2.7;0.5;3.4;6.1;57;79;93;15;55;106;2626;1009.9
Trieste molo F.lli Bandiera;2013;2;12;15.2;1.1;4.8;8;55;71;97;20;66;74;8440;1006.7
Trieste molo F.lli Bandiera;2013;2;13;0.1;3.9;5.5;6.2;55;62;67;46;112;73;2486;1012.5
Trieste molo F.lli Bandiera;2013;2;14;0;5.3;7;9.1;46;53;61;21;75;59;9078;1018.5
Trieste molo F.lli Bandiera;2013;2;15;0;4.9;6.9;9.3;40;54;68;24;53;75;10889;1018.1
Trieste molo F.lli Bandiera;2013;2;16;0;5.7;7.6;10.4;40;53;70;19;63;65;10721;1021.7
Trieste molo F.lli Bandiera;2013;2;17;0;5.1;6.8;9.1;38;50;58;21;71;62;10188;1021.3
Trieste molo F.lli Bandiera;2013;2;18;0;4.6;6.1;7.8;45;53;61;37;72;59;11553;1019.7
Trieste molo F.lli Bandiera;2013;2;19;0;3.2;5.7;7.7;40;53;63;15;51;65;11601;1016.8
Trieste molo F.lli Bandiera;2013;2;20;0;4.6;6.5;9.2;42;56;65;18;78;94;3430;1015.7
Trieste molo F.lli Bandiera;2013;2;21;1.2;-0.5;2.9;5;47;62;100;53;97;66;4390;1014.1
Trieste molo F.lli Bandiera;2013;2;22;0.2;-0.6;1.9;3.6;52;69;100;44;91;69;6449;1007.4
Trieste molo F.lli Bandiera;2013;2;23;8.4;0.5;3.5;6.6;47;68;98;31;103;61;7319;1004.7
Trieste molo F.lli Bandiera;2013;2;24;5;3.9;5.7;8.1;63;79;93;17;64;75;953;1008.8
Trieste molo F.lli Bandiera;2013;2;25;0;5.2;8;10.7;39;57;83;9;46;76;11273;1018.7
Trieste molo F.lli Bandiera;2013;2;26;0.1;6.7;9.2;11.6;44;54;66;14;55;70;10389;1020.4
Trieste molo F.lli Bandiera;2013;2;27;0.1;8.5;9.1;10.1;53;60;67;19;63;56;2809;1023.5
Trieste molo F.lli Bandiera;2013;2;28;0;7.2;9.4;13.5;42;59;82;15;46;89;13168;1024.7
Trieste molo F.lli Bandiera;2013;3;1;0;5.7;8.1;10.4;66;81;92;5;13;349;10500;1020.7
Trieste molo F.lli Bandiera;2013;3;2;0;6.9;8.5;10.7;19;43;85;22;76;67;14691;1020.3
Trieste molo F.lli Bandiera;2013;3;3;0;6.3;8.6;12.7;20;51;81;8;46;106;13608;1018.7
Trieste molo F.lli Bandiera;2013;3;4;0;7.1;10.2;15.4;14;38;73;15;52;106;15265;1021.9
Trieste molo F.lli Bandiera;2013;3;5;0;7.5;10.1;12.9;23;45;71;6;27;90;12908;1022.5
Trieste molo F.lli Bandiera;2013;3;6;10.4;9.7;11.5;13;60;92;100;9;36;167;810;1013.7
Trieste molo F.lli Bandiera;2013;3;7;15.5;9.8;10.8;12.4;96;99;100;6;23;18;1201;1006.9
Trieste molo F.lli Bandiera;2013;3;8;13.2;9.5;10.5;11.4;-;-;-;4;18;279;3191;1005.3
Trieste molo F.lli Bandiera;2013;3;9;8.8;10.2;10.8;12.2;-;-;-;5;21;229;1442;1003.6
Trieste molo F.lli Bandiera;2013;3;10;13.9;8.8;10.4;12.4;-;-;-;8;33;224;2970;1001.1
Trieste molo F.lli Bandiera;2013;3;11;1.3;7.9;10.5;12.9;38;91;99;5;21;160;12371;999.9
Trieste molo F.lli Bandiera;2013;3;12;2.3;9.3;10.5;12.4;71;83;94;6;18;141;6676;998.8
Trieste molo F.lli Bandiera;2013;3;13;24.2;8.6;10.4;13;67;82;94;8;44;299;5093;996.7
Trieste molo F.lli Bandiera;2013;3;14;0.1;4.6;7;9.4;38;58;80;33;101;58;2105;994.7
Trieste molo F.lli Bandiera;2013;3;15;0;3.4;5.5;8.3;24;41;57;21;50;82;10792;1008.1
Trieste molo F.lli Bandiera;2013;3;16;0;1.9;4.4;6.4;26;44;56;17;43;68;18001;1021.4
Trieste molo F.lli Bandiera;2013;3;17;0.7;3.9;7;9.8;45;58;86;14;42;205;5079;1017.1
Trieste molo F.lli Bandiera;2013;3;18;20;7;9.9;13.6;74;84;98;22;77;147;1284;997.4
Trieste molo F.lli Bandiera;2013;3;19;1.7;5.7;9;12.6;57;74;91;12;61;202;17776;1002.4
Trieste molo F.lli Bandiera;2013;3;20;0.7;9.3;10.8;12.7;51;66;81;8;26;150;12199;1007.9
Trieste molo F.lli Bandiera;2013;3;21;2.1;8.3;10.5;12.6;28;68;92;8;36;57;17465;1010.3
Trieste molo F.lli Bandiera;2013;3;22;0;8.5;10.7;13.5;20;45;73;12;35;105;20087;1013.0
Trieste molo F.lli Bandiera;2013;3;23;2.5;5.5;9.8;13.9;41;54;82;15;51;71;7243;1013.7
Trieste molo F.lli Bandiera;2013;3;24;2.4;2.8;5.2;6.9;65;71;81;49;99;73;2919;1012.1
Trieste molo F.lli Bandiera;2013;3;25;13.3;0.2;1.9;3.4;61;73;86;68;126;68;1853;1004.6
Trieste molo F.lli Bandiera;2013;3;26;0;2.3;4.3;7.6;44;58;71;35;103;56;11146;1005.2
Trieste molo F.lli Bandiera;2013;3;27;0;1.4;4.6;8.3;43;55;61;19;56;102;11836;1010.7
Trieste molo F.lli Bandiera;2013;3;28;0.1;4.1;8;12.1;49;63;78;7;48;146;9033;1013.6
Trieste molo F.lli Bandiera;2013;3;29;29.6;7.3;8.5;11.8;78;97;100;7;44;143;1962;1007.4
Trieste molo F.lli Bandiera;2013;3;30;10.7;8.3;10.9;14.5;77;94;100;11;55;129;4226;1000.3
Trieste molo F.lli Bandiera;2013;3;31;14.9;7.3;8.8;12.3;60;77;100;33;82;63;2221;998.9
Trieste molo F.lli Bandiera;2013;4;1;0;6.3;7.8;10;58;67;77;28;69;72;6801;1007.3
Trieste molo F.lli Bandiera;2013;4;2;1.4;5.9;7.6;9.5;55;66;82;51;97;58;12323;1003.2
Trieste molo F.lli Bandiera;2013;4;3;0;7.7;9.7;12.3;48;58;65;19;52;70;12550;1006.5
Trieste molo F.lli Bandiera;2013;4;4;0;8;9.8;12;56;67;80;9;30;63;11760;1009.3
Trieste molo F.lli Bandiera;2013;4;5;7.6;8.7;9.8;11.6;62;73;86;30;89;56;2236;1002.4
Trieste molo F.lli Bandiera;2013;4;6;0.5;8.9;10.5;13.3;54;68;82;20;70;66;9949;1011.2
