stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Udine S.O.;2007;1;1;1.6;5.2;6.2;7;96;98;99;3;16;172;317;1016.4
Udine S.O.;2007;1;2;0.6;-0.9;5.7;8.8;69;91;99;7;39;138;2581;1006.5
Udine S.O.;2007;1;3;0;-1.8;3.7;11.1;47;75;96;5;14;51;6524;1015.5
Udine S.O.;2007;1;4;0;2.9;6.1;9.3;63;73;86;6;16;88;2120;1011.6
Udine S.O.;2007;1;5;0;2.5;6.5;13;48;75;95;5;15;349;6279;1011.4
Udine S.O.;2007;1;6;0;2.8;6.4;10.3;68;87;98;4;10;60;2362;1016.5
Udine S.O.;2007;1;7;0;5.3;7.7;10;82;91;99;3;14;294;2089;1014
Udine S.O.;2007;1;8;1;5.3;8;10.6;86;93;98;3;15;55;1622;1009.3
Udine S.O.;2007;1;9;0;3.4;7.5;11.3;81;94;99;3;12;130;3230;1013.4
Udine S.O.;2007;1;10;2.4;7.3;8.1;9;93;98;99;3;10;153;692;1017.9
Udine S.O.;2007;1;11;1;7.5;8.1;9.2;98;99;99;2;8;311;817;1014.5
Udine S.O.;2007;1;12;0.4;3.5;7.1;11.6;84;96;99;6;23;221;5120;1011.3
Udine S.O.;2007;1;13;0;1.9;7.7;12.3;72;87;97;4;12;355;2784;1016.4
Udine S.O.;2007;1;14;0;1.6;7.3;10.1;81;90;99;3;10;122;1648;1017.5
Udine S.O.;2007;1;15;0.2;2.1;8.4;17.4;37;79;99;5;14;178;6963;1019.8
Udine S.O.;2007;1;16;0.6;3.4;5.9;7.5;96;98;99;5;16;19;847;1019.1
Udine S.O.;2007;1;17;0;6.6;8.3;10.3;84;93;98;2;8;333;1872;1015.9
Udine S.O.;2007;1;18;0;5;6.6;8.3;94;98;99;4;14;166;903;1011.3
Udine S.O.;2007;1;19;0.4;4;6.9;9;94;98;99;3;15;36;1250;1004.2
Udine S.O.;2007;1;20;0.2;3.6;9.1;13.7;80;93;99;4;17;339;2751;1009.6
Udine S.O.;2007;1;21;0.6;9.2;9.6;10;98;99;99;4;12;175;684;1005.9
Udine S.O.;2007;1;22;9.2;7.6;8.9;10.7;83;92;99;12;30;74;871;1004.2
Udine S.O.;2007;1;23;43.8;8.7;10;12.2;88;96;99;12;35;190;806;991.5
Udine S.O.;2007;1;24;0.8;4;6.5;9.9;68;88;96;8;36;172;3503;984.8
Udine S.O.;2007;1;25;2.6;1.2;3;5.3;57;69;93;18;36;74;2337;1002.5
Udine S.O.;2007;1;26;0;-2.2;2;4.7;48;59;74;17;44;64;6329;1010
Udine S.O.;2007;1;27;0;-4.5;0.8;7.3;38;70;88;4;13;276;8691;1011.1
Udine S.O.;2007;1;28;0;-3.6;2.7;9.2;44;77;95;5;16;40;6903;1016.1
Udine S.O.;2007;1;29;0;-1.1;3.2;8.9;69;87;97;5;17;134;5098;1008.4
Udine S.O.;2007;1;30;0;-0.9;4.7;12.8;56;85;98;4;13;248;7665;1011.8
Udine S.O.;2007;1;31;0;0.1;6.2;9.8;68;83;95;3;8;7;2942;1012.5
Udine S.O.;2007;2;1;0;0.9;5.8;10.5;64;89;99;4;14;89;3796;1011.6
Udine S.O.;2007;2;2;0;-0.5;5.6;13.1;48;79;99;4;14;213;8726;1017.5
Udine S.O.;2007;2;3;0;-1.6;1.9;8.2;90;98;99;3;14;348;6945;1014.7
Udine S.O.;2007;2;4;0;-2.5;4.4;12.5;36;72;99;5;17;165;9658;1016.7
Udine S.O.;2007;2;5;0;-2.9;3.2;10.7;59;84;99;6;18;171;8225;1009.9
Udine S.O.;2007;2;6;14.8;-0.9;4.7;8.2;73;92;99;5;16;65;2099;997.9
Udine S.O.;2007;2;7;4.4;5.2;6.7;8.6;87;94;99;4;12;83;2204;994.1
Udine S.O.;2007;2;8;8.2;5.9;7.4;9.6;85;95;99;4;13;55;2852;994.8
Udine S.O.;2007;2;9;5.2;4.4;8.5;10.3;94;98;99;6;18;138;1915;997
Udine S.O.;2007;2;10;0.2;3.1;7.1;11.8;80;94;99;4;21;174;4655;998.3
Udine S.O.;2007;2;11;0;1.4;7.5;14.4;51;84;99;5;15;11;8169;999.5
Udine S.O.;2007;2;12;32.2;3.4;8.3;11.5;74;91;99;8;30;346;3494;994.9
Udine S.O.;2007;2;13;19.2;3.2;8;12.8;68;87;99;6;31;141;7966;994.4
Udine S.O.;2007;2;14;0;0.7;8.1;14.9;36;78;98;5;17;203;9666;1002.9
