stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Vivaro;2000;1;1;0;-4.4;-0.3;6;38;72;92;8;19;329;6074;1006.1
Vivaro;2000;1;2;0;-5.2;-0.8;6.7;37;74;91;6;15;335;6633;1008.0
Vivaro;2000;1;3;0;-5.5;-1.3;6.1;51;80;93;7;15;329;5412;1009.1
Vivaro;2000;1;4;0;-5.9;-1.5;6.1;54;82;97;6;15;329;7172;1003.7
Vivaro;2000;1;5;0;-4.4;0.9;8.2;51;78;94;8;17;324;6593;1003.2
Vivaro;2000;1;6;0;-3.5;1.1;8.4;51;77;93;7;17;331;6359;1003.8
Vivaro;2000;1;7;0;-2.9;2.7;13.5;32;72;92;9;20;329;6248;1005.5
Vivaro;2000;1;8;0;-2.8;3;10.1;47;74;95;8;20;328;6592;1005.7
Vivaro;2000;1;9;0.2;-1.6;3;8.2;62;88;99;7;14;3;4992;1005.3
Vivaro;2000;1;10;0;-2.5;2.2;8.8;55;81;99;7;17;338;5934;1009.9
Vivaro;2000;1;11;0;-4;1;7.2;54;79;98;7;15;97;5963;1014.9
Vivaro;2000;1;12;0;-5.3;0.1;5.3;42;71;99;7;17;306;7310;1013.0
Vivaro;2000;1;13;0;-6;-0.8;4.4;37;68;92;6;19;331;6933;1007.4
Vivaro;2000;1;14;0;-5.1;0.6;5;55;75;88;10;22;323;1911;1003.8
Vivaro;2000;1;15;0;-3.9;2.7;10.2;48;75;97;7;19;337;7154;1004.9
Vivaro;2000;1;16;0;-5.8;-1.3;5.7;47;81;99;6;14;120;6578;1007.0
Vivaro;2000;1;17;0;-6.6;-1.9;3.3;59;83;95;6;15;2;6901;998.0
Vivaro;2000;1;18;0;-4;-0.3;2.7;87;95;99;8;24;322;2868;985.4
Vivaro;2000;1;19;0;-5.5;1.6;9.2;42;74;99;7;23;281;7721;998.7
Vivaro;2000;1;20;0;-5.4;-0.2;7.4;24;59;78;9;19;330;5809;1004.7
Vivaro;2000;1;21;0;-5;-0.4;6.6;43;71;97;8;20;330;7694;994.6
Vivaro;2000;1;22;0;-4;-0.7;1.4;73;86;99;6;19;8;1491;992.5
Vivaro;2000;1;23;0;-5.5;0.5;7.7;37;74;97;9;20;318;7242;985.0
Vivaro;2000;1;24;0;-8.4;-3.1;1.7;50;78;95;7;18;255;4400;995.2
Vivaro;2000;1;25;0;-10.4;-5.5;0.5;24;63;87;6;15;340;8352;1006.4
Vivaro;2000;1;26;0;-10.4;-5.5;1.8;33;66;89;7;17;329;8572;1009.9
Vivaro;2000;1;27;0;-9.8;-4.1;3.8;36;71;90;6;13;5;8368;1009.4
Vivaro;2000;1;28;0;-4.4;0.1;5.1;58;77;90;9;24;319;7204;1004.2
Vivaro;2000;1;29;0;-5.2;0.1;4.8;57;82;93;8;20;328;3537;998.5
Vivaro;2000;1;30;0;-2.3;2;8.2;61;84;98;7;15;41;6900;997.9
Vivaro;2000;1;31;0;-2.4;2.8;9.6;75;91;99;8;17;343;5014;1005.5
Vivaro;2000;2;1;0.4;-1.3;4.4;9.3;83;94;99;6;14;331;2040;1008.9
Vivaro;2000;2;2;0;1.9;3.8;6.2;98;99;99;5;12;339;1813;1003.0
Vivaro;2000;2;3;0;-1.3;4.5;13.1;63;89;99;6;21;329;8894;1006.2
Vivaro;2000;2;4;0;-1.3;3.7;11.2;35;78;99;9;21;217;8388;1017.2
Vivaro;2000;2;5;0;-2.2;2.5;8;79;93;99;5;12;7;5464;1014.2
Vivaro;2000;2;6;0;-3.8;-0.3;4.5;91;98;99;3;9;158;7078;1009.2
Vivaro;2000;2;7;0;-1.3;0.7;3.5;99;99;99;5;14;49;2432;1004.1
Vivaro;2000;2;8;0;4.5;5.1;6.9;87;96;99;4;13;9;2050;1000.6
Vivaro;2000;2;9;0;-0.8;6.5;12.1;16;80;99;8;38;27;6093;998.1
Vivaro;2000;2;10;0;-3.5;3.6;12.4;29;64;90;9;19;327;10866;1005.9
Vivaro;2000;2;11;0;-2.1;4.1;11.8;29;67;88;8;18;330;6243;1004.9
