stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Boa Paloma;2017;1;1;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;2;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;3;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;4;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;5;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;6;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;7;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;8;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;9;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;10;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;11;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;12;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;13;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;14;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;15;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;16;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;17;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;18;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;19;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;20;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;21;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;22;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;23;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;24;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;25;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;26;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;27;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;28;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;29;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;30;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;1;31;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;1;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;2;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;3;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;4;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;5;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;6;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;7;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;8;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;9;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;10;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;11;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;12;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;13;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;14;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;15;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;16;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2017;2;17;-;0.1;4.3;9.4;91;93;94;-;-;-;5746;1024.9
Boa Paloma;2017;2;18;-;7.4;8.7;9.9;53;69;92;-;-;-;12003;1023.2
Boa Paloma;2017;2;19;-;6.5;8.0;9.0;51;61;74;-;-;-;7382;1024.3
Boa Paloma;2017;2;20;-;6.2;7.4;10.0;68;72;75;-;-;-;12357;1022.9
Boa Paloma;2017;2;21;-;5.2;6.7;7.4;73;79;81;-;-;-;4440;1019.6
Boa Paloma;2017;2;22;-;7.1;7.5;8.0;77;80;83;-;-;-;1884;1018.5
Boa Paloma;2017;2;23;-;7.0;7.7;9.4;78;84;87;-;-;-;3529;1015.0
Boa Paloma;2017;2;24;-;5.0;8.6;11.1;59;85;90;-;-;-;965;1009.0
Boa Paloma;2017;2;25;-;6.4;8.7;10.1;28;39;60;-;-;-;15260;1020.2
Boa Paloma;2017;2;26;-;6.2;7.6;9.5;32;46;60;-;-;-;13436;1019.9
Boa Paloma;2017;2;27;-;5.5;8.2;9.9;57;64;78;-;-;-;13270;1016.2
Boa Paloma;2017;2;28;-;8.7;11.3;14.2;44;65;85;-;-;-;3947;1005.1
Boa Paloma;2017;3;1;-;4.6;8.3;12.2;60;69;76;-;-;-;10561;1008.7
Boa Paloma;2017;3;2;-;6.8;9.4;11.8;63;71;78;-;-;-;10347;1015.0
Boa Paloma;2017;3;3;-;8.9;10.5;13.0;65;75;80;-;-;-;9802;1017.1
Boa Paloma;2017;3;4;-;8.8;10.9;13.9;61;76;88;-;-;-;1488;1008.5
Boa Paloma;2017;3;5;-;8.9;9.9;10.8;68;74;82;-;-;-;9257;1008.4
Boa Paloma;2017;3;6;-;8.1;9.3;10.8;70;75;80;-;-;-;12278;1003.9
Boa Paloma;2017;3;7;-;9.0;11.7;14.8;17;41;76;-;-;-;9655;1005.0
Boa Paloma;2017;3;8;-;9.5;11.9;15.4;12;31;47;-;-;-;16793;1018.0
Boa Paloma;2017;3;9;-;9.0;10.9;12.8;28;51;66;-;-;-;13673;1016.4
Boa Paloma;2017;3;10;-;8.3;12.3;16.5;9;35;73;-;-;-;19113;1015.0
Boa Paloma;2017;3;11;-;8.8;10.2;11.8;11;40;60;-;-;-;17235;1019.2
Boa Paloma;2017;3;12;-;7.7;9.5;10.9;33;48;61;-;-;-;17012;1016.2
Boa Paloma;2017;3;13;-;7.9;9.3;11.0;31;45;63;-;-;-;17371;1022.7
Boa Paloma;2017;3;14;-;7.6;9.5;11.8;60;65;69;-;-;-;14673;1026.9
Boa Paloma;2017;3;15;-;8.8;10.7;12.1;45;60;72;-;-;-;15435;1026.5
Boa Paloma;2017;3;16;-;8.8;10.3;12.4;64;69;73;-;-;-;16531;1022.8
Boa Paloma;2017;3;17;-;8.4;10.9;14.4;60;69;76;-;-;-;16383;1016.2
Boa Paloma;2017;3;18;-;9.8;11.6;14.5;61;69;77;-;-;-;8846;1008.9
Boa Paloma;2017;3;19;-;10.0;11.4;12.9;71;77;81;-;-;-;9447;1010.5
Boa Paloma;2017;3;20;-;8.2;10.6;13.6;71;83;93;-;-;-;16793;1012.3
Boa Paloma;2017;3;21;-;8.1;10.3;12.0;93;94;95;-;-;-;7747;1011.3
Boa Paloma;2017;3;22;-;10.3;11.6;12.2;91;92;93;-;-;-;2545;1012.2
Boa Paloma;2017;3;23;-;11.3;12.7;15.2;81;87;92;-;-;-;16522;1016.2
Boa Paloma;2017;3;24;-;11.3;13.3;16.3;64;75;85;-;-;-;16726;1021.0
Boa Paloma;2017;3;25;-;12.2;14.2;18.8;29;65;78;-;-;-;18648;1018.1
Boa Paloma;2017;3;26;-;10.8;12.0;13.6;16;54;80;-;-;-;8519;1017.5
Boa Paloma;2017;3;27;-;9.8;12.1;15.9;11;27;44;-;-;-;21029;1023.1
Boa Paloma;2017;3;28;-;9.9;12.0;15.0;15;49;64;-;-;-;20943;1021.9
Boa Paloma;2017;3;29;-;10.3;14.1;20.0;27;51;65;-;-;-;21011;1020.9
Boa Paloma;2017;3;30;-;12.4;15.0;19.6;16;49;57;-;-;-;20295;1022.8
Boa Paloma;2017;3;31;-;11.8;14.6;20.3;33;58;66;-;-;-;20332;1020.2
Boa Paloma;2017;4;1;-;12.1;14.3;16.8;42;59;66;-;-;-;18799;1014.5
Boa Paloma;2017;4;2;-;12.5;14.6;19.2;30;62;68;-;-;-;18066;1014.7
Boa Paloma;2017;4;3;-;12.1;16.6;23.6;9;51;77;-;-;-;21462;1013.8
Boa Paloma;2017;4;4;-;13.1;16.5;20.7;30;47;72;-;-;-;17537;1013.5
Boa Paloma;2017;4;5;-;12.3;13.7;15.5;45;71;81;-;-;-;15906;1015.5
Boa Paloma;2017;4;6;-;12.3;13.2;14.5;36;67;78;-;-;-;21050;1014.9
Boa Paloma;2017;4;7;-;11.5;12.6;13.5;24;45;66;-;-;-;17385;1018.4
Boa Paloma;2017;4;8;-;11.0;13.5;15.5;65;69;78;-;-;-;22841;1020.3
Boa Paloma;2017;4;9;-;12.6;14.6;17.3;55;68;79;-;-;-;23019;1022.2
Boa Paloma;2017;4;10;-;13.1;14.5;15.9;63;70;75;-;-;-;22795;1018.5
