stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Bordano;2007;1;1;2.4;4.5;5.9;7.4;-;-;-;5;27;-;-;-
Bordano;2007;1;2;0;4.2;6.8;9.3;-;-;-;9;35;323;-;-
Bordano;2007;1;3;0;2.2;5.3;11.1;-;-;-;6;20;351;-;-
Bordano;2007;1;4;0;2.7;5.0;8.5;-;-;-;5;21;325;-;-
Bordano;2007;1;5;0;1.7;5.0;11.8;-;-;-;8;23;347;-;-
Bordano;2007;1;6;0;2.7;5.7;10.4;-;-;-;5;20;336;-;-
Bordano;2007;1;7;0;6.0;7.4;9.1;-;-;-;4;19;355;-;-
Bordano;2007;1;8;0;6.3;8.3;11.2;-;-;-;6;19;202;-;-
Bordano;2007;1;9;0;6.5;8.1;12.1;-;-;-;4;21;195;-;-
Bordano;2007;1;10;0.2;6.1;7.2;8.4;-;-;-;3;18;327;-;-
Bordano;2007;1;11;0.4;7.1;7.8;9.2;-;-;-;3;16;360;-;-
Bordano;2007;1;12;0;5.5;8.9;19.7;-;-;-;8;46;311;-;-
Bordano;2007;1;13;0;3.6;6.4;12.4;-;-;-;6;21;342;-;-
Bordano;2007;1;14;0;4.0;7.5;12.7;-;-;-;8;22;344;-;-
Bordano;2007;1;15;0;3.9;7.8;15.6;-;-;-;8;25;327;-;-
Bordano;2007;1;16;0;1.7;5.4;8.3;-;-;-;5;21;329;-;-
Bordano;2007;1;17;0;5.8;8.2;10.9;-;-;-;6;26;-;-;-
Bordano;2007;1;18;2.2;5.8;6.4;7.8;-;-;-;2;13;213;-;-
Bordano;2007;1;19;0.4;5.9;8.3;12.5;-;-;-;4;20;299;-;-
Bordano;2007;1;20;0;5.7;8.8;12.2;-;-;-;5;23;-;-;-
Bordano;2007;1;21;6.6;8.1;9.1;10.0;-;-;-;1;12;331;-;-
Bordano;2007;1;22;51.6;6.4;8.0;10.0;-;-;-;7;23;352;-;-
Bordano;2007;1;23;214.2;4.7;6.9;11.7;-;-;-;12;40;15;-;-
