stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Borgo Grotta Gigante;2019;1;1;0.0;0.9;4.6;8.5;56;73;95;8;45;80;5906;992.5
Borgo Grotta Gigante;2019;1;2;0.0;-4.3;1.7;10.2;22;65;100;10;46;35;6616;985.9
Borgo Grotta Gigante;2019;1;3;0.0;-5.8;0.3;6.0;19;40;65;9;42;44;7463;992.0
Borgo Grotta Gigante;2019;1;4;0.0;-3.4;-0.5;4.6;36;66;89;9;29;299;7223;994.6
Borgo Grotta Gigante;2019;1;5;0.0;-4.9;-1.0;5.2;50;76;94;8;15;167;4441;987.5
Borgo Grotta Gigante;2019;1;6;0.0;-5.1;1.7;9.4;49;74;94;8;26;103;6572;986.3
Borgo Grotta Gigante;2019;1;7;0.0;0.1;2.1;4.6;60;71;84;10;34;90;3092;992.9
Borgo Grotta Gigante;2019;1;8;0.6;-1.9;2.0;4.7;82;96;100;6;19;78;1566;982.7
Borgo Grotta Gigante;2019;1;9;0.0;-2.6;2.2;6.3;54;85;100;8;23;81;5425;972.8
Borgo Grotta Gigante;2019;1;10;0.0;-1.0;2.7;7.5;38;60;78;13;41;47;7200;978.5
Borgo Grotta Gigante;2019;1;11;0.0;-4.3;0.4;4.9;39;62;78;12;39;82;7229;986.2
Borgo Grotta Gigante;2019;1;12;0.0;-3.7;0.5;6.1;49;76;93;6;14;87;5300;984.2
Borgo Grotta Gigante;2019;1;13;0.0;-1.9;3.8;9.8;60;82;98;7;24;274;7004;976.0
Borgo Grotta Gigante;2019;1;14;0.0;-0.4;4.9;11.3;67;87;98;8;27;42;7077;970.9
Borgo Grotta Gigante;2019;1;15;0.0;-2.9;1.5;8.7;31;70;93;10;25;253;7536;984.4
Borgo Grotta Gigante;2019;1;16;0.0;-1.4;5.3;9.3;59;83;98;8;27;228;6477;985.8
Borgo Grotta Gigante;2019;1;17;5.6;4.5;7.7;8.7;84;95;99;9;32;219;1777;981.1
Borgo Grotta Gigante;2019;1;18;37.0;2.0;4.5;8.4;68;87;100;18;55;90;2416;980.4
Borgo Grotta Gigante;2019;1;19;0.0;-0.1;1.7;3.7;62;71;77;18;54;80;6686;982.9
Borgo Grotta Gigante;2019;1;20;0.0;-2.5;1.6;6.4;54;74;93;8;34;94;6978;981.9
Borgo Grotta Gigante;2019;1;21;0.0;0.1;1.3;3.5;61;70;76;23;58;97;6026;982.9
Borgo Grotta Gigante;2019;1;22;0.4;-2.2;0.8;3.0;60;69;95;26;73;83;7227;974.1
Borgo Grotta Gigante;2019;1;23;3.4;-2.3;-1.2;0.9;73;83;98;15;44;86;2496;965.1
Borgo Grotta Gigante;2019;1;24;0.0;-1.7;1.3;4.8;60;71;80;23;75;86;8095;967.3
Borgo Grotta Gigante;2019;1;25;0.0;-2.3;0.2;2.5;48;61;72;19;55;55;7688;973.9
Borgo Grotta Gigante;2019;1;26;0.0;-3.1;0.4;6.6;31;58;76;8;35;97;8408;977.2
