stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Brugnera;2007;1;1;0;2.6;5;6.6;81;92;97;3;15;296;555;1027.4
Brugnera;2007;1;2;0;-1.4;5;9.7;74;89;97;8;30;234;2714;1017.2
Brugnera;2007;1;3;0.2;-3.5;2.2;9.8;57;83;97;4;13;331;6622;1026.5
Brugnera;2007;1;4;0;1.1;5.1;9.2;63;76;95;7;20;55;1892;1022
Brugnera;2007;1;5;0;-1;4.6;12.8;54;81;95;4;15;185;5486;1022.3
Brugnera;2007;1;6;0;0.7;6;10.5;69;86;96;3;12;30;2848;1026.9
Brugnera;2007;1;7;0;4.9;7.4;11.9;71;87;96;3;14;146;4206;1024.3
Brugnera;2007;1;8;1;1.9;6.8;11.4;71;90;97;4;14;196;2235;1019.9
Brugnera;2007;1;9;0.2;1.4;5.4;10.4;81;93;98;3;10;188;3702;1024.3
Brugnera;2007;1;10;0.2;4.7;7.1;9.2;86;95;99;3;10;189;1054;1028.6
Brugnera;2007;1;11;0.2;6.4;7.9;9.8;93;97;99;3;9;216;1962;1024.8
Brugnera;2007;1;12;0;1.6;7.2;12.4;76;95;99;6;23;276;3602;1021.5
Brugnera;2007;1;13;0.4;0.2;5.6;13;76;93;99;3;12;17;4415;1027
Brugnera;2007;1;14;0;1.2;6.8;11;75;92;99;3;10;157;2493;1028
Brugnera;2007;1;15;0.4;-0.4;5.8;16.1;51;87;99;3;12;96;6346;1030.6
Brugnera;2007;1;16;0.2;3.8;5.6;7.5;91;97;99;5;17;24;1401;1029.7
Brugnera;2007;1;17;0;2.1;6.1;10.9;72;91;99;3;9;358;3524;1026.8
Brugnera;2007;1;18;0;0.5;4.4;6;92;97;99;3;11;189;1252;1022.3
Brugnera;2007;1;19;0.2;3.6;7.1;10.4;82;94;99;4;19;48;4734;1014.1
Brugnera;2007;1;20;0;1.6;8;12.8;82;93;99;5;15;114;2659;1020
Brugnera;2007;1;21;0.8;8.4;9.3;10.2;94;98;99;4;13;72;838;1015.9
Brugnera;2007;1;22;5.2;8.1;9.5;10.6;88;95;99;8;26;59;889;1013.7
Brugnera;2007;1;23;47.4;8.7;11;13.2;93;97;99;10;31;228;900;1000.3
Brugnera;2007;1;24;0;4.2;6.8;10.6;66;86;97;6;17;156;5109;994
Brugnera;2007;1;25;1;1.5;3.5;6.2;61;78;92;14;41;54;2633;1011.9
Brugnera;2007;1;26;0;-1.6;2.3;6.3;53;69;94;7;20;25;6609;1019.7
Brugnera;2007;1;27;0;-3.8;0.6;6.3;55;81;95;3;18;330;8551;1021.7
Brugnera;2007;1;28;0.2;-2.5;2.7;9.6;50;77;97;5;17;45;8012;1026.5
Brugnera;2007;1;29;0.2;-2.3;2.1;8.8;64;87;97;3;14;57;5813;1018.9
Brugnera;2007;1;30;0.2;-1.3;3.7;11.9;57;85;97;3;15;158;7581;1022.2
Brugnera;2007;1;31;0.2;-0.6;5.1;10.5;61;83;98;3;14;257;4123;1023.2
Brugnera;2007;2;1;0;0.8;5.4;9.7;65;88;97;5;22;76;4388;1022.1
Brugnera;2007;2;2;0.2;-1.2;4.5;12.5;55;87;99;4;14;178;7890;1028.3
Brugnera;2007;2;3;0.4;-1;2.1;5.1;81;95;99;3;10;304;3262;1025.6
Brugnera;2007;2;4;0;-2.2;3.8;12.7;49;86;99;6;26;249;8562;1027.3
Brugnera;2007;2;5;0.4;-2.8;3;10.3;56;85;99;5;15;91;8526;1020
Brugnera;2007;2;6;4.8;-1.5;3.8;7.6;76;94;99;5;20;89;3621;1008.4
Brugnera;2007;2;7;2.8;4.7;6.8;9.3;80;94;99;3;10;104;4061;1004
Brugnera;2007;2;8;6.6;6;7.7;10;80;94;99;3;13;357;2974;1004.8
Brugnera;2007;2;9;0.8;6.7;9.2;12.9;70;90;99;6;19;37;6760;1006.6
Brugnera;2007;2;10;0;3.4;7.4;12.7;71;91;99;3;21;148;5565;1008.4
Brugnera;2007;2;11;0.2;0.4;6.6;14.4;63;88;99;4;17;220;7663;1009.9
Brugnera;2007;2;12;32.2;1.9;8.5;13.4;63;86;99;12;57;36;6781;1004.7
Brugnera;2007;2;13;11.4;1.7;8.7;13.4;62;83;98;11;48;25;9261;1004
Brugnera;2007;2;14;0.4;0.1;7.2;12.9;57;82;99;5;18;217;7276;1013.4
Brugnera;2007;2;15;0.4;2;8.1;13.1;65;86;98;4;12;41;6017;1015.3
Brugnera;2007;2;16;0.2;0.1;7.6;16.5;38;73;98;6;19;179;10805;1021.5
Brugnera;2007;2;17;0;0.9;7.4;14;46;67;91;5;18;97;10635;1023.1
Brugnera;2007;2;18;0;0.3;6.1;11.6;47;66;90;5;18;121;10964;1020.6
Brugnera;2007;2;19;0.2;-1.3;5.4;13.9;40;72;92;4;14;185;11029;1014.3
Brugnera;2007;2;20;0;-0.8;8.4;17;37;66;91;5;18;258;11518;1013.2
Brugnera;2007;2;21;0;6.1;10.6;14;57;76;92;5;17;121;7655;1015.1
Brugnera;2007;2;22;0.8;9.4;10.9;14;73;90;97;3;13;191;4354;1013.3
Brugnera;2007;2;23;0;8.4;11.3;16.6;49;81;99;4;15;112;6829;1012.1
Brugnera;2007;2;24;0.2;6.9;10.6;14.2;53;73;97;5;13;61;4453;1011.5
Brugnera;2007;2;25;8.4;6.1;9.3;12.1;77;91;98;7;19;36;3722;1008.6
Brugnera;2007;2;26;2.6;4.8;10.5;16.5;50;81;99;5;20;188;12771;1005.3
Brugnera;2007;2;27;0;1.4;8.9;17.3;45;78;98;6;24;234;12389;1011.9
Brugnera;2007;2;28;0.2;6.2;9.2;12.9;65;81;99;10;23;55;7214;1009
Brugnera;2007;3;1;0;3.1;9.4;14.6;63;80;93;4;19;108;9046;1005.7
Brugnera;2007;3;2;0;8.4;12.1;18.1;55;81;98;6;17;355;10597;1003.6
Brugnera;2007;3;3;0;5.6;11.8;16.7;58;72;96;7;19;50;9119;1008.3
Brugnera;2007;3;4;0;3.4;11.5;19.9;29;62;98;7;40;350;14028;1017.6
Brugnera;2007;3;5;0;4;11.5;18.4;41;68;94;8;20;88;13864;1021.3
Brugnera;2007;3;6;0;8.6;12.4;16;43;72;94;6;20;37;5229;1020.9
Brugnera;2007;3;7;25.2;9.9;11;13.2;82;94;99;13;28;64;1420;1009.5
Brugnera;2007;3;8;0.8;9.2;11.2;13.9;75;87;95;5;21;35;4913;1012.4
Brugnera;2007;3;9;0;6;12.2;17.8;41;68;98;5;22;178;14702;1020.8
Brugnera;2007;3;10;0;3.9;11.7;17.5;27;54;98;9;35;65;15036;1023.3
Brugnera;2007;3;11;0;3.7;12.1;17.9;24;37;75;14;46;73;13758;1027.8
Brugnera;2007;3;12;0;1;10.7;20.6;25;50;76;4;16;1;16039;1025.5
Brugnera;2007;3;13;0;3;12.7;22;31;53;75;5;16;240;16199;1022.9
Brugnera;2007;3;14;0;5.4;14.1;22.9;34;54;74;7;22;213;16028;1024.5
Brugnera;2007;3;15;0;7.1;13.9;20.6;41;56;79;7;20;217;14826;1023.9
Brugnera;2007;3;16;0;5.5;12.6;20.4;44;67;92;4;25;264;14333;1020.9
Brugnera;2007;3;17;0;5.2;11.7;19.4;48;72;92;5;19;140;11552;1017.8
Brugnera;2007;3;18;0;7.5;12.1;16.4;59;77;94;5;28;169;7030;1009
Brugnera;2007;3;19;24.2;4.5;9.7;13.5;64;87;97;14;58;46;3054;989.5
Brugnera;2007;3;20;1.8;1.4;6;9.1;53;70;89;16;52;104;4341;989
Brugnera;2007;3;21;0.2;0.2;6.4;13;34;64;90;5;19;135;13744;998.7
Brugnera;2007;3;22;0;0.2;6.6;13.8;26;55;91;6;23;141;18770;1006.3
Brugnera;2007;3;23;0;-0.4;7.5;15.2;30;56;89;6;28;238;18824;1001.9
Brugnera;2007;3;24;1.6;1.8;7.9;10.3;56;69;83;10;30;133;3909;1005.3
Brugnera;2007;3;25;5.8;7.7;10.6;14.2;44;61;72;21;53;67;4163;1013.7
Brugnera;2007;3;26;0.2;10.4;13.9;18.7;35;48;63;18;44;108;15165;1016.4
Brugnera;2007;3;27;0;5.5;11.8;16.5;33;46;60;14;39;51;12219;1017.6
Brugnera;2007;3;28;0;4.9;10.9;17.1;29;50;68;7;26;83;13028;1016.5
Brugnera;2007;3;29;0;3.1;10.2;16.8;36;59;78;5;17;235;17885;1015.8
Brugnera;2007;3;30;6.8;7;9.6;12;59;74;87;11;33;74;3648;1012.4
Brugnera;2007;3;31;23.4;4.5;9.3;12.3;64;83;97;12;31;29;3437;1016.2
Brugnera;2007;4;1;0;4;10.7;16.5;45;75;98;4;22;16;8240;1024.4
Brugnera;2007;4;2;0;7;13.2;20.5;44;71;94;6;28;76;15634;1022.2
Brugnera;2007;4;3;9.2;4.2;12.3;20.1;44;76;98;7;36;1;16227;1009.5
Brugnera;2007;4;4;0.2;8.3;13.9;19.6;43;61;90;13;33;50;13536;1005.8
Brugnera;2007;4;5;0;4.3;11.6;18.2;35;60;89;5;15;112;20061;1013.4
Brugnera;2007;4;6;0;4.5;13.4;21.9;33;60;93;6;27;224;20310;1016.2
Brugnera;2007;4;7;0;6.4;15.4;23.2;31;57;87;7;25;200;20610;1016.2
Brugnera;2007;4;8;0.2;8.7;15.2;21.8;41;63;86;9;33;43;15701;1017.3
Brugnera;2007;4;9;0;6.3;14.5;22.5;43;67;97;6;23;178;20349;1016.4
Brugnera;2007;4;10;0;8.1;15.8;23.3;43;69;92;6;21;175;20366;1016.7
Brugnera;2007;4;11;0;9.2;16.7;24.7;43;70;95;5;18;198;19468;1018.3
Brugnera;2007;4;12;0;9.4;17.5;25.6;36;65;96;6;21;183;21034;1019.2
Brugnera;2007;4;13;0;9.7;17.6;25.9;35;61;91;6;27;93;21014;1018.8
Brugnera;2007;4;14;0;9.8;19.5;28;26;52;82;9;33;67;22227;1017.6
Brugnera;2007;4;15;0;9.6;19.6;27.8;27;47;73;6;21;87;22625;1017
Brugnera;2007;4;16;0;11;19.1;25.9;31;45;71;8;31;161;21851;1016.5
Brugnera;2007;4;17;0;8;17.1;25.2;26;43;73;6;30;198;23175;1015.7
Brugnera;2007;4;18;0;10.2;16.3;24.3;41;56;76;6;27;138;19638;1013.7
Brugnera;2007;4;19;0;8.8;15.9;22.7;32;50;79;8;23;269;22275;1015.8
Brugnera;2007;4;20;0;6.7;15.6;23.7;37;57;85;6;24;198;22338;1014.5
Brugnera;2007;4;21;0;8.2;16.6;24.5;39;61;89;5;21;83;21672;1016
Brugnera;2007;4;22;0;9.2;18.4;26.9;36;59;91;7;26;146;22125;1018.7
Brugnera;2007;4;23;0;10.7;19.8;28;35;54;80;6;22;229;22601;1018.2
Brugnera;2007;4;24;0;12.6;19.8;26.9;42;57;81;4;18;89;16278;1015.1
Brugnera;2007;4;25;0;12.4;20.6;26.9;34;51;87;7;40;116;22569;1014
Brugnera;2007;4;26;0;13.4;20;26.2;30;44;66;10;37;103;23621;1017.2
Brugnera;2007;4;27;0;13;20;27.6;23;41;62;9;29;95;24228;1018.5
Brugnera;2007;4;28;0;9.8;19.2;27.3;29;47;73;7;31;237;24175;1017.2
Brugnera;2007;4;29;0;11.3;19.6;27.9;34;56;83;6;23;185;22814;1011.3
Brugnera;2007;4;30;2.4;14.8;19.5;26.2;37;58;89;9;37;32;19595;1008.3
Brugnera;2007;5;1;0;12.2;18.4;24.4;33;54;80;8;23;113;22670;1009.3
Brugnera;2007;5;2;7.8;13;15.8;19.6;34;63;96;11;30;75;10467;1013.8
Brugnera;2007;5;3;0.4;12.1;16.8;22.8;44;72;98;6;32;25;18362;1010.4
Brugnera;2007;5;4;36.4;13.2;14.4;17;67;84;92;12;37;57;3201;1007
Brugnera;2007;5;5;0;12.7;16.1;21.2;56;78;96;8;22;107;14323;1004.3
Brugnera;2007;5;6;3.8;9.9;17.3;25;41;76;98;4;50;66;24859;1006.7
Brugnera;2007;5;7;0.2;11;19.5;25.8;36;63;99;8;28;217;24993;1010.9
Brugnera;2007;5;8;0;14.3;19.6;25.5;49;68;84;9;21;119;20255;1009.6
Brugnera;2007;5;9;0;13.8;20.2;26.5;47;70;93;8;19;77;20245;1009.9
