stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Camino;2014;1;16;1.0;4.7;6.6;8.2;89;96;99;-;-;-;-;-
Camino;2014;1;17;49.2;6.7;8.0;10.0;96;98;98;-;-;-;-;-
Camino;2014;1;18;13.8;7.8;9.5;11.4;97;98;99;-;-;-;-;-
Camino;2014;1;19;25.4;9.9;11.8;13.5;84;93;99;-;-;-;-;-
Camino;2014;1;20;1.4;7.3;10.0;12.3;83;92;97;-;-;-;-;-
Camino;2014;1;21;0.0;6.8;9.8;14.1;67;87;98;-;-;-;-;-
Camino;2014;1;22;0.0;6.2;9.1;12.8;68;86;97;-;-;-;-;-
Camino;2014;1;23;0.8;6.4;8.5;11.5;83;95;99;-;-;-;-;-
Camino;2014;1;24;8.2;4.3;6.7;8.6;67;84;98;-;-;-;-;-
Camino;2014;1;25;0.0;0.5;4.9;9.9;65;84;94;-;-;-;-;-
Camino;2014;1;26;0.0;1.9;5.0;7.8;63;76;87;-;-;-;-;-
Camino;2014;1;27;9.4;1.9;4.7;7.3;67;81;91;-;-;-;-;-
Camino;2014;1;28;0.4;2.8;4.8;7.3;57;70;81;-;-;-;-;-
Camino;2014;1;29;0.0;1.3;3.0;5.4;57;71;79;-;-;-;-;-
Camino;2014;1;30;49.4;3.1;5.0;7.2;79;90;94;-;-;-;-;-
Camino;2014;1;31;104.2;6.3;7.6;8.9;92;95;96;-;-;-;-;-
Camino;2014;2;1;36.4;7.5;8.6;9.2;87;95;97;-;-;-;-;-
Camino;2014;2;2;46.6;5.4;6.9;8.0;77;90;94;-;-;-;-;-
Camino;2014;2;3;25.8;4.0;5.2;6.5;73;85;95;-;-;-;-;-
Camino;2014;2;4;38.0;3.7;5.6;7.1;72;89;96;-;-;-;-;-
Camino;2014;2;5;1.4;6.5;7.6;9.0;93;95;97;-;-;-;-;-
Camino;2014;2;6;0.6;5.1;8.3;13.6;61;87;98;-;-;-;-;-
Camino;2014;2;7;22.4;3.3;6.8;9.5;88;96;99;-;-;-;-;-
Camino;2014;2;8;0.8;7.0;8.6;11.4;78;90;96;-;-;-;-;-
Camino;2014;2;9;14.6;2.9;7.8;10.3;73;91;98;-;-;-;-;-
Camino;2014;2;10;41.2;3.5;5.9;7.7;78;90;96;-;-;-;-;-
Camino;2014;2;11;4.0;6.2;7.8;9.5;82;94;98;-;-;-;-;-
Camino;2014;2;12;0.0;3.0;7.1;12.0;72;88;97;-;-;-;-;-
Camino;2014;2;13;4.2;3.6;7.3;11.9;70;90;99;-;-;-;-;-
Camino;2014;2;14;0.0;3.5;8.0;14.6;41;78;97;-;-;-;-;-
Camino;2014;2;15;0.0;3.4;7.9;11.5;67;80;87;-;-;-;-;-
Camino;2014;2;16;0.4;8.7;10.9;13.0;77;89;98;-;-;-;-;-
Camino;2014;2;17;10.6;6.4;10.0;13.3;73;87;99;-;-;-;-;-
Camino;2014;2;18;0.0;3.7;9.8;14.6;60;78;92;-;-;-;-;-
Camino;2014;2;19;37.0;8.7;10.6;12.9;72;93;98;-;-;-;-;-
Camino;2014;2;20;7.6;7.8;9.7;11.8;56;72;92;-;-;-;-;-
Camino;2014;2;21;0.0;6.9;10.2;14.8;53;75;92;-;-;-;-;-
Camino;2014;2;22;27.0;5.6;7.5;8.8;81;90;95;-;-;-;-;-
Camino;2014;2;23;0.0;3.0;8.1;14.0;34;66;91;-;-;-;-;-
Camino;2014;2;24;0.0;3.4;8.8;14.9;35;62;80;-;-;-;-;-
Camino;2014;2;25;0.0;3.1;8.0;13.8;54;75;92;-;-;-;-;-
Camino;2014;2;26;0.0;5.8;9.8;14.0;54;77;89;-;-;-;-;-
Camino;2014;2;27;7.2;7.2;9.5;14.5;61;85;95;-;-;-;-;-
Camino;2014;2;28;5.4;5.7;8.0;12.1;63;86;95;-;-;-;-;-
Camino;2014;3;1;25.6;6.4;7.7;9.5;81;88;93;-;-;-;-;-
Camino;2014;3;2;5.2;7.2;9.9;13.6;54;81;95;-;-;-;-;-
Camino;2014;3;3;0.0;6.1;9.7;13.4;55;75;88;-;-;-;-;-
Camino;2014;3;4;0.0;7.6;10.4;14.4;43;64;87;-;-;-;-;-
Camino;2014;3;5;0.0;4.7;10.7;17.1;40;64;85;-;-;-;-;-
Camino;2014;3;6;0.0;6.9;13.6;18.8;28;41;68;-;-;-;-;-
Camino;2014;3;7;0.0;4.3;10.9;17.6;40;64;85;-;-;-;-;-
Camino;2014;3;8;0.0;5.7;11.0;17.3;33;64;83;-;-;-;-;-
Camino;2014;3;9;0.0;4.7;10.8;18.2;30;58;81;-;-;-;-;-
Camino;2014;3;10;0.0;5.0;10.6;17.3;30;55;80;-;-;-;-;-
Camino;2014;3;11;0.0;4.4;9.9;16.2;31;58;80;-;-;-;-;-
Camino;2014;3;12;0.0;3.7;11.5;20.4;24;54;78;-;-;-;-;-
Camino;2014;3;13;0.0;6.6;12.3;20.0;26;56;92;-;-;-;-;-
Camino;2014;3;14;0.0;4.3;11.5;19.9;35;68;93;-;-;-;-;-
Camino;2014;3;15;0.2;6.8;10.3;15.0;53;88;99;-;-;-;-;-
Camino;2014;3;16;0.0;5.3;10.7;17.1;53;78;94;-;-;-;-;-
Camino;2014;3;17;0.0;4.4;11.1;18.1;52;80;97;-;-;-;-;-
Camino;2014;3;18;0.2;5.4;11.7;18.0;59;84;97;-;-;-;-;-
Camino;2014;3;19;0.0;10.4;13.5;18.8;62;85;97;-;-;-;-;-
Camino;2014;3;20;0.2;8.6;14.1;21.3;36;64;98;-;-;-;-;-
Camino;2014;3;21;0.0;6.6;12.9;19.6;43;75;93;-;-;-;-;-
Camino;2014;3;22;2.2;9.3;13.3;18.0;64;82;99;-;-;-;-;-
Camino;2014;3;23;25.8;7.9;12.2;16.1;79;94;99;-;-;-;-;-
Camino;2014;3;24;4.6;6.2;8.3;11.6;54;86;99;-;-;-;-;-
Camino;2014;3;25;0.2;5.5;8.3;13.5;42;77;99;-;-;-;-;-
Camino;2014;3;26;0.0;5.0;10.0;13.8;48;60;81;-;-;-;-;-
Camino;2014;3;27;0.0;9.4;12.9;17.6;37;50;62;-;-;-;-;-
Camino;2014;3;28;0.0;9.7;14.5;20.2;31;49;77;-;-;-;-;-
Camino;2014;3;29;0.0;6.7;14.4;21.6;32;54;76;-;-;-;-;-
Camino;2014;3;30;0.0;7.5;14.3;21.5;41;64;87;-;-;-;-;-
Camino;2014;3;31;0.0;6.8;13.5;19.6;61;85;99;-;-;-;-;-
Camino;2014;4;1;0.0;8.4;14.5;20.5;60;-;-;-;-;-;-;-
Camino;2014;4;2;0.0;9.7;14.6;19.5;-;-;-;-;-;-;-;-
Camino;2014;4;3;0.0;9.7;13.3;16.3;-;-;-;-;-;-;-;-
Camino;2014;4;4;0.0;9.9;15.0;20.4;-;-;-;-;-;-;-;-
Camino;2014;4;5;0.8;11.9;15.5;17.8;-;-;-;-;-;-;-;-
Camino;2014;4;6;0.0;10.3;16.7;22.6;-;-;-;-;-;-;-;-
Camino;2014;4;7;0.0;10.7;17.3;23.9;-;-;-;-;-;-;-;-
Camino;2014;4;8;0.2;10.7;16.6;22.5;-;-;-;-;-;-;-;-
Camino;2014;4;9;0.0;10.9;15.3;20.7;-;-;-;-;-;-;-;-
Camino;2014;4;10;0.0;9.2;13.7;18.5;-;-;-;-;-;-;-;-
Camino;2014;4;11;0.0;10.4;13.5;17.1;-;-;-;-;-;-;-;-
Camino;2014;4;12;0.0;10.4;13.8;17.9;-;-;-;-;-;-;-;-
Camino;2014;4;13;0.0;8.4;13.6;17.7;-;-;-;-;-;-;-;-
Camino;2014;4;14;0.0;6.9;14.0;18.7;-;-;-;-;-;-;-;-
Camino;2014;4;15;0.0;-;-;19.0;-;-;-;-;-;-;-;-
Camino;2014;4;16;0.0;6.8;13.3;18.9;15;46;94;-;-;-;-;-
Camino;2014;4;17;0.0;6.6;13.6;19.9;13;33;78;-;-;-;-;-
Camino;2014;4;18;0.6;4.4;13.3;19.6;28;56;89;-;-;-;-;-
Camino;2014;4;19;3.4;10.2;12.7;17.0;57;85;99;-;-;-;-;-
Camino;2014;4;20;3.6;10.5;12.0;14.5;72;90;99;-;-;-;-;-
Camino;2014;4;21;2.8;11.1;13.5;17.3;73;89;99;-;-;-;-;-
Camino;2014;4;22;0.2;8.3;14.7;21.0;52;83;99;-;-;-;-;-
Camino;2014;4;23;0.0;9.7;17.5;23.2;42;69;99;-;-;-;-;-
Camino;2014;4;24;0.0;12.5;17.7;22.5;41;68;95;-;-;-;-;-
Camino;2014;4;25;0.0;11.1;18.8;25.1;35;63;94;-;-;-;-;-
