stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Capriva del Friuli;1994;1;2;66.2;-0.1;-;8.9;-;-;-;-;11;-;6049;-
Capriva del Friuli;1994;1;4;38;0.3;-;9.8;-;-;-;-;19;-;-;-
Capriva del Friuli;1994;1;5;0.4;4.6;-;7.0;-;-;-;-;17;-;1543;-
Capriva del Friuli;1994;1;6;3.2;4.9;-;10.7;-;-;-;-;17;-;823;-
Capriva del Friuli;1994;1;7;0;7.8;-;14.1;-;-;-;-;18;-;2566;-
Capriva del Friuli;1994;1;8;27.6;10.1;-;16.4;-;-;-;-;27;-;4260;-
Capriva del Friuli;1994;1;9;12.4;9.1;-;15.2;-;-;-;-;19;-;4602;-
Capriva del Friuli;1994;1;10;0;6.7;-;10.2;-;-;-;-;13;-;1439;-
Capriva del Friuli;1994;1;11;24.2;8.3;-;11.1;-;-;-;-;17;-;957;-
Capriva del Friuli;1994;1;12;0;6.3;-;14.6;-;-;-;-;28;-;6535;-
Capriva del Friuli;1994;1;13;0.2;4.4;-;12.9;-;-;-;-;13;-;6434;-
Capriva del Friuli;1994;1;14;2.6;4.6;-;7.8;-;-;-;-;14;-;1078;-
Capriva del Friuli;1994;1;15;7.4;2.4;-;12.5;-;-;-;-;30;-;6983;-
Capriva del Friuli;1994;1;16;0;1.9;-;8.6;-;-;-;-;17;-;4633;-
Capriva del Friuli;1994;1;17;0;-0.4;-;9.0;-;-;-;-;48;-;5577;-
Capriva del Friuli;1994;1;18;0;-0.9;-;7.1;-;-;-;-;50;-;7106;-
Capriva del Friuli;1994;1;19;0;0.5;-;11.5;-;-;-;-;19;-;7798;-
Capriva del Friuli;1994;1;20;0;0.5;-;9.7;-;-;-;-;57;-;2298;-
Capriva del Friuli;1994;1;21;0;-0.2;-;8.4;-;-;-;-;55;-;4256;-
Capriva del Friuli;1994;1;22;0;-0.7;-;11.5;-;-;-;-;17;-;7938;-
Capriva del Friuli;1994;1;23;0;-2.6;-;11.0;-;-;-;-;15;-;8240;-
Capriva del Friuli;1994;1;24;0;0.3;-;9.1;-;-;-;-;11;-;4680;-
Capriva del Friuli;1994;1;25;0;5.3;-;8.3;-;-;-;-;10;-;413;-
Capriva del Friuli;1994;1;26;0.2;-0.3;-;7.5;-;-;-;-;21;-;1647;-
Capriva del Friuli;1994;1;27;0;-2.8;-;11.1;-;-;-;-;21;-;5705;-
Capriva del Friuli;1994;1;28;0;0.5;-;9.2;-;-;-;-;39;-;3123;-
Capriva del Friuli;1994;1;29;0;-1.6;-;10.1;-;-;-;-;60;-;6071;-
Capriva del Friuli;1994;1;30;0;-3.8;-;9.9;-;-;-;-;18;-;5303;-
Capriva del Friuli;1994;1;31;0;-1.8;-;10.1;-;-;-;-;12;-;5721;-
Capriva del Friuli;1994;2;1;0;-2.6;-;11.1;-;-;-;-;9;-;4912;-
Capriva del Friuli;1994;2;2;0;3.3;-;7.7;-;-;-;-;6;-;2366;-
Capriva del Friuli;1994;2;3;0.2;4.6;-;6.9;-;-;-;-;7;-;1224;-
Capriva del Friuli;1994;2;4;0.2;5.6;-;13.1;-;-;-;-;23;-;4627;-
Capriva del Friuli;1994;2;5;13.6;5.1;-;13.3;-;-;-;-;24;-;4122;-
Capriva del Friuli;1994;2;6;3.6;7.2;-;13.9;-;-;-;-;29;-;2885;-
Capriva del Friuli;1994;2;7;0.2;5.2;-;13.8;-;-;-;-;54;-;9039;-
Capriva del Friuli;1994;2;8;0.2;4.8;-;11.2;-;-;-;-;22;-;4390;-
Capriva del Friuli;1994;2;9;0;5.5;-;12.6;-;-;-;-;27;-;5135;-
Capriva del Friuli;1994;2;10;0;1.5;-;11.6;-;-;-;-;17;-;8848;-
Capriva del Friuli;1994;2;11;0;-0.5;-;12.6;-;-;-;-;22;-;9810;-
Capriva del Friuli;1994;2;12;0;0.1;-;8.2;-;-;-;-;40;-;5220;-
Capriva del Friuli;1994;2;13;0;-1.3;-;3.7;-;-;-;-;76;-;4663;-
Capriva del Friuli;1994;2;14;0;-3.3;-;1.3;-;-;-;-;74;-;10223;-
Capriva del Friuli;1994;2;15;0;-5.0;-;4.0;-;-;-;-;54;-;9811;-
Capriva del Friuli;1994;2;16;0;-4.9;-;1.7;-;-;-;-;63;-;11029;-
Capriva del Friuli;1994;2;17;0;-7.2;-;4.4;-;-;-;-;19;-;10529;-
Capriva del Friuli;1994;2;18;0;-0.2;-;9.5;-;-;-;-;20;-;9546;-
Capriva del Friuli;1994;2;19;0;-1.8;-;9.3;-;-;-;-;28;-;11303;-
Capriva del Friuli;1994;2;20;0;-2.5;-;9.0;-;-;-;-;20;-;9111;-
Capriva del Friuli;1994;2;21;0;-2.1;-;11.8;-;-;-;-;22;-;11431;-
Capriva del Friuli;1994;2;24;19;-4.9;-;7.3;-;-;-;-;13;-;4359;-
Capriva del Friuli;1994;2;25;0.2;1.6;-;14.0;-;-;-;-;16;-;12503;-
Capriva del Friuli;1994;2;26;0.2;-1.3;-;8.9;-;-;-;-;18;-;6969;-
Capriva del Friuli;1994;2;27;0;4.5;-;8.0;-;-;-;-;11;-;3004;-
Capriva del Friuli;1994;2;28;0.8;5.5;-;9.4;-;-;-;-;10;-;1367;-
Capriva del Friuli;1994;3;1;19;8.3;-;13.9;-;-;-;-;19;-;3685;-
Capriva del Friuli;1994;3;2;1.8;7.5;-;13.1;-;-;-;-;18;-;5551;-
Capriva del Friuli;1994;3;3;0;7.8;-;15.1;-;-;-;-;19;-;11652;-
Capriva del Friuli;1994;3;4;0.2;3.1;-;16.2;-;-;-;-;59;-;14215;-
Capriva del Friuli;1994;3;5;0;-0.3;-;14.4;-;-;-;-;28;-;14343;-
Capriva del Friuli;1994;3;6;0;0.1;-;14.6;-;-;-;-;22;-;12816;-
Capriva del Friuli;1994;3;7;0;2.3;-;16.5;-;-;-;-;24;-;12994;-
Capriva del Friuli;1994;3;8;0;2.6;-;16.9;-;-;-;-;18;-;11615;-
Capriva del Friuli;1994;3;9;0;4.8;-;19.9;-;-;-;-;18;-;11844;-
