stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cave del Predil;2011;1;1;0.2;-5.7;-1.4;4.1;63;86;99;-;-;-;-;909.2
Cave del Predil;2011;1;2;0;-7.1;-3.7;-1;87;96;99;-;-;-;-;907.9
Cave del Predil;2011;1;3;0;-11.9;-8;-1.1;37;85;99;-;-;-;-;912
Cave del Predil;2011;1;4;0;-13;-9.8;-3;54;84;99;-;-;-;-;911.1
Cave del Predil;2011;1;5;0;-13.9;-7.9;-0.9;47;77;99;-;-;-;-;909.9
Cave del Predil;2011;1;6;0;-4.6;0.8;5.8;64;75;85;-;-;-;-;909.4
Cave del Predil;2011;1;7;0.6;3.4;5.9;7.7;77;85;94;-;-;-;-;912.9
Cave del Predil;2011;1;8;2.6;3.4;6.2;9.7;72;88;97;-;-;-;-;912.8
Cave del Predil;2011;1;9;0;3.7;6.5;8.8;66;80;97;-;-;-;-;912.7
Cave del Predil;2011;1;10;29;0.2;3.2;8.1;74;93;99;-;-;-;-;912.3
Cave del Predil;2011;1;11;23.4;0.1;0.8;3.1;93;98;99;-;-;-;-;907
Cave del Predil;2011;1;12;18;-0.3;1;4.1;85;98;99;-;-;-;-;911
Cave del Predil;2011;1;13;7.8;0.5;2.8;6.5;69;90;99;-;-;-;-;909.5
Cave del Predil;2011;1;14;0;0.3;3.4;8.5;72;92;99;-;-;-;-;911.5
Cave del Predil;2011;1;15;0;-1.2;2;7.4;63;90;99;-;-;-;-;915.5
Cave del Predil;2011;1;16;0;-0.9;2.8;8.6;57;85;99;-;-;-;-;921.5
Cave del Predil;2011;1;17;0;-2.1;2.9;11.4;38;75;96;-;-;-;-;918.8
Cave del Predil;2011;1;18;0;-3.5;-0.7;5.9;59;89;99;-;-;-;-;917.3
Cave del Predil;2011;1;19;0;-4.4;-1.1;2;79;96;99;-;-;-;-;913.6
Cave del Predil;2011;1;20;3.8;-2.8;-1;0;53;66;90;-;-;-;-;911.7
Cave del Predil;2011;1;21;0;-4.1;-2.6;-1.5;53;59;71;-;-;-;-;913.8
Cave del Predil;2011;1;22;0;-7.3;-4.4;-1.3;40;68;89;-;-;-;-;913.2
