stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cervignano - Scodovacca;2019;1;1;0.0;0;4.1;9.1;55;82;96;-;-;-;-;-
Cervignano - Scodovacca;2019;1;2;0.2;-0.2;4.2;11.7;13;59;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;3;0.0;-5.7;1.6;8.5;13;37;74;-;-;-;-;-
Cervignano - Scodovacca;2019;1;4;0.0;-4.5;-0.3;5.3;28;58;83;-;-;-;-;-
Cervignano - Scodovacca;2019;1;5;0.0;-3;0.3;7.2;45;72;85;-;-;-;-;-
Cervignano - Scodovacca;2019;1;6;0.0;-3.3;1;9.5;36;72;87;-;-;-;-;-
Cervignano - Scodovacca;2019;1;7;0.0;-1.7;3.3;6.8;50;70;87;-;-;-;-;-
Cervignano - Scodovacca;2019;1;8;0.0;0.8;3.4;5.1;69;87;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;9;0.0;-1.4;2.4;7.3;74;94;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;10;0.0;-2.9;2.1;10.8;21;69;99;-;-;-;-;-
Cervignano - Scodovacca;2019;1;11;0.0;-2.7;1.3;7.7;26;62;88;-;-;-;-;-
Cervignano - Scodovacca;2019;1;12;0.0;-2.2;1.7;7.4;47;68;80;-;-;-;-;-
Cervignano - Scodovacca;2019;1;13;0.0;-1.1;3.8;10.5;41;69;91;-;-;-;-;-
Cervignano - Scodovacca;2019;1;14;0.0;-0.3;5.1;12.2;34;77;98;-;-;-;-;-
Cervignano - Scodovacca;2019;1;15;0.0;-0.5;4.1;11.7;22;51;77;-;-;-;-;-
Cervignano - Scodovacca;2019;1;16;0.0;-0.3;4.5;9.7;59;77;87;-;-;-;-;-
Cervignano - Scodovacca;2019;1;17;2.2;3.6;6.7;10.2;69;87;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;18;11.2;2.7;5.9;8;53;83;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;19;0.0;-0.1;3.6;6.5;43;58;79;-;-;-;-;-
Cervignano - Scodovacca;2019;1;20;0.0;-2.4;1.6;7.1;40;70;90;-;-;-;-;-
Cervignano - Scodovacca;2019;1;21;0.0;0.5;3.5;8.7;33;56;76;-;-;-;-;-
Cervignano - Scodovacca;2019;1;22;0.0;-0.9;3.3;8.5;29;52;75;-;-;-;-;-
Cervignano - Scodovacca;2019;1;23;3.6;-1.2;0.9;2.2;53;81;96;-;-;-;-;-
Cervignano - Scodovacca;2019;1;24;0.0;-2.2;2.9;10.7;31;63;87;-;-;-;-;-
Cervignano - Scodovacca;2019;1;25;0.0;-3.3;0.6;7.6;27;65;90;-;-;-;-;-
Cervignano - Scodovacca;2019;1;26;0.0;-4.2;0.1;6.8;29;64;82;-;-;-;-;-
Cervignano - Scodovacca;2019;1;27;4.8;-2.8;2.4;9.6;47;74;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;28;2.0;3.2;5.4;8.1;69;89;100;-;-;-;-;-
Cervignano - Scodovacca;2019;1;29;0.0;-0.1;4.1;10.7;29;68;94;-;-;-;-;-
Cervignano - Scodovacca;2019;1;30;0.0;-1.9;2.3;6.5;47;69;86;-;-;-;-;-
Cervignano - Scodovacca;2019;1;31;1.4;0.4;3.8;8.4;41;69;95;-;-;-;-;-
Cervignano - Scodovacca;2019;2;1;26.4;3.3;8.1;13;87;97;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;2;31.2;8.1;10.2;13.1;84;97;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;3;2.8;6.1;9.1;12;70;94;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;4;0.0;0.9;6.3;12.2;27;67;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;5;0.0;-0.5;5.1;13.2;32;62;87;-;-;-;-;-
Cervignano - Scodovacca;2019;2;6;0.0;0.2;6;14;17;49;72;-;-;-;-;-
Cervignano - Scodovacca;2019;2;7;0.0;-1.8;4.6;13.1;13;54;87;-;-;-;-;-
Cervignano - Scodovacca;2019;2;8;0.0;1.6;7.2;15.1;25;55;77;-;-;-;-;-
Cervignano - Scodovacca;2019;2;9;0.0;0.5;5.3;11.7;49;77;94;-;-;-;-;-
Cervignano - Scodovacca;2019;2;10;1.8;3.8;7;11;81;92;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;11;4.0;2;7.7;11.7;63;87;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;12;0.2;-0.2;4.6;12.2;38;87;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;13;0.2;-1.2;4;11.6;40;76;99;-;-;-;-;-
Cervignano - Scodovacca;2019;2;14;0.0;-0.8;4.7;13.9;35;81;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;15;0.0;0.5;6.9;17.2;21;74;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;16;0.2;0.4;6.8;16.4;27;76;99;-;-;-;-;-
Cervignano - Scodovacca;2019;2;17;0.2;-0.8;5.8;16.2;28;79;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;18;0.2;-1.4;5.4;14.8;40;81;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;19;0.0;-1.1;5;9.3;79;92;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;20;0.0;3;7.5;12.6;50;80;99;-;-;-;-;-
Cervignano - Scodovacca;2019;2;21;0.2;0.7;6.2;14.7;44;87;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;22;0.2;2.1;6.7;16.9;43;89;100;-;-;-;-;-
Cervignano - Scodovacca;2019;2;23;0.0;1;6;11;13;20;45;-;-;-;-;-
Cervignano - Scodovacca;2019;2;24;0.0;-2.2;3.5;9.9;13;32;61;-;-;-;-;-
Cervignano - Scodovacca;2019;2;25;0.0;-0.2;7.1;15.7;15;41;69;-;-;-;-;-
Cervignano - Scodovacca;2019;2;26;0.0;4;8.7;17;26;62;86;-;-;-;-;-
Cervignano - Scodovacca;2019;2;27;0.0;2.2;8.9;21.3;13;64;89;-;-;-;-;-
Cervignano - Scodovacca;2019;2;28;0.0;1;7.8;17.1;16;70;97;-;-;-;-;-
Cervignano - Scodovacca;2019;3;1;0.2;1.6;7.6;15.6;35;71;98;-;-;-;-;-
Cervignano - Scodovacca;2019;3;2;0.0;0.2;7.6;16.6;40;81;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;3;0.2;2;8.9;17.3;22;73;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;4;3.0;3.8;8.6;13.8;59;91;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;5;0.0;5.1;8.7;14.7;64;91;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;6;0.2;2.8;8.9;16.1;47;82;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;7;0.0;8.5;12.6;16.9;65;82;95;-;-;-;-;-
Cervignano - Scodovacca;2019;3;8;0.0;7.7;11.9;16.9;44;74;99;-;-;-;-;-
Cervignano - Scodovacca;2019;3;9;0.0;6.8;10.6;14;67;78;98;-;-;-;-;-
Cervignano - Scodovacca;2019;3;10;0.0;5.2;10.2;13.5;70;83;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;11;3.8;1.7;9.2;17.3;38;71;96;-;-;-;-;-
Cervignano - Scodovacca;2019;3;12;0.0;-1.2;6.3;14.5;13;52;79;-;-;-;-;-
Cervignano - Scodovacca;2019;3;13;0.0;1.3;7.1;13.3;31;62;86;-;-;-;-;-
Cervignano - Scodovacca;2019;3;14;0.0;0.1;6.1;12.8;39;75;100;-;-;-;-;-
Cervignano - Scodovacca;2019;3;15;0.0;1.2;8;16.5;30;70;92;-;-;-;-;-
Cervignano - Scodovacca;2019;3;16;0.0;3.1;10.1;17.5;39;76;96;-;-;-;-;-
Cervignano - Scodovacca;2019;3;17;0.0;10.1;12.5;16.1;67;83;95;-;-;-;-;-
Cervignano - Scodovacca;2019;3;18;12.2;5.4;8.6;12.8;65;85;95;-;-;-;-;-
Cervignano - Scodovacca;2019;3;19;0.0;5.4;8.7;13.7;29;53;87;-;-;-;-;-
Cervignano - Scodovacca;2019;3;20;0.0;3.3;9.4;14.7;15;36;76;-;-;-;-;-
Cervignano - Scodovacca;2019;3;21;0.0;4.3;10.7;18.2;15;32;61;-;-;-;-;-
Cervignano - Scodovacca;2019;3;22;0.0;1.9;11.8;22.4;13;43;79;-;-;-;-;-
Cervignano - Scodovacca;2019;3;23;0.0;4.8;14.2;24.7;13;43;76;-;-;-;-;-
Cervignano - Scodovacca;2019;3;24;0.0;6.2;13.5;23;13;50;78;-;-;-;-;-
Cervignano - Scodovacca;2019;3;25;18.4;5;11.1;19.7;21;62;90;-;-;-;-;-
Cervignano - Scodovacca;2019;3;26;0.0;5.8;10.9;16.8;13;37;86;-;-;-;-;-
Cervignano - Scodovacca;2019;3;27;0.0;1.9;9.6;16.6;17;39;67;-;-;-;-;-
Cervignano - Scodovacca;2019;3;28;0.0;4.3;11.3;17.8;18;37;64;-;-;-;-;-
Cervignano - Scodovacca;2019;3;29;0.0;4.8;11.9;19.4;17;45;72;-;-;-;-;-
Cervignano - Scodovacca;2019;3;30;0.0;3.9;12;21.1;14;53;88;-;-;-;-;-
Cervignano - Scodovacca;2019;3;31;0.0;3.6;13.2;23.9;13;53;80;-;-;-;-;-
