stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cervignano del Friuli;2007;1;1;7.7;5.6;6.5;7.1;98;99;99;3;18;326;496;1028.3
Cervignano del Friuli;2007;1;2;7.6;-0.4;5.9;8.7;79;95;99;6;35;116;2558;1018.1
Cervignano del Friuli;2007;1;3;0.3;-1.2;3.9;13.3;47;87;99;5;12;44;6494;1027.2
Cervignano del Friuli;2007;1;4;0;2.4;6.3;9.9;82;91;99;5;14;76;2146;1023
Cervignano del Friuli;2007;1;5;0;3.6;7.2;13.6;56;88;99;5;15;29;5706;1023.1
Cervignano del Friuli;2007;1;6;0;3.4;7.2;12.9;75;94;99;4;10;68;3746;1028
Cervignano del Friuli;2007;1;7;0;4.8;7.7;11.3;81;96;99;3;8;141;3388;1025.9
Cervignano del Friuli;2007;1;8;0;4.3;7.5;10.7;93;98;99;3;17;92;1613;1021.3
Cervignano del Friuli;2007;1;9;0;5.6;8.1;11.5;87;98;99;3;7;132;3481;1025.3
Cervignano del Friuli;2007;1;10;0.5;7.6;8.6;10;93;98;99;2;10;8;1555;1029.9
Cervignano del Friuli;2007;1;11;0.8;7.8;8.5;9.3;98;99;99;3;12;206;936;1026.5
Cervignano del Friuli;2007;1;12;0.1;3.6;7.8;12.4;80;96;99;5;24;224;5771;1023
Cervignano del Friuli;2007;1;13;0.1;2.4;8;11.6;83;95;99;4;14;32;2100;1028.1
Cervignano del Friuli;2007;1;14;0.1;2.5;7.5;10.5;90;97;99;4;12;194;2155;1029.5
Cervignano del Friuli;2007;1;15;0.2;2.2;7.5;17.2;49;91;99;6;15;160;6934;1032
Cervignano del Friuli;2007;1;16;0.5;5.2;7;8.1;96;99;99;5;14;70;1013;1030.6
Cervignano del Friuli;2007;1;17;0;7.4;8.8;10.6;91;97;99;4;10;-;1923;1028
Cervignano del Friuli;2007;1;18;0.1;3.6;6.4;7.8;98;99;99;3;13;280;1046;1023.2
Cervignano del Friuli;2007;1;19;0.2;3.8;7;9.3;98;99;99;3;13;71;1536;1016
Cervignano del Friuli;2007;1;20;0.1;3.6;8.5;12.2;93;98;99;5;21;337;3293;1021.6
Cervignano del Friuli;2007;1;21;0.3;9.7;10.1;10.6;99;99;99;5;17;137;1387;1017.9
Cervignano del Friuli;2007;1;22;1.1;8.9;9.9;10.6;93;97;99;7;21;72;1778;1015.4
Cervignano del Friuli;2007;1;23;11.3;9.4;11.7;14.2;85;96;99;13;44;180;1452;1002.6
Cervignano del Friuli;2007;1;24;3.1;5.2;7.5;10.3;70;91;99;9;28;209;2910;996.1
Cervignano del Friuli;2007;1;25;10.1;0.4;2.9;5.2;68;86;99;10;35;83;1877;1013.4
Cervignano del Friuli;2007;1;26;0;-1.2;1.9;6.1;56;77;90;7;19;57;4498;1020.8
Cervignano del Friuli;2007;1;27;0;-4.1;0.9;7.9;47;82;99;5;18;0;8662;1022.6
Cervignano del Friuli;2007;1;28;0;-2.3;2.9;9.9;61;86;99;5;17;192;6904;1027.7
