stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cividale del Friuli;2017;1;1;0;0;4.5;12;8;26;61;17;37;52;7218;1009.5
Cividale del Friuli;2017;1;2;0;-0.5;3.5;8.5;56;64;75;15;26;47;5756;1005.3
Cividale del Friuli;2017;1;3;0;-0.6;4.4;8.5;21;46;60;15;37;54;6929;1006.5
Cividale del Friuli;2017;1;4;0;-1.7;1.7;6.7;49;62;69;15;33;58;3843;998.7
Cividale del Friuli;2017;1;5;0;-1.6;2.9;6.6;8;26;69;21;61;51;7019;1001.5
Cividale del Friuli;2017;1;6;0;-9.2;-0.9;2.8;8;16;28;14;45;16;7788;1014.5
Cividale del Friuli;2017;1;7;0;-9;-4.2;1.1;8;23;41;11;27;55;7433;1017.0
Cividale del Friuli;2017;1;8;0;-5.6;-2.2;3.7;21;35;52;14;28;36;6365;1011.9
Cividale del Friuli;2017;1;9;0;-5.4;-1.5;3.5;38;50;60;16;41;51;4856;1008.8
Cividale del Friuli;2017;1;10;0;-6.1;-2.2;1.9;39;49;60;22;48;25;6288;1003.6
Cividale del Friuli;2017;1;11;0;-6.9;-3.7;2.1;21;40;59;15;50;46;7359;1006.4
Cividale del Friuli;2017;1;12;6.7;-6.4;-0.8;1.7;47;62;93;12;26;54;881;1005.0
Cividale del Friuli;2017;1;13;38;-0.5;2.3;5.7;84;91;95;12;33;43;998;986.6
Cividale del Friuli;2017;1;14;0;-0.7;1.6;6.6;50;77;95;12;31;48;7426;995.1
Cividale del Friuli;2017;1;15;0;-1.3;2.1;7;24;49;70;14;34;72;8359;1003.1
Cividale del Friuli;2017;1;16;0;-2.1;2.1;4.7;16;31;56;15;44;39;5088;1002.3
Cividale del Friuli;2017;1;17;0;1.7;4;7.2;10;22;33;19;49;72;4237;1005.3
Cividale del Friuli;2017;1;18;0;1.2;4.2;6.8;26;32;41;21;63;81;5739;1011.2
Cividale del Friuli;2017;1;19;0;1;3.7;7.9;22;34;41;21;42;59;8352;1016.5
Cividale del Friuli;2017;1;20;0;-1.3;2.2;6.9;16;35;49;25;51;52;8662;1018.5
Cividale del Friuli;2017;1;21;0;-1;3.1;9.5;20;39;51;19;36;38;8932;1016.4
Cividale del Friuli;2017;1;22;0;0.2;3.8;10.1;13;41;52;29;51;47;9165;1014.1
Cividale del Friuli;2017;1;23;0;-0.4;2.5;7;37;48;55;27;49;38;5189;1008.6
Cividale del Friuli;2017;1;24;0;-0.7;2.7;9.2;26;45;53;31;68;49;9137;1004.9
Cividale del Friuli;2017;1;25;0;-1.2;0.7;4.6;36;46;53;36;70;63;9331;1010.2
Cividale del Friuli;2017;1;26;0;-1.3;0.7;3.8;32;45;55;33;68;69;9401;1015.0
Cividale del Friuli;2017;1;27;0;-2.9;0.9;7.1;22;47;63;14;38;54;9382;1015.5
Cividale del Friuli;2017;1;28;0;-1.6;1.2;7.1;47;67;80;11;25;51;7423;1012.5
Cividale del Friuli;2017;1;29;0;-2.5;1.3;7.5;50;69;81;11;29;61;8937;1011.5
Cividale del Friuli;2017;1;30;0;-2;2;8.2;43;65;80;9;28;54;8882;1009.5
Cividale del Friuli;2017;1;31;18.8;1.9;4;5.3;78;89;95;12;28;60;617;1006.9
Cividale del Friuli;2017;2;1;7.4;4.5;5.3;6;91;94;96;9;19;47;701;1006.6
Cividale del Friuli;2017;2;2;12.4;5.7;7.1;8.5;86;94;97;7;17;36;1350;1006.4
Cividale del Friuli;2017;2;3;19.1;7.4;8.6;9.7;91;96;100;7;19;-;707;999.3
Cividale del Friuli;2017;2;4;13.8;4.9;6.9;8.4;85;94;100;11;31;-;1345;994.0
Cividale del Friuli;2017;2;5;25.8;4.8;6.1;8.5;73;86;93;14;48;-;2105;992.9
Cividale del Friuli;2017;2;6;10.1;6.3;8.9;13.2;50;72;88;17;53;-;2894;989.5
Cividale del Friuli;2017;2;7;0;6.5;8.4;12.7;45;60;78;11;27;-;9288;999.6
Cividale del Friuli;2017;2;8;0;2.7;5.8;9.1;45;56;61;17;37;-;7994;1004.7
Cividale del Friuli;2017;2;9;0;2;4.7;7.5;43;52;59;28;60;-;8437;1008.9
Cividale del Friuli;2017;2;10;0.2;4;5.7;8.1;47;53;63;31;58;-;5214;1008.0
Cividale del Friuli;2017;2;11;0.2;3.4;4.7;6.4;61;68;72;22;48;-;2790;1010.0
Cividale del Friuli;2017;2;12;0;3.3;6.5;13.1;46;64;74;20;39;-;11171;1013.2
Cividale del Friuli;2017;2;13;0;3.4;5.2;7.1;53;61;70;28;51;-;2738;1016.2
Cividale del Friuli;2017;2;14;0;2.3;6.4;12.7;15;44;63;19;38;-;12526;1018.9
Cividale del Friuli;2017;2;15;0;1.1;7.5;15.1;19;46;63;11;31;-;12849;1019.2
