stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Codroipo;2018;1;1;10.3;2.2;4.6;7.1;85;93;99;10;53;10;305;1006.6
Codroipo;2018;1;2;0;-0.2;3.2;9.5;72;94;100;4;15;80;4078;1007.5
Codroipo;2018;1;3;0;-1.9;1.6;6.3;74;92;100;7;24;19;1858;1005.5
Codroipo;2018;1;4;0;-1;3.7;7.7;76;88;96;6;16;52;2512;1003.3
Codroipo;2018;1;5;0;3;6.7;9.6;74;83;91;6;16;17;1800;1004.2
Codroipo;2018;1;6;0.2;5.7;8.7;12.1;88;95;100;5;12;22;2494;1008.2
Codroipo;2018;1;7;1;7.3;9.4;11.6;78;89;98;7;17;25;1483;1015.8
Codroipo;2018;1;8;2.3;9.2;10.5;13.7;79;90;97;11;25;23;1705;1019
Codroipo;2018;1;9;28.7;8.7;10.6;13.4;79;94;99;12;66;181;642;1014.5
Codroipo;2018;1;10;10;5.2;8.1;11.4;72;92;100;6;38;12;3913;1009.5
Codroipo;2018;1;11;0;1;5.8;11.8;49;85;100;6;26;78;5094;1008.5
Codroipo;2018;1;12;0;-1.1;4.6;12.1;38;78;98;5;14;307;6290;1015.1
Codroipo;2018;1;13;0;1;5.7;11.6;45;75;91;5;21;110;4506;1016.9
Codroipo;2018;1;14;0;0.1;4.2;8.7;48;71;94;8;21;91;5218;1017.5
Codroipo;2018;1;15;0;0;3.8;7.9;44;66;89;5;24;60;6125;1017.2
Codroipo;2018;1;16;1;0.6;3.2;4.7;83;90;96;3;9;0;1338;1004.6
Codroipo;2018;1;17;0;-1.7;3.9;9.4;11;73;100;6;46;324;4762;998
Codroipo;2018;1;18;0;-3.3;1.7;8.3;36;67;82;5;14;57;6839;1008.6
Codroipo;2018;1;19;0;-1.4;3.5;9.8;44;71;88;6;16;58;4766;1004.8
Codroipo;2018;1;20;0;-1.4;3.6;8.9;46;74;90;5;18;20;4796;1006.5
Codroipo;2018;1;21;0;-0.5;5.7;10.2;11;55;94;10;35;37;6942;1002.3
Codroipo;2018;1;22;0;-1.7;3.5;9.5;16;55;87;6;14;46;7146;1010.9
Codroipo;2018;1;23;0;-2.6;3.5;11.9;35;66;84;5;17;57;7011;1018.7
Codroipo;2018;1;24;0;-1.8;3.7;11.7;43;76;96;4;14;208;7169;1025.6
Codroipo;2018;1;25;0;-2;4.2;7.9;77;91;100;4;11;118;2807;1021.8
Codroipo;2018;1;26;0;-0.1;5.6;9.4;73;86;100;4;9;0;1654;1018.4
Codroipo;2018;1;27;0;-0.6;4.8;11.3;66;92;100;4;11;0;3809;1025.2
Codroipo;2018;1;28;0;1.4;5.9;13.7;54;82;100;6;16;215;6926;1028.8
Codroipo;2018;1;29;0.2;4;4.9;6;100;100;100;4;13;98;1715;1026.8
Codroipo;2018;1;30;0;4.6;6.1;8.2;83;97;100;5;15;0;1495;1023.1
Codroipo;2018;1;31;1;5.3;5.7;6.7;97;100;100;3;13;238;961;1016.8
Codroipo;2018;2;1;12;5.1;6.8;8.2;100;100;100;4;11;152;1138;1002.1
Codroipo;2018;2;2;17.3;3.3;5.5;7.6;74;90;100;15;38;26;1657;1000.2
Codroipo;2018;2;3;5;2.3;4.1;6.1;61;79;93;11;42;52;2890;998.8
Codroipo;2018;2;4;0;-0.2;3.6;9.6;46;76;94;6;23;357;6765;1010.4
Codroipo;2018;2;5;0;-1;3.4;8.5;32;65;92;8;25;59;6568;1017.2
Codroipo;2018;2;6;0.6;-1.7;3.8;9.3;37;68;89;12;42;69;7272;1010.8
Codroipo;2018;2;7;3.8;3.4;5.1;6.9;60;76;94;13;36;63;3482;1002.5
Codroipo;2018;2;8;3.7;3.4;6.3;10.2;53;77;95;4;12;59;5188;1008.6
Codroipo;2018;2;9;3.7;1.5;5.9;8.8;69;87;98;7;18;78;5649;1010.4
Codroipo;2018;2;10;0;-1.1;3.8;10.6;38;71;100;8;28;70;9239;1007.9
Codroipo;2018;2;11;0;-2.7;1.8;8.4;38;73;92;5;14;17;9132;1007.2
Codroipo;2018;2;12;3.2;0.1;3.1;5.6;57;80;95;8;28;21;2917;1006.9
Codroipo;2018;2;13;0;-1.9;3.9;8.2;24;48;87;11;30;6;7417;1008.3
Codroipo;2018;2;14;0;-2.8;1.8;8.8;13;56;83;6;20;46;10161;1011.1
Codroipo;2018;2;15;0;-3.4;1.3;7.5;21;55;85;6;18;31;9134;1018.8
Codroipo;2018;2;16;0;-3.7;2.1;8.9;32;61;87;4;15;22;8263;1020.1
Codroipo;2018;2;17;0;0.3;5.6;11.3;34;66;87;7;24;157;8929;1016.4
Codroipo;2018;2;18;2.9;4.1;5.7;7.8;42;69;94;15;46;116;3566;1015.1
