stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Enemonzo;2010;1;1;0.7;1.5;3.8;7.3;85;98;100;3;10;317;2295;942.4
Enemonzo;2010;1;2;8.7;-5.3;0.3;3.7;78;94;100;-;23;39;295;956.1
Enemonzo;2010;1;3;0;-8;-5;1.2;50;86;93;-;10;317;7250;969.5
Enemonzo;2010;1;4;0;-9.1;-5.1;-1.9;70;88;92;0;0;299;1538;967
Enemonzo;2010;1;5;0.6;-4;-1.3;1.1;66;88;96;1;7;322;1321;956
Enemonzo;2010;1;6;0.6;-1.5;0.6;2.7;81;94;98;2;10;44;2462;949.9
Enemonzo;2010;1;7;0.1;-0.6;1.3;5.8;71;94;99;3;17;307;5107;958.4
Enemonzo;2010;1;8;45.8;0;0.2;0.6;98;99;100;0;5;310;157;955.7
Enemonzo;2010;1;9;20.5;0.1;0.5;1.2;99;100;100;3;14;320;845;951.1
Enemonzo;2010;1;10;0.1;0.3;1.6;4.5;84;97;100;2;9;329;2739;956.8
Enemonzo;2010;1;11;1.3;0.3;1.4;2.5;95;99;100;3;9;335;815;962.6
Enemonzo;2010;1;12;0.2;0;1.2;4.2;82;96;100;2;9;312;3715;963.9
Enemonzo;2010;1;13;0;-1.7;0.6;4.2;71;95;100;3;10;313;3210;960.1
Enemonzo;2010;1;14;0;-3.4;-1.2;4.5;57;93;99;3;8;340;3321;961.8
Enemonzo;2010;1;15;0;-4.4;-1.3;4.9;48;87;97;3;9;327;7431;969.5
Enemonzo;2010;1;16;0;-5.6;-2.2;4.3;47;83;96;3;11;264;7607;974.5
Enemonzo;2010;1;17;0;-4.1;-1.8;2.9;57;84;93;3;9;92;7151;971
Enemonzo;2010;1;18;0;-5.5;-1;8.4;36;82;95;4;15;85;5446;973.2
Enemonzo;2010;1;19;0;-5.8;-1.6;6;30;78;93;4;8;231;7917;971.5
Enemonzo;2010;1;20;0;-6.1;-2.2;5.5;38;80;94;4;9;321;8295;966.6
Enemonzo;2010;1;21;0;-7.1;-2.7;4.5;44;80;93;4;10;325;8459;968.1
Enemonzo;2010;1;22;0;-7;-2.4;2.1;56;82;94;3;14;80;8001;972.6
Enemonzo;2010;1;23;0;-7;-3.2;3.2;48;80;93;3;10;310;8905;973.4
Enemonzo;2010;1;24;0;-8;-4.2;0.6;55;82;92;3;12;92;5611;974.8
Enemonzo;2010;1;25;0;-7.6;-3.8;1.7;40;75;92;3;9;322;7336;977.5
