stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Faedis;1995;1;1;0.6;1.6;6.6;10.9;52;79;99;5;26;141;4178;-
Faedis;1995;1;2;0;-1.3;4.5;9.0;10;34;70;6;19;43;6483;-
Faedis;1995;1;3;0;-2.4;3.8;7.1;11;21;48;13;49;53;7914;-
Faedis;1995;1;4;0;-0.8;3.0;5.9;10;14;26;11;36;67;7626;-
Faedis;1995;1;5;0;-1.9;1.5;5.7;16;28;45;5;29;65;6340;-
Faedis;1995;1;6;0;-1.2;2.3;7.1;23;37;53;7;26;66;6475;-
Faedis;1995;1;7;0;-1.5;2.0;7.3;25;43;55;5;19;117;6405;-
Faedis;1995;1;8;0;-2.7;0.9;5.5;27;44;57;4;24;95;7628;-
Faedis;1995;1;9;0;-4.2;0.6;6.0;29;46;62;4;12;295;7447;-
Faedis;1995;1;10;0;-1.7;2.2;6.6;25;49;72;5;15;159;7309;-
Faedis;1995;1;11;0;-0.3;4.1;8.6;10;50;77;5;33;306;4082;-
Faedis;1995;1;12;0;-3.2;3.4;9.8;10;22;46;6;24;165;8583;-
Faedis;1995;1;13;0;-3.2;3.8;9.7;10;17;27;9;32;55;8134;-
Faedis;1995;1;14;0;-4.6;0.4;5.0;10;22;46;7;20;297;8583;-
Faedis;1995;1;15;0;-5.5;0.6;7.0;12;32;50;5;13;45;8529;-
Faedis;1995;1;16;0;-3.2;4.1;10.0;25;36;57;9;35;70;8578;-
Faedis;1995;1;17;0;-1.2;3.8;10.2;21;40;58;5;15;212;8674;-
Faedis;1995;1;18;0;-2;2.3;5.0;53;60;70;5;16;134;4817;-
Faedis;1995;1;19;13.8;1.8;4.4;6.0;66;92;99;5;21;66;1744;-
Faedis;1995;1;20;0;1.3;4.8;7.4;59;73;83;3;12;39;6175;-
Faedis;1995;1;21;30.6;3.7;5.1;6.8;80;94;99;5;24;104;700;-
Faedis;1995;1;22;0;3.1;4.5;5.5;87;97;99;3;9;339;1280;-
