stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Fagagna;2000;1;1;0;-1.6;0.9;5.7;41;58;69;13;28;2;6201;1004.3
Fagagna;2000;1;2;0;-2.5;1.2;6.7;42;62;71;11;26;0;6670;1006.4
Fagagna;2000;1;3;0;-2.0;1.2;6.2;50;67;80;10;23;4;5822;1007.8
Fagagna;2000;1;4;0;-2.3;1.0;6.4;55;70;84;10;24;1;6863;1002.5
Fagagna;2000;1;5;0;-0.7;3.6;8.7;48;62;81;11;35;1;6871;1001.6
Fagagna;2000;1;6;0;0.3;4.4;9.0;48;60;73;10;32;4;6760;1002.0
Fagagna;2000;1;7;0;1.6;5.8;13.3;40;57;68;16;28;357;6773;1003.5
Fagagna;2000;1;8;0;2.2;5.4;10.8;48;62;77;14;31;299;6928;1003.9
Fagagna;2000;1;9;0;1.9;4.8;8.3;60;72;88;12;26;8;4527;1003.3
Fagagna;2000;1;10;0;-1.9;3.2;8.3;57;71;82;8;28;359;3878;1007.7
Fagagna;2000;1;11;0;-2.7;1.9;7.4;53;70;82;7;22;107;6562;1013.5
Fagagna;2000;1;12;0;-4.0;0.5;5.7;43;66;86;8;23;102;7663;1012.8
Fagagna;2000;1;13;0;-5.2;-0.4;5.0;40;60;76;10;33;0;7369;1007.1
Fagagna;2000;1;14;0;-1.6;2.2;5.0;47;54;61;22;37;16;1693;1004.5
Fagagna;2000;1;15;0;-0.1;5.3;11.3;42;58;73;16;39;1;7538;1004.2
Fagagna;2000;1;16;0;-4.6;0.9;5.8;47;63;78;7;21;96;6906;1006.7
Fagagna;2000;1;17;0;-4.3;-0.2;3.7;55;71;81;8;21;2;6947;999.1
Fagagna;2000;1;18;0;-3.3;2.6;11.0;37;72;91;12;41;40;4597;985.4
Fagagna;2000;1;19;0;-1.2;5.0;9.4;24;52;72;10;40;25;8145;997.7
Fagagna;2000;1;20;0;-2.5;2.4;7.3;27;42;59;12;29;2;6037;1004.4
Fagagna;2000;1;21;0;-2.7;1.6;6.7;45;62;88;12;31;0;8003;994.9
Fagagna;2000;1;22;0;-2.9;0.3;2.5;57;74;89;7;20;73;1571;994.1
Fagagna;2000;1;23;0.2;-3.3;1.9;7.6;41;61;79;7;18;156;7869;985.4
Fagagna;2000;1;24;0;-6.3;-1.4;3.9;22;52;80;8;36;27;8430;995.8
Fagagna;2000;1;25;0;-8.5;-4.0;0.3;28;42;57;9;26;1;9264;1006.5
Fagagna;2000;1;26;0;-7.0;-3.6;1.9;34;48;68;9;26;357;9290;1009.6
Fagagna;2000;1;27;0;-7.0;-2.4;3.9;38;59;72;7;17;0;8797;1009.0
Fagagna;2000;1;28;0;-3.6;0.4;5.4;51;62;74;13;30;3;7182;1003.6
Fagagna;2000;1;29;0;-1.4;0.9;5.6;48;64;81;12;33;355;4128;997.2
Fagagna;2000;1;30;0;-1.7;2.9;7.7;58;70;85;10;24;0;5080;996.6
Fagagna;2000;1;31;0;1.0;4.5;9.4;69;78;91;13;27;16;4321;1004.5
Fagagna;2000;2;1;0.4;2.6;5.6;9.2;67;83;96;9;28;9;1758;1009.0
Fagagna;2000;2;2;0.2;3.6;4.9;6.3;83;92;96;5;15;2;1347;1002.5
Fagagna;2000;2;3;0;0.9;7.7;14.1;32;69;92;12;32;25;8660;1005.5
Fagagna;2000;2;4;0;0.6;6.1;11.3;36;55;83;11;30;0;8488;1016.9
Fagagna;2000;2;5;0;0.2;4.5;8.9;68;82;90;4;11;21;5174;1013.6
