stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Forni di Sopra;2011;1;1;0;-4.6;-1.6;5.4;55;80;93;3;12;0;5108;910.2
Forni di Sopra;2011;1;2;0;-5.1;-1.6;2.8;67;83;95;3;13;329;2663;907.8
Forni di Sopra;2011;1;3;0;-8.9;-5.2;2.4;31;58;80;5;16;352;5394;912.4
Forni di Sopra;2011;1;4;0;-9.5;-6.2;-0.8;51;66;77;4;14;7;3610;911.9
Forni di Sopra;2011;1;5;0;-10.1;-6.5;1.1;42;65;78;5;13;335;5524;911.3
Forni di Sopra;2011;1;6;0;-9;-3.6;0.6;55;69;79;3;15;326;3277;912.2
Forni di Sopra;2011;1;7;0;-1.9;0.7;3.7;75;88;100;2;8;296;2072;914.9
Forni di Sopra;2011;1;8;0.3;0.8;2.2;4.1;99;99;99;2;9;348;1492;914.1
Forni di Sopra;2011;1;9;0.2;1.6;2.8;6.3;99;99;99;2;8;6;2004;913.9
Forni di Sopra;2011;1;10;22.3;-0.9;1.7;4.1;99;99;99;2;10;319;696;912.8
Forni di Sopra;2011;1;11;3.5;-0.6;1;3.1;99;99;99;2;10;326;1997;907.1
Forni di Sopra;2011;1;12;0;-1.7;1.7;8.4;58;93;100;3;19;262;6242;910.8
Forni di Sopra;2011;1;13;0;-1.2;2.3;9.1;57;88;100;3;12;331;5793;910
Forni di Sopra;2011;1;14;0;0.7;4.8;12.2;60;88;100;3;14;0;6022;911.3
Forni di Sopra;2011;1;15;0;-1.3;2.8;13.1;28;82;99;4;33;73;6080;915.5
Forni di Sopra;2011;1;16;0;1;5.4;13.1;36;60;75;4;13;335;5966;921.1
Forni di Sopra;2011;1;17;0;1.1;5.4;13;42;62;74;4;13;222;6073;918.6
Forni di Sopra;2011;1;18;0;1;5.1;13.5;33;55;67;6;17;0;6251;916.3
Forni di Sopra;2011;1;19;5.3;-1;1.7;6.7;52;78;100;2;13;0;2387;913
Forni di Sopra;2011;1;20;0;-6.6;-2.1;3.3;46;86;100;2;21;0;5124;911.7
Forni di Sopra;2011;1;21;0;-7.1;-2.7;1;32;53;74;4;20;0;4181;913.8
Forni di Sopra;2011;1;22;0;-7.4;-3.2;3.6;27;52;71;4;14;0;6789;912.4
Forni di Sopra;2011;1;23;0;-6.4;-1.9;5.7;14;38;55;5;14;0;7550;909.8
Forni di Sopra;2011;1;24;0;-5.7;-1.8;2.9;31;47;69;3;22;341;5934;909.7
Forni di Sopra;2011;1;25;0;-6.6;-4;0.1;50;67;78;3;12;0;3561;907.5
Forni di Sopra;2011;1;26;0;-7.5;-3.5;3.1;50;76;90;3;14;0;5389;902.8
Forni di Sopra;2011;1;27;0;-6.5;-1;4.9;47;72;88;4;14;138;7246;905.7
Forni di Sopra;2011;1;28;0;-6.2;-1.5;3.8;47;68;83;4;14;0;4629;910.5
Forni di Sopra;2011;1;29;0;-7.2;-3.1;1.2;39;59;75;3;12;326;5654;911.2
Forni di Sopra;2011;1;30;0;-5.5;-0.6;3.7;48;64;75;4;14;339;3112;908.9
Forni di Sopra;2011;1;31;0;-3;1.2;9;39;63;77;4;14;329;8976;911.2
Forni di Sopra;2011;2;1;0;-2.8;1.8;10.3;16;39;65;5;15;316;9341;913.1
Forni di Sopra;2011;2;2;0;-2.2;3.1;12.6;15;32;45;5;15;323;9498;914.1
Forni di Sopra;2011;2;3;0;-2.9;2;9.8;14;35;51;4;13;319;6597;916.4
Forni di Sopra;2011;2;4;0;-0.7;3.7;10.9;25;44;58;4;15;159;8118;919
Forni di Sopra;2011;2;5;0;0.6;5.6;11.4;29;45;61;5;28;324;2691;918.8
Forni di Sopra;2011;2;6;0;5.5;10.2;17.9;16;27;40;8;21;328;10281;918.8
Forni di Sopra;2011;2;7;0;3;8.1;16.6;14;31;47;5;16;-;10402;917
Forni di Sopra;2011;2;8;0;1.1;5.5;13.7;22;41;53;4;15;-;10599;913
Forni di Sopra;2011;2;9;0;0.6;5;12.7;25;45;60;5;16;-;10529;913.8
Forni di Sopra;2011;2;10;0;0.1;4.4;12.3;33;53;73;4;19;-;10549;914.1
Forni di Sopra;2011;2;11;0;-1.6;3;9.9;45;68;95;4;17;-;10311;911.1
Forni di Sopra;2011;2;12;0;-1.9;2.7;8.6;59;86;100;3;14;-;8226;909.4
Forni di Sopra;2011;2;13;0;-0.1;2.6;4;91;96;100;2;11;-;1438;907.3
Forni di Sopra;2011;2;14;0;-0.8;3;8;59;82;100;4;20;-;10457;903.9
Forni di Sopra;2011;2;15;0;1.3;2.6;5.1;79;92;100;3;15;-;4617;900
Forni di Sopra;2011;2;16;40.6;-0.2;0.7;2.2;99;99;99;-;-;-;1740;897.2
Forni di Sopra;2011;2;17;21.8;-0.2;1;4.8;99;99;99;1;8;-;3268;898
Forni di Sopra;2011;2;18;0;-0.9;3.8;11.6;52;88;100;4;14;-;12468;901.3
Forni di Sopra;2011;2;19;0;-1.3;3.8;12.2;26;68;96;5;28;-;12730;904
Forni di Sopra;2011;2;20;1;-2.2;0.5;3.3;74;87;100;2;13;-;4183;905.1
Forni di Sopra;2011;2;21;0.1;-1.4;1.2;6.9;59;92;100;2;20;-;8312;903.3
Forni di Sopra;2011;2;22;2.9;-3.2;-0.5;5.9;63;94;100;2;20;-;7380;902.8
Forni di Sopra;2011;2;23;0;-8.2;-3.2;4;14;49;96;5;31;-;14046;910.3
Forni di Sopra;2011;2;24;0;-8.2;-0.8;8;14;33;60;4;16;-;14029;914.2
Forni di Sopra;2011;2;25;0;-5.8;0.5;7.8;15;38;61;5;32;-;13844;913.8
Forni di Sopra;2011;2;26;0;-4.9;1.1;9.2;27;50;76;4;18;-;13858;911.4
Forni di Sopra;2011;2;27;6.5;-2.2;1.2;6.4;47;77;100;2;14;-;6957;906.3
Forni di Sopra;2011;2;28;8.4;-0.7;1.2;4.1;88;99;100;2;10;-;3265;912.2
Forni di Sopra;2011;3;1;0;-4;1.8;11.4;33;76;100;5;18;-;14507;914.9
Forni di Sopra;2011;3;2;0;-5.6;-0.9;5.7;30;61;88;5;27;-;12386;916
Forni di Sopra;2011;3;3;4.7;-4.6;-2.5;-0.2;84;94;100;2;9;-;2818;918.7
Forni di Sopra;2011;3;4;0;-3.6;1.5;10.7;52;87;100;3;15;-;13348;917.9
Forni di Sopra;2011;3;5;0;-2.9;4;14.7;27;67;100;4;18;-;15268;910.4
Forni di Sopra;2011;3;6;0;-1.4;4.9;14.4;24;55;85;4;22;-;15836;909
Forni di Sopra;2011;3;7;0;-4.7;0.5;6.8;27;53;74;4;19;-;14574;920.5
Forni di Sopra;2011;3;8;0;-6.8;-1.2;6.8;39;63;84;3;21;-;15545;921.8
Forni di Sopra;2011;3;9;0;-5;1.4;10.6;31;60;77;3;21;-;16099;914.4
Forni di Sopra;2011;3;10;0;-2.2;3;11;33;61;85;4;19;-;14527;913.1
Forni di Sopra;2011;3;11;0;-2.6;2.9;10.7;47;75;95;4;18;-;15099;913.4
Forni di Sopra;2011;3;12;0;-1.2;2.7;8.5;62;82;99;3;15;-;6791;913.4
Forni di Sopra;2011;3;13;18.8;0.1;2.2;4.8;86;97;100;2;10;-;3160;910.3
Forni di Sopra;2011;3;14;9.5;0.1;4.1;8.9;87;98;100;3;13;-;7076;912.3
Forni di Sopra;2011;3;15;5.3;2.2;4.8;8.3;92;99;100;2;11;-;4357;912.5
Forni di Sopra;2011;3;16;67;0.5;2.6;4.5;99;99;99;3;12;-;1767;904.9
Forni di Sopra;2011;3;17;26.8;0;3.6;7.8;92;99;100;3;11;-;6521;899.3
Forni di Sopra;2011;3;18;0;2;6.2;14.2;33;79;99;4;22;-;10304;907
Forni di Sopra;2011;3;19;0.8;0;5.8;12.5;43;67;88;4;16;-;10214;912.1
Forni di Sopra;2011;3;20;0;-2.4;3.2;10.9;14;43;74;5;20;-;19329;917.6
Forni di Sopra;2011;3;21;0;-3.5;2.7;10.3;17;45;65;5;23;-;19073;921.6
Forni di Sopra;2011;3;22;0;-1.7;5.7;14.9;19;48;67;5;19;-;18608;924.1
Forni di Sopra;2011;3;23;0;1;8.5;17.8;21;47;65;5;20;-;19295;924.1
Forni di Sopra;2011;3;24;0;3.4;9.7;19.5;24;50;73;5;17;-;19399;923
Forni di Sopra;2011;3;25;0;2.5;8.9;16.8;38;61;93;5;20;-;18540;913.7
Forni di Sopra;2011;3;26;0.2;1.7;7.2;15.2;51;83;100;4;21;-;15052;908
Forni di Sopra;2011;3;27;0.5;4.7;6.2;9.7;75;95;100;3;17;-;5200;908.3
Forni di Sopra;2011;3;28;1.5;2.8;6.6;13.5;62;93;100;3;19;-;9619;906.1
Forni di Sopra;2011;3;29;0;0.9;7.5;16;34;70;100;5;20;-;21401;909
Forni di Sopra;2011;3;30;0.2;2;8.5;18.1;33;67;90;5;21;-;20933;910.2
Forni di Sopra;2011;3;31;0;3.3;9.7;17.9;35;63;87;5;21;-;14532;914.2
Forni di Sopra;2011;4;1;0;5.2;12.2;21.7;26;57;79;5;23;-;20945;915.5
Forni di Sopra;2011;4;2;0;5.9;12.3;20.6;36;60;81;6;21;-;20368;913.6
Forni di Sopra;2011;4;3;0;6.6;13.6;23;37;62;82;5;21;-;20599;908.4
Forni di Sopra;2011;4;4;6.7;1.9;10.4;20.9;50;77;100;4;48;-;13378;909.2
Forni di Sopra;2011;4;5;0;1.2;8.6;16.9;33;64;100;6;23;-;20661;916.5
Forni di Sopra;2011;4;6;0;4;11.9;20.7;36;59;76;5;19;-;19326;919.2
Forni di Sopra;2011;4;7;0;10.8;17.3;26.3;24;47;67;6;24;-;22023;915
Forni di Sopra;2011;4;8;0;11.5;16.4;23.8;25;39;50;5;27;-;13630;909.7
Forni di Sopra;2011;4;9;0;10.7;17.8;24.9;16;26;41;10;49;-;23020;907.8
Forni di Sopra;2011;4;10;0;8.2;14.9;22.4;16;31;44;6;28;-;22463;910.2
Forni di Sopra;2011;4;11;0;7;13.2;20.8;23;43;70;5;26;-;21639;912.2
Forni di Sopra;2011;4;12;4.8;3.3;10.7;19.9;27;61;100;6;45;-;12318;906.9
Forni di Sopra;2011;4;13;0;1.1;6.1;10.8;15;28;54;11;52;-;22306;908.1
