stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Fossalon;2004;1;1;0;4.5;6.9;10.1;60;70;76;19;38;83;6587;1013.7
Fossalon;2004;1;2;0;2.3;4.4;5.8;53;64;79;26;53;74;4546;1011.5
Fossalon;2004;1;3;0;0.1;2;3.5;51;57;62;33;62;77;6503;1018.3
Fossalon;2004;1;4;0;-3.8;-0.4;2.7;44;55;66;22;51;75;7287;1019.3
Fossalon;2004;1;5;0;-5.5;-0.9;4.7;57;73;86;7;17;356;6251;1021.8
Fossalon;2004;1;6;0;-2.8;1.9;5.8;49;61;83;15;31;74;5790;1028.5
Fossalon;2004;1;7;0;0.9;2.7;5.1;57;70;88;6;16;44;2097;1025.6
Fossalon;2004;1;8;0;1.7;4.4;7;76;85;97;6;15;222;1517;1022.6
Fossalon;2004;1;9;4.2;2.9;3.9;5;97;99;100;5;23;287;943;1015.5
Fossalon;2004;1;10;0;0.1;3;8;80;98;100;6;19;233;5624;1017
Fossalon;2004;1;11;0;-1.7;2.8;7.8;81;98;100;4;17;256;6772;1023.9
Fossalon;2004;1;12;0;2.8;6;8.8;86;92;99;5;14;323;2604;1015
Fossalon;2004;1;13;0;3.3;6.5;9.5;88;94;100;5;18;223;2339;1006.9
Fossalon;2004;1;14;0;4.9;6.7;9.6;86;97;100;4;15;58;3181;1003.5
Fossalon;2004;1;15;0.8;0.9;6.5;9.4;67;86;100;10;39;61;2692;1005.5
Fossalon;2004;1;16;0.6;-1.2;4.2;9;63;87;100;9;30;204;5056;1015.8
Fossalon;2004;1;17;14.4;2.6;5.6;7.6;96;100;100;6;21;293;510;1008
Fossalon;2004;1;18;18.4;2;5.2;7;68;85;98;24;58;59;541;1012.9
Fossalon;2004;1;19;0;-0.6;5.1;8.4;56;67;94;20;51;60;7474;1018.9
Fossalon;2004;1;20;0;-0.5;3.8;8.2;74;89;96;1;19;15;4807;1009.3
Fossalon;2004;1;21;0;0.1;3.7;7.1;46;63;95;16;40;70;8335;1015.7
Fossalon;2004;1;22;0;-1.5;1.1;4.6;44;61;78;10;26;84;6860;1022.7
Fossalon;2004;1;23;0;-4.1;-0.2;3.2;41;59;74;13;27;71;7455;1025.1
Fossalon;2004;1;24;0;-5.9;-2;2.3;47;70;91;6;18;254;8391;1022.5
Fossalon;2004;1;25;0;-3.5;-0.4;3.9;68;85;98;3;14;29;4448;1017.3
Fossalon;2004;1;26;0;-4.4;-0.1;3.4;81;90;97;1;12;9;3562;1015.7
Fossalon;2004;1;27;3.6;0.8;2.5;4.8;84;95;100;4;13;329;2881;1004.5
Fossalon;2004;1;28;0.4;1.6;3.9;8.6;60;80;100;8;30;69;5134;1002.9
Fossalon;2004;1;29;0;-1.2;1.7;5.2;71;83;94;4;22;254;4142;1008.7
Fossalon;2004;1;30;0;-3.8;1.5;7.2;23;67;89;7;16;12;9825;1024.5
Fossalon;2004;1;31;0;0.2;3.7;6.5;63;76;87;5;15;65;6264;1030.8
Fossalon;2004;2;1;0;0.6;4.2;7.4;56;83;97;5;18;203;6550;1031.7
Fossalon;2004;2;2;0;-1.1;2.7;7.7;80;96;100;4;15;333;5942;1032.5
Fossalon;2004;2;3;0;-1;2.6;6.4;92;98;100;4;10;327;4088;1034.8
Fossalon;2004;2;4;0;-0.6;3.5;9.7;73;96;100;3;10;248;7069;1036.2
