stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gemona del Friuli;2016;1;1;0;-4.4;0.4;8.4;40;83;99;3;12;219;5443;1004.3
Gemona del Friuli;2016;1;2;5.8;-5.1;1.4;5.3;55;78;99;9;42;355;2821;997.2
Gemona del Friuli;2016;1;3;2.7;-2;2.4;6.4;79;92;99;8;44;39;3637;987.4
Gemona del Friuli;2016;1;4;1.9;-3;0.2;4.3;84;98;99;3;17;353;1947;978.4
Gemona del Friuli;2016;1;5;0.7;-1.2;2.1;4.4;83;91;99;13;38;39;1348;979.5
Gemona del Friuli;2016;1;6;0;-1.3;3.8;7.6;65;82;99;10;33;15;2394;978.3
Gemona del Friuli;2016;1;7;0;-2.3;3.7;9.9;56;84;99;8;27;3;5510;981.5
Gemona del Friuli;2016;1;8;0;1.8;5.6;9.8;56;77;93;12;33;7;3069;986.6
Gemona del Friuli;2016;1;9;29.1;5.9;6.7;7.4;73;90;99;6;22;339;717;984.6
Gemona del Friuli;2016;1;10;7.5;6.6;7.3;7.9;99;99;99;4;19;313;508;981.7
Gemona del Friuli;2016;1;11;60.2;7.2;10.5;11.9;81;97;99;13;38;120;154;974.4
Gemona del Friuli;2016;1;12;0.6;4.6;7.3;12.3;69;89;96;9;30;11;4567;978.7
Gemona del Friuli;2016;1;13;0;2.8;5.6;11.8;58;83;99;13;40;38;7008;989.2
Gemona del Friuli;2016;1;14;0;1.6;4.1;6.3;61;79;99;9;30;353;3001;992
Gemona del Friuli;2016;1;15;0;0.7;5;9.6;63;81;99;8;31;11;5987;986.2
Gemona del Friuli;2016;1;16;0;-1.5;4.1;9.8;22;50;89;14;32;28;7718;990.9
Gemona del Friuli;2016;1;17;0;-6.3;1.6;8;17;53;99;10;39;19;8575;993.1
Gemona del Friuli;2016;1;18;0;-4.2;1.1;5.8;25;42;84;10;30;7;8031;996.9
Gemona del Friuli;2016;1;19;0;-5.1;-1.2;4.6;40;61;89;10;29;337;5471;995.9
Gemona del Friuli;2016;1;20;0;-3.1;-0.1;5.5;36;59;76;10;30;5;6217;996.4
Gemona del Friuli;2016;1;21;0;-3.7;0.9;9.4;37;61;86;10;31;351;7881;1001.7
Gemona del Friuli;2016;1;22;0;-4.3;1.3;7.8;39;64;90;9;29;333;7761;1009.5
Gemona del Friuli;2016;1;23;0;-2.7;1.7;8.4;43;69;96;8;30;25;6202;1010.2
Gemona del Friuli;2016;1;24;0;-4.1;1.3;8.8;49;77;97;5;25;9;5109;1012.1
Gemona del Friuli;2016;1;25;0;-4;1.5;9.7;49;81;99;3;18;11;6096;1009
Gemona del Friuli;2016;1;26;0;-3.3;2.1;11.6;49;85;99;3;10;235;6865;1007.1
Gemona del Friuli;2016;1;27;0;-3.3;3.7;11.3;61;90;99;4;20;331;6487;1006.7
Gemona del Friuli;2016;1;28;0;2.5;7.2;11.8;71;85;97;9;28;355;4588;1005.4
Gemona del Friuli;2016;1;29;0;3.3;7.8;11;73;83;99;9;28;339;3369;1007.4
Gemona del Friuli;2016;1;30;2.8;5.5;6.6;8.1;83;95;99;5;28;321;1063;1003.2
Gemona del Friuli;2016;1;31;1.4;3.2;6.8;9;99;99;99;2;14;355;886;993.3
Gemona del Friuli;2016;2;1;0;4.7;8.5;11.2;84;93;99;4;22;335;2403;999.7
Gemona del Friuli;2016;2;2;2.4;7.4;8.2;9.5;87;97;99;4;20;22;464;1002
