stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Grado;2016;1;1;0;1.1;3.5;8.1;42;71;86;5;13;356;4454;1026.9
Grado;2016;1;2;17;0.9;3.2;5.7;84;95;100;7;23;61;120;1018.8
Grado;2016;1;3;3.6;0.7;2.6;4;64;78;100;15;55;77;1508;1009.6
Grado;2016;1;4;6.2;0.7;2.3;4.3;77;96;100;5;16;338;3;1000.1
Grado;2016;1;5;4;1.5;3.8;5.2;99;100;100;5;15;339;166;1001.0
Grado;2016;1;6;0;2.9;4.8;7.3;91;98;100;4;11;340;98;1000.5
Grado;2016;1;7;0;2.1;4.9;9.4;87;97;100;5;14;144;4740;1003.9
Grado;2016;1;8;0;1.4;5.8;8.8;92;98;100;4;12;311;789;1009.0
Grado;2016;1;9;18.6;6.4;7.3;8.9;94;99;100;4;10;346;69;1007.3
Grado;2016;1;10;3.2;7.3;8.4;9.6;99;100;100;4;17;234;551;1004.5
Grado;2016;1;11;1.2;9.2;12.9;14.6;82;90;100;29;55;178;250;997.2
Grado;2016;1;12;0.2;5.6;8.5;11.1;72;94;100;9;34;195;4721;1001.8
Grado;2016;1;13;0;4.2;6.7;10.2;82;96;100;5;14;253;5223;1012.4
Grado;2016;1;14;5.4;4;7.1;10.1;79;94;100;8;22;136;1615;1014.3
Grado;2016;1;15;2.4;3.9;6.1;10.1;64;89;100;5;17;85;4699;1009.2
Grado;2016;1;16;0;2.2;5.4;10.7;35;66;89;10;36;84;7166;1014.0
Grado;2016;1;17;0;0.6;3.1;7.3;38;66;91;4;27;98;6954;1016.5
Grado;2016;1;18;0;-0.5;2.5;6.9;33;63;92;7;24;88;7607;1020.4
Grado;2016;1;19;0;-0.8;2.1;6.6;38;66;85;5;12;357;7304;1018.6
Grado;2016;1;20;0;-0.5;2.5;6.9;50;77;92;5;10;349;5905;1019.2
Grado;2016;1;21;0;-0.6;3.7;8.3;58;74;92;8;28;85;7119;1024.4
Grado;2016;1;22;0;1.7;4.2;8.4;45;65;80;5;22;67;4169;1032.5
Grado;2016;1;23;0;1;3.4;7.8;62;78;91;5;13;6;2459;1033.5
Grado;2016;1;24;0;-0.4;3.2;7.1;67;90;100;4;11;340;5283;1035.3
Grado;2016;1;25;0;0.5;4.2;8;62;87;100;-;10;354;6589;1032.4
Grado;2016;1;26;0;1.8;4.9;8.3;71;91;100;4;9;0;5919;1030.4
Grado;2016;1;27;0;3.7;6.6;10.3;81;95;100;4;10;346;4233;1029.8
Grado;2016;1;28;0;5.9;7.5;8.8;91;97;100;3;9;357;574;1029.0
Grado;2016;1;29;0;3.8;7.1;10.9;78;95;100;2;8;1;5773;1031.4
Grado;2016;1;30;2.4;5.1;7.3;8.7;99;100;100;-;-;-;68;1026.6
Grado;2016;1;31;0;6.7;8.7;10.4;99;100;100;-;-;-;961;1016.4
Grado;2016;2;1;0.2;5.7;7.9;9.6;99;100;100;-;-;-;1464;1023.5
Grado;2016;2;2;1;7.3;8.3;9.3;99;100;100;-;-;-;225;1025.9
Grado;2016;2;3;40.8;5.2;7.8;9.2;99;100;100;-;-;-;81;1016.5
Grado;2016;2;4;1.4;4.5;7.5;10.2;67;88;100;-;-;-;8535;1022.4
Grado;2016;2;5;0;3.2;7.5;12.9;56;83;97;6;19;248;9708;1027.2
Grado;2016;2;6;0;4.2;8;13.8;57;88;99;7;20;166;8456;1028.9
Grado;2016;2;7;4;7.8;10.1;12.1;90;96;100;14;35;169;329;1018.6
Grado;2016;2;8;11.6;9.3;10.8;12.4;93;98;100;-;-;-;347;1015.5
Grado;2016;2;9;10.2;9.2;10.9;12.5;89;97;100;-;-;-;3116;1009.8
Grado;2016;2;10;7.4;4.9;9;11.9;69;86;99;14;-;-;2892;995.8
Grado;2016;2;11;0;4;7.8;12.1;61;80;95;8;23;156;10766;1008.1
Grado;2016;2;12;16.4;5.1;6.9;8.9;82;94;100;-;-;-;2650;1004.5
Grado;2016;2;13;3.6;4.9;6.5;8.2;86;94;100;-;-;-;5193;997.0
Grado;2016;2;14;21;6.6;7.5;9;91;98;100;4;-;-;137;994.9
Grado;2016;2;15;7;6.6;8.5;11.7;75;94;100;9;60;15;3139;1005.7
Grado;2016;2;16;16.6;5.5;8.9;11.5;57;75;93;17;57;90;4085;1022.1
Grado;2016;2;17;9.8;5.8;8.3;10.8;69;91;100;10;48;84;1136;1019.0
Grado;2016;2;18;0;7;9.7;13.3;75;90;100;4;16;288;5977;1013.4
Grado;2016;2;19;0.4;7.2;9.3;11.2;85;93;100;9;27;0;10331;1016.5
Grado;2016;2;20;0.2;6.8;10;13.7;43;70;93;12;-;-;12068;1023.6
Grado;2016;2;21;0;7.8;9.1;10.5;76;87;94;10;24;208;8994;1022.5
Grado;2016;2;22;0;7.6;9.5;11.3;90;96;100;4;11;342;497;1019.2
Grado;2016;2;23;3.6;10.1;11.1;12.5;99;100;100;5;28;188;2140;1011.3
Grado;2016;2;24;0;7.6;9.9;12.9;41;68;100;8;-;-;12907;1014.9
Grado;2016;2;25;0;6.3;7.7;10.3;59;80;89;4;18;94;3796;1011.5
Grado;2016;2;26;0;6;7.8;11;49;65;93;16;50;85;5594;1011.1
Grado;2016;2;27;19;6;6.8;8.2;63;86;100;8;28;81;924;1010.8
Grado;2016;2;28;13.2;7.4;10.6;14.6;74;95;100;6;37;109;2089;1009.0
Grado;2016;2;29;8.2;9.1;11;13.5;73;87;98;17;67;79;4222;1005.6
Grado;2016;3;1;6.2;7.5;9.8;13.3;62;87;100;8;34;92;9209;1012.0
Grado;2016;3;2;1;6.6;9.5;12.5;73;87;96;6;31;56;13384;1008.6
Grado;2016;3;3;37;4.7;7.4;12.1;71;88;99;10;45;93;680;997.0
Grado;2016;3;4;0;5.5;8.2;10.3;63;80;89;-;-;-;13008;1005.1
Grado;2016;3;5;7.6;8;10.9;12.8;71;83;98;-;-;-;2291;1002.1
Grado;2016;3;6;0.8;7.5;9.6;11.3;82;91;98;-;-;-;7926;1001.3
Grado;2016;3;7;2.6;6.5;8.5;10.8;73;88;99;-;-;-;7698;1002.2
Grado;2016;3;8;27.8;6.2;7.3;9.7;79;92;97;-;-;-;5505;1009.8
Grado;2016;3;9;10.2;5.8;8.6;12.3;54;73;98;-;-;-;10079;1009.9
Grado;2016;3;10;0;7.9;12.2;16.5;37;56;74;-;-;-;14805;1010.2
Grado;2016;3;11;2.2;10.3;11.6;14;53;70;81;-;-;-;6545;1016.7
Grado;2016;3;12;0;9.6;11.6;15;47;62;77;-;-;-;10220;1019.4
Grado;2016;3;13;0;9.6;11;13.7;49;57;66;-;-;-;13502;1020.9
Grado;2016;3;14;0;8.5;11.3;14.9;34;51;63;-;-;-;17551;1023.3
Grado;2016;3;15;0;4.9;8.1;10.4;48;62;77;-;-;-;5081;1018.6
Grado;2016;3;16;0;6.1;8.3;11.2;48;59;68;11;45;85;15151;1024.1
Grado;2016;3;17;0;7.7;11.1;14.9;43;59;72;8;23;83;16863;1025.2
Grado;2016;3;18;0;6.1;9.8;13;70;82;94;7;18;239;18433;1018.0
Grado;2016;3;19;0;6.8;10.1;13.3;75;88;96;5;16;226;17935;1016.7
Grado;2016;3;20;0;7;10.9;14.2;66;89;100;7;21;198;16180;1016.8
Grado;2016;3;21;0;10.2;12.1;14.9;87;94;98;8;26;190;13601;1014.2
Grado;2016;3;22;0.2;8.9;12.9;17.8;40;68;99;15;47;93;18602;1007.4
Grado;2016;3;23;0;9.5;10.7;12.7;40;50;61;20;43;72;6263;1000.6
Grado;2016;3;24;0;5.5;10.7;13.5;47;64;80;11;28;72;20055;1010.2
Grado;2016;3;25;0;8.5;11.1;12.9;58;74;84;6;20;209;11136;1017.4
Grado;2016;3;26;0;8.5;11.1;13.9;61;80;93;7;20;241;16420;1019.3
Grado;2016;3;27;0;7.9;11.2;14.7;54;79;97;4;15;256;9982;1017.0
Grado;2016;3;28;0.2;9.5;11.7;12.8;82;93;100;10;29;191;4072;1014.2
Grado;2016;3;29;0;11.6;12.9;14.2;84;94;100;13;30;189;15600;1015.9
Grado;2016;3;30;0.2;12.2;13.3;14;86;94;98;16;37;190;7929;1019.2
Grado;2016;3;31;0;11.9;13.5;14.9;93;97;100;13;39;188;19424;1018.3
Grado;2016;4;1;0;13.3;14.5;15.9;90;95;99;6;18;232;6650;1017.4
Grado;2016;4;2;0;12.2;16;21.5;43;71;100;6;23;39;12733;1020.0
Grado;2016;4;3;0;11.9;13.4;16.6;60;86;100;6;20;209;10461;1019.0
Grado;2016;4;4;0;11.7;13.5;16.1;80;93;100;4;12;246;6738;1016.1
Grado;2016;4;5;0;11.6;14.6;19;72;90;100;5;13;258;17846;1013.1
Grado;2016;4;6;0;11.6;13.9;15.9;90;95;100;5;15;233;16108;1012.1
Grado;2016;4;7;0.2;11.3;14.7;17.1;77;92;100;6;22;215;19076;1008.6
Grado;2016;4;8;2;13.2;15.8;19.4;57;84;99;10;34;81;4763;1002.5
Grado;2016;4;9;10.6;12.2;13.5;14.8;82;92;98;8;25;76;3026;1003.2
Grado;2016;4;10;0;12.4;15.1;19.4;51;82;94;7;19;269;18298;1009.0
Grado;2016;4;11;0;12.8;15;17;76;89;96;9;22;182;22281;1013.3
Grado;2016;4;12;0;13.8;15.5;17.1;72;85;93;14;24;215;23547;1013.9
Grado;2016;4;13;1.4;13;16;18.7;63;84;96;6;21;248;18085;1009.5
Grado;2016;4;14;29;11;14.3;17.3;72;89;99;6;44;104;13082;1009.9
Grado;2016;4;15;0;13.3;15.7;18.4;57;82;95;16;41;178;23290;1013.9
Grado;2016;4;16;0;13.7;16;17.6;75;87;95;13;29;180;24764;1013.6
