stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Lauzacco;2016;1;1;0;-1.7;1.8;8.5;37;69;84;4;11;27;-;-
Lauzacco;2016;1;2;11.6;-2.9;1.7;5;74;88;99;10;32;49;-;-
Lauzacco;2016;1;3;0.6;-0.3;2.6;5.6;57;74;89;15;41;25;-;-
Lauzacco;2016;1;4;3.2;-1.2;0.5;1.8;73;93;99;6;19;29;-;-
Lauzacco;2016;1;5;2.2;0.5;2.8;4.7;92;98;99;5;13;24;-;-
Lauzacco;2016;1;6;0;0;3.1;7;82;95;99;4;20;89;-;-
Lauzacco;2016;1;7;0.2;-1;3.1;8.5;70;94;99;6;13;34;-;-
Lauzacco;2016;1;8;0;1.1;5;8.4;80;91;99;5;14;36;-;-
Lauzacco;2016;1;9;26.4;5.5;6.8;8.7;94;99;99;3;9;354;-;-
Lauzacco;2016;1;10;4.2;6.8;7.8;9;99;99;99;3;10;121;-;-
Lauzacco;2016;1;11;20.2;8.7;10.8;13.4;89;97;99;9;42;118;-;-
Lauzacco;2016;1;12;0;0.3;7.5;10.4;79;95;99;5;16;156;-;-
Lauzacco;2016;1;13;0.2;2.5;5.5;11.7;63;92;99;6;15;212;-;-
Lauzacco;2016;1;14;1.4;1.3;4.7;8.7;73;93;99;6;14;14;-;-
Lauzacco;2016;1;15;0.2;1.7;5.1;9.6;61;89;99;4;12;64;-;-
Lauzacco;2016;1;16;0;-1.7;3.4;10.1;26;70;96;6;32;4;-;-
Lauzacco;2016;1;17;0;-3.6;0.1;6.2;45;74;94;4;13;146;-;-
Lauzacco;2016;1;18;0;-5;-0.7;6.5;23;63;82;4;13;226;-;-
Lauzacco;2016;1;19;0;-4.5;-0.6;6.1;39;70;86;5;14;23;-;-
Lauzacco;2016;1;20;0;-4.1;0;6.7;35;72;90;6;22;159;-;-
Lauzacco;2016;1;21;0;-2.8;2;9.5;41;65;81;7;17;23;-;-
Lauzacco;2016;1;22;0;-2.7;2.2;8.4;42;66;86;7;18;36;-;-
Lauzacco;2016;1;23;0;-1.8;1.7;8.3;48;75;91;5;17;46;-;-
Lauzacco;2016;1;24;0;-3;1.1;8.2;58;86;97;4;10;33;-;-
Lauzacco;2016;1;25;0;-2.7;2.2;9.1;60;85;98;4;11;43;-;-
Lauzacco;2016;1;26;0;-1.3;3.2;10.8;60;87;99;4;10;167;-;-
Lauzacco;2016;1;27;0;-0.6;4;10.8;69;93;99;4;13;145;-;-
Lauzacco;2016;1;28;0;1.8;6.5;11.3;70;92;99;4;13;170;-;-
Lauzacco;2016;1;29;0;3.1;6.8;11.8;75;93;99;2;10;100;-;-
Lauzacco;2016;1;30;0.2;5.7;7.4;8.8;93;98;99;2;9;122;-;-
Lauzacco;2016;1;31;0.2;3.5;7.5;10.7;93;98;99;2;7;47;-;-
Lauzacco;2016;2;1;0.2;3.3;7;10.4;93;98;99;2;9;93;-;-
Lauzacco;2016;2;2;0.6;5.8;7.7;8.7;99;99;99;1;7;136;-;-
Lauzacco;2016;2;3;25.2;5.5;7.3;8.3;90;98;99;5;42;333;-;-
Lauzacco;2016;2;4;0;1.1;5.5;11.2;44;84;99;6;21;220;-;-
Lauzacco;2016;2;5;0;0.5;5.1;13.7;44;78;95;5;13;32;-;-
Lauzacco;2016;2;6;0;1.1;6.3;13;55;84;99;5;15;143;-;-
Lauzacco;2016;2;7;39;6.2;7.8;10.4;95;98;99;6;21;26;-;-
Lauzacco;2016;2;8;35.4;8.3;9.6;11.8;89;98;99;8;42;177;-;-
Lauzacco;2016;2;9;22;8.2;9.8;12.1;84;97;99;6;30;141;-;-
Lauzacco;2016;2;10;9.6;1.9;7.7;11.1;59;87;99;11;50;204;-;-
Lauzacco;2016;2;11;0;1.4;5.6;12.5;48;81;99;7;19;160;-;-
Lauzacco;2016;2;12;11.8;3;5;6.5;88;95;99;7;21;80;-;-
Lauzacco;2016;2;13;1.6;3.8;5.8;8.4;83;92;99;7;22;285;-;-
Lauzacco;2016;2;14;17;3.5;6.2;8.3;89;96;99;7;27;354;-;-
Lauzacco;2016;2;15;9.2;4.7;7.9;13;61;89;99;9;33;76;-;-
Lauzacco;2016;2;16;13;5.4;8.5;11.6;48;73;93;22;49;42;-;-
Lauzacco;2016;2;17;13.8;5.4;7;8.8;69;89;99;14;57;20;-;-
Lauzacco;2016;2;18;0;5.2;9.4;15;61;86;99;5;14;20;-;-
Lauzacco;2016;2;19;21;5.4;8;11.2;71;92;99;9;36;35;-;-
Lauzacco;2016;2;20;1;3.5;7.6;12.8;36;74;97;8;28;44;-;-
Lauzacco;2016;2;21;0;3.3;6.7;11.3;69;89;99;7;21;105;-;-
Lauzacco;2016;2;22;1;3.6;7.5;10.3;89;96;99;5;15;26;-;-
Lauzacco;2016;2;23;0.2;8.6;10;12.1;92;98;99;3;19;184;-;-
Lauzacco;2016;2;24;0.6;4.9;8.5;12.7;34;68;99;9;30;115;-;-
Lauzacco;2016;2;25;0.6;4;6.4;9.3;66;81;99;4;14;356;-;-
Lauzacco;2016;2;26;0.4;3.4;6.5;9.7;51;70;99;11;31;58;-;-
Lauzacco;2016;2;27;27.8;3.8;5.2;7.4;65;86;99;13;31;24;-;-
Lauzacco;2016;2;28;25;6.6;9.1;12;71;91;99;15;48;76;-;-
Lauzacco;2016;2;29;18.8;7.7;10.3;13.1;65;84;99;15;47;121;-;-
Lauzacco;2016;3;1;2.4;4.7;9.1;14;62;89;99;5;18;249;-;-
Lauzacco;2016;3;2;1.2;4.6;8.5;14.6;59;85;99;5;18;53;-;-
Lauzacco;2016;3;3;33.8;3.1;6.5;8.6;53;81;99;12;48;83;-;-
Lauzacco;2016;3;4;0;0.8;6.9;13.1;43;82;99;5;20;155;-;-
