stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Lignano Sabbiadoro;2014;1;1;0;5.8;7.9;10.5;62;83;93;10;21;1;5471;1020.8
Lignano Sabbiadoro;2014;1;2;2.5;4.6;7.1;8.8;84;94;100;11;22;355;1841;1018.7
Lignano Sabbiadoro;2014;1;3;0;7.3;8.6;9.6;92;96;100;8;19;306;1763;1021.3
Lignano Sabbiadoro;2014;1;4;26.1;8.4;11;14.6;96;99;100;23;68;150;159;1016.1
Lignano Sabbiadoro;2014;1;5;35;10.7;11.8;13.2;85;98;100;15;39;223;518;1007.9
Lignano Sabbiadoro;2014;1;6;0;8.2;11;13.4;76;93;100;10;24;21;6110;1019.9
Lignano Sabbiadoro;2014;1;7;0.3;6.2;8.6;12.2;97;100;100;4;17;245;3861;1025
Lignano Sabbiadoro;2014;1;8;0;7.8;8.8;10.4;99;100;100;6;15;295;2819;1027.3
Lignano Sabbiadoro;2014;1;9;0;7.4;8.1;9.2;99;100;100;7;15;247;1287;1023.1
Lignano Sabbiadoro;2014;1;10;0;7.8;8.7;9.7;99;100;100;7;16;0;379;1020.7
Lignano Sabbiadoro;2014;1;11;0;7.7;9.3;10.1;98;100;100;6;15;244;841;1023
Lignano Sabbiadoro;2014;1;12;0;8.4;9.3;11.8;97;100;100;6;19;192;3169;1023.7
Lignano Sabbiadoro;2014;1;13;0.1;8.6;9.2;9.7;93;97;100;6;13;13;1223;1020
Lignano Sabbiadoro;2014;1;14;22.9;8.4;10.4;13.1;91;99;100;19;54;171;359;1008.5
Lignano Sabbiadoro;2014;1;15;0;6.8;8.3;9.9;97;99;100;9;18;298;4489;1012.7
Lignano Sabbiadoro;2014;1;16;0.5;6.3;7.6;8.7;89;97;100;9;20;218;2831;1016.7
Lignano Sabbiadoro;2014;1;17;21.3;8.1;11.1;13.4;89;98;100;16;44;156;444;1011.6
Lignano Sabbiadoro;2014;1;18;11.7;10.5;11.5;13.9;94;100;100;9;24;95;928;1010
Lignano Sabbiadoro;2014;1;19;10;11.1;13.4;14.5;91;98;100;18;55;294;2125;1003.4
Lignano Sabbiadoro;2014;1;20;2.2;9.7;11.6;13;97;100;100;8;21;126;3567;1001.1
Lignano Sabbiadoro;2014;1;21;0.1;8.7;11;13.7;67;89;100;8;20;77;4713;1004.5
Lignano Sabbiadoro;2014;1;22;0;9.1;10.4;11.7;82;93;100;9;20;47;5446;1011.8
Lignano Sabbiadoro;2014;1;23;0;8;9.4;11.7;95;99;100;5;16;258;5000;1015.4
Lignano Sabbiadoro;2014;1;24;9.9;6.4;7.9;9.2;66;84;100;21;44;85;1314;1008.3
Lignano Sabbiadoro;2014;1;25;0;5.3;7.4;10.3;63;75;97;13;33;104;9196;1011.8
Lignano Sabbiadoro;2014;1;26;0;4.6;6.3;8.1;69;78;87;14;36;97;5506;1010.5
Lignano Sabbiadoro;2014;1;27;7.4;4.4;6;8.2;71;85;94;22;45;63;3189;1003.4
Lignano Sabbiadoro;2014;1;28;0;4.7;5.8;7.1;62;68;84;24;55;69;3770;1001.2
Lignano Sabbiadoro;2014;1;29;0.7;4;5;6.8;60;70;89;19;39;90;4539;1008.1
Lignano Sabbiadoro;2014;1;30;37;3.6;6.5;13;88;96;100;31;54;69;918;1011.7
Lignano Sabbiadoro;2014;1;31;81.4;8;10.7;14;81;99;100;25;52;186;391;1012.8
Lignano Sabbiadoro;2014;2;1;19.9;8.3;10.1;13.5;95;99;100;23;44;53;375;1011.6
Lignano Sabbiadoro;2014;2;2;83.6;6.5;7.6;8.7;86;98;100;31;46;55;565;1011.5
Lignano Sabbiadoro;2014;2;3;20;5.1;6.4;8.1;73;87;98;29;45;71;1484;1016.7
Lignano Sabbiadoro;2014;2;4;36;4.7;6.7;10.9;74;93;100;27;42;48;880;1017.7
Lignano Sabbiadoro;2014;2;5;0.1;8.3;9.4;11;95;99;100;11;35;151;3162;1013.2
Lignano Sabbiadoro;2014;2;6;3.2;7.8;9.9;13.6;71;91;100;10;28;43;9287;1014
Lignano Sabbiadoro;2014;2;7;19.3;6;9.2;13.4;91;98;100;13;67;171;4696;1013.3
Lignano Sabbiadoro;2014;2;8;0.2;7.4;10;12.9;89;96;100;12;39;217;7212;1008.4
Lignano Sabbiadoro;2014;2;9;9.3;6.5;9.9;13.3;80;91;100;24;71;355;3460;1003.3
Lignano Sabbiadoro;2014;2;10;51.1;5.8;8.6;13.7;89;96;100;24;69;171;1247;1006.6
Lignano Sabbiadoro;2014;2;11;12.9;8.3;9.4;12.4;88;98;100;9;37;228;2204;1006.4
Lignano Sabbiadoro;2014;2;12;0.1;7.8;9.4;11.3;79;89;100;8;19;57;6587;1008.7
Lignano Sabbiadoro;2014;2;13;1.8;6.4;8.9;12.6;71;94;100;13;33;14;8062;1009.8
Lignano Sabbiadoro;2014;2;14;0;6.9;10;14.8;47;83;99;8;26;3;12867;1012.2
Lignano Sabbiadoro;2014;2;15;0;7.3;9.7;12.9;65;86;96;8;18;72;5135;1016.6
Lignano Sabbiadoro;2014;2;16;0;10.7;12.8;14;84;97;100;21;52;184;4682;1014.5
Lignano Sabbiadoro;2014;2;17;0.1;8.6;12.2;14.6;85;93;100;21;60;169;7993;1014.5
Lignano Sabbiadoro;2014;2;18;0;7.2;10.7;13.8;72;87;93;13;25;44;6786;1020.8
Lignano Sabbiadoro;2014;2;19;4.9;11.1;12.5;14.4;91;98;100;13;49;228;653;1013.7
Lignano Sabbiadoro;2014;2;20;4.1;9;10.8;12.1;68;83;100;19;44;88;2961;1014.6
Lignano Sabbiadoro;2014;2;21;0;9.6;11.3;15.9;55;81;96;9;19;350;10192;1012.1
Lignano Sabbiadoro;2014;2;22;8.8;8.3;9.8;11.3;70;92;100;18;56;85;1752;1013.9
Lignano Sabbiadoro;2014;2;23;0;6.3;10.1;14.8;39;72;91;8;22;322;13363;1022.5
Lignano Sabbiadoro;2014;2;24;0;6.6;10.6;14.7;43;70;84;11;25;0;14458;1021.8
Lignano Sabbiadoro;2014;2;25;0;7.1;9.9;12.5;67;81;97;12;23;183;14095;1019.9
Lignano Sabbiadoro;2014;2;26;0.3;8.2;10.8;13;64;86;98;11;25;177;12228;1020.6
Lignano Sabbiadoro;2014;2;27;0;9.9;11;12.4;72;91;100;13;29;222;11992;1019.3
