stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monfalcone;2013;1;18;-;-;-;-;-;-;-;-;-;-;-;-
Monfalcone;2013;2;1;0.8;5.6;7.3;8.9;87;93;98;-;10;-;3016;1009.6
Monfalcone;2013;2;2;77.0;5.2;7.6;10.5;95;99;100;-;31;-;714;992.3
Monfalcone;2013;2;3;0.0;1.2;6.4;10.9;35;69;95;-;17;-;9136;1008.6
Monfalcone;2013;2;4;0.0;2.1;5.7;10.0;62;74;88;-;27;-;11131;1016.1
Monfalcone;2013;2;5;0.0;3.8;7.1;9.2;70;85;94;-;16;-;2814;1009.5
Monfalcone;2013;2;6;7.0;1.0;5.7;10.0;82;91;96;7;64;-;1161;997.2
Monfalcone;2013;2;7;0.0;0.1;5.0;9.1;51;69;95;-;20;-;9830;1003.1
Monfalcone;2013;2;8;0.0;0.8;4.4;8.4;37;55;79;6;32;-;10260;1008.4
Monfalcone;2013;2;9;0.0;0.2;3.3;6.2;46;63;77;-;23;-;5383;1012.3
Monfalcone;2013;2;10;0.0;-2.8;1.3;5.8;48;73;93;-;19;-;12802;1013.0
Monfalcone;2013;2;11;21.6;-0.2;2.5;5.2;80;89;95;8;51;-;2628;1006.5
Monfalcone;2013;2;12;18.2;1.7;4.4;9.5;59;79;97;11;59;-;9768;1003.2
Monfalcone;2013;2;13;0.0;0.9;5.4;7.4;57;65;85;4;28;-;3001;1010.5
Monfalcone;2013;2;14;0.0;3.8;7.2;10.8;51;63;75;10;39;-;7548;1016.1
Monfalcone;2013;2;15;0.0;2.4;7.0;11.0;46;62;78;10;38;-;13191;1015.5
Monfalcone;2013;2;16;0.0;5.3;7.7;11.8;45;61;69;9;34;-;13536;1019.4
Monfalcone;2013;2;17;0.0;5.1;7.2;10.8;47;58;70;11;44;-;14260;1019.0
Monfalcone;2013;2;18;0.0;2.9;6.2;9.5;46;58;66;10;45;-;13103;1017.1
Monfalcone;2013;2;19;0.0;-0.1;5.0;9.9;41;63;78;-;17;-;13522;1014.2
Monfalcone;2013;2;20;0.0;2.6;5.8;9.1;58;68;80;-;49;-;5035;1013.0
Monfalcone;2013;2;21;0.0;-0.7;3.0;5.0;50;62;95;18;59;-;6306;1010.8
Monfalcone;2013;2;22;0.6;-0.8;2.2;5.4;53;68;97;15;57;-;7841;1003.7
Monfalcone;2013;2;23;11.8;0.7;3.7;7.0;53;71;94;10;69;-;9007;1001.5
Monfalcone;2013;2;24;9.6;3.6;5.0;6.7;70;86;96;-;53;-;1626;1005.7
Monfalcone;2013;2;25;0.0;1.8;6.5;12.1;39;72;95;-;23;-;15521;1016.3
Monfalcone;2013;2;26;0.6;-0.3;7.1;12.5;49;72;95;-;17;-;13183;1018.5
Monfalcone;2013;2;27;0.0;6.4;8.7;11.2;62;75;93;-;42;-;3772;1021.4
Monfalcone;2013;2;28;0.0;4.2;8.7;12.7;60;70;81;-;26;-;15944;1022.9
Monfalcone;2013;3;1;0.0;2.2;6.6;11.3;73;85;97;-;12;-;13740;1018.7
Monfalcone;2013;3;2;0.0;2.3;8.2;11.9;35;57;98;13;50;-;17232;1018.0
Monfalcone;2013;3;3;0.0;-0.5;7.2;15.7;28;64;90;-;17;-;17644;1016.9
Monfalcone;2013;3;4;0.0;2.4;9.2;15.1;32;49;73;5;21;-;17694;1020.3
Monfalcone;2013;3;5;0.0;2.5;9.3;15.3;30;55;76;-;15;-;14372;1021.4
Monfalcone;2013;3;6;28.0;8.6;10.3;11.3;61;92;99;-;22;-;1298;1012.5
Monfalcone;2013;3;7;21.8;10.4;10.8;11.5;99;99;100;-;15;-;2255;1005.6
Monfalcone;2013;3;8;4.2;9.9;10.8;11.8;100;100;100;-;10;-;3368;1003.9
Monfalcone;2013;3;9;11.2;10.1;10.8;11.8;100;100;100;-;14;-;1891;1002.2
Monfalcone;2013;3;10;19.0;6.6;9.6;11.4;100;100;100;-;17;-;3424;999.7
Monfalcone;2013;3;11;0.8;5.3;10.2;14.3;75;93;100;-;17;-;16108;998.8
Monfalcone;2013;3;12;3.0;8.5;10.6;13.2;70;89;99;-;26;-;7953;997.4
Monfalcone;2013;3;13;18.8;7.4;9.0;11.1;87;94;98;-;27;-;2699;995.3
Monfalcone;2013;3;14;0.0;4.3;7.3;9.6;56;72;97;-;37;-;2766;992.1
Monfalcone;2013;3;15;0.0;2.2;5.9;9.2;38;49;71;-;32;-;13099;1005.4
