stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Lussari sm;2017;8;1;0;17.1;-;20.5;-;-;-;-;-;-;472;-
Monte Lussari sm;2017;8;2;4;12.7;-;19.9;-;-;-;-;-;-;373;-
Monte Lussari sm;2017;8;3;0;14.8;-;20.6;-;-;-;-;-;-;99;-
Monte Lussari sm;2017;8;4;0;15.6;-;20.7;-;-;-;-;-;-;180;-
Monte Lussari sm;2017;8;5;0;14;-;18.5;-;-;-;-;-;-;71;-
Monte Lussari sm;2017;8;6;33.2;8.8;-;12.9;-;-;-;-;-;-;17;-
Monte Lussari sm;2017;8;7;0;7.8;-;9.9;-;-;-;-;-;-;5;-
Monte Lussari sm;2017;8;8;0;9.1;-;14.9;-;-;-;-;-;-;211;-
Monte Lussari sm;2017;8;9;6.8;13.3;-;17.4;-;-;-;-;-;-;308;-
Monte Lussari sm;2017;8;10;35.2;10.4;-;15.6;-;-;-;-;-;-;383;-
Monte Lussari sm;2017;8;11;34;9;-;11.3;-;-;-;-;-;-;197;-
Monte Lussari sm;2017;8;12;0;7.1;-;9.4;-;-;-;-;-;-;5;-
Monte Lussari sm;2017;8;13;0;7.5;-;11.7;-;-;-;-;-;-;57;-
Monte Lussari sm;2017;8;14;0;9.8;-;12.5;-;-;-;-;-;-;144;-
Monte Lussari sm;2017;8;15;0;11.3;-;15;-;-;-;-;-;-;510;-
Monte Lussari sm;2017;8;16;2.8;10.5;-;14.4;-;-;-;-;-;-;50;-
Monte Lussari sm;2017;8;17;0;11.1;-;15.1;-;-;-;-;-;-;157;-
Monte Lussari sm;2017;8;18;0;14.6;-;17.5;-;-;-;-;-;-;590;-
Monte Lussari sm;2017;8;19;65;3.9;-;11.1;-;-;-;-;-;-;55;-
Monte Lussari sm;2017;8;20;3;3.5;-;7.5;-;-;-;-;-;-;14;-
