stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Lussari;2011;1;1;0.0;-3.9;-1.7;0.4;12;27;55;12;31;216;6933;799.6
Monte Lussari;2011;1;2;0.0;-;-;-;-;-;-;-;-;-;-;-
Monte Lussari;2011;1;3;0.0;-13.5;-12.1;-10.4;33;49;78;11;25;54;7107;797.9
Monte Lussari;2011;1;4;0.0;-13.5;-12.3;-10.3;41;53;62;-;-;-;5645;797.1
Monte Lussari;2011;1;5;0.0;-12.8;-11.2;-8.7;21;44;77;12;33;211;7175;796.5
Monte Lussari;2011;1;6;0.0;-11.3;-6.2;-1.3;72;81;92;18;58;260;3814;798.9
Monte Lussari;2011;1;7;0.0;-2.4;-0.4;1.1;89;94;97;15;51;266;1017;810.1
Monte Lussari;2011;1;8;0.1;-0.9;0.4;1.3;81;93;97;15;66;250;1029;819.8
Monte Lussari;2011;1;9;-;-;-;-;-;-;-;-;-;-;-;-
Monte Lussari;2011;1;10;-;-;-;-;-;-;-;-;-;-;-;-
Monte Lussari;2011;1;11;-;-;-;-;-;-;-;-;-;-;-;-
Monte Lussari;2011;1;12;-;-;-;-;-;-;-;-;-;-;-;-
Monte Lussari;2011;1;13;0.0;-3.9;3.1;6.7;47;59;92;18;35;245;5768;813.5
Monte Lussari;2011;1;14;0.0;4.8;6.6;8.9;41;49;58;10;33;263;6873;824.8
Monte Lussari;2011;1;15;0.0;0.2;2.3;6.2;24;45;63;13;48;9;7365;826.4
Monte Lussari;2011;1;16;0.0;0.3;5.5;8.2;15;34;58;11;36;242;5946;832.0
Monte Lussari;2011;1;17;0.0;3.0;5.4;8.2;13;20;34;6;22;269;7514;828.4
Monte Lussari;2011;1;18;0.0;-0.4;2.3;4.4;13;32;45;9;27;95;7933;826.3
Monte Lussari;2011;1;19;4.9;-8.9;-5.0;-0.3;45;80;88;22;45;82;1726;820.1
Monte Lussari;2011;1;20;0.4;-12.3;-10.2;-8.5;75;80;83;24;50;86;4048;813.0
Monte Lussari;2011;1;21;0.0;-13.1;-12.1;-11.1;71;75;78;35;64;89;3000;816.9
Monte Lussari;2011;1;22;0.0;-14.0;-12.3;-9.9;13;59;76;34;57;95;8129;816.8
Monte Lussari;2011;1;23;0.0;-11.4;-8.5;-6.5;13;30;44;21;51;89;8991;814.7
Monte Lussari;2011;1;24;0.0;-9.2;-8.2;-6.8;13;51;76;10;24;287;4268;813.3
Monte Lussari;2011;1;25;0.0;-10.4;-8.1;-4.3;41;63;82;12;30;265;3689;809.6
Monte Lussari;2011;1;26;0.0;-10.4;-7.0;-4.2;38;58;81;10;36;271;5878;804.9
Monte Lussari;2011;1;27;0.0;-9.9;-7.8;-4.9;63;77;85;9;29;101;4975;807.6
Monte Lussari;2011;1;28;0.0;-14.5;-11.7;-9.2;72;76;80;18;42;85;1608;814.8
Monte Lussari;2011;1;29;0.0;-15.2;-12.8;-10.1;70;74;78;11;23;134;1772;816.5
Monte Lussari;2011;1;30;0.0;-10.7;-5.9;-4.0;76;82;87;-;-;-;1648;815.6
Monte Lussari;2011;1;31;0.0;-8.1;-6.4;-4.7;13;63;84;-;30;87;6197;817.8
Monte Lussari;2011;2;1;0.0;-6.3;-1.8;1.5;12;36;52;10;25;86;9763;818.4
Monte Lussari;2011;2;2;0.0;-5.7;-2.8;-0.8;13;32;48;23;45;75;9959;820.8
Monte Lussari;2011;2;3;0.0;-6.9;-2.7;0.4;13;35;52;19;36;98;6422;823.6
Monte Lussari;2011;2;4;0.0;-2.7;0.1;3.4;12;22;35;13;43;253;9410;828.2
Monte Lussari;2011;2;5;0.0;2.4;5.9;7.7;13;25;33;21;40;290;1968;827.8
Monte Lussari;2011;2;6;0.0;6.3;7.2;8.9;14;24;34;17;36;249;9611;827.0
Monte Lussari;2011;2;7;0.0;6.6;9.2;11.7;28;36;41;11;31;266;11105;825.6
Monte Lussari;2011;2;8;0.0;-1.1;5.1;9.3;13;29;40;12;33;88;11172;822.2
Monte Lussari;2011;2;9;0.0;-3.4;0.6;3.5;13;32;54;6;28;116;11180;825.8
Monte Lussari;2011;2;10;0.0;-0.3;2.3;5.8;13;27;41;7;21;212;10907;823.9
Monte Lussari;2011;2;11;0.0;-0.1;1.5;3.7;21;37;47;17;48;232;10238;819.2
Monte Lussari;2011;2;12;0.0;-3.2;1.3;4.8;30;54;92;14;54;263;9129;816.4
Monte Lussari;2011;2;13;0.0;-4.4;-3.3;-2.4;90;92;93;4;15;227;1726;819.2
Monte Lussari;2011;2;14;0.0;-5.8;-4.3;-1.0;87;90;93;5;16;208;9162;814.2
Monte Lussari;2011;2;15;0.0;-5.2;-4.2;-2.6;83;90;92;9;37;202;3967;807.6
Monte Lussari;2011;2;16;7.2;-5.9;-4.0;-2.6;89;91;94;12;44;90;2425;803.0
Monte Lussari;2011;2;17;1.7;-6.3;-4.5;-2.3;86;90;93;11;48;79;3798;803.1
Monte Lussari;2011;2;18;0.0;-4.4;-2.7;-1.2;84;88;92;15;41;78;12307;805.9
Monte Lussari;2011;2;19;0.0;-4.3;-2.8;0.2;42;61;91;10;28;42;11526;803.8
Monte Lussari;2011;2;20;0.0;-8.1;-5.4;-2.3;44;75;89;6;23;117;6685;804.3
Monte Lussari;2011;2;21;0.0;-10.4;-8.0;-5.9;80;84;87;10;22;111;5770;804.6
Monte Lussari;2011;2;22;0.0;-12.3;-9.3;-6.9;78;82;86;7;22;79;8096;802.9
Monte Lussari;2011;2;23;0.0;-14.4;-12.6;-10.4;18;57;79;20;49;28;10862;809.1
Monte Lussari;2011;2;24;0.0;-12.9;-9.0;-6.0;13;25;35;24;54;98;14561;815.1
Monte Lussari;2011;2;25;0.0;-10.4;-8.2;-6.1;12;20;33;34;76;37;14714;816.5
Monte Lussari;2011;2;26;0.0;-10.6;-7.6;-3.6;24;57;87;19;51;106;13778;815.4
Monte Lussari;2011;2;27;0.5;-7.5;-5.9;-2.6;60;83;88;17;45;95;8051;810.3
Monte Lussari;2011;2;28;0.1;-7.3;-6.4;-5.4;84;87;88;22;46;104;4753;815.8
Monte Lussari;2011;3;1;0.0;-11.3;-8.3;-6.2;77;84;87;24;55;101;5485;820.4
Monte Lussari;2011;3;2;0.0;-12.3;-11.5;-10.7;75;78;80;27;52;70;1691;822.4
Monte Lussari;2011;3;3;0.2;-12.1;-9.6;-4.5;75;80;89;12;35;82;3853;825.3
Monte Lussari;2011;3;4;0.0;-7.5;-5.3;-2.3;83;87;91;-;36;76;12177;824.5
Monte Lussari;2011;3;5;0.0;-7.8;-3.1;0.8;39;66;89;18;39;102;15393;817.2
