stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Matajur;2007;1;1;-;-2.2;-0.1;1.9;95;97;98;-;-;-;468;841.6
Monte Matajur;2007;1;2;-;-4.2;-2;1.9;75;90;97;19;59;75;2869;833.1
Monte Matajur;2007;1;3;-;-4.1;-2;0.5;69;86;93;15;41;348;7198;840.6
Monte Matajur;2007;1;4;-;-4.9;-3.3;-1.5;65;87;96;14;35;195;2429;837.4
Monte Matajur;2007;1;5;-;-3.4;-0.6;2.5;47;85;96;11;32;298;6912;837.8
Monte Matajur;2007;1;6;-;-2.8;0.1;4.1;43;68;96;10;31;298;6811;841.4
Monte Matajur;2007;1;7;-;-2.5;-1.7;-0.7;95;96;97;-;39;276;2324;840
Monte Matajur;2007;1;8;-;-1.5;-0.4;0.5;96;97;98;-;36;273;1260;836.4
Monte Matajur;2007;1;9;-;-1.5;1.4;8.3;89;95;97;-;-;-;5307;839.5
Monte Matajur;2007;1;10;-;-0.7;2.8;7.4;61;89;98;-;-;-;5956;842.8
Monte Matajur;2007;1;11;-;-1.8;0.1;3.6;95;98;98;-;34;265;6192;840.3
Monte Matajur;2007;1;12;-;-1.9;2.5;5.8;27;64;98;26;112;337;7939;838.3
Monte Matajur;2007;1;13;-;0.5;6.4;12;21;42;79;17;43;298;5728;842.6
Monte Matajur;2007;1;14;-;0.7;6.9;12.7;23;40;67;11;32;99;7886;843.1
Monte Matajur;2007;1;15;-;0.5;2.2;4.9;60;71;83;14;40;295;8028;846.6
Monte Matajur;2007;1;16;-;-2.3;0.1;1.1;66;81;96;21;50;286;6589;843.2
Monte Matajur;2007;1;17;-;-2.6;-0.5;0.4;94;97;98;-;-;-;2096;842
Monte Matajur;2007;1;18;-;-1.8;-1.2;-0.6;96;97;97;-;-;-;1904;836.8
Monte Matajur;2007;1;19;-;-1.1;5.3;10.2;46;73;98;32;102;316;8643;831.6
Monte Matajur;2007;1;20;-;1.8;6;10.3;41;69;98;14;40;260;2662;838.2
Monte Matajur;2007;1;21;-;0.1;1.2;2.1;97;98;98;12;36;128;1518;834.3
Monte Matajur;2007;1;22;-;-0.9;1;2.2;97;98;98;29;82;166;1042;832.5
Monte Matajur;2007;1;23;-;-0.7;1.5;2.7;98;98;98;60;100;132;336;821.6
Monte Matajur;2007;1;24;-;-6.6;-4.3;-0.3;93;95;98;-;-;-;2364;814.2
Monte Matajur;2007;1;25;-;-10.4;-8.9;-6.4;90;92;94;-;-;-;3919;826.6
Monte Matajur;2007;1;26;-;-11.6;-8.8;-5.2;-;-;-;-;-;-;5817;833
Monte Matajur;2007;1;27;-;-9.7;-6.9;-4.3;-;-;-;-;-;-;9537;834.2
Monte Matajur;2007;1;28;-;-6.5;-5;-2.3;-;-;-;-;39;303;8248;839.6
Monte Matajur;2007;1;29;-;-4;0.3;2.2;45;78;96;27;69;306;9775;833.2
Monte Matajur;2007;1;30;-;-1.9;1;4.7;34;50;77;13;39;325;9346;837.6
Monte Matajur;2007;1;31;-;-2.5;1.7;4.8;33;50;79;13;35;281;10379;837.4
Monte Matajur;2007;2;1;-;-4.4;1.8;6.2;29;56;84;18;41;71;8782;836.9
Monte Matajur;2007;2;2;-;-1.7;0.5;3.4;46;66;86;14;35;306;10149;842.9
Monte Matajur;2007;2;3;-;-3.5;1.7;5.8;37;50;62;15;46;347;10353;839.5
Monte Matajur;2007;2;4;-;-4.1;-1.2;1.8;37;47;58;13;55;332;10631;841.7
Monte Matajur;2007;2;5;-;-4.9;-1.4;1.6;27;56;93;18;43;261;10404;834.8
Monte Matajur;2007;2;6;-;-5.3;-3.4;-2;77;93;95;18;39;256;1501;825
Monte Matajur;2007;2;7;-;-3.3;-2.2;-1.5;94;95;96;-;-;-;3781;822.5
Monte Matajur;2007;2;8;-;-2.4;-1.8;-0.7;95;96;97;-;-;-;3388;823.5
Monte Matajur;2007;2;9;-;-1.5;-0.3;0.2;96;97;98;-;-;-;3228;826.4
Monte Matajur;2007;2;10;-;-1.6;-0.7;0.7;92;96;97;-;-;-;6294;827.6
Monte Matajur;2007;2;11;-;-2.4;-0.7;0.5;81;92;97;17;37;105;5853;828.8
Monte Matajur;2007;2;13;-;-3.1;-1.6;0.2;64;-;97;-;63;309;9345;823.6
Monte Matajur;2007;2;14;-;-1.9;-0.1;1.4;41;63;92;20;57;324;10661;831.8
Monte Matajur;2007;2;15;-;-3.6;0.3;3.5;39;82;97;18;55;307;6602;833.1
Monte Matajur;2007;2;16;-;-1.9;-0.2;3.5;40;58;88;12;40;317;12485;838.7
Monte Matajur;2007;2;17;-;-5;-2.1;0.7;54;77;91;7;50;75;8351;839.2
Monte Matajur;2007;2;18;-;-6.4;-4;-2;63;84;94;18;54;84;9463;836.3
Monte Matajur;2007;2;19;-;-4.4;-0.8;2.1;47;70;94;12;30;79;12689;831.6
Monte Matajur;2007;2;20;-;-0.7;1.5;4.7;50;65;96;8;24;233;13538;832.3
Monte Matajur;2007;2;21;-;0.6;1.5;2.3;96;97;98;14;32;299;5199;834.1
Monte Matajur;2007;2;22;-;0;0.7;1.3;96;97;98;12;31;289;6436;832.3
Monte Matajur;2007;2;23;-;-0.8;-0.1;0.8;96;97;98;14;46;116;6640;832.1
Monte Matajur;2007;2;24;-;-1.8;-1;-0.3;95;97;98;20;45;106;3889;831.2
Monte Matajur;2007;2;25;-;-1.3;-0.3;1.8;97;98;98;24;91;193;4218;827.7
Monte Matajur;2007;2;26;-;-3.2;-0.4;3.4;-;-;-;13;72;210;8502;825.8
Monte Matajur;2007;2;27;-;-1.2;0.1;3.5;-;-;-;15;33;271;12520;831
Monte Matajur;2007;2;28;-;-1.9;-0.9;0.9;76;95;98;16;34;169;7368;828.4
Monte Matajur;2007;3;1;-;-0.5;0.6;1.4;98;98;98;24;50;254;5211;826.2
Monte Matajur;2007;3;2;-;-1;1.6;5.2;92;98;98;21;51;232;7837;825.6
Monte Matajur;2007;3;3;-;-0.7;1.6;3.6;82;98;98;22;52;304;4153;829.4
Monte Matajur;2007;3;4;-;0.6;2.6;5.9;33;52;94;14;76;308;15786;837.5
Monte Matajur;2007;3;5;-;-0.3;2.5;5;30;59;93;13;35;262;15479;840
Monte Matajur;2007;3;6;-;-0.2;1.5;3.2;49;77;97;23;49;177;2707;840.1
Monte Matajur;2007;3;7;-;-0.4;1.3;2.6;97;98;98;39;80;149;1773;829.6
Monte Matajur;2007;3;8;-;0;0.5;1.4;94;97;98;15;50;284;4583;832
Monte Matajur;2007;3;9;-;-2.6;0.5;4;-;-;-;12;41;335;15896;839.6
Monte Matajur;2007;3;10;-;-3.3;-0.3;3.1;-;-;-;19;63;330;17071;840.8
Monte Matajur;2007;3;11;-;-3.8;-0.2;3.9;37;49;62;12;49;312;13001;845.1
Monte Matajur;2007;3;12;-;0.4;4.8;9.2;15;29;42;18;59;90;17490;843.9
Monte Matajur;2007;3;13;-;4.3;6.5;10.3;39;50;66;6;23;349;17442;842.8
Monte Matajur;2007;3;14;-;3.7;6.3;10.1;32;52;75;13;36;113;17621;844.6
Monte Matajur;2007;3;15;-;3.2;4.2;6.3;61;75;86;13;34;319;12890;843.5
Monte Matajur;2007;3;16;-;3.7;5.2;7;51;69;81;10;34;161;15877;840.6
Monte Matajur;2007;3;17;-;2.4;3.5;5.5;54;84;97;13;33;296;6554;837.5
Monte Matajur;2007;3;18;-;0.2;2.1;4.6;71;93;98;23;59;239;5893;829.7
Monte Matajur;2007;3;19;-;-6.3;-1.1;1.8;93;97;98;-;120;203;957;811.5
Monte Matajur;2007;3;20;-;-7.4;-6.6;-5.6;91;92;93;-;-;-;5759;809
Monte Matajur;2007;3;21;-;-7;-5;-1.2;-;-;-;-;30;61;14430;817.3
Monte Matajur;2007;3;22;-;-7.7;-5.1;-0.6;-;-;-;11;30;42;18901;824
