stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Zoncolan;2008;1;1;0.0;-9.9;-8;-3.7;27;44;57;11;26;69;6475;824.6
Monte Zoncolan;2008;1;2;0.0;-11.8;-10;-4.6;39;58;80;7;18;76;6480;822.8
Monte Zoncolan;2008;1;3;0.0;-12.3;-9.2;-5.4;58;76;93;8;24;218;3698;821.9
Monte Zoncolan;2008;1;4;0.4;-5.6;-4.3;-3.2;91;99;100;14;34;239;1530;826.2
Monte Zoncolan;2008;1;5;4.8;-4.4;-2;-0.9;99;100;100;16;35;208;1470;825.3
Monte Zoncolan;2008;1;6;6.4;-4;-1.9;-0.5;99;100;100;9;31;210;3900;820.7
Monte Zoncolan;2008;1;7;0.0;-3.3;-1.7;0.3;78;97;100;12;35;159;2916;825.4
Monte Zoncolan;2008;1;8;0.0;-3;-1.7;0.5;70;89;100;14;32;199;6678;829.4
Monte Zoncolan;2008;1;9;0.0;-4.3;-3.2;-1.7;76;88;100;10;28;209;3472;827.9
Monte Zoncolan;2008;1;10;0.0;-3.4;-1.3;1.3;14;66;98;7;17;201;6693;828.3
Monte Zoncolan;2008;1;11;1.8;-4.8;-2.1;-0.1;91;98;100;17;49;183;1960;825.3
Monte Zoncolan;2008;1;12;69.6;-2;-0.4;0.8;99;100;100;-;61;155;1740;819.6
Monte Zoncolan;2008;1;13;41.6;-2.1;-1.4;-0.1;99;100;100;-;-;-;2952;823.5
Monte Zoncolan;2008;1;14;1.0;-3.1;-2.5;-1.9;99;100;100;-;-;-;2963;823.9
Monte Zoncolan;2008;1;15;0.2;-3.8;-3.4;-2.8;99;100;100;-;-;-;2088;823.3
Monte Zoncolan;2008;1;16;14.8;-3.7;-2.6;-1.8;99;100;100;-;-;-;1224;816.9
Monte Zoncolan;2008;1;17;42.6;-2.7;-1.9;-0.6;99;100;100;-;-;-;1929;820.7
Monte Zoncolan;2008;1;18;0.4;-1.7;-0.9;0;99;100;100;-;-;-;3857;827
Monte Zoncolan;2008;1;19;0.0;-2.3;3;6.2;-;-;-;-;21;296;3741;831.7
Monte Zoncolan;2008;1;20;0.0;4.5;6.2;8.1;15;-;-;10;21;268;7833;831.4
Monte Zoncolan;2008;1;21;0.0;-5.8;5.4;9.1;10;22;93;10;24;272;5044;825.4
Monte Zoncolan;2008;1;22;0.0;-7.3;-2.2;4.5;30;59;100;18;75;306;5029;819
Monte Zoncolan;2008;1;23;0.0;-8.8;-5.5;-1.2;18;32;47;14;72;356;8270;831.4
Monte Zoncolan;2008;1;24;0.0;-4;2.1;7.9;12;32;49;8;23;302;7884;833.9
Monte Zoncolan;2008;1;25;0.0;0.1;2.3;5.1;8;43;61;13;37;28;6015;837.1
Monte Zoncolan;2008;1;26;0.0;0.8;4.6;7.3;8;10;17;14;31;248;8164;836.9
Monte Zoncolan;2008;1;27;0.0;3.9;5.4;7.4;8;36;64;34;104;327;7907;828.1
Monte Zoncolan;2008;1;28;0.0;0.9;4.7;8.8;47;58;73;14;69;345;7894;832.4
Monte Zoncolan;2008;1;29;0.0;-2.3;2.3;8.7;34;65;100;7;21;302;8900;831.1
Monte Zoncolan;2008;1;30;0.0;-3.8;-2.9;-0.8;71;97;100;8;24;194;2000;827.3
Monte Zoncolan;2008;1;31;0.0;-4;-2.6;-1.1;67;86;100;13;32;203;3215;825.6
Monte Zoncolan;2008;2;1;0.0;-4.3;-4.1;-3.6;99;100;100;11;28;186;2263;820.7
Monte Zoncolan;2008;2;2;1.6;-6.6;-4.3;-1.9;99;100;100;9;23;220;2035;820.2
Monte Zoncolan;2008;2;3;3.0;-6.6;-4.7;-2.3;99;100;100;6;51;203;2410;827.4
Monte Zoncolan;2008;2;4;22.2;-2.8;-2.3;-1.8;99;100;100;17;45;207;3730;821.1
Monte Zoncolan;2008;2;5;8.0;-3.7;-2.3;-0.6;99;100;100;-;20;46;3019;826.2
Monte Zoncolan;2008;2;6;0.0;-4.2;-2.1;-0.2;-;-;-;-;37;351;6597;828.8
Monte Zoncolan;2008;2;7;0.0;-5.6;-3.6;-1.1;9;-;-;21;79;307;10554;833.8
Monte Zoncolan;2008;2;8;0.0;-6;-3.7;-1.4;8;24;60;22;55;39;10702;837
Monte Zoncolan;2008;2;9;0.0;-7.4;-3.8;-0.1;31;53;67;23;44;48;10649;836.1
Monte Zoncolan;2008;2;10;0.0;-5.6;-3.5;-0.9;40;57;67;18;40;57;10829;834.5
Monte Zoncolan;2008;2;11;0.0;-5.5;-2.6;-0.5;19;31;58;34;66;45;11339;834.8
Monte Zoncolan;2008;2;12;0.0;-4.7;-2.2;-0.2;12;26;42;26;41;39;11573;834.6
Monte Zoncolan;2008;2;13;0.0;-4.1;0.2;6.1;9;20;42;9;20;41;11541;834.7
Monte Zoncolan;2008;2;14;0.0;-0.7;1.7;7.1;8;17;29;5;13;315;11485;832.7
Monte Zoncolan;2008;2;15;0.0;-9.8;-1.8;5.2;18;43;88;14;44;53;11569;829.3
Monte Zoncolan;2008;2;16;0.0;-11.4;-7.3;-2.1;10;29;83;15;40;14;12271;834.2
Monte Zoncolan;2008;2;17;0.0;-12.8;-7;-0.3;11;56;89;10;24;249;13469;837.9
Monte Zoncolan;2008;2;18;0.0;-2.6;0.7;4.7;9;12;26;6;17;327;12242;831.7
Monte Zoncolan;2008;2;19;0.0;-2.2;0.4;4.5;8;16;39;8;16;212;12277;829
Monte Zoncolan;2008;2;20;0.0;-6.2;-4.2;-0.3;20;68;100;6;17;191;10958;828.5
Monte Zoncolan;2008;2;21;0.0;-6.4;-0.8;5.9;38;66;100;8;22;298;12138;830
Monte Zoncolan;2008;2;22;0.0;0.5;2.9;8.9;41;56;74;9;23;198;11144;831.7
Monte Zoncolan;2008;2;23;0.0;3;6;11.3;43;56;65;8;32;29;10400;832.2
Monte Zoncolan;2008;2;24;0.0;3.9;5.5;9.7;49;60;72;9;17;288;12894;832.3
Monte Zoncolan;2008;2;25;0.0;3.2;5;9.8;45;58;77;5;19;277;13020;828.6
Monte Zoncolan;2008;2;26;0.0;-0.6;2.4;6.2;46;66;87;5;18;222;13339;825
Monte Zoncolan;2008;2;27;0.0;-1.6;1.6;6.6;58;72;94;11;30;45;12566;822.7
Monte Zoncolan;2008;2;28;0.0;-1;0.5;4.1;72;88;100;12;27;72;11604;827.4
Monte Zoncolan;2008;2;29;0.0;-2.2;-1.1;0.1;99;100;100;9;25;214;5962;826
Monte Zoncolan;2008;3;1;3.6;-2.8;-1.5;-0.3;99;100;100;14;43;226;4818;814.8
Monte Zoncolan;2008;3;2;0.0;-2.4;4.6;9.9;19;62;100;21;54;260;14884;817.2
Monte Zoncolan;2008;3;3;0.0;0.5;3.1;7.6;28;74;100;11;37;248;8913;817.4
Monte Zoncolan;2008;3;4;6.8;-8;-5.2;1.5;99;100;100;26;54;84;1983;814.9
Monte Zoncolan;2008;3;5;0.0;-12.4;-9.2;-7.6;68;-;-;28;69;84;9754;820.3
Monte Zoncolan;2008;3;6;0.0;-12.9;-8.5;-3;43;64;84;46;73;55;8438;823.9
