stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Musi;2011;1;1;0;-1.8;0.8;5.7;60;78;89;-;-;-;2443;-
Musi;2011;1;2;0;-1.5;2;4.7;16;60;89;-;-;-;2795;-
Musi;2011;1;3;0;-5.4;-1.1;3.7;8;30;64;-;-;-;4174;-
Musi;2011;1;4;0;-6.5;-4;1;23;54;66;-;-;-;3512;-
Musi;2011;1;5;0;-7.6;-4.1;1.6;24;54;67;-;-;-;4208;-
Musi;2011;1;6;0;-1.9;-0.3;1;54;66;97;-;-;-;832;-
Musi;2011;1;7;3.8;0.5;2.2;4.2;97;99;99;-;-;-;360;-
Musi;2011;1;8;6.6;3.6;4.3;5.3;99;99;99;-;-;-;280;-
Musi;2011;1;9;0;4.5;5.1;6;99;99;99;-;-;-;604;-
Musi;2011;1;10;87.8;4.3;5.1;6.3;99;99;99;-;-;-;347;-
Musi;2011;1;11;35.2;3.4;4.5;6;99;99;99;-;-;-;874;-
Musi;2011;1;12;0;2.2;4.8;9;72;93;99;-;-;-;4924;-
Musi;2011;1;13;0;1.6;3.8;8.3;73;90;99;-;-;-;4422;-
Musi;2011;1;14;0;1.5;4.4;10.3;57;89;99;-;-;-;5000;-
Musi;2011;1;15;0;2.1;4.5;8.9;71;88;99;-;-;-;5228;-
Musi;2011;1;16;0;4.5;7.3;13.8;35;63;78;-;-;-;5214;-
Musi;2011;1;17;0;3.1;6.3;12.7;33;57;71;-;-;-;5143;-
Musi;2011;1;18;0;2.9;6;13.2;23;49;63;-;-;-;5458;-
Musi;2011;1;19;3.4;1.7;3.5;6.5;56;75;94;-;-;-;2565;-
Musi;2011;1;20;0;1.3;2.7;5.6;16;33;75;-;-;-;4284;-
Musi;2011;1;21;0;0.5;1.6;2.8;14;20;30;-;-;-;3196;-
Musi;2011;1;22;0;-0.2;1.7;3.8;8;15;31;-;-;-;6346;-
Musi;2011;1;23;0;-5.2;-1;5.8;8;37;58;-;-;-;6696;-
Musi;2011;1;24;0;-4.1;-1.3;3.3;17;46;68;-;-;-;5056;-
Musi;2011;1;25;0;-4.4;-0.7;2;41;61;74;-;-;-;2644;-
Musi;2011;1;26;0;-4.1;-0.4;2.2;58;71;82;-;-;-;3237;-
Musi;2011;1;27;0;0.1;2.1;4.9;55;65;74;-;-;-;2424;-
Musi;2011;1;28;0;-1;1.7;5.5;28;43;56;-;-;-;7369;-
Musi;2011;1;29;0;-2.7;-0.2;3.1;27;41;63;-;-;-;4822;-
Musi;2011;1;30;0;-1.7;1.4;4.4;42;57;74;-;-;-;2098;-
Musi;2011;1;31;0;-1.9;1.1;8.5;34;64;80;-;-;-;7843;-
Musi;2011;2;1;0;-1.3;2.2;9.9;8;32;58;-;-;-;8154;-
Musi;2011;2;2;0;0.1;5;11.7;8;17;34;-;-;-;8284;-
Musi;2011;2;3;0;0.3;4.8;8.9;8;22;47;-;-;-;6302;-
Musi;2011;2;4;0;0.2;4.5;12.4;9;30;45;-;-;-;7931;-
Musi;2011;2;5;0;2.6;4.2;6.5;34;42;48;-;-;-;1570;-
Musi;2011;2;6;0;2.9;8.4;16.4;11;28;42;-;-;-;8695;-
Musi;2011;2;7;0;3.9;8.4;16.3;8;26;43;-;-;-;8941;-
Musi;2011;2;8;0;2;6.3;13.1;12;36;49;-;-;-;8806;-
Musi;2011;2;9;0;3;6.5;13.6;20;42;63;-;-;-;8969;-
Musi;2011;2;10;0;1.9;5.8;13.3;22;50;64;-;-;-;9066;-
Musi;2011;2;11;0;0;3.7;9.7;47;68;91;-;-;-;8022;-
Musi;2011;2;12;0;0;4.5;7.7;66;83;95;-;-;-;4993;-
Musi;2011;2;13;1.2;3.7;4.4;5.6;85;95;99;-;-;-;1053;-
Musi;2011;2;14;0;3.4;4.7;7.2;75;90;99;-;-;-;2806;-
Musi;2011;2;15;0;2.6;3.6;5.3;80;90;95;-;-;-;1915;-
Musi;2011;2;16;73.4;0.9;2.7;4;92;97;99;-;-;-;771;-
Musi;2011;2;17;24.2;1;2.6;3.8;95;98;99;-;-;-;1361;-
Musi;2011;2;18;0;2;7.5;13.5;36;66;99;-;-;-;9789;-
Musi;2011;2;19;0;0.4;4.5;10.7;49;73;91;-;-;-;10184;-
Musi;2011;2;20;0.6;0.4;2.7;4.8;66;80;96;-;-;-;2133;-
Musi;2011;2;21;0;-1.6;2.1;7.7;49;78;98;-;-;-;8487;-
Musi;2011;2;22;0;-2.2;0.5;4.7;46;64;84;-;-;-;8432;-
Musi;2011;2;23;0;-3.6;-0.3;5.3;8;27;68;-;-;-;11560;-
Musi;2011;2;24;0;-6.1;-0.8;5.8;9;31;60;-;-;-;12254;-
Musi;2011;2;25;0;-4.7;0.4;5.9;8;36;62;-;-;-;-;-
Musi;2011;2;26;0;-1.5;3.5;11;13;36;70;-;-;-;12211;-
