stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pala d'Altei;2006;1;1;-;-3.2;-2.2;-1.0;99;100;100;10;30;24;939;836.6
Pala d'Altei;2006;1;2;-;-4.4;-3.6;-2.6;98;99;100;13;29;26;2970;839.2
Pala d'Altei;2006;1;3;-;-4.3;-2.1;-0.9;38;55;98;10;39;24;4534;846.7
Pala d'Altei;2006;1;4;-;-5.4;-3.8;-2.4;45;55;70;13;33;356;7387;848.1
Pala d'Altei;2006;1;5;-;-6.4;-4.0;-1.7;65;78;95;9;32;72;3017;845.4
Pala d'Altei;2006;1;6;-;-4.1;-2.6;-1.7;68;81;90;8;23;83;2316;847.6
Pala d'Altei;2006;1;7;-;-5.1;-3.4;-1.7;79;90;98;5;18;139;3103;852.2
Pala d'Altei;2006;1;8;-;-7.5;-6.2;-4.4;95;96;98;8;18;312;1079;855.0
Pala d'Altei;2006;1;9;-;-7.4;-3.3;-1.2;25;48;95;13;32;36;7872;855.1
Pala d'Altei;2006;1;10;-;-2.8;-1.1;0.8;19;40;56;-;30;54;7830;855.6
Pala d'Altei;2006;1;11;-;-2.0;-0.4;2.1;12;46;56;-;18;296;8119;854.9
Pala d'Altei;2006;1;12;-;-2.0;0.6;2.8;9;14;24;-;23;300;8250;855.8
Pala d'Altei;2006;1;13;-;-1.5;0.2;3.2;9;13;28;-;22;309;8393;857.3
Pala d'Altei;2006;1;14;-;-5.1;-0.3;3.5;9;16;38;-;19;42;8323;855.1
Pala d'Altei;2006;1;15;-;-8.0;-4.4;-2.8;15;31;54;12;33;72;8486;853.8
Pala d'Altei;2006;1;16;-;-8.3;-7.0;-4.8;48;61;81;6;23;191;4503;851.8
Pala d'Altei;2006;1;17;-;-8.9;-7.2;-4.2;62;80;97;-;30;203;3537;846.7
Pala d'Altei;2006;1;18;-;-5.6;-1.9;2.4;30;64;98;15;36;344;6036;837.3
Pala d'Altei;2006;1;19;-;-2.8;-1.3;1.5;17;30;45;12;84;317;8698;848.1
Pala d'Altei;2006;1;20;-;-4.5;-1.6;2.8;32;43;58;-;19;299;8630;851.0
