stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Palazzolo dello Stella;2002;1;1;0.0;-7.4;-1.7;5.5;32;66;89;5;17;225;7455;1031.9
Palazzolo dello Stella;2002;1;2;0.0;-8;-3.9;2.7;55;81;92;2;11;10;8016;1026.7
Palazzolo dello Stella;2002;1;3;0.0;-7.5;-1.3;5.9;35;65;93;8;24;112;8209;1027
Palazzolo dello Stella;2002;1;4;0.0;-10;-4.5;2.5;40;67;89;4;12;3;7266;1031.9
Palazzolo dello Stella;2002;1;5;0.0;-9.3;-2.2;5.5;31;63;88;5;14;15;7668;1031.5
Palazzolo dello Stella;2002;1;6;0.0;-8.3;-1.5;8.8;25;70;90;2;10;262;8100;1027.4
Palazzolo dello Stella;2002;1;7;0.0;-6.6;0.9;12.1;22;63;90;6;21;35;6849;1024.2
Palazzolo dello Stella;2002;1;8;0.0;-5.6;0.4;9.4;34;60;76;7;13;17;6585;1029.3
Palazzolo dello Stella;2002;1;9;0.0;-5.7;0.5;9.7;33;66;88;6;14;0;7421;1032.8
Palazzolo dello Stella;2002;1;10;0.0;-7;0.1;10.4;35;71;89;4;10;278;8018;1030.5
Palazzolo dello Stella;2002;1;11;0.0;-6.5;-0.7;8.2;53;79;92;5;13;79;6026;1029
Palazzolo dello Stella;2002;1;12;0.0;-6.7;0.8;10.7;34;65;90;7;16;27;7954;1028
Palazzolo dello Stella;2002;1;13;0.0;-5.4;2.3;10.2;39;62;83;12;26;53;7576;1024.9
Palazzolo dello Stella;2002;1;14;0.0;-4.8;0.9;6.4;42;62;80;8;19;50;4837;1024
Palazzolo dello Stella;2002;1;15;0.0;-5.8;-1.3;2.2;59;83;95;6;15;3;1710;1019.1
Palazzolo dello Stella;2002;1;16;0.0;-5.5;-1.9;2.2;69;83;93;8;18;43;2803;1018
Palazzolo dello Stella;2002;1;17;0.0;-6.6;-1;6.8;45;72;85;9;21;4;8064;1019.7
Palazzolo dello Stella;2002;1;18;0.0;-6.8;-0.8;6.3;50;72;85;9;17;334;7848;1019.2
Palazzolo dello Stella;2002;1;19;0.0;-6.6;0;7.9;47;73;89;5;15;7;7434;1019.7
Palazzolo dello Stella;2002;1;20;0.0;-5.6;0;8.3;61;84;95;5;16;327;5977;1022.4
Palazzolo dello Stella;2002;1;21;0.0;-6.1;-0.9;7;71;90;97;4;9;0;4119;1019.9
Palazzolo dello Stella;2002;1;22;0.0;-5.8;0.1;5.2;76;90;97;4;9;342;2855;1017.6
Palazzolo dello Stella;2002;1;23;0.2;-0.1;3.1;7.2;72;87;94;3;10;48;2934;1016.6
Palazzolo dello Stella;2002;1;24;38.8;2.7;5.2;7.1;94;97;98;10;24;321;416;1009.3
Palazzolo dello Stella;2002;1;25;0.0;-0.8;5.4;12.9;65;88;97;6;20;341;8438;1015.7
Palazzolo dello Stella;2002;1;26;0.0;-1;3.8;8.4;93;98;99;5;21;124;2137;1022
