stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Piancavallo;2014;1;1;0;-5.1;-2.8;0.7;92;99;99;3;10;164;3573;872.5
Piancavallo;2014;1;2;1.4;-5.2;-0.9;2.2;90;98;99;-;42;177;1621;870.1
Piancavallo;2014;1;3;0;-1.8;0.4;2.1;96;99;100;-;-;-;3135;873
Piancavallo;2014;1;4;114.2;-1;2.6;7.1;86;99;99;-;44;226;322;869.6
Piancavallo;2014;1;5;43.6;0.9;3.1;7.4;80;98;99;6;43;232;237;863.7
Piancavallo;2014;1;6;0;-0.1;2.5;6.2;88;99;100;3;14;179;4341;873.8
Piancavallo;2014;1;7;0;0.1;2;4.6;93;99;99;2;10;167;3285;877.2
Piancavallo;2014;1;8;0;0.6;2.6;6.2;76;92;99;3;15;349;5121;878.6
Piancavallo;2014;1;9;0;-0.7;2.7;7.7;64;89;99;3;10;0;5895;874.1
Piancavallo;2014;1;10;0;-0.7;1;4;90;98;99;4;16;33;4901;872.5
Piancavallo;2014;1;11;0;-0.6;1.3;3.1;90;98;99;3;17;163;2654;875
Piancavallo;2014;1;12;0;-3.5;0.7;8.3;37;86;99;3;13;29;7185;875.5
Piancavallo;2014;1;13;1.2;-4.2;-0.8;0.8;89;99;99;4;13;12;2272;872.2
Piancavallo;2014;1;14;94.8;-0.7;0.8;2.7;99;99;99;-;21;216;335;862.7
Piancavallo;2014;1;15;0.2;-3.8;0.1;3.9;68;92;99;-;11;0;5881;865.7
Piancavallo;2014;1;16;2.6;-4.1;-0.8;2.2;98;99;99;-;43;235;3075;868.3
Piancavallo;2014;1;17;83;-0.1;1.7;4.8;94;99;99;12;37;154;867;865.4
Piancavallo;2014;1;18;69.4;1.9;3.4;4.6;96;99;99;9;38;218;1642;864.6
Piancavallo;2014;1;19;105.2;0.8;3.7;5.6;96;99;99;10;43;232;990;860.1
Piancavallo;2014;1;20;1.6;0.9;2.4;4.7;97;99;99;1;10;8;3123;857.3
Piancavallo;2014;1;21;0;-1.9;1.9;6.6;83;97;99;3;11;176;4621;860.3
Piancavallo;2014;1;22;0;-2.3;0.4;3;98;99;99;4;19;163;3298;866
Piancavallo;2014;1;23;0;-2.7;0.5;2.7;82;97;99;5;18;153;4212;868.6
Piancavallo;2014;1;24;5.4;-1.3;-0.2;1.1;41;76;99;11;36;348;2333;861.6
Piancavallo;2014;1;25;0;-7.9;-2.5;3;43;69;99;6;19;34;8615;863.9
Piancavallo;2014;1;26;0;-6.8;-3.4;3.2;45;89;99;4;23;156;8272;861.8
Piancavallo;2014;1;27;13.4;-6.9;-3.1;1.3;75;98;99;5;27;310;3568;856.2
