stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pontebba;2011;1;1;0;-5.9;-3.1;2.3;78;95;99;-;-;-;-;944.2
Pontebba;2011;1;2;0;-5.3;-1.1;3.1;69;85;99;-;-;-;-;942.4
Pontebba;2011;1;3;0;-8.2;-4.6;1.2;45;78;91;-;-;-;-;946.8
Pontebba;2011;1;4;0;-9.4;-5.7;-0.3;47;75;93;-;-;-;-;946
Pontebba;2011;1;5;0;-10.3;-7.1;-1.9;61;84;95;-;-;-;-;945
Pontebba;2011;1;6;0;-7.9;-1.3;2;57;71;93;-;-;-;-;945.3
Pontebba;2011;1;7;0;0.9;2.2;3.6;72;88;99;-;-;-;-;948.9
Pontebba;2011;1;8;0.4;2.8;4.3;5.9;94;98;99;-;-;-;-;948.1
Pontebba;2011;1;9;0;3.4;4.8;6.3;95;98;99;-;-;-;-;948.1
Pontebba;2011;1;10;37.6;0.8;4.2;6.2;94;98;99;-;-;-;-;947.2
Pontebba;2011;1;11;15.2;0.6;1.8;4.1;92;98;99;-;-;-;-;941.7
Pontebba;2011;1;12;0;0.5;2.2;7.3;77;96;99;-;-;-;-;945.6
Pontebba;2011;1;13;0;-0.2;1.7;6.9;80;97;99;-;-;-;-;944.6
Pontebba;2011;1;14;0;0.5;2.5;8.7;76;96;99;-;-;-;-;946.2
Pontebba;2011;1;15;0;0.1;2.3;7.7;78;96;99;-;-;-;-;950.5
Pontebba;2011;1;16;0;-0.1;2.3;8.9;66;94;99;-;-;-;-;956.5
Pontebba;2011;1;17;0;-1.3;1.2;6.4;71;94;99;-;-;-;-;953.7
Pontebba;2011;1;18;0;-1;1.8;7.3;63;88;99;-;-;-;-;951.7
Pontebba;2011;1;19;5;-0.3;2.2;6.6;63;90;97;-;-;-;-;948.3
Pontebba;2011;1;20;0.6;-1.4;0.7;5;54;81;99;-;-;-;-;946.9
Pontebba;2011;1;21;0;-1.6;-0.2;1.1;51;59;71;-;-;-;-;949.3
Pontebba;2011;1;22;0;-3.1;-0.8;1.9;37;54;67;-;-;-;-;948.4
Pontebba;2011;1;23;0;-7;-2.5;3.1;33;63;85;-;-;-;-;945
Pontebba;2011;1;24;0;-6.2;-2;2.8;48;70;87;-;-;-;-;944.1
Pontebba;2011;1;25;0;-5.2;-1;2.7;49;74;92;-;-;-;-;941
Pontebba;2011;1;26;0;-4.5;-1;3.4;58;79;91;-;-;-;-;936.2
Pontebba;2011;1;27;0;-4.3;0.2;4.9;54;77;97;-;-;-;-;940.1
Pontebba;2011;1;28;0;-3.2;-0.2;1.4;59;68;77;-;-;-;-;946.6
Pontebba;2011;1;29;0;-3.8;-2.1;0;54;65;72;-;-;-;-;946.9
Pontebba;2011;1;30;0;-2.7;-0.1;2.2;58;67;82;-;-;-;-;944.1
Pontebba;2011;1;31;0;-4.9;-1.2;5.8;53;80;95;-;-;-;-;947
Pontebba;2011;2;1;0;-6.2;-2.5;5.1;45;81;97;-;-;-;-;949.1
Pontebba;2011;2;2;0;-5.7;-0.8;8.8;28;68;89;-;-;-;-;950.2
Pontebba;2011;2;3;0;-4.4;0.1;7.3;34;69;88;-;-;-;-;952.3
Pontebba;2011;2;4;0;-3.4;1;10.2;34;70;88;-;-;-;-;954.4
Pontebba;2011;2;5;0;-2;-0.1;3;80;89;94;-;-;-;-;953.7
Pontebba;2011;2;6;0;-2.5;3;15.8;32;74;95;-;-;-;-;954.3
Pontebba;2011;2;7;0;-2.1;2.6;13.1;31;74;92;-;-;-;-;952.3
Pontebba;2011;2;8;0;-2.9;2;11.5;39;76;97;-;-;-;-;947.9
Pontebba;2011;2;9;0;-0.3;3.9;13;33;69;88;-;-;-;-;949.3
Pontebba;2011;2;10;0;-1.2;2.6;12;40;77;96;-;-;-;-;949.2
Pontebba;2011;2;11;0;-2.2;2.8;11.5;42;81;99;-;-;-;-;945.5
Pontebba;2011;2;12;0;-0.8;4;9.1;60;84;99;-;-;-;-;943.7
Pontebba;2011;2;13;2;2.8;3.6;5.2;84;94;99;-;-;-;-;941.8
Pontebba;2011;2;14;0;2.3;4.3;7.6;62;86;99;-;-;-;-;938.5
Pontebba;2011;2;15;0;2;3.5;6.6;75;84;93;-;-;-;-;934.3
Pontebba;2011;2;16;21;1.1;2.3;4;87;97;99;-;-;-;-;931.2
Pontebba;2011;2;17;8;0.9;2.2;4.3;91;98;99;-;-;-;-;932.1
Pontebba;2011;2;18;0;0;3.4;9.1;65;90;99;-;-;-;-;936.5
Pontebba;2011;2;19;0;-0.6;3.3;11.5;41;83;99;-;-;-;-;939.4
Pontebba;2011;2;20;0;-0.7;2.5;4.7;66;80;98;-;-;-;-;939.8
Pontebba;2011;2;21;0;0;2.6;5.9;56;70;80;-;-;-;-;938.5
Pontebba;2011;2;22;0;-1.2;0.6;3.9;56;68;76;-;-;-;-;938
Pontebba;2011;2;23;0;-4.6;-0.4;4.7;26;48;74;-;-;-;-;945.5
Pontebba;2011;2;24;0;-6.9;-0.5;8.1;16;47;68;-;-;-;-;949.8
Pontebba;2011;2;25;0;-5.1;1.6;8.8;17;39;72;-;-;-;-;949.6
Pontebba;2011;2;26;0;-1.3;2.8;8.9;31;45;78;-;-;-;-;947.4
Pontebba;2011;2;27;0;-1.5;3;8.3;44;69;95;-;-;-;-;941.2
Pontebba;2011;2;28;0;0.1;3.6;8.9;49;73;88;-;-;-;-;947.6
Pontebba;2011;3;1;0;-1.5;1.7;6.6;53;71;95;-;-;-;-;952.4
Pontebba;2011;3;2;0;-1;0.2;2.8;49;61;75;-;-;-;-;953.3
Pontebba;2011;3;3;0;-1.7;-0.1;1.6;59;71;85;-;-;-;-;954.8
Pontebba;2011;3;4;0;-2;2.9;9.7;44;69;88;-;-;-;-;954.3
Pontebba;2011;3;5;0;0;4.9;14.1;30;64;85;-;-;-;-;946.4
Pontebba;2011;3;6;0;-1.2;4.9;14.9;22;60;90;-;-;-;-;945.1
Pontebba;2011;3;7;0;-2.7;2.2;8.2;18;34;55;-;-;-;-;956.9
Pontebba;2011;3;8;0;-6;-0.1;8.2;22;52;79;-;-;-;-;957.3
Pontebba;2011;3;9;0;-5.1;1.9;11.6;27;62;89;-;-;-;-;949.4
Pontebba;2011;3;10;0;-2.6;3.4;13.1;28;65;88;-;-;-;-;948
Pontebba;2011;3;11;0;-2.3;4.1;12;42;72;96;-;-;-;-;948.3
