stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Rivis;2015;1;1;0;-4.6;0.2;6.5;33;67;85;-;-;-;-;-
Rivis;2015;1;2;0;-2.3;3;10;41;75;93;-;-;-;-;-
Rivis;2015;1;3;0;-0.1;5;12.5;50;80;95;-;-;-;-;-
Rivis;2015;1;4;0;0;6.3;14.7;7;56;97;-;-;-;-;-
Rivis;2015;1;5;0;-2.1;3.3;10.8;12;51;74;-;-;-;-;-
Rivis;2015;1;6;0;-1.9;3.3;12.2;37;65;85;-;-;-;-;-
Rivis;2015;1;7;0;2.2;5.1;8.5;55;74;81;-;-;-;-;-
Rivis;2015;1;8;0;1.9;5;9.4;58;78;92;-;-;-;-;-
Rivis;2015;1;9;0;3.7;5.9;8.7;65;81;96;-;-;-;-;-
Rivis;2015;1;10;0;0.7;5.9;10.2;76;93;100;-;-;-;-;-
Rivis;2015;1;11;0;-0.2;5.8;8.9;82;96;100;-;-;-;-;-
Rivis;2015;1;12;0;-0.1;4.4;11.4;25;60;84;-;-;-;-;-
Rivis;2015;1;13;0;1.2;5.2;11.9;50;72;94;-;-;-;-;-
Rivis;2015;1;14;0;0.3;5.5;9.6;67;78;97;-;-;-;-;-
Rivis;2015;1;15;0;1.1;5.8;9.4;67;85;97;-;-;-;-;-
Rivis;2015;1;16;4.8;5.9;8.4;12.1;86;93;100;-;-;-;-;-
Rivis;2015;1;17;9.4;5;11.3;13.6;90;97;100;-;-;-;-;-
Rivis;2015;1;18;0.4;2.1;6.6;13;54;87;100;-;-;-;-;-
Rivis;2015;1;19;0;1.3;4.8;11.7;45;79;95;-;-;-;-;-
Rivis;2015;1;20;0;0.4;4.3;11.3;45;78;94;-;-;-;-;-
Rivis;2015;1;21;5;0.5;6.1;10.4;52;75;92;-;-;-;-;-
Rivis;2015;1;22;6.8;5.3;7.7;11;71;85;96;-;-;-;-;-
Rivis;2015;1;23;0;6.2;10.5;15.6;30;55;77;-;-;-;-;-
Rivis;2015;1;24;0;4;8.7;13.7;29;66;94;-;-;-;-;-
Rivis;2015;1;25;0;1.6;5.5;11;47;76;94;-;-;-;-;-
Rivis;2015;1;26;0;-1.7;2.8;9.5;25;65;88;-;-;-;-;-
Rivis;2015;1;27;0;-1.7;2.2;9.1;24;69;87;-;-;-;-;-
Rivis;2015;1;28;0;-3.4;2;9.4;34;65;88;-;-;-;-;-
Rivis;2015;1;29;2.4;-0.7;2.2;4.2;69;81;94;-;-;-;-;-
