stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
San Vito al Tgl.;2013;1;1;0.1;-2.6;2.2;9.4;65;90;99;4;14;16;6763;1018.3
San Vito al Tgl.;2013;1;2;2.7;3.4;6.1;8.4;75;92;99;7;20;38;2126;1022.5
San Vito al Tgl.;2013;1;3;0.0;1.9;6.2;12.7;59;83;99;5;18;68;5908;1032
San Vito al Tgl.;2013;1;4;0.0;-0.5;3.7;9.8;74;93;99;4;15;9;3841;1028.3
San Vito al Tgl.;2013;1;5;0.0;-1.4;2.7;11.1;71;95;99;4;16;326;5865;1020.7
San Vito al Tgl.;2013;1;6;0.0;-0.3;4.5;14.2;65;92;99;4;15;0;5812;1020.1
San Vito al Tgl.;2013;1;7;0.0;-0.5;5.2;14.3;57;84;99;5;18;87;6543;1021.4
San Vito al Tgl.;2013;1;8;0.0;4.2;5.6;7.6;75;86;99;4;17;46;1098;1024.9
San Vito al Tgl.;2013;1;9;0.0;4.3;6.6;9.6;71;87;99;4;12;3;2613;1021
San Vito al Tgl.;2013;1;10;0.2;1.3;5;7.4;94;98;99;3;10;0;1378;1012.4
San Vito al Tgl.;2013;1;11;0.1;0.1;3.5;9.8;66;94;99;3;13;320;4954;1009.5
San Vito al Tgl.;2013;1;12;0.0;-1.3;3.4;6.6;60;81;99;5;13;31;2921;1016.1
San Vito al Tgl.;2013;1;13;8.0;1.8;4.1;5.9;74;85;94;13;46;57;1763;1012.3
San Vito al Tgl.;2013;1;14;22.4;0.3;2.3;3.5;86;93;99;13;47;45;1329;1009.7
San Vito al Tgl.;2013;1;15;3.3;2.1;4;6.4;84;92;99;7;19;36;3738;1007.3
San Vito al Tgl.;2013;1;16;14.4;2.2;4.1;6.3;72;87;97;17;53;47;739;998.5
San Vito al Tgl.;2013;1;17;5.2;0.7;4.4;7.9;48;71;99;12;40;58;5223;999.5
San Vito al Tgl.;2013;1;18;0.0;-1.5;4.2;8.4;48;65;96;8;25;0;3206;1000.3
San Vito al Tgl.;2013;1;19;2.1;-1.7;2.2;5.8;63;83;98;6;15;86;4122;1002.1
San Vito al Tgl.;2013;1;20;16.2;2.8;5.4;7;93;98;99;6;19;20;811;997.8
San Vito al Tgl.;2013;1;21;13.2;6.4;7.6;9.4;99;99;99;5;14;169;2152;993.8
San Vito al Tgl.;2013;1;22;9.8;3.3;5.9;9;74;94;99;8;28;45;3400;1000.7
San Vito al Tgl.;2013;1;23;0.1;1.8;5.2;9.8;69;87;99;8;23;360;6354;1006.7
San Vito al Tgl.;2013;1;24;0.3;5;7.5;10.6;53;66;81;11;32;29;3297;1000.3
San Vito al Tgl.;2013;1;25;0.0;-2.2;3.4;8.7;48;75;97;5;22;165;8601;1007.8
San Vito al Tgl.;2013;1;26;0.0;-4.1;0.4;5.6;48;72;96;6;22;60;9127;1012.9
San Vito al Tgl.;2013;1;27;0.0;-3.7;0.5;6.4;53;82;97;3;12;219;8008;1014.9
San Vito al Tgl.;2013;1;28;2.3;-1;2;3.8;79;92;99;4;15;0;1599;1016.9
San Vito al Tgl.;2013;1;29;0.1;-2.7;1.2;6.5;85;97;99;4;19;152;7709;1023
San Vito al Tgl.;2013;1;30;0.0;1.1;4.1;6.5;89;97;99;3;10;246;2683;1020.1
San Vito al Tgl.;2013;1;31;0.0;2.7;5.2;7.3;78;92;99;4;15;85;3409;1019.6
San Vito al Tgl.;2013;2;1;0.0;4.2;5.8;8.7;77;92;99;4;15;194;2080;1009.8
San Vito al Tgl.;2013;2;2;49.4;5.1;6;7.7;61;90;99;16;66;27;450;993
San Vito al Tgl.;2013;2;3;0.0;0.2;6;12.9;19;65;96;7;32;43;8968;1008.6
San Vito al Tgl.;2013;2;4;0.0;0.8;4.3;10.2;41;75;99;7;19;51;9838;1016.1
San Vito al Tgl.;2013;2;5;0.0;1.1;4;6.5;74;83;96;6;18;13;2028;1010.4
San Vito al Tgl.;2013;2;6;6.3;-0.6;3.5;7.2;59;89;99;11;41;87;2139;998.6
San Vito al Tgl.;2013;2;7;0.0;-1.7;2.4;9;54;82;99;5;14;310;10335;1004.2
San Vito al Tgl.;2013;2;8;0.0;-3;1.7;8.4;33;69;96;5;12;359;10445;1009.6
San Vito al Tgl.;2013;2;9;0.0;-2.9;0.8;5.9;51;72;91;6;14;108;6871;1013.7
San Vito al Tgl.;2013;2;10;0.0;-4.9;0;5.8;42;83;99;5;23;194;11819;1014.4
San Vito al Tgl.;2013;2;11;14.9;-3.1;0.1;2;87;97;99;13;35;17;2236;1008.6
San Vito al Tgl.;2013;2;12;17.1;-1.5;2.4;6.8;64;87;99;12;39;22;8327;1004.7
San Vito al Tgl.;2013;2;13;0.0;-2.1;3.4;6.9;50;73;99;8;29;32;5800;1011.6
San Vito al Tgl.;2013;2;14;0.0;0.9;5.2;11.9;53;72;91;5;16;146;10007;1016.1
San Vito al Tgl.;2013;2;15;0.0;0.9;5.4;11;52;73;92;5;15;104;10562;1015.7
San Vito al Tgl.;2013;2;16;0.0;0.4;5.9;12.6;42;67;87;7;16;1;12154;1019.5
San Vito al Tgl.;2013;2;17;0.0;2.1;6;11.1;42;65;86;10;32;66;11403;1019.1
San Vito al Tgl.;2013;2;18;0.0;-1.7;4;9.9;40;67;91;9;33;60;11992;1018.1
San Vito al Tgl.;2013;2;19;0.0;-2;2.8;8.8;50;73;92;6;21;274;11171;1015.3
San Vito al Tgl.;2013;2;20;0.1;0.5;4.3;7.9;55;70;86;8;32;57;5199;1013.9
San Vito al Tgl.;2013;2;21;0.0;0.7;3.2;4.6;46;55;70;24;57;90;4630;1012.7
San Vito al Tgl.;2013;2;22;0.0;0;2.8;5.9;42;56;77;21;50;69;8187;1005.7
San Vito al Tgl.;2013;2;23;7.7;-2.6;2.9;6;52;75;98;12;40;42;7347;1003.2
San Vito al Tgl.;2013;2;24;2.3;2.3;4.3;6.8;81;90;99;13;50;91;2811;1006.5
San Vito al Tgl.;2013;2;25;0.0;0.7;5.2;11.4;44;77;99;8;23;89;9921;1016.6
San Vito al Tgl.;2013;2;26;0.6;-2.2;5.9;12.7;40;68;95;3;14;1;11253;1018.6
San Vito al Tgl.;2013;2;27;1.6;5;7.4;11.8;74;89;99;4;17;72;5537;1021.1
San Vito al Tgl.;2013;2;28;0.0;1.8;7.7;14.3;54;79;99;6;21;55;14377;1022.4
San Vito al Tgl.;2013;3;1;0.0;1.4;6.3;13.2;62;87;99;5;22;192;14135;1018.3
San Vito al Tgl.;2013;3;2;0.1;1.5;6.5;13.1;47;74;99;6;19;52;14727;1017.9
San Vito al Tgl.;2013;3;3;0.0;-1;6.1;14.9;47;75;99;5;14;262;15214;1017
San Vito al Tgl.;2013;3;4;0.0;1.1;7.4;16.4;30;62;91;8;22;56;15836;1020.2
San Vito al Tgl.;2013;3;5;0.0;0.9;8;14.7;36;63;81;6;18;40;12086;1021.2
San Vito al Tgl.;2013;3;6;29.7;6.8;8.7;10.6;76;94;99;10;25;37;1870;1012.2
San Vito al Tgl.;2013;3;7;13.4;8.9;10.2;12.9;95;99;99;6;18;4;3323;1004.6
San Vito al Tgl.;2013;3;8;1.9;9.4;10.7;12.9;98;99;99;3;12;89;3644;1002.8
San Vito al Tgl.;2013;3;9;13.0;9.4;10.6;11.7;99;99;99;5;19;161;2332;1001.1
San Vito al Tgl.;2013;3;10;12.1;8.2;10.2;13;79;95;99;5;18;86;7109;998.8
San Vito al Tgl.;2013;3;11;5.3;4.2;10.2;15.7;60;88;99;6;22;179;12337;997.7
San Vito al Tgl.;2013;3;12;5.1;8.1;9.9;14.3;63;91;99;6;16;14;10628;996.5
San Vito al Tgl.;2013;3;13;6.0;6.6;8;9.9;83;94;99;7;23;54;3433;995.1
San Vito al Tgl.;2013;3;14;0.6;4.8;7.3;9.9;37;58;92;17;53;38;4127;992.6
San Vito al Tgl.;2013;3;15;0.0;2;5.8;10.4;19;42;77;11;30;68;15541;1005.5
San Vito al Tgl.;2013;3;16;0.0;-1.9;3.6;8.1;43;70;99;8;31;212;17649;1019
San Vito al Tgl.;2013;3;17;3.7;2.3;4.8;7.3;66;79;96;9;25;4;6205;1015.4
San Vito al Tgl.;2013;3;18;66.8;3.7;5.7;8.3;94;98;99;17;36;202;1032;996
San Vito al Tgl.;2013;3;19;0.3;2.3;7.4;12.8;63;87;99;6;19;73;12896;1000
San Vito al Tgl.;2013;3;20;1.3;4;9;14.3;48;79;96;8;22;178;11140;1005.9
San Vito al Tgl.;2013;3;21;0.9;7;11.1;17;28;64;98;10;31;270;18742;1007.5
San Vito al Tgl.;2013;3;22;0.0;3.4;9;14.9;28;52;88;8;31;208;20091;1010.8
San Vito al Tgl.;2013;3;23;5.6;3.1;7.3;10.5;54;73;94;9;27;62;5035;1012.1
San Vito al Tgl.;2013;3;24;6.3;3.1;4.9;6.1;67;78;94;21;53;71;2857;1010.6
San Vito al Tgl.;2013;3;25;12.4;1.5;3.6;5.2;59;71;87;24;59;73;3135;1003.3
San Vito al Tgl.;2013;3;26;0.0;2;4.2;6.8;64;71;78;6;18;64;11089;1003.4
San Vito al Tgl.;2013;3;27;0.0;0.9;4.1;7.4;53;66;80;5;17;76;7387;1008.8
San Vito al Tgl.;2013;3;28;12.9;2.4;6.4;11.4;54;76;99;6;25;7;12723;1011.8
San Vito al Tgl.;2013;3;29;6.3;6;7.5;9.5;87;96;99;6;18;0;3721;1005.4
San Vito al Tgl.;2013;3;30;49.7;4.5;8.9;11.7;86;97;99;10;52;30;4754;998.8
San Vito al Tgl.;2013;3;31;15.1;7.2;8.5;10.9;72;87;97;12;36;32;6531;997
San Vito al Tgl.;2013;4;1;0.0;5.5;8.4;11.9;57;70;80;11;31;91;16349;1004.8
San Vito al Tgl.;2013;4;2;0.1;6.3;8.8;12.6;52;64;80;18;50;89;10436;1001.2
